id,year,author_or_institution,title,source_type,book_use,url
fts-001,2026,Stanford Institute for Human-Centered AI,The 2026 AI Index Report,independent annual report,"Tracks rapid adoption, benchmark progress, investment, education, policy and public opinion; used to establish diffusion and institutional lag.; Chapters: 1;2;17;18;21;22;24; Caveat: Large synthesis drawing on many datasets; individual figures retain their underlying methodological limits.; Provides benchmark and model-performance context including rapid gains and benchmark saturation.; Chapters: 1;4;9;17;18;21;25; Caveat: Benchmark improvement is not identical to real-world reliability or general intelligence.; Legacy duplicate metadata: Stanford Institute for Human-Centered AI — Technical Performance chapter — 2026 AI Index; Legacy duplicate source id: fts-022; Documents rapid student use of generative AI and lagging clarity of school policies.; Chapters: 11;16;23;24; Caveat: Survey evidence varies by education system and may not measure learning quality.; Legacy duplicate metadata: Stanford Institute for Human-Centered AI — Education chapter — 2026 AI Index; Legacy duplicate source id: fts-023",https://hai.stanford.edu/ai-index/2026-ai-index-report
fts-002,2026,METR,Task-Completion Time Horizons of Frontier AI Models,independent evaluation,"Measures the human-task-duration level at which frontier agents reach specified success probabilities on a suite of software tasks.; Chapters: 2;9;17;18;21; Caveat: A task-difficulty measure, not literal autonomous run time; software tasks do not represent all cognitive work.",https://metr.org/time-horizons/
fts-003,1966,Joseph Weizenbaum,ELIZA—a computer program for the study of natural language communication between man and machine,academic paper,Historical evidence that relatively simple conversational machinery could evoke strong human interpretive and social responses.; Chapters: 3;12;25; Caveat: ELIZA did not possess modern language-model capabilities; social response is not evidence of understanding.,https://doi.org/10.1145/365153.365168
fts-004,2000,Clifford Nass and Youngme Moon,Machines and Mindlessness: Social Responses to Computers,academic review,"Reviews experiments showing that people apply politeness, reciprocity, social categories and personality expectations to computers.; Chapters: 3;5;6;12;25; Caveat: Experiments involved earlier computer interfaces; magnitude and form of effects may differ for modern systems.",https://doi.org/10.1111/0022-4537.00153
fts-005,2016,Google DeepMind,AlphaGo,developer research history,Documents AlphaGo's match with Lee Sedol and the cultural significance assigned to Move 37 and later AlphaGo systems.; Chapters: 4;18;22;25; Caveat: Developer retrospective; one game and one domain do not establish general intelligence.,https://deepmind.google/research/alphago/
fts-006,2025,OpenAI and MIT Media Lab,Early methods for studying affective use and emotional well-being on ChatGPT,developer-academic research,Observational and controlled work on emotional engagement with conversational AI and variation in social and emotional outcomes.; Chapters: 12;16;21;24; Caveat: Early research with product-specific populations; does not establish long-term causal effects for all users.,https://openai.com/index/affective-use-study/
fts-007,2025,Common Sense Media,Talk Trust and Trade-Offs: How and Why Teens Use AI Companions,survey report,"Nationally representative U.S. teen survey on AI companion use, social interaction and serious conversations.; Chapters: 12;16;21;24; Caveat: Focused on U.S. teens and self-report; organization advocates precautionary restrictions.",https://www.commonsensemedia.org/research/talk-trust-and-trade-offs-how-and-why-teens-use-ai-companions
fts-008,2026,Common Sense Media,A Comprehensive Report on Teens Tweens and AI,survey report,Survey evidence that AI use is already widespread among U.S. children ages 9–17 and family/school safety conversations lag usage.; Chapters: 11;16;17;24; Caveat: Self-reported U.S. sample; youth products and behavior change rapidly.,https://www.commonsensemedia.org/research/a-comprehensive-report-on-teens-tweens-and-ai
fts-009,2023,UNESCO,Guidance for generative AI in education and research,intergovernmental guidance,Documents policy lag and proposes human-centered educational and age-appropriate approaches to generative AI.; Chapters: 11;16;23;24; Caveat: Normative guidance rather than causal evidence of educational outcomes; updated 2026.,https://www.unesco.org/en/articles/guidance-generative-ai-education-and-research?hub=67098
fts-010,2026,Anthropic,Anthropic Economic Index report: Cadences,developer economic research,Documents shift from chat toward long-running agentic tasks and user-reported changes in speed scope quality and delegation.; Chapters: 5;9;10;15;17;21;24; Caveat: Product-specific data and self-report; users are selected and not representative of the whole workforce.,https://www.anthropic.com/research/economic-index-june-2026-report
fts-011,2026,Microsoft,2026 Work Trend Index: Agents human agency and opportunity,company survey and telemetry,"Reports worker use of agents, organizational readiness, advanced user practices and changing human-agent work patterns.; Chapters: 5;9;10;11;15;23;24; Caveat: Company-sponsored research; much of the readiness and impact evidence is self-reported.",https://www.microsoft.com/en-us/worklab/work-trend-index/agents-human-agency-and-the-opportunity-for-every-organization
fts-012,2026,OpenAI,Enterprise signals: What frontier firms are doing differently,developer enterprise research,Describes enterprise movement from assistance to delegation and the role of context and tools in agentic work.; Chapters: 10;15;17;22;24; Caveat: Developer/customer-base evidence and product telemetry are not neutral economy-wide measures.,https://openai.com/signals/enterprise-data/
fts-013,2025,International Labour Organization,Generative AI and jobs: A 2025 update,intergovernmental labor research,"Estimates occupational exposure to generative AI and emphasizes that transformation is more common than direct full-job automation in its framework.; Chapters: 15;17;21;23;24; Caveat: Exposure scores are task-based estimates, not realized job losses or productivity gains.",https://www.ilo.org/publications/generative-ai-and-jobs-2025-update
fts-014,2024,National Institute of Standards and Technology,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,government technical guidance,Provides cross-sector risk-management concepts for generative AI without relying on questions of machine personhood.; Chapters: 13;20;21;23;24; Caveat: Voluntary U.S. guidance; framework is being revised and does not by itself ensure compliance or safety.,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence
fts-015,2024,European Union,Regulation EU 2024/1689 Artificial Intelligence Act,law,Provides a major statutory example of governing AI through risk categories documentation transparency and provider/deployer duties.; Chapters: 13;20;23;24; Caveat: Phased implementation and later amendments matter; EU law is not a global template.,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689
fts-016,2025,Google DeepMind,Gemini Robotics brings AI into the physical world,developer research announcement,Shows vision-language-action and embodied-reasoning systems connecting language perception planning and robot control.; Chapters: 14;17;18;21;22; Caveat: Developer demonstrations under selected conditions; not evidence of general household or industrial reliability.,https://deepmind.google/blog/gemini-robotics-brings-ai-into-the-physical-world/
fts-017,2026,Google DeepMind,Gemini Robotics-ER 1.6: Powering real-world robotics tasks through enhanced embodied reasoning,developer research announcement,Illustrates continued work on spatial and physical reasoning for robots in 2026.; Chapters: 14;17;22; Caveat: Developer-reported capability; deployment economics and robustness remain separate questions.,https://deepmind.google/blog/gemini-robotics-er-1-6/
fts-018,2026,Google DeepMind,Gemini Robotics 2 brings whole body intelligence to robots,developer research announcement,Reports longer task sequences self-correction and multi-robot coordination as an embodiment trajectory.; Chapters: 14;17;22; Caveat: Recent developer announcement; independent validation and real-world generalization may lag.,https://deepmind.google/blog/gemini-robotics-2-brings-whole-body-intelligence-to-robots/
fts-019,2026,Reuters,China can build kung fu-fighting robots But it can't get them to do factory work,independent reporting,Counter-evidence on humanoid robotics: impressive demonstrations coexist with limits in factory usefulness cost precision and demand.; Chapters: 14;21; Caveat: News reporting based on interviews and observed industry conditions; country-specific.,https://www.reuters.com/investigations/chinas-humanoid-robots-arent-smart-enough-take-your-job-yet-2026-08-27/
fts-020,2026,Stanford Institute for Human-Centered AI,Public Opinion chapter — 2026 AI Index,independent synthesis,Tracks rising optimism and anxiety workplace use companionship expectations and trust in regulation across countries.; Chapters: 17;18;20;21;24; Caveat: Aggregates surveys with differing samples and question wording; attitudes can change quickly.,https://hai.stanford.edu/ai-index/2026-ai-index-report/public-opinion
fts-021,2026,Stanford Institute for Human-Centered AI,Economy chapter — 2026 AI Index,independent synthesis,Tracks organizational adoption generative-AI diffusion investment and early agent deployment patterns.; Chapters: 1;5;10;17;22;24; Caveat: Adoption surveys measure use more readily than depth quality or return on investment.,https://hai.stanford.edu/ai-index/2026-ai-index-report/economy
fts-024,1994,Clifford Nass Jonathan Steuer and Ellen Tauber,Computers are Social Actors,conference paper,Foundational experiments showing automatic use of social rules in human-computer interaction.; Chapters: 3;25; Caveat: Short early-era computer interactions; should not be overextended to modern relational AI.,https://doi.org/10.1145/259963.260288
fts-025,1999,Clifford Nass and Youngme Moon,Are People Polite to Computers? Responses to Computer-Based Interviewing Systems,academic paper,Demonstrates politeness effects in responses to computer interview systems.; Chapters: 3;6;25; Caveat: Politeness is one social behavior and does not establish deep attachment.,https://doi.org/10.1111/j.1559-1816.1999.tb00142.x
fts-026,2026,Microsoft,How Frontier Firms are rebuilding the operating model for the age of AI,company analysis,Describes a managerial shift from tactical execution toward direction standards and evaluation as agents take on more work.; Chapters: 10;15;23;24; Caveat: Normative company framing; claims should be cross-checked against independent labor evidence.,https://blogs.microsoft.com/blog/2026/05/05/how-frontier-firms-are-rebuilding-the-operating-model-for-the-age-of-ai/
fts-027,2026,Common Sense Media,Common Sense Media Census: AI Use by Tweens and Teens 2026,survey report,Reports widespread youth AI use and gaps in parent/school safety conversations.; Chapters: 12;16;20;24; Caveat: Press release summary; underlying report should govern precise statistics.,https://www.commonsensemedia.org/press-releases/common-sense-media-releases-inaugural-annual-study-on-ai-use-by-tweens-and-teens
