source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
ch08-001,ch08,2026-09-10,2018-07-31,Washington Post,NBA reaches deal to make MGM Resorts its first official gaming partner,news,"NBA-MGM 2018 deal: three-year, $25 million, first league 'official gaming partner' deal; included NBA data feed",https://www.washingtonpost.com/news/sports/wp/2018/07/31/nba-reaches-deal-to-make-mgm-resorts-its-first-official-gaming-partner/,found via search; corroborated by legalsportsreport and NBA.com results
ch08-002,ch08,2026-09-10,2021-11-19,TheStreet / Sportradar,Sportradar Reportedly Pays $1 Billion for NBA Data-Distribution Deal,news,"NBA-Sportradar eight-year deal beginning 2023 worth more than $1 billion in cash and stock",https://www.thestreet.com/investing/sportradar-1-billion-dollars-nba-data-distribution-deal,found via search
ch08-003,ch08,2026-09-10,2021-04-01,Sportico,NFL Data Deal To Genius Sports As League Takes Equity Stake in Firm,news,"NFL-Genius Sports 2021 exclusive betting-data deal: six-year term (four-year initial plus two option years), roughly $120 million, effective April 1 2021, NFL equity stake in Genius Sports",https://www.sportico.com/leagues/football/2021/nfl-data-deal-1234626096/,found via search
ch08-004,ch08,2026-09-10,2024-02-13,Sportradar (investor release),Major League Baseball and Sportradar Announce Expanded Exclusive Partnership Through 2032,press release,"MLB-Sportradar official/exclusive data partnership dating to 2019 season, extended through 2032",https://investors.sportradar.com/news-releases/news-release-details/major-league-baseball-and-sportradar-announce-expanded-exclusive,found via search
ch08-005,ch08,2026-09-10,2023-05-01,Gambling.com News,Microbetting Pioneer Simplebet Looks To The Future,trade press,"Simplebet founded 2018 as machine-learning company generating micro-markets; partnerships with DraftKings, FanDuel, Caesars",https://www.gambling.com/us/news/microbetting-pioneer-simplebet-looks-to-the-future,found via search
ch08-006,ch08,2026-09-10,2022-12-15,Forbes (Mike Ozanian),Caesars Sportsbook Launches Micro-Betting Through Partnership With Simplebet,news,"Caesars launches Simplebet-powered micro-betting Dec 2022; definition of micro-betting as next-pitch/next-play/next-possession markets",https://www.forbes.com/sites/mikeozanian/2022/12/15/caesars-sportsbook-launches-micro-betting-through-partnership-with-simplebet/,found via search
ch08-007,ch08,2026-09-10,2024-06-01,Establish The Run,Should You Bet Same-Game Parlays?,trade press/analysis,"Standard -110 point-spread bet carries roughly 4.5% house edge; five-leg SGP hold can exceed 35%",https://establishtherun.com/should-you-bet-same-game-parlays/,found via search
ch08-008,ch08,2026-09-10,2023-01-01,Wizard of Odds (Michael Shackleford et al.),Same-Game Parlays: The Mathematics of Correlation,analysis,"Explains how sportsbooks price correlated same-game legs to preserve a much larger hold than independent-leg parlay math would suggest",https://wizardofodds.com/article/same-game-parlays-the-mathematics-of-correlation/,found via search
ch08-009,ch08,2026-09-10,2025-01-01,SportsBoom.us,How Sportsbooks Doubled Their Take From American Bettors,trade press,"Same-game parlays grew to roughly 35-40% of major operators' gross gaming revenue, up from under 20% in 2021; SGP hold commonly 20-30% vs mid-single-digits on straight bets",https://www.sportsboom.us/betting/sportsbooks-doubled-their-take-from-american-bettors,found via search
ch08-010,ch08,2026-09-10,2024-01-01,Legal Sports Report,Business By The Books: 'Same-Game' Changed Sports Betting Flutter Says,trade press,"Multi-leg (same-game and multi-game) parlays make up more than half of reported sportsbook revenue and roughly a quarter of handle in states that break out parlay data; Flutter reported 262 million same-game bets in Q4 2023, up ~75% year over year",https://www.legalsportsreport.com/178895/business-by-the-books-same-game-changed-sports-betting-flutter-says/,found via search
ch08-011,ch08,2026-09-10,2025-05-01,Benzinga,DraftKings FanDuel Distancing Themselves From The Competition In Online Sports Betting,trade press,"Live/in-play betting exceeded 50% of DraftKings' total handle for the first time in Q1 2025",https://benzinga.com/z/26221276,found via search
ch08-012,ch08,2026-09-10,2023-01-01,Legal Sports Report,Analysis: How High Can US Sports Betting Hold Really Climb?,analysis,"Historical Nevada/national sportsbook hold hovered near 5% before same-game parlays existed at scale",https://www.legalsportsreport.com/111012/analysis-2023-us-sports-betting-hold-trend/,found via search
ch08-013,ch08,2026-09-10,2019-01-01,US Bets,Nevada Smashes Sports Betting Revenue Record With $300 Million Year,news,"Nevada sportsbooks held 6.01% of wagers in 2018, the best hold since 6.49% in 2007",https://www.usbets.com/nevada-2018-sports-betting-revenue/,found via search
ch08-014,ch08,2026-09-10,2025-06-11,Genius Sports (investor release via Yahoo Finance),The National Football League Expands and Extends Strategic Partnership with Genius Sports in Multi-Year Deal,press release,"June 2025 NFL-Genius Sports extension runs through the 2029 season and adds exclusive in-game advertising-inventory rights on top of data distribution",https://finance.yahoo.com/news/national-football-league-expands-extends-110000890.html,found via search
ch08-015,ch08,2026-09-10,2018-10-30,ESPN,NHL announces betting sponsorship deal with MGM Resorts,news,"NHL-MGM partnership announced October 2018, structured as non-exclusive; MGM to get access to NHL data including potential puck- and player-tracking data and team marketing rights; league said it was not taking a direct cut of gambling revenue",https://www.espn.com/nhl/story/_/id/25118175/nhl-announces-betting-sponsorship-deal,found via search
ch09-001,ch09,2026-09-10,2022-01-01,Wharton Magazine (University of Pennsylvania),Betting on Rigor and Glitz,profile,"Gary Loveman's path from Harvard Business School to Harrah's COO/CEO and creation of Total Rewards",https://magazine.wharton.upenn.edu/digital/betting-on-rigor-and-glitz/,found via search
ch09-002,ch09,2026-09-10,2021-01-01,iGamingBusiness,Gary Loveman on Total Rewards and creating a new breed of executive,trade press,"Loveman 2003 quote: 'We use database marketing and decision-science-based analytical tools to widen the gap between us and casino operators who base their customer incentives more on intuition than evidence'; finding that repeat slot players, not high rollers, were the most profitable customers",https://igamingbusiness.com/casino-games/gary-loveman-on-total-rewards-and-creating-a-new-breed-of-executive/,found via search
ch09-003,ch09,2026-09-10,2015-05-18,Forbes (Bernard Marr),Big Data At Caesars Entertainment - A One Billion Dollar Asset?,analysis,"Total Rewards loyalty database valued as a roughly $1 billion asset in Caesars' 2015 bankruptcy proceedings; more than 40 million members",https://www.forbes.com/sites/bernardmarr/2015/05/18/when-big-data-becomes-your-most-valuable-asset/,found via search
ch09-004,ch09,2026-09-10,2026-03-24,PR Newswire (Public Health Advocacy Institute),Public Health Advocacy Institute (PHAI) Files Landmark Sports Gambling Lawsuit Against DraftKings FanDuel Genius Sports and the NFL,press release,"Sage and Thompson v. DraftKings Inc. et al., Philadelphia County Court of Common Pleas, filed March 24 2026; first case naming individual VIP hosts as defendants",https://www.prnewswire.com/news-releases/public-health-advocacy-institute-phai-files-landmark-sports-gambling-lawsuit-against-draftkings-fanduel-genius-sports-and-the-national-football-league-nfl-302723901.html,found via search
ch09-005,ch09,2026-09-10,2026-03-25,GamblingHarm.org,Landmark Lawsuit: Online Sportsbook VIP Hosts Sued For First Time,news,"Detail on named VIP hosts (Dyleisha Lewis at DraftKings; Morgan and Donahue at FanDuel/DraftKings), $500 champagne bottle comp, Super Bowl LVI tickets and hotel; total losses of roughly $2 million combined for the two plaintiffs",https://gamblingharm.org/online-sportsbook-vip-hosts-sued-microbet-lawsuit/,found via search
ch09-006,ch09,2026-09-10,2026-05-01,Casino.org,FanDuel DraftKings Seek to End Lawsuit That Drew Bryce Harper Into Gambling Row,news,"FanDuel and DraftKings motion to dismiss the Sage/Thompson VIP-host and microbetting addiction lawsuit",https://www.casino.org/news/fanduel-draftkings-seek-to-end-lawsuit-that-drew-bryce-harper-into-gambling-row/,found via search
ch09-007,ch09,2026-09-10,2023-01-01,Racing Post,William Hill hit with record £19.2m penalty by gambling regulator,news,"UK Gambling Commission record £19.2m penalty against William Hill for social-responsibility and AML failings, including a customer allowed to spend £23,000 in 20 minutes and another £18,000 in 24 hours without checks",https://www.racingpost.com/news/britain/william-hill-fined-record-19.2-million-for-failing-to-protect-customers-aOEMQ3L1IKj4/,found via search
ch09-008,ch09,2026-09-10,2017-01-01,Racing Post,Gambling Commission hits Betfred with £825,000 fine for failings related to gaming machines in their shops,news,"UK Gambling Commission fine against Betfred for social-responsibility/AML failures",https://www.racingpost.com/news/britain/gambling-commission-hits-betfred-with-825000-fine-for-failings-related-to-gaming-machines-in-their-shops-ac6wn5x1JBOq/,found via search
ch09-009,ch09,2026-09-10,2020-01-01,Proactive Investors,888's William Hill hit by record Gambling Commission penalty narrowly avoids losing licence,news,"Reference to earlier ~£7.8 million UK Gambling Commission penalty tied to VIP-customer handling failings, including in Middle East VIP accounts",https://www.proactiveinvestors.co.uk/companies/news/1010412/888-s-william-hill-hit-by-record-gambling-commission-penalty-narrowly-avoids-losing-licence-1010412.html,found via search
ch09-010,ch09,2026-09-10,2024-01-01,So Much Poker,Casino Whale: A Guide to the Biggest Gamblers in Vegas,trade press,"Whale tiers: 'low-end' whale wagers $100,000+ per trip, 'mid-tier' $500,000-$1 million, 'elite' $5 million or more",https://somuchpoker.com/casino-term/what-is-a-casino-whale,found via search
ch09-011,ch09,2026-09-10,2025-01-01,DraftKings Careers site,Crafting the Ultimate VIP Experience,corporate content,"DraftKings' own description of its VIP Analytics function: customer segmentation and value models, 'treatment plans' for high-value customers, VIP team's outsized impact on company revenue",https://careers.draftkings.com/life-at-draftkings/our-teams/crafting-the-ultimate-vip-experience/,found via search
ch09-012,ch09,2026-09-10,2024-12-04,SBC News,UK Racing: Betting deficit of £3bn is clear evidence of threat of affordability checks,trade press,"UK horse-racing online betting turnover fell roughly £3 billion in real terms over two years following 2024 affordability-check rules; British Horseracing Authority attributes the decline to the checks",https://sbcnews.co.uk/featurednews/2024/12/04/uk-racing-3bn-deficit/,found via search
ch09-013,ch09,2026-09-10,2023-10-01,horseracing.guide,Affordability Checks Have Been a Disaster for Horse Betting,industry commentary,"'Right to Bet' survey of ~15,000 racing bettors: roughly 1 in 4 already checked; over half say they would bet less or stop with further checks; share of black-market bettors citing affordability checks as the reason rose from ~50.8% to ~63.6%",https://horseracing.guide/news/affordability-checks-betting/,found via search
ch09-014,ch09,2026-09-10,2026-01-01,Gambling Insider,Will a National Self-Exclusion System Reduce Problem Gambling in America?,trade press,"US self-exclusion is state- and operator-specific with no federal registry; SAFE Bet Act proposal to create a federal list has not passed",https://www.gamblinginsider.com/in-depth/104716/gambling-self-exclusion-system-in-the-us,found via search
ch09-015,ch09,2026-09-10,2026-01-01,GamblingHarm.org,Sports Betting Self-Exclusion Extraordinarily Low Report Shows,news,"One state's regulatory report: nearly 300,000 online sportsbook accounts used a three-day 'cool off' in a year, versus fewer than 500 customers completing a full year-plus self-exclusion",https://gamblingharm.org/sports-betting-self-exclusion/,found via search
ch09-016,ch09,2026-09-10,2005-09-19,Newsweek,From Harvard to Las Vegas,profile,"Harrah's ran thousands of test-and-control marketing experiments compared by an observer to pharmaceutical clinical trials; top 26% of Total Rewards customers generated 82% of company revenue",https://www.newsweek.com/harvard-las-vegas-116407,found via search
ch10-001,ch10,2026-09-10,2013-01-01,Behavior and Social Issues (Springer/OpenSIUC),B. F. Skinner's Views on Gambling,academic,"Skinner's account of variable-ratio reinforcement as the operant schedule underlying slot-machine play and its resistance to extinction",https://link.springer.com/content/pdf/10.5210/bsi.v7i2.311.pdf,found via search
