id,year,author_or_institution,title,source_type,book_use,url
stanford-ai-index-2026,2026,Stanford HAI,The 2026 AI Index Report,annual report,"Capability adoption infrastructure economics science robotics and benchmark context",https://hai.stanford.edu/ai-index/2026-ai-index-report
stanford-technical-2026,2026,Stanford HAI,AI Index 2026 Technical Performance,report chapter,"Agent benchmarks robotics jagged capability and benchmark limitations",https://hai.stanford.edu/ai-index/2026-ai-index-report/technical-performance
stanford-economy-2026,2026,Stanford HAI,AI Index 2026 Economy,report chapter,"Investment adoption productivity labor robotics and consumer-surplus context",https://hai.stanford.edu/ai-index/2026-ai-index-report/economy
metr-time-horizons-2026,2026,METR,Task-Completion Time Horizons of Frontier AI Models,research measurement,"Autonomous software-task duration and reliability trends",https://metr.org/time-horizons/
metr-dev-productivity-2025,2025,METR,Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity,randomized controlled trial,"Counterevidence on real-world coding productivity and verification friction",https://metr.org/blog/2025-07-10-early-2025-ai-experienced-os-dev-study/
metr-uplift-update-2026,2026,METR,We are Changing our Developer Productivity Experiment Design,research update,"Evidence that later-tool productivity measurement is changing and methodologically difficult",https://metr.org/blog/2026-02-24-uplift-update/
epoch-global-compute-2026,2026,Epoch AI,Global AI computing capacity is doubling every 7 months,data insight,"AI accelerator supply growth and physical compute expansion",https://epoch.ai/data-insights/ai-chip-production
epoch-largest-datacenter-2026,2026,Epoch AI,Largest AI Data Center: Doubling every 7 months,data insight,"Frontier single-site compute growth and data-center scale",https://epoch.ai/data-insights/largest-data-center-compute
epoch-hyperscaler-capex-2026,2026,Epoch AI,Hyperscaler Capex to Exceed Cash Flow by Q3 2026,data insight,"Financing pressure and capital intensity of AI infrastructure",https://epoch.ai/data-insights
iea-energy-ai-2025,2025,International Energy Agency,Energy and AI,intergovernmental report,"Electricity demand supply data-center concentration and energy-AI feedback",https://www.iea.org/reports/energy-and-ai
iea-energy-ai-2026,2026,International Energy Agency,Key Questions on Energy and AI,intergovernmental report,"2025 demand growth 2026 capex physical bottlenecks and updated 2030 outlook",https://www.iea.org/reports/key-questions-on-energy-and-ai
iea-electricity-2026,2026,International Energy Agency,Electricity 2026,intergovernmental report,"Global and U.S. electricity-demand growth with data-center contribution",https://www.iea.org/reports/electricity-2026
doe-datacenter-energy-2024,2024,U.S. Department of Energy,DOE Releases New Report Evaluating Increase in Electricity Demand from Data Centers,government report summary,"U.S. data-center electricity-use history and 2028 scenarios",https://www.energy.gov/articles/doe-releases-new-report-evaluating-increase-electricity-demand-data-centers
doe-ai-energy-hub-2026,2026,U.S. Department of Energy,Powering America's AI Future—Data Center Resource Hub,government resource,"Updated U.S. data-center demand scenarios and efficiency context",https://www.energy.gov/powering-americas-ai-future-data-center-resource-hub
lbl-queues-2026,2026,Lawrence Berkeley National Laboratory,Queued Up: 2026 Edition,government laboratory report,"U.S. generation and storage interconnection queues and grid lead-time context",https://emp.lbl.gov/queues
tsmc-annual-2025,2026,TSMC,TSMC 2025 Annual Report,company annual report,"Leading-edge fabrication advanced packaging Arizona expansion and AI demand",https://investor.tsmc.com/static/annualReports/2025/english/index.html
asml-annual-2025,2026,ASML,ASML 2025 Annual Report,company annual report,"Lithography capacity EUV shipments AI-driven semiconductor demand and AI inside manufacturing tools",https://www.asml.com/investors/annual-report/2025
micron-hbm4-2026,2026,Micron Technology,HBM4,company technical page,"High-bandwidth memory bandwidth power efficiency and production context",https://www.micron.com/products/memory/hbm/hbm4
skhynix-hbm4-2025,2025,SK hynix,SK hynix Completes World's First HBM4 Development and Readies Mass Production,company press release,"HBM4 bandwidth power-efficiency and supply-chain context",https://news.skhynix.com/en/sk-hynix-completes-worlds-first-hbm4-development-and-readies-mass-production/
nvidia-nvl72-2026,2026,NVIDIA,System Hardware & Components — NVIDIA NVL72 AI Factory,technical documentation,"Rack-scale AI hardware power density networking memory and liquid-cooling requirements",https://docs.nvidia.com/enterprise-reference-architectures/nvl72-ai-factory/latest/components.html
nvidia-blackwell-2024,2024,NVIDIA,NVIDIA Blackwell Platform Arrives to Power a New Era of Computing,company technical announcement,"Rack-scale accelerator architecture networking and liquid cooling context",https://nvidianews.nvidia.com/news/nvidia-blackwell-platform-arrives-to-power-a-new-era-of-computing
alphafold-protein-universe-2022,2022,Google DeepMind,AlphaFold reveals the structure of the protein universe,company research report,"More than 200 million predicted protein structures and scientific abundance example",https://deepmind.google/blog/alphafold-reveals-the-structure-of-the-protein-universe/
gnome-materials-2023,2023,Google DeepMind,Millions of new materials discovered with deep learning,company research report,"GNoME predictions experimental validation and candidate-generation bottleneck",https://deepmind.google/blog/millions-of-new-materials-discovered-with-deep-learning/
alphaevolve-2025,2025,Google DeepMind,AlphaEvolve: A Gemini-powered coding agent for designing advanced algorithms,company research report,"Automated generate-evaluate-iterate loops and deployed computing optimizations",https://deepmind.google/blog/alphaevolve-a-gemini-powered-coding-agent-for-designing-advanced-algorithms/
alphaevolve-impact-2026,2026,Google DeepMind,AlphaEvolve: How our Gemini-powered coding agent is scaling impact across fields,company research update,"Routine infrastructure hardware grid and algorithm optimization evidence",https://deepmind.google/blog/alphaevolve-impact/
gemini-robotics-2025,2025,Google DeepMind,Gemini Robotics brings AI into the physical world,company research report,"Vision-language-action models multiple embodiments and physical safety architecture",https://deepmind.google/blog/gemini-robotics-brings-ai-into-the-physical-world/
gemini-robotics-2026,2026,Google DeepMind,Gemini Robotics 2 brings whole body intelligence to robots,company research update,"Longer physical task sequences intervention safety and multi-robot coordination",https://deepmind.google/blog/gemini-robotics-2-brings-whole-body-intelligence-to-robots/
nist-ai-rmf-2024,2024,National Institute of Standards and Technology,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,standards guidance,"Trustworthiness evaluation monitoring human-AI configuration and risk controls",https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence
