id,year,author_or_institution,title,source_type,book_use,url
ch01-001,n.d.,Library of Congress,Common sense; addressed to the inhabitants of America,Primary-source catalog and scan,"Ch 1; accessed 2026-09-06. Bibliographic record and digitized copy of Paine's pamphlet. Caveat: do not infer circulation from the catalog record alone.",https://www.loc.gov/item/04002086/
ch02-001,n.d.,Library of Congress,"The Federalist: a collection of essays, written in favour of the new Constitution",Primary-source catalog and scan,"Ch 2; accessed 2026-09-06. First-edition book publication and bibliographic record. Caveat: the essays first appeared in newspapers before book publication.",https://www.loc.gov/item/09021562/
ch03-001,n.d.,National Endowment for the Humanities,The Columbian Orator Taught Nineteenth-Century Americans How to Speak,Public-humanities essay,"Ch 3; accessed 2026-09-06. Bingham's schoolbook reach and Frederick Douglass's documented encounter with it. Caveat: secondary institutional synthesis; supports the schoolbook-to-oratory mechanism without treating the book as a magical cause.",https://www.neh.gov/article/columbian-orator-taught-nineteenth-century-americans-how-speak
ch04-002,n.d.,George Washington's Mount Vernon,George Washington and the Cherry Tree Myth,Institutional historical essay,"Ch 4; accessed 2026-09-06. The cherry-tree story appears in the fifth edition in 1806 and lacks historical evidence. Caveat: the story is culturally consequential because it was repeated, not because it happened.",https://www.mountvernon.org/george-washington/facts/myths/george-washington-and-the-cherry-tree-myth
ch05-001,n.d.,Library of Congress,Common Language Separate Voices — First American Writer to Win British Praise,Institutional exhibition,"Ch 5; accessed 2026-09-06. Irving's international literary success and 1819 Sketch Book context. Caveat: institutional synthesis of literary reception.",https://www.loc.gov/exhibits/british/brit-6.html
ch06-001,n.d.,Merriam-Webster,Noah Webster's 1828 Dictionary,Publisher historical essay,"Ch 6; accessed 2026-09-06. 1828 publication, scale of Webster's lexicographic project, and American spelling choices. Caveat: institutional descendant of Webster's dictionary; useful but not disinterested scholarship.",https://www.merriam-webster.com/wordplay/noah-webster-dictionary
ch07-001,n.d.,Library of Congress,"Narrative of the life of Frederick Douglass, an American slave",Primary-source catalog and scan,"Ch 7; accessed 2026-09-06. 1845 first-edition text and bibliographic record. Caveat: later editions and speeches require separate sourcing.",https://www.loc.gov/item/14003386/
ch08-002,n.d.,Library of Congress,Today in History — Harriet Beecher Stowe,Institutional historical essay,"Ch 8; accessed 2026-09-06. Stowe's biography, abolition context, and cultural afterlife. Caveat: avoid the apocryphal claim that the novel caused the Civil War.",https://www.loc.gov/item/today-in-history/june-05/
ch09-002,n.d.,Smithsonian Libraries and Archives,On the Origin of Species,Institutional collection record,"Ch 9; accessed 2026-09-06. The first American edition followed the 1859 London publication quickly through D. Appleton in New York. Caveat: scientific significance and later social uses must remain distinct.",https://library.si.edu/donate/adopt-a-book/origin-species-0
ch10-002,2026,Library of Congress,American Business: The Gilded Age and the Progressive Era,Research guide,"Ch 10; accessed 2026-09-06. Confirms that the era's familiar name was drawn from the title of Twain and Warner's novel. Caveat: vocabulary persistence is not the same as literary reception.",https://guides.loc.gov/gilded-age-business
ch11-002,n.d.,American Library Association,Top 100 Most Frequently Challenged Books: 1990–1999,Censorship dataset and list,"Ch 11; accessed 2026-09-06. Huckleberry Finn ranked among the most frequently challenged books of the 1990s. Caveat: ALA data are reported challenges, not a complete census of censorship attempts.",https://www.ala.org/bbooks/frequentlychallengedbooks/decade1999
ch12-001,n.d.,Library of Congress,"Looking backward, 2000-1887",Primary-source catalog and scan,"Ch 12; accessed 2026-09-06. 1888 publication and complete digitized text. Caveat: movement claims require separate evidence beyond Bellamy's text itself.",https://www.loc.gov/item/06011710/
ch13-001,n.d.,Library of Congress,The souls of black folk; essays and sketches,Primary-source catalog and scan,"Ch 13; accessed 2026-09-06. 1903 first-edition bibliographic record and text. Caveat: later conceptual influence should not be inferred from the primary text alone.",https://www.loc.gov/item/03011173/
ch14-001,n.d.,U.S. Food and Drug Administration,Part I: The 1906 Food and Drugs Act and Its Enforcement,Government historical essay,"Ch 14; accessed 2026-09-06. The Jungle as a precipitating force in the 1906 regulatory moment. Caveat: reform pressure predated Sinclair, so one novel should not receive singular causal credit.",https://www.fda.gov/about-fda/changes-science-law-and-regulatory-authorities/part-i-1906-food-and-drugs-act-and-its-enforcement
ch15-002,2025,Library of Congress,The Not-So-Great Gatsby,Institutional collection essay,"Ch 15; accessed 2026-09-06. Weak first commercial reception and later Armed Services Edition distribution, including 155,000 wartime copies. Caveat: supports delayed canonization rather than immediate blockbuster status.",https://blogs.loc.gov/bibliomania/2025/04/10/the-not-so-great-gatsby/
ch16-001,n.d.,Nobel Prize Outreach,Pearl Buck — Facts,Institutional laureate biography,"Ch 16; accessed 2026-09-06. The Good Earth, Buck's China upbringing, literary breakthrough, and popularity. Caveat: this does not establish how representative Buck's China was.",https://www.nobelprize.org/prizes/literature/1938/buck/facts/
ch17-002,n.d.,Library of Congress,The Grapes of Wrath: Voices from the Great Depression,Primary-source teaching collection,"Ch 17; accessed 2026-09-06. Migrant voices and documentary context against which Steinbeck's fiction can be checked. Caveat: fiction should not substitute for migrant testimony.",https://www.loc.gov/classroom-materials/grapes-of-wrath-voices-from-the-great-depression/
ch18-001,n.d.,Library of Congress,"America Reads: 1900 to 1949 — Benjamin Spock, The Common Sense Book of Baby and Child Care",Institutional exhibition,"Ch 18; accessed 2026-09-06. Spock's rejection of rigid schedules, emphasis on affection, and mass parental readership. Caveat: broader parenting change had many causes.",https://www.loc.gov/exhibits/america-reads/1900-to-1949.html
ch19-003,n.d.,National Women's History Museum,Feminism: The Second Wave,Institutional exhibition,"Ch 19; accessed 2026-09-06. Broader movement context beyond one author or constituency. Caveat: counter-source against the claim that one book started the movement.",https://www.womenshistory.org/exhibits/feminism-second-wave
ch20-001,2024,New York Public Library,Robert Caro's The Power Broker: Robert Moses and the Fall of New York,Institutional exhibition,"Ch 20; accessed 2026-09-06. Fiftieth-anniversary evidence of the book's durable influence on how power and urban infrastructure are studied. Caveat: exhibition framing does not independently verify Caro's individual claims.",https://www.nypl.org/events/exhibitions/robert-caros-power-broker-robert-moses-and-fall-new-york
ch21-001,2019,National Archives,The Roots of Genealogy at the National Archives,Government archival history,"Ch 21; accessed 2026-09-06. Documented surge in genealogy research and public demand after Roots and its television adaptation. Caveat: individual genealogical claims still require scrutiny.",https://prologue.blogs.archives.gov/2019/02/22/the-roots-of-genealogy-at-the-national-archives/
