id,year,author_or_institution,title,source_type,book_use,url
ch01-consensus-catastrophes-sleep,2007,"Charles A. Czeisler and colleagues (consensus report authors)",Catastrophes Sleep and Public Policy: A Consensus Report,Academic journal report,"Establishes the recurring pattern of major industrial disasters clustering at circadian low points and shift-work fatigue as a contributing factor. Connective source for the disaster-timing pattern in Chapter 1, developed further in Chapters 8-12. Published in Sleep journal.",https://pmc.ncbi.nlm.nih.gov/articles/PMC2517096/
ch01-nrc-tmi-backgrounder,2021,U.S. Nuclear Regulatory Commission,Backgrounder on the Three Mile Island Accident,Official government fact sheet,"Confirms the Three Mile Island accident began at 4:00 a.m. on March 28 1979, and shift workers failed to recognize loss of coolant between 4 and 6 a.m. Official source for the accident timeline; also cited in Chapter 9.",https://www.nrc.gov/reading-rm/doc-collections/fact-sheets/3mile-isle
ch01-chernobyl-timeline-laka,1986,Laka Foundation (nuclear information archive),Chernobyl Time-line April 1986,Contemporaneous chronology,"Establishes that the Chernobyl test began at 1:23 a.m. on April 26 1986 and that a less-experienced night shift took over mid-test. Also cited in Chapter 8.",https://www.laka.org/chernobyl/1986_april.html
ch01-holloway-catastrophe-after,1990,David Holloway,The Catastrophe and After,Contemporaneous journalistic account,"Independent secondary account of the Chernobyl disaster sequence and aftermath, written shortly after the events, corroborating the chronology.",https://www.nybooks.com/articles/1990/07/19/the-catastrophe-and-after/
ch02-bunker-experiment-summary,2015,Wikipedia contributors,Bunker Experiment,Tertiary summary of a documented research program,"Describes the 1964-1989 Andechs bunker experiments led by Aschoff and Wever, the isolation protocol, and scale (418 studies, 447 subjects). Used only for uncontroversial procedural and scale facts; interpretive claims are sourced separately to Czeisler 1999.",https://en.wikipedia.org/wiki/Bunker_experiment
ch02-aschoff-circadian-timing,1984,Jurgen Aschoff,Circadian Timing,Academic conference proceedings,"First-person account by the researcher who led the Andechs bunker program, published in Annals of the New York Academy of Sciences.",https://www.cet.org/wp-content/uploads/2014/06/Aschoff-1984-Annals-NYAS.pdf
ch02-czeisler-1999-science,1999,Charles A. Czeisler et al.,Stability Precision and Near-24-Hour Period of the Human Circadian Pacemaker,Academic journal article,"Refines the human intrinsic circadian period to 24.18 (+/- 0.04) hours using forced-desynchrony protocols, correcting the earlier roughly-25-hour bunker-era estimate. Central refinement source distinguishing early free-running estimates from later, controlled measurement. Science 284, 2177-2181.",https://www.science.org/doi/10.1126/science.288.5469.1174
ch03-nobel-2017-advanced-info,2017,The Nobel Assembly at Karolinska Institutet,The 2017 Nobel Prize in Physiology or Medicine: Advanced Information,Official prize documentation,"Documents the award to Jeffrey Hall, Michael Rosbash, and Michael Young for discovering molecular mechanisms controlling circadian rhythm, including the 1984 isolation of the period gene and the transcription-translation feedback loop.",https://www.nobelprize.org/prizes/medicine/2017/advanced-information/
ch03-hhmi-rosbash,2017,Howard Hughes Medical Institute,Rosbash Awarded 2017 Nobel Prize in Physiology or Medicine,Research institute news article,"Institutional account of Rosbash's role isolating and characterizing the period gene at Brandeis University, used for biographical and institutional detail.",https://www.hhmi.org/news/rosbash-awarded-2017-nobel-prize-physiology-or-medicine
ch03-scn-minireview,2015,Cell Press (Current Biology),Suprachiasmatic Nucleus,Peer-reviewed journal minireview,"Confirms that lesion studies by Moore and Eichler and by Stephan and Zucker independently identified the suprachiasmatic nucleus as the master circadian pacemaker in 1972.",https://www.cell.com/current-biology/fulltext/S0960-9822(02)01155-7
ch03-peripheral-clocks-review,2013,Multiple authors,Molecular Architecture of the Mammalian Circadian Clock,Peer-reviewed journal review,"Establishes that peripheral tissue clocks (liver, muscle, heart, and others) are self-sustained and cell-autonomous but require synchronization by the SCN, with only 1-3% overlap in oscillating transcripts between tissues.",https://www.sciencedirect.com/science/article/abs/pii/S096289241300113X
ch04-social-jetlag-2006,2006,"Till Roenneberg, Tim Kantermann, Myriam Juda, Martha Merrow",Social Jetlag: Misalignment of Biological and Social Time,Peer-reviewed journal article,"Coins the term social jetlag, defined as the discrepancy between social and biological time, drawing on the Munich ChronoType Questionnaire dataset of more than 25000 participants. Foundational source for the chronotype chapter.",https://www.researchgate.net/publication/7094579_Social_Jetlag_Misalignment_of_Biological_and_Social_Time
ch04-chronotype-nicotine-2023,2023,"Neda Ghotbi, Andrea Rabenstein, Luisa K. Pilz, Tobias Ruther, Till Roenneberg",Chronotype Social Jetlag and Nicotine Use,Peer-reviewed journal article,"Later empirical study linking late chronotype and social jetlag to smoking prevalence, used as a dated example of chronotype research beyond the original 2006 coinage.",https://journals.sagepub.com/doi/10.1177/07487304231177197
