id,year,author_or_institution,title,source_type,book_use,url
organic-intelligence-001,2006,Takahashi and Yamanaka,Induction of pluripotent stem cells from mouse embryonic and adult fibroblast cultures by defined factors,Academic journal article,"Ch 2: defined-factor reprogramming as the precursor to patient-specific neural substrates",https://pubmed.ncbi.nlm.nih.gov/16904174/
organic-intelligence-002,2007,Takahashi et al.,Induction of pluripotent stem cells from adult human fibroblasts by defined factors,Academic journal article,"Ch 2 and Ch 12: human iPSCs generated from adult dermal fibroblasts using defined factors",https://pubmed.ncbi.nlm.nih.gov/18035408/
organic-intelligence-003,2013,Lancaster et al.,Cerebral organoids model human brain development and microcephaly,Academic journal article,"Ch 3 and Ch 11: foundational cerebral-organoid model and microcephaly disease modeling",https://www.nature.com/articles/nature12517
organic-intelligence-004,2022,Pașca et al.,A nomenclature consensus for nervous system organoids and assembloids,Academic perspective,"Throughout: definitions of organoids and assembloids; warning against mini-brain and brain-in-a-dish terminology",https://www.nature.com/articles/s41586-022-05219-6
organic-intelligence-005,2022,Kagan et al.,In vitro neurons learn and exhibit sentience when embodied in a simulated game-world,Academic journal article,"Prologue and Ch 1: DishBrain architecture, closed-loop Pong task, feedback controls and reported adaptive performance",https://pubmed.ncbi.nlm.nih.gov/36228614/
organic-intelligence-006,2022,Kagan et al.,In vitro neurons learn and exhibit sentience when embodied in a simulated game-world,Open-access full text,"Ch 1 and Ch 5: experimental details and authors' narrow use of the term sentience",https://pmc.ncbi.nlm.nih.gov/articles/PMC9747182/
organic-intelligence-007,2023,Smirnova et al.,Organoid intelligence (OI): the new frontier in biocomputing and intelligence-in-a-dish,Academic lead article,"Ch 3-Ch 5 and Ch 13: OI architecture linking organoids, microfluidics, interfaces, AI and learning research",https://www.frontiersin.org/journals/science/articles/10.3389/fsci.2023.1017235/full
organic-intelligence-008,2023,Hartung et al.,The Baltimore declaration toward the exploration of organoid intelligence,Academic declaration,"Ch 3 and Ch 18: formation of the OI community and embedded-ethics agenda",https://www.frontiersin.org/journals/science/articles/10.3389/fsci.2023.1068159/full
organic-intelligence-009,2023,Hartung et al.,First Organoid Intelligence (OI) workshop to form an OI community,Workshop report,"Ch 3: February 2022 workshop and emergence of OI as a multidisciplinary field",https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2023.1116870/full
organic-intelligence-010,2023,Cai et al.,Brain organoid reservoir computing for artificial intelligence,Academic journal article,"Ch 13 and Ch 14: Brainoware reservoir computing; speech recognition and nonlinear-equation prediction demonstrations",https://www.nature.com/articles/s41928-023-01069-w
organic-intelligence-011,2024,Jordan et al.,Open and remotely accessible Neuroplatform for research in wetware computing,Technology and code article,"Ch 4 Ch 7 Ch 8 Ch 15 Ch 19: FinalSpark platform architecture, 1000+ organoids, long-lived culture, microfluidics and remote Python access",https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2024.1376042/full
organic-intelligence-012,2026,FinalSpark,Neuroplatform,Company platform page,"Ch 7 and Ch 15: current remote access, Python API and neuronal-activity dataset claims",https://finalspark.com/neuroplatform/
organic-intelligence-013,2025,FinalSpark,First Publication from a Neuroplatform User,Company research update,"Ch 7 and Ch 19: University of Bristol remote work and reported Braille-classification results",https://finalspark.com/first-publication-from-a-neuroplatform-user/
organic-intelligence-014,2026,Liu et al.,Encoding Tactile Stimuli for Braille Recognition with Organoids,Academic original research,"Ch 13 and Ch 19: open-loop tactile encoding; 61% single-organoid and 83% three-organoid ensemble classification reported",https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2026.1800219/abstract
organic-intelligence-015,2024,Alam El Din et al.,Organoid intelligence for developmental neurotoxicity testing,Academic journal article,"Ch 5 Ch 6 Ch 10 and Ch 16: proposed open- and closed-loop assays for neuroplasticity-sensitive toxicology",https://www.frontiersin.org/journals/cellular-neuroscience/articles/10.3389/fncel.2024.1480845/full
organic-intelligence-016,2024,Ramani et al.,Reliability of high-quantity human brain organoids for modeling microcephaly glioma invasion and drug screening,Academic journal article,"Ch 8 and Ch 11: reproducibility limits, thousands of Hi-Q organoids, cryopreservation, disease models and medium-throughput glioma screen",https://www.nature.com/articles/s41467-024-55226-6
organic-intelligence-017,2025,Crunkhorn,Human brain organoids identify glioma inhibitors,Drug-discovery research highlight,"Ch 11: organoid drug-screening promise and heterogeneity/reproducibility caveat",https://www.nature.com/articles/d41573-025-00007-z
organic-intelligence-018,2025,Shin et al.,One-Step Drug Screening System Utilizing Electrophysiological Activity in Multiple Brain Organoids,Academic journal article,"Ch 4 Ch 10 Ch 11 and Ch 12: 10-organoid microfluidic and 3D-MEA system including SCN2A epilepsy disease model",https://pubmed.ncbi.nlm.nih.gov/40940692/
organic-intelligence-019,2025,Shin et al.,One-Step Drug Screening System Utilizing Electrophysiological Activity in Multiple Brain Organoids,Open-access full text,"Ch 10-Ch 12: dose-dependent functional screening and patient-derived epilepsy organoids",https://pmc.ncbi.nlm.nih.gov/articles/PMC12533132/
organic-intelligence-020,2025,Gordon et al.,hiPSC-derived neurons and multi-electrode array (MEA): Powerful tools within safety pharmacology,Academic methods article,"Ch 6 and Ch 10: MEA phenotypic screens for CNS-modifying and seizurogenic compound effects",https://www.sciencedirect.com/science/article/pii/S1056871925001121
organic-intelligence-021,2025,Birtele et al.,Modelling human brain development and disease with organoids,Academic review,"Ch 3 Ch 8 Ch 11 and Ch 18: capabilities and limitations of brain organoids as models between 2D culture and in vivo systems",https://www.nature.com/articles/s41580-024-00804-1
organic-intelligence-022,2022,Velasco et al./Nature Reviews Neurology,Human cerebral organoids — a new tool for clinical neurology research,Academic review,"Ch 11 and Ch 12: human-specific disease modeling across neurodevelopmental and neurodegenerative disorders",https://www.nature.com/articles/s41582-022-00723-9
organic-intelligence-023,2024,Neuropathogenesis-on-chips authors,Neuropathogenesis-on-chips for neurodegenerative diseases,Academic review,"Ch 4 Ch 11 and Ch 12: integration of microfluidics stem cells and organoid-on-chip systems for neurodegenerative drug development",https://www.nature.com/articles/s41467-024-46554-8
organic-intelligence-024,2026,Wang et al.,Human organoids as 3D in vitro platforms for drug discovery: opportunities and challenges,Academic review,"Ch 8 Ch 10 Ch 15 and Ch 16: organoid drug discovery, safety evaluation, variability, scalability and regulatory adoption",https://www.nature.com/articles/s41573-025-01317-y
organic-intelligence-025,2025,Younger et al.,Rapid and scalable personalized ASO screening in patient-derived organoids,Academic journal article,"Ch 12: broader proof that patient-derived organoids can support patient-specific preclinical therapy evaluation",https://www.nature.com/articles/s41586-024-08462-1
organic-intelligence-026,2025,Cell Stem Cell authors,Individualized patient tumor organoids faithfully preserve human brain tumor ecosystems and predict patient response to therapy,Academic journal article,"Ch 11 and Ch 12: patient-specific brain-tumor response modeling",https://www.sciencedirect.com/science/article/pii/S1934590925000025
organic-intelligence-027,2026,Alzheimer organoid cohort authors,Proteomic profiling of brain organoids and extracellular vesicles identifies early Alzheimer's disease biomarkers and drug response heterogeneity,Academic journal article,"Ch 11 and Ch 12: 30-line Alzheimer organoid cohort and heterogeneous drug responses",https://pubmed.ncbi.nlm.nih.gov/41949026/
organic-intelligence-028,2025,Alzheimer organoid review authors,The translational power of Alzheimer's-based organoid models in personalized medicine,Academic review,"Ch 12 and Ch 19: integration of organoids microelectrode arrays and digital models for patient-oriented research",https://pubmed.ncbi.nlm.nih.gov/40443709/
