id,year,author_or_institution,title,source_type,book_use,url
AD001,1988,"Barbara Levitt; James G. March","Organizational Learning","peer-reviewed review article","Routine-based history-dependent organizational learning; Chapters 2 3 15 18","https://doi.org/10.1146/annurev.so.14.080188.001535"
AD002,1991,"James G. March","Exploration and Exploitation in Organizational Learning","peer-reviewed journal article","Core exploration/exploitation tradeoff and short-run refinement versus long-run adaptation; Chapters 2 3 11 16 20","https://doi.org/10.1287/orsc.2.1.71"
AD003,1992,"Dorothy Leonard-Barton","Core Capabilities and Core Rigidities: A Paradox in Managing New Product Development","peer-reviewed journal article","Capabilities becoming rigidities through technical systems skills managerial systems and values; Chapters 2 3 7 18","https://doi.org/10.1002/smj.4250131009"
AD004,1990,"Rebecca M. Henderson; Kim B. Clark","Architectural Innovation: The Reconfiguration of Existing Product Technologies and the Failure of Established Firms","peer-reviewed journal article","Established-firm difficulty when component relationships and organizational knowledge architecture change; Chapters 3 4 8 12","https://doi.org/10.2307/2393549"
AD005,1996,"Clayton M. Christensen; Joseph L. Bower","Customer Power, Strategic Investment, and the Failure of Leading Firms","peer-reviewed journal article","Customer-shaped resource allocation in disk drives; Chapters 3 4 8 11","https://doi.org/10.1002/(SICI)1097-0266(199603)17:3%3C197::AID-SMJ804%3E3.0.CO;2-U"
AD006,1996,"Michael L. Tushman; Charles A. O'Reilly III","Ambidextrous Organizations: Managing Evolutionary and Revolutionary Change","peer-reviewed management article","Simultaneous evolutionary and revolutionary change; Chapters 3 12 16 18 20","https://doi.org/10.2307/41165852"
AD007,2013,"Charles A. O'Reilly III; Michael L. Tushman","Organizational Ambidexterity: Past, Present, and Future","peer-reviewed review article","Later synthesis and empirical boundary for ambidexterity; Chapters 3 16 20","https://doi.org/10.5465/amp.2013.0025"
AD008,2003,"Mary J. Benner; Michael L. Tushman","Exploitation, Exploration, and Process Management: The Productivity Dilemma Revisited","peer-reviewed conceptual article","Process management benefits in stable contexts and tension with exploratory change; Chapters 2 3 6 16","https://doi.org/10.5465/amr.2003.9416096"
AD009,2009,"Jörg Sydow; Georg Schreyögg; Jochen Koch","Organizational Path Dependence: Opening the Black Box","peer-reviewed conceptual article","Self-reinforcing mechanisms and organizational lock-in; Chapters 2 3 9 19","https://doi.org/10.5465/amr.2009.44885978"
AD010,2020,"Jörg Sydow; Georg Schreyögg; Jochen Koch","On the Theory of Organizational Path Dependence: Clarifications, Replies to Objections, and Extensions","peer-reviewed review article","Boundary conditions and later clarification of organizational path dependence; Chapters 2 3 19","https://doi.org/10.5465/amr.2020.0163"
AD011,1984,"Michael T. Hannan; John Freeman","Structural Inertia and Organizational Change","peer-reviewed journal article","Reliability accountability and organizational inertia; Chapters 2 3 9 17","https://doi.org/10.2307/2095567"
AD012,1989,"W. Brian Arthur","Competing Technologies, Increasing Returns, and Lock-In by Historical Events","peer-reviewed economics article","Increasing returns and technology lock-in; Chapters 2 3 5 8","https://doi.org/10.2307/2234208"
AD013,2000,"Mary Tripsas; Giovanni Gavetti","Capabilities, Cognition, and Inertia: Evidence from Digital Imaging","peer-reviewed case study","Polaroid analog-to-digital transition and interaction of cognition with capabilities; Chapters 1 7 10 13","https://doi.org/10.1002/1097-0266(200010/11)21:10/11%3C1147::AID-SMJ128%3E3.0.CO;2-R"
AD014,2016,"Timo O. Vuori; Quy N. Huy","Distributed Attention and Shared Emotions in the Innovation Process: How Nokia Lost the Smartphone Battle","peer-reviewed qualitative study","Nokia case on attention structures fear and innovation behavior; Chapters 7 10 18","https://doi.org/10.1177/0001839215606951"
AD015,2012,"Eastman Kodak Company","2011 Form 10-K","SEC filing","Primary record of Chapter 11 filing industry-related film declines digital-camera pressure inkjet investment and dedicated-capture phaseout; Chapter 1","https://www.sec.gov/Archives/edgar/data/31235/000003123512000036/ek2011_10k.htm"
AD016,2012,"Eastman Kodak Company","Eastman Kodak Company and Its U.S. Subsidiaries Commence Voluntary Chapter 11 Business Reorganization","SEC-filed company announcement","Primary announcement noting approximately 75% of 2011 revenue from digital businesses and stated reorganization purposes; Chapter 1","https://www.sec.gov/Archives/edgar/data/31235/000119312512016443/d285282dex991.htm"
AD017,2013,"Adobe Systems Incorporated","Fiscal 2013 Form 10-K","SEC filing","Primary Chapter 6 evidence: FY2013 revenue fell 8% while paid Creative Cloud subscriptions rose to 1.4 million from 0.3 million and Creative ARR rose to $768 million from $155 million; also supports Chapters 11 12 20","https://www.sec.gov/Archives/edgar/data/796343/000079634314000004/adbe10kfy13.htm"
AD018,2014,"Adobe Systems Incorporated","Fiscal 2014 Form 10-K","SEC filing","Primary evidence on Creative Cloud subscription growth and recurring-revenue transition; Chapters 11 12 20","https://www.sec.gov/Archives/edgar/data/796343/000079634315000022/adbe10kfy14.htm"
AD019,2008,"Netflix Inc.","2007 Form 10-K","SEC filing","Primary statement of DVD growth strategy plus intention to transition subscribers and business toward Internet delivery as market developed; Chapters 8 11 12","https://www.sec.gov/Archives/edgar/data/1065280/000119312508040378/d10k.htm"
AD020,2010,"Netflix Inc.","2009 Form 10-K","SEC filing","Primary evidence of combined streaming and DVD strategy and significant streaming use during transition; Chapters 11 12","https://www.sec.gov/Archives/edgar/data/1065280/000119312510036181/d10k.htm"
AD021,2012,"Netflix Inc.","Quarterly Report for the period ended September 30 2012","SEC filing","Primary account of negative customer reaction to 2011 plan separation price change and Qwikster branding announcement; Chapters 8 11 12","https://www.sec.gov/Archives/edgar/data/1065280/000106528012000020/nflx-093012x10qxdoc.htm"
AD022,2015,"Microsoft Corporation","2015 Annual Report","company annual report","Primary account of mobile-first cloud-first organizational transformation and cloud/productivity milestones; Chapters 11 12 20","https://www.microsoft.com/investor/reports/ar15/"
AD023,2026,"IBM","IBM Mainframe Life Cycle History V3.3","company lifecycle documentation","Counterevidence showing long mainframe service lives upgrade paths and investment protection; Chapters 2 5 8 12","https://www.ibm.com/support/pages/ibm-mainframe-life-cycle-history"
AD024,2025,"U.S. Government Accountability Office","Information Technology: Agencies Need to Plan for Modernizing Critical Decades-Old Legacy Systems","government audit report","Contemporary evidence on federal legacy IT operations maintenance and modernization planning; Chapters 2 8 12 15","https://www.gao.gov/products/gao-25-107795"
AD025,2019,"U.S. Government Accountability Office","Information Technology: Agencies Need to Develop Modernization Plans for Critical Legacy Systems","government audit report","Earlier inventory of critical federal legacy systems plus successful modernization examples; Chapters 2 12 15","https://www.gao.gov/products/gao-19-471"
AD026,2020,"International Energy Agency","CCUS in Clean Energy Transitions — Tackling Emissions from Existing Assets","international agency analysis","Existing asset lifetimes and retrofit/early-retirement constraint in energy transition; Chapters 5 12 14","https://www.iea.org/reports/ccus-in-clean-energy-transitions/ccus-in-the-transition-to-net-zero-emissions"
AD027,2023,"U.S. Department of Energy","U.S. Residential Building Stock Analysis","government technical analysis","Existing-building retrofit market segmentation and transition costs; Chapters 5 12 14","https://www.energy.gov/cmei/buildings/us-residential-building-stock-analysis"
AD028,2013,"U.S. Department of Energy","Retrofit Existing Buildings","government guidance","Existing commercial-building retrofit and upgrade context; Chapters 5 12 14","https://www.energy.gov/cmei/buildings/retrofit-existing-buildings"
AD029,1997,"David J. Teece; Gary Pisano; Amy Shuen","Dynamic Capabilities and Strategic Management","peer-reviewed journal article","Counterweight to deterministic inertia: integrating building and reconfiguring internal and external competences; Chapters 3 16 19 20","https://doi.org/10.1002/(SICI)1097-0266(199708)18:7%3C509::AID-SMJ882%3E3.0.CO;2-Z"
AD030,1991,"James P. Walsh; Gerardo Rivera Ungson","Organizational Memory","peer-reviewed review article","How organizations store and retrieve information from history; Chapters 2 10 18","https://doi.org/10.5465/amr.1991.4278992"
AD031,1997,"William Ocasio","Towards an Attention-Based View of the Firm","peer-reviewed conceptual article","Organizational attention structures and issue/channel selection; Chapters 7 10 18","https://doi.org/10.1002/(SICI)1097-0266(199707)18:S1%3C187::AID-SMJ936%3E3.0.CO;2-K"
AD032,2015,"Mary J. Benner; Michael L. Tushman","Reflections on the 2013 Decade Award—Exploitation Exploration and Process Management Ten Years Later","peer-reviewed reflection","Boundary conditions and later assessment of process-management adaptation argument; Chapters 3 6 16","https://doi.org/10.5465/amr.2015.0042"
AD033,2022,"Daniel Béland; Andrea Louise Campbell; R. Kent Weaver","Policy Feedback: How Policies Shape Politics","Cambridge Elements research synthesis","Chapter 9: policies reshape constituencies resources expectations and later policy politics; used to distinguish legitimate reliance from simple rent-seeking","https://www.cambridge.org/core/elements/policy-feedback/3231877106C458D0CF766173080B0409"
AD034,1986,"Presidential Commission on the Space Shuttle Challenger Accident","Report of the Presidential Commission on the Space Shuttle Challenger Accident — Chapter V","government investigation report","Chapter 10: flawed launch decision process, communication failures, and the distinction between engineers' opposition and apparent final consensus","https://www.nasa.gov/history/rogersrep/v1ch5.htm"
AD035,2022,"U.S. Government Accountability Office","DOD Financial Management: Air Force Needs to Improve Its System Migration Efforts","government audit report","Chapter 12: migration planning, data transfer, deployment, user training, and staged transition from legacy accounting systems","https://www.gao.gov/products/gao-22-103636"
AD036,2000,"Dennis A. Gioia; Majken Schultz; Kevin G. Corley","Organizational Identity, Image, and Adaptive Instability","peer-reviewed conceptual article","Chapter 13: organizational identity can retain continuity while meanings adapt; used against both rigid-identity and empty-purpose extremes","https://doi.org/10.5465/amr.2000.2791603"
AD037,1997,"Rita Gunther McGrath","A Real Options Logic for Initiating Technology Positioning Investments","peer-reviewed conceptual article","Chapters 14-16: small technology-positioning investments, uncertainty, boundary conditions, and timing of option exercise","https://doi.org/10.5465/amr.1997.9711022113"
AD038,2001,"Bruce Kogut; Nalin Kulatilaka","Capabilities as Real Options","peer-reviewed journal article","Chapter 16: capabilities as exercisable strategic responses under inertia and emerging opportunities; balances exploration with exploitation","https://doi.org/10.1287/orsc.12.6.744.10082"
AD039,2019,"The Coca-Cola Company","New Coke: The Most Memorable Marketing Blunder Ever?","company historical record","Chapters 13-14: nearly 200000 consumer taste tests favored the reformulation but failed to capture attachment to the original product; original formula returned after 79 days","https://www.coca-colacompany.com/about-us/history/new-coke-the-most-memorable-marketing-blunder-ever"
AD040,2020,"Organisation for Economic Co-operation and Development","Reviewing the Stock of Regulation","international policy review","Chapter 17: programmed ex post review and sunset requirements as a failsafe, with limits around review design and regulatory certainty","https://www.oecd.org/en/publications/2020/12/reviewing-the-stock-of-regulation_c6a98487.html"
AD041,2001,"Charlan Nemeth; Keith Brown; John Rogers","Devil's Advocate versus Authentic Dissent: Stimulating Quantity and Quality","peer-reviewed experimental article","Chapter 18: authentic minority dissent produced stronger divergent thinking than assigned devil's-advocate conditions; boundary against ceremonial contrarianism","https://doi.org/10.1002/ejsp.58"
AD042,1999,"Amy Edmondson","Psychological Safety and Learning Behavior in Work Teams","peer-reviewed field study","Chapter 18: psychological safety associated with team learning behavior; used to distinguish speakability of weak signals from comfort or consensus","https://doi.org/10.2307/2666999"
AD043,2011,"Netflix Inc.","Quarterly Report for the period ended September 30 2011","SEC filing","Contemporary primary account of negative reaction to the 2011 plan separation and Qwikster announcement plus the quarter's domestic subscriber decline; Chapter 8","https://www.sec.gov/Archives/edgar/data/1065280/000119312511284366/d222257d10q.htm"
