id,year,author_or_institution,title,source_type,book_use,url
"granovetter-1978","1978","Mark Granovetter","Threshold Models of Collective Behavior","journal article","Chapter 17 threshold distributions and collective behavior","https://doi.org/10.1086/226707"
"schelling-1971","1971","Thomas C. Schelling","Dynamic Models of Segregation","journal article","Chapter 17 local preferences and aggregate segregation","https://doi.org/10.1080/0022250X.1971.9989794"
"card-mas-rothstein-2008","2008","David Card; Alexandre Mas; Jesse Rothstein","Tipping and the Dynamics of Segregation","journal article","Chapter 17 empirical evidence on neighborhood tipping","https://doi.org/10.1162/qjec.2008.123.1.177"
"sugiyama-et-al-2008","2008","Yuki Sugiyama et al.","Traffic jams without bottlenecks—experimental evidence for the physical mechanism of the formation of a jam","journal article","Chapter 17 spontaneous stop-and-go waves on a circular road","https://doi.org/10.1088/1367-2630/10/3/033001"
"almond-doyle-kowalski-williams-2010","2010","Douglas Almond; Joseph J. Doyle Jr.; Amanda E. Kowalski; Heidi Williams","Estimating Marginal Returns to Medical Care: Evidence from At-Risk Newborns","journal article","Chapter 16 treatment discontinuity around the 1500-gram very-low-birth-weight threshold","https://doi.org/10.1162/qjec.2010.125.2.591"
"altman-royston-2006","2006","Douglas G. Altman; Patrick Royston","The cost of dichotomising continuous variables","journal article","Chapters 3 and 16 information loss from hard cutoffs","https://doi.org/10.1136/bmj.332.7549.1080"
"witzel-gegenfurtner-2018","2018","Christoph Witzel; Karl R. Gegenfurtner","Color Perception: Objects Constancy and Categories","journal review","Chapter 3 continuous color perception and categorical organization","https://doi.org/10.1146/annurev-vision-091517-034231"
"lexical-color-categories-2021","2021","Delwin T. Lindsey; Angela M. Brown","Lexical Color Categories","journal review","Chapter 3 color categories as perceptual and communicative compression","https://doi.org/10.1146/annurev-vision-093019-112420"
"apfelbaum-et-al-2022","2022","Keith S. Apfelbaum; Ebru Kutlu; Bob McMurray; Eirini C. Kapnoula","Don't force it! Gradient speech categorization calls for continuous categorization tasks","journal article","Chapter 3 gradient representations in speech categorization","https://doi.org/10.1121/10.0015201"
"myth-categorical-perception-2022","2022","Bob McMurray; Michael K. Tanenhaus; Richard N. Aslin","The myth of categorical perception","journal review","Chapter 3 critique of strong categorical accounts of speech perception","https://pubmed.ncbi.nlm.nih.gov/36586868/"
"arrow-1962","1962","Kenneth J. Arrow","The Economic Implications of Learning by Doing","journal article","Chapter 13 learning by doing and endogenous knowledge","https://doi.org/10.2307/2295952"
"wright-1936","1936","Theodore P. Wright","Factors Affecting the Cost of Airplanes","journal article","Chapter 13 cumulative production and learning curves","https://doi.org/10.2514/8.155"
"blanchard-summers-1986","1986","Olivier J. Blanchard; Lawrence H. Summers","Hysteresis and the European Unemployment Problem","book chapter","Chapter 10 macroeconomic hysteresis and path dependence","https://www.nber.org/books-and-chapters/nber-macroeconomics-annual-1986-volume-1/hysteresis-and-european-unemployment-problem"
"chetty-hendren-katz-2015","2015","Raj Chetty; Nathaniel Hendren; Lawrence F. Katz","The Effects of Exposure to Better Neighborhoods on Children: New Evidence from the Moving to Opportunity Experiment","working paper","Chapter 15 childhood neighborhood exposure and adult outcomes","https://www.nber.org/papers/w21156"
"chetty-hendren-2016","2016","Raj Chetty; Nathaniel Hendren","The Impacts of Neighborhoods on Intergenerational Mobility II: County-Level Estimates","working paper","Chapter 15 duration of childhood exposure to place","https://www.nber.org/papers/w23002"
"chetty-et-al-opportunity-atlas-2018","2018","Raj Chetty et al.","The Opportunity Atlas: Mapping the Childhood Roots of Social Mobility","working paper","Chapter 15 fine-grained geography of adult outcomes","https://www.nber.org/papers/w25147"
"card-rothstein-yi-2024","2024","David Card; Jesse Rothstein; Moises Yi","Re-assessing the Spatial Mismatch Hypothesis","working paper","Chapter 15 job accessibility and spatial mismatch","https://www.nber.org/papers/w32252"
"cbo-emtr-2012","2012","Congressional Budget Office","Effective Marginal Tax Rates for Low- and Moderate-Income Workers","government report","Chapters 14 and 16 taxes transfer phaseouts and effective marginal rates","https://www.cbo.gov/publication/43709"
"shapiro-varian-1998","1998","Carl Shapiro; Hal R. Varian","Versioning: The Smart Way to Sell Information","magazine article","Chapter 14 product versioning and price differentiation","https://hbr.org/1998/11/versioning-the-smart-way-to-sell-information"
