id,chapter,source,year,url,use,claim_boundary
S01,2,"University of Virginia Division of Perceptual Studies — Children Who Report Memories of Previous Lives",2026,https://med.virginia.edu/perceptual-studies/our-research/children-who-report-memories-of-previous-lives/,"Primary institutional description of case-research program","Program description is not independent validation of reincarnation"
S02,2,"Tucker JB — Children's reports of past-life memories",2008,https://pubmed.ncbi.nlm.nih.gov/18602617/,"Recurring case features and review framing","Observational literature does not establish mechanism"
S03,3,"Nader K; Schafe GE; LeDoux JE — Fear memories require protein synthesis after retrieval",2000,https://pubmed.ncbi.nlm.nih.gov/10963596/,"Reconsolidation foundation","Do not generalize to every retrieval or every human memory"
S04,3,"Josselyn SA; Köhler S; Frankland PW — Finding the engram",2015,https://www.nature.com/articles/nrn4000,"Memory engram review","Engram evidence does not reduce a person to one cell population"
S05,6,"Spalding KL et al. — Retrospective birth dating of cells in humans",2005,https://pubmed.ncbi.nlm.nih.gov/15780972/,"Carbon-14 cell birth dating; old cortical neurons","Specific tissue findings do not imply all neurons never turn over"
S06,6,"Sender R; Milo R — The distribution of cellular turnover in the human body",2021,https://www.nature.com/articles/s41591-020-01182-9,"Whole-body turnover estimates","Turnover varies by tissue and by metric"
S07,9,"Horsthemke B — A critical view on transgenerational epigenetic inheritance in humans",2018,https://pubmed.ncbi.nlm.nih.gov/29702033/,"Confounding and biological barriers in human claims","Does not deny epigenetic inheritance in other organisms or all intergenerational effects"
S08,10,"Valles-Colomer M et al. — The person-to-person transmission landscape of the gut and oral microbiomes",2023,https://www.nature.com/articles/s41586-022-05620-1,"Mother-infant and cohabitation strain sharing","Microbial transmission is not personal-identity transmission"
S09,11,"Whiten A — The second inheritance system of chimpanzees and humans",2022,https://royalsocietypublishing.org/doi/10.1098/rsfs.2021.0064,"Culture as socially learned inheritance","Culture is not genetically identical in mechanism"
S10,14,"OECD — Inheritance Taxation in OECD Countries",2021,https://www.oecd.org/tax/tax-policy/inheritance-taxation-in-oecd-countries-e2879a7d-en.htm,"Inheritance, wealth concentration, opportunity","Country and policy variation matters"
S11,16,"Stanford Encyclopedia of Philosophy — Personal Identity",2026,https://plato.stanford.edu/entries/identity-personal/,"Identity criteria and branching orientation","Philosophical taxonomy is not empirical proof of uploading"
S12,16,"Parfit D — Reasons and Persons",1984,https://global.oup.com/academic/product/reasons-and-persons-9780198249085,"Fission and psychological continuity","Thought experiment, not technical demonstration"
S13,17,"Apple Support — Request access to a deceased family member’s Apple Account",2026,https://support.apple.com/en-us/102431,"Current deceased-account and Legacy Contact process","Platform policy can change and varies by jurisdiction"
S14,17,"Apple Support — How to add a Legacy Contact for your Apple Account",2026,https://support.apple.com/en-la/102631,"Access keys, death certificate, data categories","Legacy access does not include all account data"
S15,17,"Google Account Help — About Inactive Account Manager",2026,https://support.google.com/accounts/answer/3036546,"Designated contacts and selected data after inactivity","Inactivity is not identical to verified death"
S16,17,"Google Account Help — Submit a request regarding a deceased user's account",2026,https://support.google.com/accounts/troubleshooter/6357590,"Deceased-user review and privacy limits","Google states it does not provide passwords/login details"
S17,17,"Hollanek T; Nowaczyk-Basińska K — Griefbots, Deadbots, Postmortem Avatars",2024,https://doi.org/10.1007/s13347-024-00744-w,"Digital-afterlife ethics: consent, transparency, retirement","Normative analysis; not evidence of consciousness or identity transfer"
S18,18,"Federal Trade Commission — Preventing the Harms of AI-enabled Voice Cloning",2023,https://www.ftc.gov/policy/advocacy-research/tech-at-ftc/2023/11/preventing-harms-ai-enabled-voice-cloning,"Voice-cloning capability and fraud risks","Risk description does not imply every clone is undetectable"
S19,18,"Federal Trade Commission — Approaches to Address AI-enabled Voice Cloning",2024,https://www.ftc.gov/policy/advocacy-research/tech-at-ftc/2024/04/approaches-address-ai-enabled-voice-cloning,"Authentication, detection, evaluation and no-single-fix framing","Specific technical mitigations remain imperfect"
S20,18,"Federal Trade Commission — Voice Cloning Challenge",2024,https://www.ftc.gov/news-events/contests/ftc-voice-cloning-challenge,"Consumer-protection context and multidisciplinary mitigations","Challenge proposals are not universal standards"
