source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
ch01-001,1,2026-09-06,,Rupert Sheldrake,"Morphic Resonance and Morphic Fields — an Introduction",First-party theory statement,"Defines morphic resonance as non-local similarity reinforcement from past self-organizing systems and describes collective memory",https://www.sheldrake.org/research/morphic-resonance/introduction,"Use to state Sheldrake's own hypothesis, not as independent validation."
ch01-002,1,2026-09-06,2012,Rupert Sheldrake,"The Presence of the Past: Morphic Resonance and the Habits of Nature",Author/book page,"Current description of the revised book and the claim that nature has memory",https://www.sheldrake.org/books-by-rupert-sheldrake/the-presence-of-the-past-morphic-resonance-and-the-habits-of-nature,"Book originally published earlier; author page says revised and expanded in 2012."
ch02-001,2,2026-09-06,1998,Andy Clark; David Chalmers,"The Extended Mind",Philosophy journal article,"Conceptual background for cognition scaffolded by external artifacts and environment",https://doi.org/10.1093/analys/58.1.7,"Philosophical thesis, not empirical proof that every external aid is literally part of a mind."
ch02-002,2,2026-09-06,2024,Nora Lam; YoonSeung Lee; Donna L. Farber,"A guide to adaptive immune memory",Scientific review,"Concrete biological example of prior exposure changing future response through known cellular mechanisms",https://doi.org/10.1038/s41577-024-01040-6,"Use to distinguish mechanistic immune memory from broad metaphorical uses of memory."
ch03-001,3,2026-09-06,,Rupert Sheldrake,"Frequently Asked Questions",First-party theory statement,"States that morphic resonance transfers information across space and time from past to present and distinguishes local morphic fields from resonance",https://www.sheldrake.org/about-rupert-sheldrake/frequently-asked-questions,"First-party statement; not independent evidence."
ch03-002,3,2026-09-06,,Rupert Sheldrake,"Most of The So-Called Laws of Nature Are More Like Habits",First-party essay,"States the habits-of-nature framing and collective instinctive memory claim",https://www.sheldrake.org/research/most-of-the-so-called-laws-of-nature-are-more-like-habits,"Use only to characterize the author's theory accurately."
ch04-001,4,2026-09-06,2019,National Academies of Sciences Engineering and Medicine,"Reproducibility and Replicability in Science",Consensus study report,"Definitions and scientific importance of reproducibility and replicability; framework for evaluating replication",https://doi.org/10.17226/25303,"General methodology source; does not evaluate morphic resonance specifically."
ch04-002,4,2026-09-06,2019,National Academies of Sciences Engineering and Medicine,"Reproducibility and Replicability in Science — Executive Summary",Consensus report chapter,"Replication is part of how scientific communities confirm or challenge findings",https://www.nationalacademies.org/read/25303/chapter/2,"Use for general standards rather than a rigid universal protocol."
ch05-001,5,2026-09-06,1989,W. Brian Arthur,"Competing Technologies, Increasing Returns, and Lock-In by Historical Events",Economic journal article,"Shows a formal case in which increasing returns to adoption and early events can generate technology lock-in",https://doi.org/10.2307/2234208,"A model of technology adoption; do not universalize to every market."
ch06-001,6,2026-09-06,2023,Darren J. Burgess,"Engineering transgenerational epigenetic inheritance in mammals",Nature Reviews Genetics research highlight,"Evidence that engineered DNA methylation states can support transgenerational inheritance in a mammalian experimental system",https://pubmed.ncbi.nlm.nih.gov/36854803/,"Narrow experimental context; not evidence that arbitrary acquired human experiences are routinely inherited epigenetically."
ch06-002,6,2026-09-06,2014,Edith Heard; Robert A. Martienssen,"Transgenerational Epigenetic Inheritance: myths and mechanisms",Scientific review,"Mechanisms, reprogramming barriers, and evidence standards for transgenerational epigenetic inheritance",https://pmc.ncbi.nlm.nih.gov/articles/PMC4020004/,"Use as caution against loose popular claims."
ch06-003,6,2026-09-06,2024,Multiple authors,"Transgenerational epigenetic inheritance: a critical perspective",Scientific review,"Current critical discussion of controversy around vertebrate and human transgenerational epigenetic inheritance",https://www.frontiersin.org/journals/epigenetics-and-epigenomics/articles/10.3389/freae.2024.1434253/full,"Use to preserve uncertainty and distinguish model-organism evidence from human inference."
ch07-001,7,2026-09-06,2013,John Odling-Smee; Douglas H. Erwin; Eric P. Palkovacs; Marcus W. Feldman; Kevin N. Laland,"Niche Construction Theory: A Practical Guide for Ecologists",Scientific review,"Defines niche construction and ecological inheritance as organism-driven environmental modification with legacy effects",https://doi.org/10.1086/669266,"Use for environmental inheritance; not evidence for nonlocal morphic resonance."
ch07-002,7,2026-09-06,2016,Kevin Laland; Blake Matthews; Marcus W. Feldman,"An introduction to niche construction theory",Scientific review,"Definitions and empirical scope of niche construction and ecological inheritance",https://doi.org/10.1007/s10682-016-9821-z,"Open-access review useful for terminology and controversy."
ch08-001,8,2026-09-06,2014,Lars Schwabe; Karim Nader; Jens C. Pruessner,"Reconsolidation of human memory: brain mechanisms and clinical relevance",Scientific review,"Human memory can be dynamic and modifiable after retrieval; source for caution against playback metaphors",https://pubmed.ncbi.nlm.nih.gov/24755493/,"Do not imply reconsolidation means all memories are rewritten on every retrieval."
ch08-002,8,2026-09-06,2007,Natalie C. Tronson; Jane R. Taylor,"Molecular mechanisms of memory reconsolidation",Scientific review,"Molecular and cellular mechanisms proposed for memory reconsolidation",https://doi.org/10.1038/nrn2090,"Older review; useful for mechanistic history, with later literature needed before release for contested details."
ch09-001,9,2026-09-06,2009,Lewis G. Dean et al.,"Ratcheting up the ratchet: on the evolution of cumulative culture",Scientific review,"Cumulative culture and the ratchet metaphor; mechanisms and comparisons across species",https://royalsocietypublishing.org/rstb/article/364/1528/2405/21049/Ratcheting-up-the-ratchet-on-the-evolution-of,"Use carefully; definitions and evidence have evolved."
ch09-002,9,2026-09-06,2018,Alex Mesoudi; Alex Thornton,"What is cumulative cultural evolution?",Scientific review,"Reviews definitions and proposes criteria for cumulative cultural evolution",https://pmc.ncbi.nlm.nih.gov/articles/PMC6015846/,"Supports explicit definition rather than treating all social learning as cumulative culture."
ch09-003,9,2026-09-06,2008,Christine A. Caldwell; Ailsa E. Millen,"Studying cumulative cultural evolution in the laboratory",Scientific review/experimental program,"Laboratory methods for studying cumulative cultural transmission and improvement",https://pmc.ncbi.nlm.nih.gov/articles/PMC2607341/,"Use to support experimental tractability, not universal cultural progress."
ch10-001,10,2026-09-06,1959,Pierre-Paul Grassé,"La reconstruction du nid et les coordinations interindividuelles chez Bellicositermes natalensis et Cubitermes sp.",Original ethology paper,"Historical origin of stigmergy concept in termite coordination",,"Original bibliographic source needs archive-quality URL before release; do not quote without obtaining the paper."
ch10-002,10,2026-09-06,2018,Burkhard Bilger,"What Termites Can Teach Us",Magazine feature with scientific history,"Accessible historical summary of Grassé's 1959 stigmergy concept and environmental trace-based coordination",https://www.newyorker.com/magazine/2018/09/17/what-termites-can-teach-us,"Secondary source; use only as orientation until original literature is secured."
ch11-001,11,2026-09-06,2003,Eric J. Johnson; Daniel Goldstein,"Do Defaults Save Lives?",Science article,"Demonstrates the importance of default rules in choice environments using organ-donation decisions",https://doi.org/10.1126/science.1091721,"Classic short article; later literature complicates cross-country causal interpretation, so use for default sensitivity rather than simple national comparisons."
ch12-001,12,2026-09-06,2000,Paul Pierson,"Increasing Returns, Path Dependence, and the Study of Politics",American Political Science Review article,"Increasing returns, sequencing, coordination effects, and institutional path dependence",https://doi.org/10.2307/2586011,"Core source for the institutional/city path-dependence analogy; not all persistence is increasing returns."
ch13-001,13,2026-09-06,2000,Paul Pierson,"Increasing Returns, Path Dependence, and the Study of Politics",American Political Science Review article,"Why institutions can become difficult to reverse as organizations, expectations, and complements accumulate",https://www.cambridge.org/core/journals/american-political-science-review/article/increasing-returns-path-dependence-and-the-study-of-politics/AC2137B913363E33D97FC5CEC17CC75D,"Use to distinguish timing/sequence mechanisms from vague history-matters claims."
ch14-001,14,2026-09-06,1989,W. Brian Arthur,"Competing Technologies, Increasing Returns, and Lock-In by Historical Events",Economic journal article,"Positive feedback and increasing returns as mechanisms of path-dependent market/technology adoption",https://ideas.repec.org/a/ecj/econjl/v99y1989i394p116-31.html,"Supports mechanism-level analogy, not market-price claims generally."
ch14-002,14,2026-09-06,1994,W. Brian Arthur,"Increasing Returns and Path Dependence in the Economy",Academic book,"Collection on positive feedback, lock-in, industry location, learning, and path-dependent economic processes",https://doi.org/10.3998/mpub.10029,"Use for historical economic mechanisms; inspect chapter-level sources before quoting."
ch15-001,15,2026-09-06,2020,Masoud Mansoury; Himan Abdollahpouri; Mykola Pechenizkiy; Bamshad Mobasher; Robin Burke,"Feedback Loop and Bias Amplification in Recommender Systems",Peer-reviewed conference paper,"Simulation evidence that recommender feedback loops can amplify popularity bias and reduce aggregate diversity",https://doi.org/10.1145/3340531.3412152,"Specific algorithms and simulations; not proof every deployed recommender behaves this way."
ch15-002,15,2026-09-06,2024,Anastasiia Klimashevskaia; Dietmar Jannach; Mehdi Elahi; Christoph Trattner,"A survey on popularity bias in recommender systems",Scientific review,"Reviews causes, measurement, reinforcement risks, and mitigation of popularity bias",https://doi.org/10.1007/s11257-024-09406-0,"Review notes much literature is computational; preserve that limitation."
ch15-003,15,2026-09-06,2026,Yildiz Zoralioglu; Emre Yalcin,"Dynamic feedback loops in recommender systems: Analyzing fairness, popularity bias, and user group disparities",Peer-reviewed journal article,"2026 dynamic-feedback experiments showing different long-run effects for popular-, diverse-, and niche-focused user groups",https://doi.org/10.1007/s10844-026-01025-y,"Time-sensitive recent evidence; recheck before publication."
ch16-001,16,2026-09-06,2021,Nicholas Carlini et al.,"Extracting Training Data from Large Language Models",Peer-reviewed security paper,"Demonstrates extractable verbatim memorization from GPT-2 and studies factors associated with extraction",https://www.usenix.org/conference/usenixsecurity21/presentation/carlini-extracting,"Supports exact memorization as a real phenomenon; does not imply all model outputs are retrieval."
ch16-002,16,2026-09-06,2022,Nicholas Carlini; Daphne Ippolito; Matthew Jagielski; Katherine Lee; Florian Tramèr; Chiyuan Zhang,"Quantifying Memorization Across Neural Language Models",Machine-learning research paper,"Finds memorization varies with model capacity, duplication, and prompt context",https://arxiv.org/abs/2202.07646,"Use with clear distinction between memorization and generalization."
ch16-003,16,2026-09-06,2022,Katherine Lee et al.,"Deduplicating Training Data Makes Language Models Better",Machine-learning research paper,"Shows near-duplicates in datasets contribute to memorized output and that deduplication reduces memorized text",https://arxiv.org/abs/2107.06499,"Publication version/date should be verified for final bibliography."
ch16-004,16,2026-09-06,2023,Milad Nasr et al.,"Scalable Extraction of Training Data from (Production) Language Models",Machine-learning security paper,"Shows practical extraction of memorized training data across multiple model families",https://arxiv.org/abs/2311.17035,"Use only for extractable memorization; claims about named production systems require version-specific verification."
ch17-001,17,2026-09-06,2013,John Odling-Smee et al.,"Niche Construction Theory: A Practical Guide for Ecologists",Scientific review,"One example of a clearly specified carrier of history: altered environments inherited by later organisms",https://doi.org/10.1086/669266,"Supports the resonance-infrastructure method of identifying carriers."
ch17-002,17,2026-09-06,2000,Paul Pierson,"Increasing Returns, Path Dependence, and the Study of Politics",Scientific article,"One example of a clearly specified self-reinforcing mechanism in institutions",https://doi.org/10.2307/2586011,"Supports the carrier/mechanism distinction."
ch18-001,18,2026-09-06,1989,W. Brian Arthur,"Competing Technologies, Increasing Returns, and Lock-In by Historical Events",Economic journal article,"Formal model showing early adoption advantages can become self-reinforcing and difficult to reverse",https://doi.org/10.2307/2234208,"The chapter's activation-energy language is an analogy, not Arthur's terminology."
ch18-002,18,2026-09-06,2003,Eric J. Johnson; Daniel Goldstein,"Do Defaults Save Lives?",Science article,"Evidence that changing defaults changes behavior, illustrating transition friction and status-quo structure",https://doi.org/10.1126/science.1091721,"Do not infer all default effects have the same mechanism or magnitude."
ch19-001,19,2026-09-06,2019,National Academies of Sciences Engineering and Medicine,"Reproducibility and Replicability in Science",Consensus report,"General framework for replication, reproducibility, transparency, and scientific confirmation",https://doi.org/10.17226/25303,"Supports the proposed testing program, which remains the author's proposal."
ch19-002,19,2026-09-06,,Rupert Sheldrake,"Morphic Resonance and Morphic Fields — an Introduction",First-party theory statement,"Provides the target hypothesis whose similarity, repetition, and temporal claims the proposed experiments should operationalize",https://www.sheldrake.org/research/morphic-resonance/introduction,"Not evidence that the proposed effect exists."
ch20-001,20,2026-09-06,2018,Alex Mesoudi; Alex Thornton,"What is cumulative cultural evolution?",Scientific review,"Retention plus modification across generations; evidence lane for inheritance without assuming static repetition",https://pmc.ncbi.nlm.nih.gov/articles/PMC6015846/,"Supports the chapter's memory-versus-novelty tension."
ch20-002,20,2026-09-06,2024,Anastasiia Klimashevskaia et al.,"A survey on popularity bias in recommender systems",Scientific review,"Evidence lane for the possibility that historical popularity can reinforce later visibility and narrow discovery",https://doi.org/10.1007/s11257-024-09406-0,"Use conditionally; recommender objectives and systems vary."
