id,year,author_or_institution,title,source_type,book_use,url
moravec-mind-children-1988,1988,Hans Moravec,Mind Children: The Future of Robot and Human Intelligence,Book,Origin of Moravec's paradox and its standard formulation,https://www.hup.harvard.edu/books/9780674576186
minsky-society-of-mind-1986,1986,Marvin Minsky,The Society of Mind,Book,Minsky's parallel 'Easy Things Are Hard' formulation,https://archive.org/details/marvin-minsky-the-society-of-mind
brooks-elephants-1990,1990,Rodney A. Brooks,Elephants Don't Play Chess,Peer-reviewed paper,Brooks's embodied-AI argument against symbolic planning; subsumption architecture,https://people.csail.mit.edu/brooks/papers/elephants.pdf
darpa-gc-2004-report,2004,DARPA,Grand Challenge 2004 Final Report,Government report,2004 Grand Challenge failure; best vehicle traveled ~7.5 miles,https://www.esd.whs.mil/Portals/54/Documents/FOID/Reading%20Room/DARPA/15-F-0059_GC_2004_FINAL_RPT_7-30-2004.pdf
smithsonian-stanley-2005,2015,Smithsonian Magazine,How a Blue SUV Named Stanley Revolutionized Driverless Car Technology,Magazine feature,2005 Grand Challenge win by Stanford's Stanley,https://www.smithsonianmag.com/smithsonian-institution/how-a-blue-suv-named-stanley-revolutionized-driverless-car-technology-180984882/
newatlas-drc-2015-kaist,2015,New Atlas,South Korea's Team KAIST wins 2015 DARPA Robotics Challenge,News report,"DRC Finals 2015 winner, DRC-HUBO, prize amounts and time",https://newatlas.com/darpa-drc-finals-2015-results-kaist-win/37914/
wapo-drc-falls-2015,2015,Washington Post,Miss DARPA's big robotics challenge? Here's a compilation of all the robots that fell,News report,DRC Finals 2015 falls as the defining media spectacle,https://www.washingtonpost.com/news/speaking-of-science/wp/2015/06/08/miss-darpas-big-robotics-challenge-heres-a-compilation-of-all-the-robots-that-fell/
ihmc-running-man-2015,2015,IHMC Robotics,IHMC's Running Man captures 2nd at DARPA robotics competition,Press release,DRC Finals 2015 second-place Atlas-based team,https://www.ihmc.us/ihmcs-running-man-captures-2nd-at-darpa-robotics-competition/
bd-hyundai-acquisition-2021,2021,Boston Dynamics,Hyundai Motor Group Completes Acquisition of Boston Dynamics from SoftBank,Press release,"Boston Dynamics ownership history; ~$1.1B valuation, ~80% stake",https://bostondynamics.com/news/hyundai-motor-group-completes-acquisition-of-boston-dynamics-from-softbank/
techcrunch-softbank-bd-2017,2017,TechCrunch,SoftBank is buying robotics firm Boston Dynamics and Schaft from Alphabet,News report,"Google/Alphabet to SoftBank sale of Boston Dynamics, 2017",https://techcrunch.com/2017/06/08/softbank-is-buying-robotics-firm-boston-dynamics-and-schaft-from-alphabet/
techcrunch-spot-sale-2020,2020,TechCrunch,"Now any US business can buy Boston Dynamics' Spot robot for $74,500",News report,"Spot general commercial sale launch, June 2020",https://techcrunch.com/2020/06/16/now-any-us-business-can-buy-boston-dynamics-spot-robot-for-74500
henryford-unimate-1961,2018,The Henry Ford,"Robot, First Unimate Robot Ever Installed on an Assembly Line, 1961",Museum artifact record,"First industrial robot installed at GM plant, 1961",https://www.thehenryford.org/collections-and-research/digital-collections/artifact/183434/
iso-10218-1-2025,2025,International Organization for Standardization,ISO 10218-1:2025,Standard (catalog record),"Industrial robot safety standard, current edition",https://www.iso.org/obp/ui/en/#!iso:std:73933:en
iso-ts-15066-2016,2016,International Organization for Standardization,ISO/TS 15066:2016,Standard (catalog record),Collaborative robot (cobot) safety technical specification,https://www.iso.org/standard/62996.html
layne-2023-robot-fatalities,2023,Larry A. Layne / NIOSH,"Robot-related fatalities at work in the United States, 1992-2017",Peer-reviewed paper,"41 documented US robot-related workplace fatalities, 1992-2017",https://onlinelibrary.wiley.com/doi/10.1002/ajim.23470
guinness-robert-williams-1979,2019,Guinness World Records,First human killed by a robot,Reference record,"Robert Williams, Ford Michigan Casting Center, Jan 25 1979, earliest documented robot fatality",https://www.guinnessworldrecords.com/world-records/first-human-to-be-killed-by-a-robot
nvidia-isaac-lab-2024,2024,The Robot Report,NVIDIA Isaac Lab accelerates robot training in simulation,Trade press,Isaac Lab GPU-accelerated simulation framework announced at GTC 2024,https://www.therobotreport.com/nvidia-isaac-lab-accelerates-robot-training-in-simulation/
tobin-domain-randomization-2017,2017,Tobin et al. (OpenAI),Domain randomization for transferring deep neural networks from simulation to the real world,Peer-reviewed paper,Origin of domain randomization technique for sim-to-real transfer,https://dl.acm.org/doi/10.1109/IROS.2017.8202133
deepmind-rt2-2023,2023,Google DeepMind,RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,Preprint / company blog,"RT-2 vision-language-action model, July 2023",https://arxiv.org/abs/2307.15818
robotreport-pi0-2024,2024,The Robot Report,Physical Intelligence open-sources Pi0 robotics foundation model,Trade press,Pi-0 VLA model announced October 2024,https://www.therobotreport.com/physical-intelligence-open-sources-pi0-robotics-foundation-model/
arxiv-groot-n1-2025,2025,NVIDIA,GR00T N1: An Open Foundation Model for Generalist Humanoid Robots,Preprint,"GR00T N1 humanoid foundation model, announced GTC March 2025",https://arxiv.org/abs/2503.14734
figure-helix-2025,2025,Figure AI,Helix: A Vision-Language-Action Model for Generalist Humanoid Control,Company announcement,"Figure's Helix VLA model, February 2025",https://www.figure.ai/news/helix
teslarati-optimus-data-operator,2024,Teslarati,Tesla recruits data collection operators for Optimus bot,Trade press,Tesla's teleoperation-based data collection for Optimus,https://www.teslarati.com/tesla-optimus-data-collection-operator-job/
prnewswire-figure-seriesb-2024,2024,PR Newswire / Figure AI,Figure Raises $675M at $2.6B Valuation and Signs Collaboration Agreement with OpenAI,Press release,"Figure AI Series B funding round, February 2024",https://www.prnewswire.com/news-releases/figure-raises-675m-at-2-6b-valuation-and-signs-collaboration-agreement-with-openai-302074897.html
techcrunch-figure-seriesc-2025,2025,TechCrunch,Figure reaches $39B valuation in latest funding round,News report,"Figure AI Series C, September 2025, $39B valuation",https://techcrunch.com/2025/09/16/figure-reaches-39b-valuation-in-latest-funding-round/
venturebeat-1x-seriesb-2024,2024,VentureBeat,"1X, robotic startup backed by OpenAI, receives $100M in funding",News report,"1X Technologies Series B, January 2024",https://venturebeat.com/ai/1x-robotic-startup-backed-by-openai-receives-100m-in-funding/
cnbc-pi-seriesa-2024,2024,CNBC,Jeff Bezos and OpenAI invest in robot startup Physical Intelligence at $2.4 billion valuation,News report,"Physical Intelligence Series A, November 2024",https://www.cnbc.com/2024/11/04/jeff-bezos-and-openai-invest-in-robot-startup-physical-intelligence-.html
bloomberg-pi-seriesb-2025,2025,Bloomberg,Robotics Startup Physical Intelligence Valued at $5.6 Billion in New Funding,News report,"Physical Intelligence Series B, November 2025",https://www.bloomberg.com/news/articles/2025-11-20/robotics-startup-physical-intelligence-valued-at-5-6-billion-in-new-funding
cnbc-apptronik-2026,2026,CNBC,Apptronik raises $520 million at $5 billion valuation for Apollo robot,News report,"Apptronik Series A extension, February 2026",https://www.cnbc.com/2026/02/11/apptronik-raises-520-million-at-5-billion-valuation-for-apollo-robot.html
bloomberg-skild-seriesc-2026,2026,Bloomberg,Robotics Startup Skild Valued Above $14 Billion After SoftBank-Led Funding Round,News report,"Skild AI Series C, January 2026",https://www.bloomberg.com/news/articles/2026-01-14/robotics-startup-skild-valued-above-14-billion-after-softbank-led-funding-round
pymnts-sanctuary-2024,2024,PYMNTS,Sanctuary AI Marks $140 Million in Funding for 'Humanlike' Robots,News report,Sanctuary AI cumulative funding and Magna partnership,https://www.pymnts.com/news/investment-tracker/2024/sanctuary-ai-marks-140-million-in-funding-for-humanlike-robots/
scmp-ubtech-ipo-2023,2023,South China Morning Post,"UBTech, maker of Stormtrooper robots, jumps in Hong Kong trading debut",News report,"UBTech Hong Kong IPO, December 2023",https://www.scmp.com/business/china-business/article/3247229/ubtech-maker-stormtrooper-robots-jumps-hong-kong-trading-debut-after-pricing-final-ipo-2023-lower
robotreport-unitree-g1-price,2024,The Robot Report,Unitree Robotics unveils G1 humanoid for $16K,Trade press,Unitree G1 launch price,https://www.therobotreport.com/unitree-robotics-unveils-g1-humanoid-for-16k/
fortune-unitree-ipo-2026,2026,Fortune,"Unitree, famous for its dancing robots, surges on its trading debut",News report,"Unitree Shanghai STAR Market IPO and valuation, 2026",https://fortune.com/2026/unitree-robotics-star-market-ipo-debut/
electrek-optimus-admission-2026,2026,Electrek,Musk admits no Optimus robots are doing 'useful work' at Tesla — after claiming otherwise,News report,Gap between Tesla's 2025 Optimus production targets and delivered reality,https://electrek.co/2026/01/28/musk-admits-no-optimus-robots-are-doing-useful-work-at-tesla/
engadget-1x-neo-2025,2025,Engadget,"1X Neo is a $20,000 home robot that will learn chores via teleoperation",News report,"1X NEO pricing, specs, and teleoperation model, October 2025",https://www.engadget.com/ai/1x-neo-is-a-20000-home-robot-that-will-learn-chores-via-teleoperation-040252200.html
globenewswire-1x-factory-2026,2026,GlobeNewswire / 1X Technologies,"1X Opens NEO Factory in Hayward, CA",Press release,1X's Hayward manufacturing capacity and 2027 production targets,https://www.globenewswire.com/news-release/2026/04/30/1x-opens-neo-factory-hayward-california
