source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
ch01-001,1,2026-09-06,1770,Massachusetts Historical Society,"Notes on the Boston Massacre trials, by John Adams, 1770",Archival primary-source collection,"Adams trial notes; Preston and soldiers proceedings; witness testimony and jury-charge material",https://www.masshist.org/database/viewer.php?item_id=1744&pid=34,"Use the linked Adams Papers transcriptions for exact quotations; do not attribute all acquittals to Adams alone."
ch02-001,2,2026-09-06,,Massachusetts Court System,"Massachusetts Constitution and the Abolition of Slavery",Official judicial history and archival guide,"Three Quock Walker proceedings; verdicts; Cushing charge; relationship to Massachusetts Constitution",https://www.mass.gov/guides/massachusetts-constitution-and-the-abolition-of-slavery,"Official synthesis cites surviving court papers and scholarship; preserve historians' disagreement over causal weight."
ch03-001,3,2026-09-06,,Federal Judicial Center,"U.S. v. Lyon, U.S. v. Cooper, and U.S. v. Callender: The Sedition Act Trials",Official federal judicial history,"Lyon indictment, trial date, conviction, sentence, reelection, and Sedition Act context",https://www.fjc.gov/history/cases/famous-federal-trials/us-v-lyon-us-v-cooper-and-us-v-callender-sedition-act-trials,"FJC page links to document packet and chronology."
ch04-001,4,2026-09-06,,Federal Judicial Center,"U.S. v. Aaron Burr: The Treason Trial",Official federal judicial history,"Treason prosecution, Marshall rulings, constitutional overt-act standard, Jefferson subpoena dispute",https://www.fjc.gov/history/cases/famous-federal-trials/us-v-aaron-burr-treason-trial,"Use linked primary-source activities/documents for quotations and procedural chronology."
ch05-001,5,2026-09-06,1819,U.S. Supreme Court via Cornell Legal Information Institute,"Trustees of Dartmouth College v. Woodward, 17 U.S. 518",Reported judicial opinion,"State charter alteration, Contract Clause question, Marshall opinion",https://www.law.cornell.edu/supremecourt/text/17/518,"Primary reported opinion; do not overclaim that Dartmouth alone created modern corporate law."
ch06-001,6,2026-09-06,1822,Lionel H. Kennedy and Thomas Parker / Library of Congress,"An official report of the trials of sundry Negroes...",Contemporaneous official report in archival collection,"Procedures and official narrative of Denmark Vesey proceedings",https://www.loc.gov/item/90107205/,"High-risk interested source: treat as evidence of what the tribunal reported, not as neutral proof that every alleged plot detail was true."
ch07-001,7,2026-09-06,1832,U.S. Supreme Court / Cornell Law Library,"Opinion ... Samuel A. Worcester ... versus the state of Georgia",Reported opinion / archival trial pamphlet,"Worcester conviction and Supreme Court sovereignty ruling",https://digital.library.cornell.edu/catalog/sat3609,"Avoid apocryphal Jackson quotation; separate the judgment from later removal policy and enforcement failures."
ch08-001,8,2026-09-06,1841,U.S. Supreme Court via Cornell Legal Information Institute,"The Amistad, 40 U.S. 518",Reported judicial opinion,"Competing property and treaty claims; illegal transportation; judgment for the Africans",https://www.law.cornell.edu/supremecourt/text/40/518,"Do not generalize this holding into a judicial abolition of American slavery."
ch09-001,9,2026-09-06,1857,U.S. Supreme Court via Cornell Legal Information Institute,"Dred Scott v. Sandford, 60 U.S. 393",Reported judicial opinion,"Scott litigation, citizenship/jurisdiction holding, territorial slavery ruling",https://www.law.cornell.edu/supremecourt/text/60/393,"Keep Harriet Scott and the Missouri litigation visible; avoid monocausal Civil War claims."
ch10-001,10,2026-09-06,1865,United States Army Military Commission / Library of Congress,"The conspiracy trial for the murder of the president...",Contemporaneous trial record,"Lincoln assassination conspiracy military commission, defendants, evidence, verdict",https://www.loc.gov/item/05023015/,"Use as trial record; distinguish the later John Surratt civilian trial and Ex parte Milligan."
