id,year,author_or_institution,title,source_type,book_use,url
SI-001,2026,OpenAI Help Center,What is ChatGPT Plus,primary,Plus is $20/month and includes higher limits advanced reasoning voice images file analysis and Deep Research where available; Chapter: 1; Caveat: Features and limits change; API is billed separately; Current Plus feature bundle and usage-limit caveats; Chapter: 3; Caveat: Do not imply unlimited frontier compute; Legacy duplicate source id: SI-003,https://help.openai.com/en/articles/6950777
SI-002,2022,OpenAI,Introducing ChatGPT,primary,ChatGPT launched as a research preview; Chapter: 2; Caveat: Use archived launch language rather than later descriptions when making launch claims,https://openai.com/index/chatgpt/
SI-004,2026,OpenAI,Scaling AI for everyone,primary,OpenAI says scaling access requires compute distribution and capital; announced $110B new investment; Chapter: 4; Caveat: Company announcement; investment terms are not equivalent to operating cost; OpenAI announced $110B investment at $730B pre-money valuation including Amazon NVIDIA SoftBank; Chapter: 8; Caveat: Financing is not revenue and valuation is not operating economics; Legacy duplicate source id: SI-015; Capital-provider identities and investment amounts behind OpenAI 2026 financing; Chapter: 19; Caveat: Does not establish which customer cohorts are subsidized; Legacy duplicate source id: SI-024,https://openai.com/index/scaling-ai-for-everyone/
SI-005,2026,Microsoft FY2026 Q4 earnings call,Microsoft FY2026 Q4 earnings call,primary,Microsoft described approximately $175B calendar-2026 capex expectation after lease-accounting update; Chapter: 5; Caveat: Capex includes AI and non-AI cloud infrastructure and accounting definitions changed; Microsoft said roughly two thirds of quarterly capex was short-lived assets primarily CPUs and GPUs; Chapter: 17; Caveat: Accounting classification and quarterly mix can change; Legacy duplicate source id: SI-023,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q4
SI-006,2026,Alphabet 2025 Q4 earnings call,Alphabet 2025 Q4 earnings call,primary,Alphabet guided 2026 capex to $175B-$185B largely technical infrastructure; Chapter: 5; Caveat: Not all spending is AI-specific; Alphabet described roughly 60 percent of infrastructure investment as servers and 40 percent as data centers/networking; Chapter: 17; Caveat: Company-specific mix; does not represent industry average; Legacy duplicate source id: SI-022,https://abc.xyz/investor/events/event-details/2026/2025-Q4-Earnings-Call-2026-Dr_C033hS6/default.aspx
SI-007,2026,Meta Q2 2026 results,Meta Q2 2026 results,primary,Meta narrowed 2026 capex guidance to $130B-$145B including finance-lease principal; Chapter: 5; Caveat: Not all spending is AI-specific,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Second-Quarter-2026-Results/default.aspx
SI-008,2026,Amazon Q4 2025 results,Amazon Q4 2025 results,primary,Amazon expected about $200B 2026 capex across company citing AI chips robotics and other opportunities; Chapter: 5; Caveat: Company-wide capex is not an AI-only figure,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Fourth-Quarter-Results/default.aspx
SI-009,2026,Andy Jassy 2025 Letter to Shareholders,Andy Jassy 2025 Letter to Shareholders,primary,Amazon said a substantial portion of AWS 2026 capex had customer commitments and cited an OpenAI commitment over $100B; Chapter: 5; Caveat: Forward-looking company statement,https://www.aboutamazon.com/news/company-news/amazon-ceo-andy-jassy-2025-letter-to-shareholders
SI-010,2025,OpenAI,Announcing The Stargate Project,primary,Stargate announced intent to invest $500B over four years and begin with $100B; Chapter: 6; Caveat: Announced intent is not cash already spent,https://openai.com/index/announcing-the-stargate-project/
SI-011,2025,OpenAI,Five new Stargate sites,primary,OpenAI said Stargate reached nearly 7 GW planned capacity and over $400B investment over three years; Chapter: 6; Caveat: Planned capacity differs from commissioned capacity,https://openai.com/index/five-new-stargate-sites/
SI-012,2025,OpenAI,Expanding Stargate to Michigan,primary,OpenAI said planned Stargate exceeded 8 GW and $450B over three years; Chapter: 6; Caveat: Company announcement; project scope can change,https://openai.com/index/expanding-stargate-to-michigan/
SI-013,2025,OpenAI,Stargate advances with Oracle,primary,OpenAI said 4.5 GW Oracle partnership would bring Stargate above 5 GW under development and run over 2 million chips; Chapter: 7; Caveat: Under development is not operational,https://openai.com/index/stargate-advances-with-partnership-with-oracle/
SI-014,2026,OpenAI and SoftBank Group partner with SB Energy,OpenAI and SoftBank Group partner with SB Energy,primary,OpenAI signed 1.2 GW data-center lease and partners invested $1B in SB Energy; Chapter: 7; Caveat: One project; do not generalize to total power use,https://openai.com/index/stargate-sb-energy-partnership/
SI-016,2026,OpenAI,Advancing the price-performance frontier with GPT-5.6,primary,GPT-5.6 Luna API pricing $0.20/M input and $1.20/M output; Terra $2/$12; Chapter: 9; Caveat: Token price does not directly equal task cost; OpenAI explicitly links efficiency gains to making broader workloads economical; Chapter: 12; Caveat: Marketing framing should be distinguished from independent measurement; Legacy duplicate source id: SI-020,https://openai.com/index/advancing-the-price-performance-frontier-with-gpt-5-6/
SI-017,2026,OpenAI GPT-5.6 Sol model documentation,OpenAI GPT-5.6 Sol model documentation,primary,Sol context window 1.05M tokens and listed API token prices; Chapter: 10; Caveat: Model specs and prices can change,https://developers.openai.com/api/docs/models/gpt-5.6-sol
SI-018,2026,OpenAI ChatGPT Rate Card,OpenAI ChatGPT Rate Card,primary,Enterprise token-based rates show wide price tiers within one model family; Chapter: 10; Caveat: ChatGPT Work credit economics are not identical to consumer Plus economics,https://help.openai.com/en/articles/20001415
SI-019,1865,William Stanley Jevons,The Coal Question,academic,Historical statement of rebound logic often called the Jevons paradox; Chapter: 11; Caveat: Do not assume elasticity above one for AI without evidence,https://www.econlib.org/library/YPDBooks/Jevons/jvnCQ.html
SI-021,2026,AWS and NVIDIA announce 2 million additional GPUs,AWS and NVIDIA announce 2 million additional GPUs,primary,AWS and NVIDIA announced plans for 2M additional GPUs to meet AI demand; Chapter: 15; Caveat: Future deployment plan not present installed base,https://press.aboutamazon.com/aws/2026/8/aws-and-nvidia-to-deliver-2-million-additional-gpus-and-next-generation-infrastructure-for-agentic-and-physical-ai
SI-025,2026,Amazon Q2 2026 results,Amazon Q2 2026 results,primary,AWS grew 37 percent year over year and Amazon said AI business exceeded $25B annual revenue run rate; Chapter: 20; Caveat: Company-defined AI business and run-rate metrics require care,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Second-Quarter-Results/default.aspx
