id,year,author_or_institution,title,source_type,book_use,url
the-ten-year-republic-001,1776,National Archives,Declaration of Independence,primary/institutional,adoption date; drafting and signing sequence; document text; Chapter: 1; Window: 1776-1785; Status: checked-2026-09-05,https://www.archives.gov/milestone-documents/declaration-of-independence
the-ten-year-republic-002,1776,National Archives,Declaration of Independence,institutional,Lee Resolution; Committee of Five; revision process; Chapter: 1; Window: 1776-1785; Status: checked-2026-09-05,https://www.archives.gov/founding-docs/declaration-history
the-ten-year-republic-003,1786,National Archives,Constitution,primary/institutional,Convention dates; signing; document text; Chapter: 2; Window: 1786-1795; Status: checked-2026-09-05,https://www.archives.gov/milestone-documents/constitution
the-ten-year-republic-004,1796,National Archives,Louisiana Purchase,primary/institutional,treaty date; purchase price; territorial scale; negotiators; Chapter: 3; Window: 1796-1805; Status: checked-2026-09-05,https://www.archives.gov/milestone-documents/louisiana-purchase-treaty
the-ten-year-republic-005,1796,National Archives,Louisiana Purchase,institutional,Senate ratification; treaty structure; Chapter: 3; Window: 1796-1805; Status: checked-2026-09-05,https://www.archives.gov/legislative/features/louisiana-statehood/louisiana-purchase.html
the-ten-year-republic-006,1806,Library of Congress,War of 1812,institutional,causes; conflict dates; Treaty of Ghent; primary-source pathways; Chapter: 4; Window: 1806-1815; Status: checked-2026-09-05,https://guides.loc.gov/war-of-1812
the-ten-year-republic-007,1816,U.S. Senate,Missouri Compromise,institutional,passage; slavery debate; Senate context; Chapter: 5; Window: 1816-1825; Status: checked-2026-09-05,https://www.senate.gov/artandhistory/history/minute/Missouri_Compromise.htm
the-ten-year-republic-008,1816,U.S. Senate,Missouri Compromise,institutional,March 6 settlement; 36°30′ rule; admission sequence; Chapter: 5; Window: 1816-1825; Status: checked-2026-09-05,https://www.senate.gov/states/MO/timeline.htm
the-ten-year-republic-009,1826,National Archives,Indian Removal Act,primary/institutional,Act date; Jackson policy; removal treaties; acreage and forced migration context; Chapter: 6; Window: 1826-1835; Status: checked-2026-09-05,https://www.archives.gov/milestone-documents/jacksons-message-to-congress-on-indian-removal
the-ten-year-republic-010,1826,National Park Service,Indian Removal Act,institutional,Cherokee removal; Treaty of New Echota; removal process; Chapter: 6; Window: 1826-1835; Status: checked-2026-09-05,https://www.nps.gov/trte/learn/historyculture/index.htm
the-ten-year-republic-011,1836,U.S. Department of State Office of the Historian,Annexation of Texas,institutional,annexation sequence; Mexico relations; Polk; border dispute; Chapter: 7; Window: 1836-1845; Status: checked-2026-09-05,https://history.state.gov/milestones/1830-1860/texas-annexation
the-ten-year-republic-012,1836,Library of Congress,Annexation of Texas,institutional,Texas congressional approval; admission date; Chapter: 7; Window: 1836-1845; Status: checked-2026-09-05,https://www.loc.gov/item/today-in-history/june-23
the-ten-year-republic-013,1846,National Archives,Treaty of Guadalupe Hidalgo,primary/institutional,treaty date; territorial cession; negotiations; Chapter: 8; Window: 1846-1855; Status: checked-2026-09-05,https://www.archives.gov/milestone-documents/treaty-of-guadalupe-hidalgo
the-ten-year-republic-014,1856,National Archives,Civil War and emancipation,primary/institutional,Proclamation date and scope; Black enlistment; transformation of war aims; Chapter: 9; Window: 1856-1865; Status: checked-2026-09-05,https://www.archives.gov/milestone-documents/emancipation-proclamation
the-ten-year-republic-015,1866,National Archives,Fourteenth Amendment,primary/institutional,ratification; citizenship; due process; equal protection; Reconstruction context; Chapter: 10; Window: 1866-1875; Status: checked-2026-09-05,https://www.archives.gov/milestone-documents/14th-amendment
the-ten-year-republic-016,1876,Library of Congress,End of Reconstruction,institutional,Reconstruction period; 1877 troop withdrawal; consequences; Chapter: 11; Window: 1876-1885; Status: checked-2026-09-05,https://guides.loc.gov/reconstruction
the-ten-year-republic-017,1876,U.S. House History,1876 election settlement,institutional,disputed returns; Electoral Commission; Hayes victory; Chapter: 11; Window: 1876-1885; Status: checked-2026-09-05,https://history.house.gov/Historical-Highlights/1851-1900/The-electoral-vote-count-of-the-1876-presidential-election/
the-ten-year-republic-018,1886,National Archives,Sherman Antitrust Act,primary/institutional,passage; votes; statutory text; early enforcement limits; Chapter: 12; Window: 1886-1895; Status: checked-2026-09-05,https://www.archives.gov/milestone-documents/sherman-anti-trust-act
the-ten-year-republic-019,1886,U.S. Department of Justice,Sherman Antitrust Act,institutional,enforcement history; institutional development; Chapter: 12; Window: 1886-1895; Status: checked-2026-09-05,https://www.justice.gov/atr/history-antitrust-division
the-ten-year-republic-020,1896,Library of Congress,Spanish-American War,institutional,war outcome; Treaty of Paris; overseas territories; primary-source pathways; Chapter: 13; Window: 1896-1905; Status: checked-2026-09-05,https://guides.loc.gov/spanish-american-war
the-ten-year-republic-021,1906,Federal Reserve History,Federal Reserve Act,institutional,Panic of 1907 context; Wilson signing; central-bank design; Chapter: 14; Window: 1906-1915; Status: checked-2026-09-05,https://www.federalreservehistory.org/essays/federal-reserve-act-signed
the-ten-year-republic-022,1916,National Archives,Nineteenth Amendment,primary/institutional,congressional passage; ratification; suffrage movement; Chapter: 15; Window: 1916-1925; Status: checked-2026-09-05,https://www.archives.gov/milestone-documents/19th-amendment
the-ten-year-republic-023,1926,Federal Reserve History,Great Depression and banking collapse,institutional,downturn chronology; banking panics; 1933 collapse; policy interpretation; Chapter: 16; Window: 1926-1935; Status: checked-2026-09-05,https://www.federalreservehistory.org/essays/great-depression
the-ten-year-republic-024,1926,Federal Reserve History,Great Depression and banking collapse,institutional,bank holiday; emergency banking reforms; related essays; Chapter: 16; Window: 1926-1935; Status: checked-2026-09-05,https://www.federalreservehistory.org/time-period/great-depression
the-ten-year-republic-025,1936,National Archives,Pearl Harbor,primary/institutional,attack; casualties; congressional declaration; later investigation; Chapter: 17; Window: 1936-1945; Status: checked-2026-09-05,https://www.archives.gov/legislative/features/pearl-harbor
the-ten-year-republic-026,1936,Library of Congress,Pearl Harbor,primary/institutional,attack chronology; CINCPAC dispatch; wartime entry; Chapter: 17; Window: 1936-1945; Status: checked-2026-09-05,https://www.loc.gov/item/today-in-history/december-07
the-ten-year-republic-027,1946,National Archives,Brown v. Board of Education,primary/institutional,holding; unanimity; relation to Plessy and Fourteenth Amendment; Chapter: 18; Window: 1946-1955; Status: checked-2026-09-05,https://www.archives.gov/milestone-documents/brown-v-board-of-education
the-ten-year-republic-028,1956,National Archives,Civil Rights Act of 1964,primary/institutional,date; statutory scope; public accommodations; employment; Chapter: 19; Window: 1956-1965; Status: checked-2026-09-05,https://www.archives.gov/milestone-documents/civil-rights-act
the-ten-year-republic-029,1956,National Archives,Civil Rights Act of 1964,institutional,legislative sequence; cloture; congressional documents; Chapter: 19; Window: 1956-1965; Status: checked-2026-09-05,https://www.archives.gov/legislative/features/civil-rights-1964
the-ten-year-republic-030,1966,U.S. Senate,Watergate,institutional,Senate investigation; tapes; Supreme Court confrontation; resignation; reform; Chapter: 20; Window: 1966-1975; Status: checked-2026-09-05,https://www.senate.gov/artandhistory/history/common/investigations/Watergate.htm
the-ten-year-republic-031,1976,Federal Reserve History,Volcker anti-inflation turn,institutional,October 6 1979 meeting; operating-policy change; inflation context; Chapter: 21; Window: 1976-1985; Status: checked-2026-09-05,https://www.federalreservehistory.org/essays/anti-inflation-measures
the-ten-year-republic-032,1986,U.S. Department of State Office of the Historian,Fall of Berlin Wall / end of Cold War,institutional,November 9 opening; Bush administration; Eastern European transition; Chapter: 22; Window: 1986-1995; Status: checked-2026-09-05,https://history.state.gov/milestones/1989-1992/fall-of-communism
the-ten-year-republic-033,1986,U.S. Department of State Office of the Historian,Fall of Berlin Wall / end of Cold War,institutional,wall fall; German reunification; Soviet dissolution context; Chapter: 22; Window: 1986-1995; Status: checked-2026-09-05,https://history.state.gov/departmenthistory/short-history/berlinwall
the-ten-year-republic-034,1996,National Commission on Terrorist Attacks Upon the United States,September 11 attacks,commission report,attack chronology; preparedness; response; institutional recommendations; Chapter: 23; Window: 1996-2005; Status: checked-2026-09-05,https://www.9-11commission.gov/report/index.htm
the-ten-year-republic-035,2006,GovInfo,Financial crisis of 2008,commission report,commission mandate; causes; witnesses; majority and dissenting conclusions; Chapter: 24; Window: 2006-2015; Status: checked-2026-09-05,https://www.govinfo.gov/features/financial-crisis-inquiry-report
the-ten-year-republic-036,2016,CDC Museum COVID-19 Timeline,COVID-19 pandemic,institutional,first U.S. case; emergency response; shutdown chronology; vaccine program; public-health milestones; Chapter: 25; Window: 2016-2025; Status: checked-2026-09-05,https://www.cdc.gov/museum/timeline/covid19.html
