id,year,author_or_institution,title,source_type,book_use,url
ewaste-unitar-2024,2024,UNITAR / ITU,"Global e-Waste Monitor 2024: Electronic Waste Rising Five Times Faster than Documented E-waste Recycling",Official international release,"Chs. 1, 5, 19, and 24: scale and growth of e-waste; evidence that physical replacement creates collection, reuse, recycling, and disposal tails. Used with explicit caution that e-waste does not prove the full book thesis.",https://unitar.org/about/news-stories/press/global-e-waste-monitor-2024-electronic-waste-rising-five-times-faster-documented-e-waste-recycling
ewaste-itu-2024,2024,International Telecommunication Union,The Global E-waste Monitor 2024,Official international report,"Chs. 1 and 5: cross-check for 2022 global e-waste generation and documented formal collection/recycling; product end-of-life context.",https://www.itu.int/en/ITU-D/Environment/Pages/Publications/The-Global-E-waste-Monitor-2024.aspx
rfc8996-2021,2021,IETF / RFC Editor,RFC 8996: Deprecating TLS 1.0 and TLS 1.1,Technical standard,"Chs. 2, 11, 15, 19, 23, and 25: concrete deprecation case showing maintenance/security benefits alongside interoperability costs for legacy users.",https://www.rfc-editor.org/rfc/rfc8996.html
gdpr-article17-2016,2016,European Union,"Regulation (EU) 2016/679, Article 17 — Right to erasure ('right to be forgotten')",Primary law,"Chs. 3 and 22: defined erasure rights and explicit exceptions; used to distinguish deletion rights from universal erasure or historical amnesia.",https://eur-lex.europa.eu/eli/reg/2016/679/oj
nara-scheduling-records-2024,2024,National Archives and Records Administration,Scheduling Records,Official records-management guidance,"Chs. 3 and 22: records schedules distinguish permanent from temporary records and show that legitimate preservation and deliberate destruction are both lifecycle decisions.",https://www.archives.gov/records-mgmt/scheduling/sch-records
crs-federal-legislation-2025,2025,Congressional Research Service,Understanding Federal Legislation: A Section-by-Section Guide to Key Legal Considerations,Congressional legal research,"Ch. 4: sunset provisions as mechanisms that terminate authority at a future time and force a decision about extension, amendment, or lapse; not evidence that sunsets automatically improve policy.",https://www.congress.gov/crs_external_products/R/PDF/R46484/R46484.11.pdf
gao-sunset-1977,1977,U.S. Government Accountability Office,"Sunset Act of 1977, S. 2",Government analysis,"Chs. 4 and 13: historical evidence that systematic sunset/review proposals require schedules, information, scope, and oversight rather than mere dates.",https://www.gao.gov/products/100226
fcc-3g-phaseout,undated,Federal Communications Commission,Plan Ahead for Phase Out of 3G Cellular Networks and Service,Government consumer guidance,"Chs. 5 and 23: network shutdowns can strand phones and embedded connected devices, illustrating migration and last-user costs without implying shutdown itself is wrongful.",https://www.fcc.gov/consumers/guides/plan-ahead-phase-out-3g-cellular-networks-and-service
elmore-apoptosis-2007,2007,Susan Elmore,Apoptosis: A Review of Programmed Cell Death,Peer-reviewed review article,"Ch. 6: regulated cell death in development, tissue homeostasis, and immune function; used strictly as a bounded biological analogy with dysregulation counterexamples.",https://pmc.ncbi.nlm.nih.gov/articles/PMC2117903/
usfs-prescribed-fire-2025,2025,U.S. Forest Service Research and Development,Prescribed Fire,Government scientific guidance,"Ch. 7: prescribed fire as a context-dependent ecological management tool that can maintain or restore ecosystem conditions and reduce certain wildfire risks; supports careful limits on the metaphor.",https://research.fs.usda.gov/rmrs/fire/prescribed
norby-forgetting-2015,2015,Simon Nørby,Why Forget? On the Adaptive Value of Memory Loss,Peer-reviewed review article,"Ch. 8: adaptive functions of forgetting including abstraction, emotional regulation, and context-sensitive memory use; not used to equate human memory with institutional deletion.",https://pubmed.ncbi.nlm.nih.gov/26385996/
ryan-frankland-2022,2022,Tomás J. Ryan / Paul W. Frankland,Forgetting as a form of adaptive engram cell plasticity,Peer-reviewed review article,"Ch. 8: contemporary neuroscience framing some forgetting as adaptive rather than simple system failure.",https://pubmed.ncbi.nlm.nih.gov/35027710/
anderson-hulbert-2021,2021,Michael C. Anderson / Justin C. Hulbert,Active Forgetting: Adaptation of Memory by Prefrontal Control,Peer-reviewed review article,"Ch. 8: evidence and theory on active control processes that reduce memory accessibility; supports distinction between active forgetting and passive decay.",https://pubmed.ncbi.nlm.nih.gov/32928060/
uscourts-bankruptcy-process,undated,Administrative Office of the U.S. Courts,Process — Bankruptcy Basics,Official court guidance,"Ch. 9: bankruptcy's fresh-start function and the legal organization of financial failure; used with chapter-specific caveats about debt types, liens, and different proceedings.",https://www.uscourts.gov/court-programs/bankruptcy/bankruptcy-basics/process-bankruptcy-basics
uscourts-bankruptcy-discharge,undated,Administrative Office of the U.S. Courts,Discharge in Bankruptcy — Bankruptcy Basics,Official court guidance,"Ch. 9: discharge releases a debtor from personal liability for specified debts and limits collection, while not all debts are dischargeable and some liens may survive.",https://www.uscourts.gov/court-programs/bankruptcy/bankruptcy-basics/discharge-bankruptcy-bankruptcy-basics
investor-options,undated,U.S. Securities and Exchange Commission / Investor.gov,Options,Government investor education,"Ch. 10: basic example of a time-bounded financial contract where expiration is part of the instrument; used only for mechanics, not as a universal market-design analogy.",https://www.investor.gov/introduction-investing/investing-basics/glossary/options
nrc-decommissioning-2026,2026,U.S. Nuclear Regulatory Commission,Decommissioning Process,Regulatory guidance,"Chs. 1, 12, 24, and 25: reactor decommissioning as a staged process after permanent cessation, illustrating that operational stop and completed ending are different states.",https://www.nrc.gov/waste/decommissioning/process
