source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
ch15-001,ch15,2026-09-10,2025,Tax Foundation,Online Sports Betting Taxes by State,policy research,State-by-state sports betting tax rate comparison (NY 51%; NJ ~19.75%; Nevada 6.75%),https://taxfoundation.org/data/all/state/online-sports-betting-taxes/,Full page blocked by network egress proxy; rates cross-verified via search snippet and corroborating outlets below
ch15-002,ch15,2026-09-10,2026,tech-insider.org,Sports Betting by State 2026: 32 Legal 51% NY Tax,trade press,Corroborates New York 51% online tax rate,https://tech-insider.org/sports-betting/sports-betting-by-state/,
ch15-003,ch15,2026-09-10,2026,bettingusa.com,Sports Betting Tax Rates and Licensing Fees By State 2026,trade press,Corroborates Nevada 6.75% and NJ retail/online rates,https://www.bettingusa.com/sports/taxes-and-licenses/,
ch15-004,ch15,2026-09-10,2022,Ballotpedia,California Proposition 26 Legalize Sports Betting on American Indian Lands Initiative (2022),reference/encyclopedia,Prop 26/27 text, tribal support/opposition split,https://ballotpedia.org/California_Proposition_26,_Legalize_Sports_Betting_on_American_Indian_Lands_Initiative_(2022),
ch15-005,ch15,2026-09-10,2022-11-09,CBS News Los Angeles,Voters reject Prop 26 measure legalizing sports betting at tribal casinos and race tracks,news,2022 California ballot results; ~$450-460M spent, most expensive ballot fight in US history,https://www.cbsnews.com/losangeles/news/voters-reject-prop-26-measure-legalizing-sports-betting-at-tribal-casinos-and-race-tracks,
ch15-006,ch15,2026-09-10,2022-11,CalMatters,California Prop 26: Sports Betting at Tribal Casinos,news,Background on Prop 26/27 campaign dynamics and tribal gaming exclusivity concerns,https://calmatters.org/california-voter-guide-2022/propositions/prop-26-sports-betting-tribal-casinos/,
ch15-007,ch15,2026-09-10,2026,legalsportsreport.com,Tribes Put Brakes On California Sports Betting Talk For 2026,trade press,California tribes decline 2026 ballot push; eyeing 2028,https://www.legalsportsreport.com/222267/ice-california-sports-betting-tribal-comments-2026/,
ch15-008,ch15,2026-09-10,2026,gamblinginsider.com,Georgia Sports Betting Bill HB910 2026 Lottery,trade press,HB 910 mechanics: Georgia Lottery-run online-only model bypassing constitutional amendment,https://www.gamblinginsider.com/news/103736/georgia-sports-betting-bill-hb910-2026-lottery,
ch15-009,ch15,2026-09-10,2026-03,brightsideofnews.com,Georgia Sports Betting HB 910 Mobile Wagering Bill Faces Final Senate Hurdle / Bill Failure,trade press,HB 910 fails in Georgia House March 6 2026 (63 of 120 needed votes),https://brightsideofnews.com/gambling/georgia-sports-betting-bill-failure-2026/,
ch15-010,ch15,2026-09-10,2025,spectrumlocalnews.com / Texas Tribune,Sports betting legalization continues to face resistance in Texas / Casinos and sports betting won't win approval,news,Texas 2025 legislative failure; Lt. Gov. Dan Patrick opposition; Abbott primary purge of moderate House members,https://www.texastribune.org/2025/03/12/texas-gambling-sports-betting-casinos-house-republicans/,
ch15-011,ch15,2026-09-10,2026,gamingamerica.com,Minnesota Senate Files Tribal-Led Online Sports Betting Bill in 2026,trade press,Minnesota SF 4139 tribal-led mobile betting bill; 11 tribes' compact exclusivity position,https://gamingamerica.com/news/minnesota-senate-files-tribal-led-online-sports-betting-bill-in-2026,
ch15-012,ch15,2026-09-10,2026,legalsportsreport.com / bettorsinsider,Minnesota Sports Betting: Is It Legal Yet,trade press,Minnesota 2026 session ends without passage in May 2026,https://bettorsinsider.com/sportsbooks/legal/minnesota/,
ch15-013,ch15,2026-09-10,2026,legalsportsbetting.com,Pennsylvania Sportsbooks Won $64.8M Paid Tax On $51.8M / PA tax rate,trade press,Pennsylvania 36% (34% state + 2% local) nominal online tax rate; effective ~24.6% after promo deductions,https://www.legalsportsbetting.com/news/pennsylvania-sportsbooks-won-64-8m-paid-tax-on-51-8m-08-21-2026/,
ch15-014,ch15,2026-09-10,2025-06,CNBC,FanDuel adds 50-cent surcharge on Illinois bets to offset state taxes DraftKings may follow,news,Illinois 2024 tiered tax hike (15% to 20-40%) plus 2025 per-wager surcharge; operator pass-through fees,https://www.cnbc.com/2025/06/10/fanduel-draftkings-surcharge-illinois-taxes.html,
ch15-015,ch15,2026-09-10,2024-06-02,Chicago Sun-Times,Illinois sports betting tax hike hits FanDuel DraftKings,news,Illinois 2024 graduated tax passed overnight in budget process,https://chicago.suntimes.com/casinos-gambling/2024/06/02/illinois-sports-betting-tax-hike-jb-pritzker,
ch15-016,ch15,2026-09-10,2024,governor.ny.gov / WHEC,State collects $401M in sports betting taxes in four months; NY education fund figures,government press release/news,New York mobile sports betting tax revenue directed to education aid; cumulative totals since 2022 launch,https://www.governor.ny.gov/news/governor-hochul-announces-mobile-sports-wagering-generated-862-million-new-york-state-its,
ch17-013,ch15,2026-09-10,2026,legalsportsreport.com,U.S. sports betting state count 2026,trade press,Count of states with legal mobile betting (~38-39) and states with none (11),https://www.legalsportsreport.com/sports-betting/states/texas/,
ch16-001,ch16,2026-09-10,2024-09-24,Rep. Paul Tonko (US House),The SAFE Bet Act fact sheet,government document,SAFE Bet Act provisions: federal minimum standards, ad restrictions, affordability checks, AI limits,https://tonko.house.gov/uploadedfiles/safe_bet_fact_sheet_9.24.pdf,
ch16-002,ch16,2026-09-10,2025,Congress.gov,S.1033 - SAFE Bet Act - 119th Congress text and status,government document,Senate bill text and legislative status (introduced, referred to committee),https://www.congress.gov/bill/119th-congress/senate-bill/1033/text,
