id,year,author_or_institution,title,source_type,book_use,url
"gau-ch01-turtle-smithsonian","1776","Smithsonian National Museum of American History","Turtle submarine model / American history collections","museum object","Chapter 1: establishes Bushnell's Revolutionary-era submersible weapon concept; use as device/history evidence without claiming direct technical lineage to modern submarines.","https://americanhistory.si.edu/collections/object/nmah_1063162"
"gau-ch01-turtle-smithsonian-mag","2026","Smithsonian Magazine","To Defeat the Royal Navy During the American Revolution, a Rebel Inventor Designed a Secret Weapon","historical journalism","Chapter 1: 1776 attack context, Ezra Lee, and uncertainty over why the explosive could not be attached; preserve that uncertainty rather than repeat a single explanation as settled fact.","https://www.smithsonianmag.com/history/to-defeat-the-royal-navy-during-the-american-revolution-a-rebel-inventor-designed-a-secret-weapon-a-bomb-carrying-submarine-180989400/"
"gau-ch02-evans-nps","1783","U.S. National Park Service","Oliver Evans","government history","Chapter 2: Evans conceived milling as an integrated automated process beginning in the 1780s; treat the breakthrough as a system of mechanisms rather than one isolated device.","https://www.nps.gov/people/oliver-evans.htm"
"gau-ch02-peirce-mill-nps","1790s","U.S. National Park Service","History of Peirce Mill","government history","Chapter 2: Evans-style bucket elevators, belts and gears reduced handling labor and enabled near-continuous production; later Peirce Mill evidence illustrates diffusion, not first installation.","https://home.nps.gov/rocr/learn/historyculture/peirce-mill-history.htm"
"gau-ch02-evans-loc","1795","Library of Congress","The Young Mill-Wright and Miller's Guide","primary book","Chapter 2: primary publication documenting and disseminating Evans's integrated milling system; publication follows the 1780s invention work.","https://www.loc.gov/resource/gdcmassbookdig.youngmillwrightm01evan/?st=gallery"
"gau-ch03-cotton-gin-archives","1794","U.S. National Archives","The Cotton Gin Patent","government archive","Chapter 3: Whitney patent history and disputed economic rewards; a patent is a documentary milestone rather than proof of sole ownership of every cotton-cleaning idea.","https://www.archives.gov/publications/prologue/2004/fall/cotton-gin-patent"
"gau-ch03-cotton-gin-slavery-archives","1794","U.S. National Archives","Eli Whitney's Patent for the Cotton Gin","government education","Chapter 3: supports the connection between cheap cotton processing and slavery's expansion while preserving other causes including demand, land policy, territorial expansion and the pre-existing slave system.","https://www.archives.gov/education/lessons/cotton-gin-patent"
"gau-ch04-fulton-smithsonian","1807","Smithsonian Institution","Industrial United States: Fulton steamboat materials","museum history","Chapter 4: Fulton's 1807 Hudson service and roughly 150 miles in 32 running hours as a commercial threshold; do not claim Fulton invented the first steamboat.","https://americanexperience.si.edu/historical-eras/industrial-united-states/pair-iron-mine-storm-king/"
"gau-ch04-steamship-smithsonian-mag","1800s","Smithsonian Magazine","The Unbelievable Success of the American Steamship","historical journalism","Chapter 4: wider American steam-navigation context and subsequent diffusion; use for context rather than priority.","https://www.smithsonianmag.com/history/unbelievable-success-american-steamship-180953963/"
"gau-ch05-blanchard-nps","1819","U.S. National Park Service, Springfield Armory","Thomas Blanchard and His Lathe","government history","Chapter 5: 1819 patent and pattern-following machine for irregular gunstock shapes; situate Blanchard within distributed armory and machine-tool development rather than crediting him with all interchangeable manufacture.","https://www.nps.gov/spar/learn/historyculture/thomas-blanchard-and-his-lathe.htm"
"gau-ch06-henry-electromagnetism","1820s","Smithsonian Institution Archives","Joseph Henry and Electromagnetism","institutional archive","Chapter 6: Henry's insulated coils and American electromagnet research; Sturgeon's 1825 device precedes Henry, and some of Henry's strongest demonstrations fall just after the decade.","https://siarchives.si.edu/history/featured-topics/henry/electromagnetism"
"gau-ch06-henry-record","1827","Smithsonian Institution Archives","Joseph Henry electromagnet research record","institutional record","Chapter 6: supports Henry's late-1820s insulated-wire work and different coil configurations; keep 1831 achievements out of the 1820s chronology.","https://siarchives.si.edu/collections/siris_sic_329"
"gau-ch07-vail-morse-smithsonian","1830s","Smithsonian Institution Archives","The Forgotten History of Alfred Vail and Samuel Morse","institutional archive","Chapter 7: supports Alfred Vail's substantial collaboration with Morse and corrects the lone-Morse telegraph story.","https://siarchives.si.edu/blog/forgotten-history-alfred-vail-and-samuel-morse"
"gau-ch07-henry-telegraph-smithsonian","1830s","Smithsonian Institution","Joseph Henry's Contribution to the Telegraph","institutional archive","Chapter 7: Henry's electromagnetic work as technical groundwork for long-distance signaling; groundwork is not the same as commercial telegraph invention.","https://www.si.edu/object/siris_sic_12604"
"gau-ch08-ether-dome-mgh","1846","Massachusetts General Hospital Russell Museum","The Ether Dome","institutional history","Chapter 8: October 16, 1846 public ether demonstration by Morton during Warren's surgery; frame it as a successful public proof rather than the first known ether operation.","https://www.russellmuseum.org/the-ether-dome/"
"gau-ch08-crawford-long-pmc","1842","Missouri Medicine / PubMed Central","From Craft to Profession: The Development of Modern Anesthesiology: Part II","medical history","Chapter 8: Crawford Long's recorded 1842 ether use before Morton's Boston demonstration; supports distributed priority.","https://pmc.ncbi.nlm.nih.gov/articles/PMC9312459/"
"gau-ch09-elevator-smithsonian","1850s","Smithsonian Institution","The Elevator: From Archimedes to Otis and Beyond","museum research","Chapter 9: Otis safety-elevator demonstration and the role of safe passenger lifts in vertical building; use page-specific citations during final endnote production.","https://www.govinfo.gov/content/pkg/GOVPUB-SI-PURL-gpo20744/pdf/GOVPUB-SI-PURL-gpo20744.pdf"
"gau-ch09-passenger-elevator-smithsonian-mag","1857","Smithsonian Magazine","The First Passenger Elevator Was Built Four Years After the First Elevator Shaft","historical journalism","Chapter 9: supports the 1857 passenger-elevator milestone and the distinction between the elevator category and trusted passenger service.","https://www.smithsonianmag.com/smart-news/first-passenger-elevator-was-built-four-years-after-first-elevator-shaft-180962598/"
"gau-ch10-typewriter-smithsonian","1868","Smithsonian National Museum of American History","Sholes, Glidden, and Soule Typewriter Patent Model","museum object","Chapter 10: establishes the 1868 patent model and the inventor team; do not use the patent model to support simplified QWERTY folklore.","https://americanhistory.si.edu/collections/object/nmah_850123"
"gau-ch11-bell-smithsonian","1876","Smithsonian Institution","Alexander Graham Bell experimental telephone","museum object","Chapter 11: Bell's experimental telephone and 1876 development context; telephone priority remains contested and should be paired with Gray, Meucci and Edison context.","https://www.si.edu/object/nmah_689864"
"gau-ch11-bell-box-smithsonian","1876","Smithsonian Institution","Alexander Graham Bell's Large Box Telephone","museum collection","Chapter 11: early Bell telephone technology and network-era context; not a sole-priority adjudication.","https://www.si.edu/collections/snapshot/alexander-graham-bells-large-box-telephone"
"gau-ch12-westinghouse-tesla-smithsonian","1888","Smithsonian Institution","Westinghouse AC induction motor","museum object","Chapter 12: Tesla-designed 1888 Westinghouse induction motor; the wider AC system also depended on transformers, generation, distribution and many other engineers.","https://www.si.edu/object/westinghouse-ac-induction-motor%3Anmah_712865"
"gau-ch12-commercial-ac-motor-smithsonian","1888","Smithsonian National Museum of American History","Westinghouse alternating current induction motor","museum object","Chapter 12: supports Smithsonian's identification of a commercial AC motor milestone; do not turn one motor into sole invention of AC distribution.","https://americanhistory.si.edu/collections/object/nmah_713594"
"gau-ch13-motion-pictures-loc","1890s","Library of Congress","Origins of Motion Pictures","institutional history","Chapter 13: Edison laboratory, W. K. L. Dickson, Kinetograph and Kinetoscope development; preserve international motion-picture lineages.","https://www.loc.gov/collections/edison-company-motion-pictures-and-sound-recordings/articles-and-essays/history-of-edison-motion-pictures/origins-of-motion-pictures/"
"gau-ch13-early-movies-smithsonian","1890s","Smithsonian Institution","Early Movies","museum collection","Chapter 13: early American motion-picture devices and exhibition context; use alongside Library of Congress material for a broader account.","https://www.si.edu/spotlight/movies/early-movies"
"gau-ch14-air-conditioning-smithsonian-mag","1902","Smithsonian Magazine","The Unexpected History of the Air Conditioner","historical journalism","Chapter 14: Carrier's 1902 industrial humidity-control problem and the later spread of cooling; avoid implying immediate household adoption.","https://www.smithsonianmag.com/smithsonian-institution/unexpected-history-air-conditioner-180972108/"
"gau-ch14-carrier-history","1902","Carrier","Who Invented Air Conditioning?","company history","Chapter 14: Carrier company chronology for early systems; company-specific dates are cross-checked against neutral historical sources.","https://www.carrier.com/us/en/residential/hvac-resources/air-conditioners/who-invented-air-conditioning/"
"gau-ch15-ford-assembly-loc","1913","Library of Congress","Ford's Moving Assembly Line","government research guide","Chapter 15: 1913 moving assembly line, influences from other industries, and reduction of chassis assembly from roughly 12.5 hours to about 93 minutes; Ford did not invent mass production alone.","https://guides.loc.gov/this-month-in-business-history/October/Ford"
"gau-ch15-ford-assembly-henryford","1913","The Henry Ford","Henry Ford and the Assembly Line","museum collection","Chapter 15: Highland Park production-system development and artifacts; use with Library of Congress material for balance.","https://www.thehenryford.org/collections/explore/sets/detail/henry-ford-assembly-line"
"gau-ch16-farnsworth-smithsonian","1927","Smithsonian Institution","Experimental Farnsworth image dissector","museum object","Chapter 16: Farnsworth's 1927 electronic television transmission tube and scanning principle; supports device and date without granting sole invention of all television.","https://www.si.edu/object/experimental-farnsworth-image-dissector%3Anmah_1288388"
"gau-ch16-farnsworth-timeline-smithsonian","1927","Smithsonian Institution","1927: A Year in the Collections","museum timeline","Chapter 16: Smithsonian timeline evidence for Farnsworth's 1927 electronic television image; patent and RCA/Zworykin disputes require broader context.","https://music.si.edu/spotlight/1927"
"gau-ch17-nylon-smithsonian","1935","Smithsonian National Museum of American History","Nylon Thread","museum object","Chapter 17: Carothers/DuPont Nylon 6,6 and the 1935 milestone; nylon was not the first synthetic polymer, so the chapter's claim is systematic polymer design and commercial proof.","https://americanhistory.si.edu/collections/object/nmah_576"
"gau-ch18-brattain-nobel","1947","Nobel Prize","Walter H. Brattain — Facts","Nobel institutional history","Chapter 18: Brattain, Bardeen and Shockley transistor work recognized by the 1956 Nobel Prize; the Nobel page compresses the broader Bell Labs team and institution.","https://www.nobelprize.org/laureate/67"
"gau-ch18-shockley-nobel","1947","Nobel Prize","William B. Shockley — Facts","Nobel institutional history","Chapter 18: Shockley's transistor contribution and Nobel recognition; technical contribution does not validate his later racist and eugenic advocacy.","https://www.nobelprize.org/laureate/65"
