id,chapters,evidence_level,source,year,url,use
S001,"1,4,5,6,15",review,"Cao et al., Quantum biology revisited, Science Advances",2020,https://pmc.ncbi.nlm.nih.gov/articles/PMC7124948/,"Definitions; coherence debate; dissipation and open-system framing"
S002,"4,5",experiment,"Engel et al., Evidence for wavelike energy transfer through quantum coherence in photosynthetic systems, Nature",2007,https://www.nature.com/articles/nature05678,"Historical FMO coherence result; bacterial system boundary"
S003,"4,5,7",experiment,"Romero et al., Quantum coherence in photosynthesis for efficient solar-energy conversion, Nature Physics",2014,https://www.nature.com/articles/nphys3017,"Plant PSII reaction-centre coherence and charge-separation interpretation at 80 K"
S004,"4,5,6",experiment,"Fuller et al., Vibronic coherence in oxygenic photosynthesis, Nature Chemistry",2014,https://www.nature.com/articles/nchem.2005,"Vibronic interpretation in oxygenic photosynthetic complexes"
S005,"4,5",experiment,"Romero et al., Quantum-coherent dynamics in photosynthetic charge separation revealed by wavelet analysis, Scientific Reports",2017,https://www.nature.com/articles/s41598-017-02974-3,"Wavelet analysis of coherent dynamics in photosynthetic charge separation"
S006,"4,5,15",review,"Thyrhaug et al., Identification and characterization of diverse coherences in the Fenna–Matthews–Olson complex, Nature Chemistry",2018,https://www.nature.com/articles/s41557-018-0060-5,"Separating electronic and vibrational coherence in FMO"
S007,"5,6,15",perspective,"Tiwari et al. and field commentary summarized in Still seeking coherence, Nature Materials",2018,https://www.nature.com/articles/s41563-018-0169-y,"Contested functional-coherence interpretation"
S008,"5,15",simulation,"Lorenzoni et al., Full microscopic simulations uncover persistent quantum effects in primary photosynthesis, Science Advances",2025,https://www.science.org/doi/10.1126/sciadv.ady6751,"Room-temperature picosecond coherence in microscopic FMO simulations; bacterial/computational boundary"
S009,"3,4,6",review,"van Amerongen and Croce, Light harvesting in photosystem II, Photosynthesis Research",2013,https://doi.org/10.1007/s11120-013-9824-3,"Higher-plant antenna organization and excitation transfer"
S010,"3,10,11",experiment_model,"Capretti et al., Nanophotonics of higher-plant photosynthetic membranes, Light: Science & Applications",2019,https://www.nature.com/articles/s41377-018-0116-8,"Higher-plant thylakoid optical organization and collective photonic effects"
S011,"2,11",experiment,"Hogewoning et al., Photosynthetic Quantum Yield Dynamics: From Photosystems to Leaves, The Plant Cell",2012,https://pmc.ncbi.nlm.nih.gov/articles/PMC3442578/,"Wavelength-dependent CO2 quantum yield and PSI/PSII excitation balance in cucumber"
S012,"2,11",review,"Baker, Chlorophyll fluorescence: a probe of photosynthesis in vivo, Annual Review of Plant Biology",2008,https://doi.org/10.1146/annurev.arplant.59.032607.092759,"Meaning and interpretation of chlorophyll fluorescence and PSII quantum yields"
S013,"2,11",review,"Murchie and Lawson, Chlorophyll fluorescence analysis: a guide to good practice and understanding some new applications, Journal of Experimental Botany",2013,https://doi.org/10.1093/jxb/ert208,"Plant-physiology interpretation of fluorescence-derived yields"
S014,"3,10",structure,"Liu et al., Structure of spinach major light-harvesting complex at 2.72 Å resolution, Nature",2004,https://www.nature.com/articles/nature02373,"LHCII pigment-protein architecture"
S015,"3,10",review,"Croce and van Amerongen, Natural strategies for photosynthetic light harvesting, Nature Chemical Biology",2014,https://www.nature.com/articles/nchembio.1555,"Light-harvesting architecture, regulation, and energy transfer"
S016,"6,10",review,"van Amerongen and Croce, Nonphotochemical quenching in plants: Mechanisms and mysteries, The Plant Cell",2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC12619064/,"Current synthesis of NPQ mechanisms, uncertainty, PsbS, zeaxanthin, qE"
S017,"10,16,17",experiment,"Kromdijk et al., Improving photosynthesis and crop productivity by accelerating recovery from photoprotection, Science",2016,https://www.science.org/doi/10.1126/science.aai8878,"Proof of concept for faster NPQ relaxation increasing tobacco productivity"
S018,"10,16,17",experiment,"De Souza et al., Soybean photosynthesis and crop yield are improved by accelerating recovery from photoprotection, Science",2022,https://www.science.org/doi/10.1126/science.adc9831,"Field scaling of altered photoprotection in soybean"
S019,"10,17",review,"Niyogi and Truong, Evolution of flexible non-photochemical quenching mechanisms that regulate light harvesting in oxygenic photosynthesis, Current Opinion in Plant Biology",2013,https://doi.org/10.1016/j.pbi.2013.03.011,"Evolutionary diversity of NPQ mechanisms"
S020,"10",experiment,"Ruban et al., Dynamic feedback of the photosystem II reaction centre on photoprotection in plants, Nature Plants",2018,https://www.nature.com/articles/s41477-018-0127-8,"Reaction-centre state and photoprotection coupling"
S021,"11,18",theory,"Arp et al., Natural Regulation of Energy Flow in a Green Quantum Photocell, Nano Letters",2016,https://pubs.acs.org/doi/10.1021/acs.nanolett.6b03136,"Two-channel quantum heat-engine model; explicitly theoretical"
S022,"3,4,18",theory,"Gómez-Ruiz et al., Energy transfer in N-component nanosystems enhanced by pulse-driven vibronic many-body entanglement, Scientific Reports",2023,https://www.nature.com/articles/s41598-023-46256-z,"Minimal pulse-driven model; possibility of vibronic entanglement; not an accurate LHCII model"
S023,"7",experiment,"Novoderezhkin et al., Pathways and timescales of primary charge separation in the photosystem II reaction center as revealed by a simultaneous fit of time-resolved fluorescence and transient absorption, Biophysical Journal",2011,https://doi.org/10.1016/j.bpj.2011.05.053,"PSII charge-separation pathways and kinetics"
S024,"7",review,"van Grondelle and Novoderezhkin, Energy transfer in photosynthesis: experimental insights and quantitative models, Physical Chemistry Chemical Physics",2006,https://doi.org/10.1039/B514032C,"Excitation-energy transfer models and timescales"
S025,"7",experiment,"Fleming et al., Femtosecond measurements of primary electron transfer in photosynthetic reaction centres, Nature",1988,https://www.nature.com/articles333190a0,"Historical ultrafast electron-transfer measurement; bacterial reaction-centre boundary"
S026,"8",structure,"Umena et al., Crystal structure of oxygen-evolving photosystem II at a resolution of 1.9 Å, Nature",2011,https://www.nature.com/articles/nature09913,"Mn4CaO5 oxygen-evolving complex structure"
S027,"8,9",experiment,"Greife et al., The electron–proton bottleneck of photosynthetic oxygen evolution, Nature",2023,https://www.nature.com/articles/s41586-023-06008-5,"S4 formation; single-electron multi-proton event; oxygen evolution kinetics"
