id,year,author_or_institution,title,source_type,book_use,url
BBD-001,2024,Australian Electoral Commission,Australian voting history in action,primary government history,Chapter 1: secret ballot adopted in the 1850s in response to intimidation and coercion,https://www.aec.gov.au/About_AEC/25/theme1-voting-history.htm
BBD-002,2021,U.S. Election Assistance Commission,Voluntary Voting System Guidelines Version 2.0 Principle 10 Ballot Secrecy,primary government standard,Chapter 1: voting systems should not produce artifacts associating voter identity with selections,https://www.eac.gov/sites/default/files/TestingCertification/Voluntary_Voting_System_Guidelines_Version_redlines_2_0_020921_v2.pdf
BBD-003,1992,Supreme Court of the United States,Burson v. Freeman 504 U.S. 191,primary judicial opinion,Chapter 1: recounts U.S. history of ballot secrecy reforms against intimidation bribery and fraud,https://www.law.cornell.edu/supremecourt/text/504/191
BBD-004,1998,U.S. Food and Drug Administration,E9 Statistical Principles for Clinical Trials,primary regulatory guidance,Chapter 2: blinding is a core trial-design method intended to reduce conscious and unconscious bias,https://www.fda.gov/media/71336/download
BBD-005,2010,U.S. Food and Drug Administration,Guidance for the Use of Bayesian Statistics in Medical Device Clinical Trials,primary regulatory guidance,Chapter 2: masking physicians and patients reduces care assessment and expectation biases,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-use-bayesian-statistics-medical-device-clinical-trials
BBD-006,2026,U.S. General Services Administration,FAR 14.101 Elements of sealed bidding,primary government procurement rule,Chapter 3: defines sealed bidding as competitive bids followed by public opening evaluation without discussions and award,https://www.acquisition.gov/far/14.101
BBD-007,2026,U.S. General Services Administration,FAR 14.401 Receipt and safeguarding of bids,primary government procurement rule,Chapter 3: bids must remain secure unopened and unviewed before the opening time with limited need-to-know access,https://www.acquisition.gov/far/14.401
BBD-008,2026,National Institute of Standards and Technology,Privacy-Enhancing Cryptography — Zero-Knowledge Proof,primary government technical reference,Chapter 4: defines zero-knowledge proof as proving a statement without revealing additional information useful to establishing it,https://csrc.nist.gov/projects/pec/zkproof
BBD-009,1985,Shafi Goldwasser / Silvio Micali / Charles Rackoff,The knowledge complexity of interactive proof-systems,foundational peer-reviewed conference paper,Chapter 4: introduces the formal theory from which zero-knowledge proofs emerged,https://doi.org/10.1145/22145.22178
BBD-010,2012,Linsey McGoey,The logic of strategic ignorance,peer-reviewed sociology article,Book brief and later counterargument: ignorance can be an organizational resource and source of power rather than a protective constraint,https://doi.org/10.1111/j.1468-4446.2012.01424.x
BBD-011,2024,Ferdinand A. von Siemens,Strategic ignorance and procedural fairness preferences,peer-reviewed economics article,Book brief and later counterargument: deliberate ignorance can arise from self-interested or fairness-related decision preferences rather than institutional protection,https://doi.org/10.1016/j.econlet.2024.111849
