id,year,author_or_institution,title,source_type,book_use,url
line-ch01-001,1967,Benoît B. Mandelbrot,"How Long Is the Coast of Britain? Statistical Self-Similarity and Fractional Dimension",Original research,"Chapter 1: canonical coastline-measurement paper; use for scale dependence and fractal-dimension history without overextending the mathematical claim.",https://pubmed.ncbi.nlm.nih.gov/17837158/
line-ch01-002,2025,U.S. Census Bureau,"TIGER/Line Shapefiles",Government technical documentation,"Chapter 1 and property/jurisdiction chapters: legal and statistical boundaries represented as geospatial data; distinguish the digital representation from the underlying legal/geographic feature.",https://www.census.gov/geographies/mapping-files/2025/geo/tiger-line-file.html
line-ch03-001,1971,U.S. Constitution / Congress.gov,"Twenty-Sixth Amendment",Primary law,"Chapter 3: exact voting-age boundary at eighteen; use as a clean case of law imposing a discrete eligibility rule on gradual human development.",https://constitution.congress.gov/browse/essay/Intro.6-6/ALDE_00000153/
line-ch04-001,2026,U.S. Census Bureau,"How the Census Bureau Measures Poverty",Government methodology,"Chapter 4: official poverty thresholds as statistical yardsticks; rules, exclusions, and distinction between threshold and complete description of need.",https://www.census.gov/topics/income-poverty/poverty/guidance/poverty-measures.html
line-ch04-002,2026,U.S. Census Bureau,"Poverty Thresholds",Government data,"Chapter 4: annual official thresholds and family-composition structure.",https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html
line-ch04-003,2025,U.S. Census Bureau,"Supplemental Poverty Measure Thresholds: 2024",Government data,"Chapter 4: comparison framework showing that different measurement designs can classify economic hardship differently without making hardship unreal.",https://www.census.gov/data/tables/2025/demo/supplemental-poverty-measure/poverty-thresholds.html
line-ch05-001,2024,Centers for Disease Control and Prevention,"A1C Test for Diabetes and Prediabetes",Public-health guidance,"Chapter 5: explicit diagnostic ranges for normal, prediabetes, and diabetes; use with clinical guidance and limitations rather than treating a cutoff as a biological cliff.",https://www.cdc.gov/diabetes/diabetes-testing/prediabetes-a1c-test.html
line-ch06-001,2024,U.S. Office of Management and Budget,"Statistical Policy Directive No. 15: Standards for Maintaining, Collecting, and Presenting Federal Data on Race and Ethnicity",Federal statistical standard,"Chapter 6: 2024 revision of federal race and ethnicity standards, including combined question and MENA minimum category; central example of consequential categories being deliberately revised.",https://www.federalregister.gov/d/2024-06469
line-ch07-001,1973,U.S. Fish and Wildlife Service,"Endangered Species Act — Section 3 Definitions",Primary law,"Chapter 7: statutory definition of species, including subspecies and distinct population segments of vertebrate species; compare carefully with biological species concepts.",https://www.fws.gov/laws/endangered-species-act/section-3
line-ch13-001,1975,Charles Goodhart,"Problems of Monetary Management: The U.K. Experience",Original policy lecture,"Chapter 13: historical source for the observation later summarized as Goodhart's law; verify the exact wording before quotation and avoid attributing later paraphrases to the original text.",https://www.bankofengland.co.uk/-/media/boe/files/quarterly-bulletin/1975/problems-of-monetary-management-the-uk-experience.pdf
