id,source,year,type,used_for,url,notes
S01,"Nobel Prize, The Prize in Economic Sciences 1998 — press release on Amartya Sen",1998,institutional summary,"Ch 2 entitlement, famine, access versus aggregate availability",https://www.nobelprize.org/prizes/economic-sciences/1998/press-release/,"Summarizes Sen's entitlement approach and evidence that famine cannot always be explained by aggregate food shortage alone."
S02,"Science Museum, In Pursuit of Power — Thomas Newcomen and the practical steam engine",2012,museum history,"Ch 3 early steam, mine-pumping niche",https://blog.sciencemuseum.org.uk/a-new-age/,"Historical engineering source for Newcomen's 1712 engine and the practical mine-pumping context."
S03,"Science Museum, James Watt and the separate condenser",2019,museum history,"Ch 3 Watt efficiency improvement and expansion of steam uses",https://blog.sciencemuseum.org.uk/james-watt-and-the-separate-condenser/,"Reports the separate condenser's large reduction in coal use and explains the hot-cylinder/cool-condenser design improvement."
S04,"Steve Sorrell, Jevons' Paradox revisited: The evidence for backfire from improved energy efficiency",2009,peer-reviewed review,"Ch 3; Ch 12 rebound definitions and evidentiary caution",https://doi.org/10.1016/j.enpol.2008.12.003,"Useful counterweight to simplistic claims that efficiency always causes backfire; evidence is suggestive and boundary-dependent."
S05,"Paul E. Brockway et al., Energy efficiency and economy-wide rebound effects: A review of the evidence and its implications",2021,peer-reviewed review,"Ch 3; Ch 12 economy-wide rebound",https://doi.org/10.1016/j.rser.2021.110781,"Review finds substantial economy-wide rebound in much of the literature while emphasizing methodological diversity."
S06,"Paul A. David, The Dynamo and the Computer: An Historical Perspective on the Modern Productivity Paradox",1990,academic paper,"Ch 4 electrification, complementary reorganization, productivity lag",https://www.jstor.org/stable/2006600,"Core historical analogy for delayed productivity gains from general-purpose technologies and complementary organizational change."
S07,"EH.net, The U.S. Economy in the 1920s",2004,economic history reference,"Ch 4 factory electrification and distributed electric drive",https://eh.net/encyclopedia/the-u-s-economy-in-the-1920s/,"Secondary history describing factory-layout, control, portable-tool, expansion, and productivity effects of electrification."
S08,"F. A. Hayek, The Use of Knowledge in Society",1945,academic paper,"Ch 5 prices as compressed distributed information",https://www.econlib.org/library/Essays/hykKnw.html,"Foundational source for dispersed knowledge and price coordination; manuscript does not infer that prices are complete welfare measures."
S09,"R. H. Coase, The Nature of the Firm",1937,academic paper,"Ch 3; Ch 5; Ch 6 transaction costs and organizational coordination",https://doi.org/10.1111/j.1468-0335.1937.tb00002.x,"Grounds the distinction between market coordination and hierarchy when transacting through prices is itself costly."
S10,"William D. Nordhaus, Schumpeterian Profits in the American Economy: Theory and Measurement",2004,NBER working paper,"Ch 5; Ch 13 value creation versus producer capture",https://www.nber.org/papers/w10433,"Finds producers historically captured only a small share of measured social returns from technological advances; exact estimates are context-specific."
S11,"Stanford HAI, 2026 AI Index Report — Research and Development",2026,institutional report,"Ch 7-10; Ch 13-17 compute, chips, data centers, environmental footprint",https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,"Primary current snapshot for AI compute capacity, data-center concentration, chip fabrication dependence, and environmental metrics."
S12,"Stanford HAI, 2025 AI Index Report — Research and Development",2025,institutional report,"Ch 7; Ch 10; Ch 12 historical inference-cost and hardware-efficiency trends",https://hai.stanford.edu/ai-index/2025-ai-index-report/research-and-development,"Records rapid declines in cost to reach fixed benchmark capability; treated as a dated trend rather than a permanent law."
S13,"International Energy Agency, Energy demand from AI — Energy and AI",2025,institutional report,"Ch 7; Ch 9; Ch 12; Ch 15 data-center electricity demand and scenarios",https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,"Base case projects global data-center electricity use around 945 TWh by 2030; sensitivity cases make uncertainty explicit."
S14,"International Energy Agency, Electricity 2026 — Executive summary",2026,institutional report,"Ch 4; Ch 9; Ch 11; Ch 15 grid investment, flexibility and concentrated loads",https://www.iea.org/reports/electricity-2026/executive-summary,"Highlights grid and flexibility requirements and more than 2,500 GW of generation, storage and large-load projects in connection queues worldwide."
S15,"Lawrence Berkeley National Laboratory, Queued Up 2026 Edition",2026,official dataset and analysis,"Ch 9 grid interconnection queues and construction lag",https://emp.lbl.gov/queued-2026-edition-characteristics-power-plants-seeking-transmission-interconnection-end-2025,"Reports more than 2,060 GW of U.S. generation and storage actively seeking interconnection at end-2025; most projects will not be built."
S16,"U.S. Bureau of Industry and Security, Department of Commerce Revises License Review Policy for Semiconductors Exported to China",2026,regulation and press release,"Ch 8; Ch 16 semiconductor controls and strategic dependence",https://www.bis.gov/press-release/department-commerce-revises-license-review-policy-semiconductors-exported-china,"January 13 2026 policy for case-by-case review of H200, MI325X and similar exports under specified security conditions."
S17,"Erik Brynjolfsson; Danielle Li; Lindsey R. Raymond, Generative AI at Work",2023,NBER working paper,"Ch 6; Ch 10; Ch 13-14 workplace productivity and heterogeneous worker effects",https://www.nber.org/papers/w31161,"Study of 5,179 customer-support agents; reports average productivity gains with larger gains for novice and lower-skilled workers in that setting."
S18,"International Labour Organization, Generative AI and Jobs: A Refined Global Index of Occupational Exposure",2025,working paper,"Ch 10; Ch 13-14 labor exposure and task transformation",https://www.ilo.org/publications/generative-ai-and-jobs-refined-global-index-occupational-exposure,"Task-level global exposure framework; emphasizes transformation over simple job replacement and large cross-country differences."
S19,"World Bank, Digital Progress and Trends Report 2025: Strengthening AI Foundations",2025,institutional report,"Ch 15-16 global AI capacity, connectivity, compute, context and competency",https://www.worldbank.org/en/publication/dptr2025-ai-foundations/report,"Provides the four-Cs framework and evidence of uneven global AI infrastructure, adoption and skills."
S20,"International Energy Agency, Global Energy Review 2026 — Key findings",2026,institutional report,"Ch 4; Ch 11; Ch 17 electricity growth, low-emissions supply and CO2",https://www.iea.org/reports/global-energy-review-2026/key-findings,"Reports 2025 energy and electricity trends; low-emissions sources supplied most energy-demand growth while global energy-related CO2 still rose."
S21,"International Energy Agency, Global Energy Review 2026 — Electricity supply",2026,institutional report,"Ch 17 electricity mix and decarbonization",https://www.iea.org/reports/global-energy-review-2026/electricity-supply,"Reports renewables plus nuclear generation growth exceeding total electricity-generation growth in 2025 while fossil fuels remain major sources."
S22,"International Energy Agency, Global Hydrogen Review 2026",2026,institutional report,"Ch 11 hydrogen, electrolysis and abundance boundary conditions",https://www.iea.org/reports/global-hydrogen-review-2026,"Current evidence on electrolysis deployment, costs, project pipelines, demand constraints and infrastructure."
S23,"U.S. Department of Energy, Desalination Basics",2023,official technical explainer,"Ch 11 reverse osmosis, pumping, brine and non-energy constraints",https://www.energy.gov/cmei/ito/desalination-basics,"Grounds the claim that cheaper electricity helps desalination without eliminating pressure, membrane, maintenance and brine-disposal constraints."
S24,"FERC; NERC; Regional Entity Staff, The February 2021 Cold Weather Outages in Texas and the South Central United States",2021,official event report,"Ch 19 reliability, common-cause failure and physical-system stress",https://www.ferc.gov/media/february-2021-cold-weather-outages-texas-and-south-central-united-states-ferc-nerc-and,"Primary post-event report on outages, derates, cold-weather preparation and coordination failures during Winter Storm Uri."
S25,"International Energy Agency, Electricity 2026 — Flexibility",2026,institutional report,"Ch 9; Ch 11 flexible loads, storage, curtailment and system balancing",https://www.iea.org/reports/electricity-2026/flexibility,"Supports treatment of demand flexibility as a system resource while emphasizing that software does not eliminate grid investment."
S26,"International Energy Agency, Global Energy Review 2026 — CO2 emissions",2026,institutional report,"Ch 17 carbon constraint and avoided emissions",https://www.iea.org/reports/global-energy-review-2026/co2-emissions,"Reports global energy-related CO2 reaching a new high in 2025 while deployment of selected clean technologies avoided substantial fossil use and emissions."
