id,year,author_or_institution,title,source_type,book_use,url
ch01-001,2017,Richard W. Byrne et al.,Great ape gestures: intentional communication with a rich set of innate signals,Peer-reviewed review,"Audience attention, response waiting, persistence, and intentional gesture criteria; Chapter: 1; Notes: Review supports interactional criteria; not evidence that ape gestures are human language.; Response waiting, audience attention, persistence and flexibility; Chapter: 16; Notes: Use for cross-study synthesis.; Legacy duplicate source id: ch16-002",https://pmc.ncbi.nlm.nih.gov/articles/PMC5486474/
ch01-002,2013,Anna Ilona Roberts; Sarah-Jane Vick; Hannah M. Buchanan-Smith,Communicative intentions in wild chimpanzees: persistence and elaboration in gestural signalling,Peer-reviewed article,Persistence and elaboration after unsuccessful communicative attempts; Chapter: 1; Notes: Used for recipient-response logic rather than semantic translation.; Repair-like persistence and elaboration; Chapter: 3; Notes: Repeated from Ch 1 because it anchors the repair sequence directly.; Legacy duplicate source id: ch03-002; Persistence/elaboration after apparent communicative failure; Chapter: 16; Notes: Core repair evidence.; Legacy duplicate metadata: Anna Ilona Roberts et al. — Communicative intentions in wild chimpanzees: persistence and elaboration in gestural signalling; Legacy duplicate source id: ch16-001,https://pubmed.ncbi.nlm.nih.gov/23053796/
ch01-003,2002,Brian Hare; Michelle Brown; Christina Williamson; Michael Tomasello,The domestication of social cognition in dogs,Science article,Dogs' use of human social/communicative cues and domestication hypothesis; Chapter: 1; Notes: Comparative result does not by itself settle developmental versus selection mechanisms.; Human pointing/social cue use in dogs; Chapter: 4; Notes: Core dog-domestication evidence lane.; Legacy duplicate metadata: Brian Hare et al. — The domestication of social cognition in dogs; Legacy duplicate source id: ch04-001,https://pubmed.ncbi.nlm.nih.gov/12446914/
ch01-004,2003,Ádám Miklósi et al.,"A simple reason for a big difference: wolves do not look back at humans, but dogs do",Current Biology article,Dogs versus socialized wolves in unsolvable-task human-oriented looking; Chapter: 1; Notes: Supports the narrower claim that dogs incorporate humans differently into the task.; Human-directed gaze in an unsolvable task; Chapter: 4; Notes: Core comparative example.; Legacy duplicate source id: ch04-002,https://pubmed.ncbi.nlm.nih.gov/12725735/
ch02-001,2020,Tasmin Humphrey et al.,The role of cat eye narrowing movements in cat-human communication,Scientific Reports article,Slow-blink reciprocity and subsequent approach toward an unfamiliar human; Chapter: 2; Notes: Do not translate slow blink as a fixed sentence such as 'I love you.'; Human-cat slow-blink interaction; Chapter: 5; Notes: Primary source for chapter title example.; Legacy duplicate source id: ch05-001,https://www.nature.com/articles/s41598-020-73426-0
ch02-002,2019,Atsuko Saito et al.,Domestic cats (Felis catus) discriminate their names from other words,Scientific Reports article,Cats discriminate own names from other words under controlled habituation/dishabituation designs; Chapter: 2; Notes: Name discrimination is not equivalent to a human proper-name concept.; Own-name discrimination; Chapter: 5; Notes: Supports reception/compliance distinction.; Legacy duplicate metadata: Atsuko Saito et al. — Domestic cats discriminate their names from other words; Legacy duplicate source id: ch05-002,https://www.nature.com/articles/s41598-019-40616-4
ch02-003,2013,Atsuko Saito; Kazutaka Shinozuka,Vocal recognition of owners by domestic cats,Animal Cognition article,Cats distinguish familiar owner voices from unfamiliar human voices; Chapter: 2; Notes: Orienting responses can demonstrate discrimination without approach/compliance.; Owner voice recognition; Chapter: 5; Notes: Cats can discriminate voices without overtly approaching.; Legacy duplicate source id: ch05-003,https://pubmed.ncbi.nlm.nih.gov/23525707/
ch02-004,2015,Isabella Merola et al.,Social referencing and cat-human communication,Animal Cognition article,Cats use owner emotional information in an ambiguous-object paradigm; Chapter: 2; Notes: Used cautiously; not asserted as identical to human-infant social referencing.; Sensitivity to owner emotional signaling around an ambiguous object; Chapter: 5; Notes: Cautious analogy to social referencing.; Legacy duplicate source id: ch05-004,https://pubmed.ncbi.nlm.nih.gov/25573289/
ch03-001,2016,Marlen Fröhlich et al.,Unpeeling the layers of language: bonobos and chimpanzees engage in cooperative turn-taking sequences,Scientific Reports article,"Turn-taking and response organization in great ape gesture; Chapter: 3; Notes: Cross-species comparison is about interaction structure, not language equivalence.",https://www.nature.com/articles/srep25887
ch03-003,2019,Catherine Hobaiter et al.,Thirty years of great ape gestures,Review,Review of three decades of gesture research and intentionality criteria; Chapter: 3; Notes: Use for disciplinary context and methodological caution.,https://pmc.ncbi.nlm.nih.gov/articles/PMC6647417/
ch04-003,2015,Miho Nagasawa et al.,Oxytocin-gaze positive loop and the coevolution of human-dog bonds,Science article,Mutual gaze and oxytocin feedback in dog-human interaction; Chapter: 4; Notes: Oxytocin is not treated as a simple synonym for love.,https://pubmed.ncbi.nlm.nih.gov/25883356/
ch04-004,2017,Charlotte Duranton et al.,Interspecific behavioural synchronization: dogs exhibit locomotor synchrony with humans,Scientific Reports article,Dog-human locomotor synchronization; Chapter: 4; Notes: Supports embodied coordination rather than any mind-reading claim.,https://www.nature.com/articles/s41598-017-12577-z
ch04-005,2024,Anne Lamontagne et al.,Dogs reciprocate behavioral synchronization with unfamiliar humans,Applied Animal Behaviour Science article,Reciprocity and familiarity questions in human-dog synchronization; Chapter: 4; Notes: Publication date normalized to year in ledger.,https://doi.org/10.1016/j.applanim.2024.106204
ch05-005,2022,Atsuko Saito et al.,Cats learn the names of their friend cats in their daily lives,Scientific Reports article,Associations involving names of familiar cats and humans; Chapter: 5; Notes: Natural household exposure rather than explicit vocabulary training is relevant.,https://doi.org/10.1038/s41598-022-10261-5
ch06-001,2017,Monamie Ringhofer; Shinya Yamamoto,Domestic horses send signals to humans when they face with an unsolvable task,Animal Cognition article,Human-directed signaling around inaccessible food and human knowledge state; Chapter: 6; Notes: Headline shorthand 'ask for help' is treated as interpretation.,https://pubmed.ncbi.nlm.nih.gov/27885519/
ch06-002,2016,Christian Nawroth; Jemma Brett; Alan G. McElligott,Goats display audience-dependent human-directed gazing behaviour in a problem-solving task,Biology Letters article,Goats direct gaze toward humans and adjust with human orientation; Chapter: 6; Notes: Useful counterweight to a dog-exclusive domestication story.,https://pubmed.ncbi.nlm.nih.gov/27381884/
ch06-003,2024,Research team,Human-horse bidirectional heart-rate variability synchronization,iScience article,Physiological coupling during human-horse interaction; Chapter: 6; Notes: Used only as cautious evidence of physiological coupling; not shared emotion.,https://doi.org/10.1016/j.isci.2024.110857
ch07-001,2011,Simone Pika; Thomas Bugnyar,The use of referential gestures in ravens (Corvus corax) in the wild,Nature Communications article,Show/offer gestures directed toward conspecific attention; Chapter: 7; Notes: Do not equate automatically with human declarative pointing.,https://www.nature.com/articles/ncomms1567
ch07-002,2010,John M. Marzluff et al.,Lasting recognition of threatening people by wild American crows,Animal Behaviour article,Long-term discrimination and social transmission of dangerous human-face information; Chapter: 7; Notes: Supports the claim that individual human appearances can acquire durable meaning.,https://doi.org/10.1016/j.anbehav.2009.12.022
ch07-003,1987,Irene M. Pepperberg,Acquisition of the same/different concept by an African Grey parrot,Animal Learning & Behavior article,Controlled relational-concept performance by Alex; Chapter: 7; Notes: Does not establish full human language.,https://doi.org/10.3758/BF03205051
ch07-004,1987,Irene M. Pepperberg,Evidence for conceptual quantitative abilities in the African Grey parrot,Ethology article,Vocal labels and quantitative discrimination; Chapter: 7; Notes: Used for symbolic-learning history.,https://doi.org/10.1111/j.1439-0310.1987.tb00641.x
ch07-005,2006,Irene M. Pepperberg,Cognitive and communicative abilities of Grey parrots,Applied Animal Behaviour Science review,Synthesis of Grey-parrot symbolic and cognitive work; Chapter: 7; Notes: Review used for context around experimental claims.,https://doi.org/10.1016/j.applanim.2006.04.005
ch08-001,2013,Stephanie L. King et al.,Vocal copying of individually distinctive signature whistles in bottlenose dolphins,Proceedings B article,Copying of signature whistles in affiliative social contexts; Chapter: 8; Notes: Supports individually specific learned-label analogy.,https://pmc.ncbi.nlm.nih.gov/articles/PMC3619487/
ch08-002,2013,Stephanie L. King; Vincent M. Janik,Bottlenose dolphins can use learned vocal labels to address each other,PNAS article,Use of copied signature whistles consistent with individual address; Chapter: 8; Notes: Use 'name' only as shorthand for learned individual labels.,https://doi.org/10.1073/pnas.1304459110
ch08-003,2013,Vincent M. Janik; Laela S. Sayigh,Communication in bottlenose dolphins: 50 years of signature whistle research,Review,"Development, stability, and social function of signature whistles; Chapter: 8; Notes: Historical and functional context.",https://pubmed.ncbi.nlm.nih.gov/23649908/
ch08-004,1999,Louis M. Herman et al.,Bottlenose dolphins comprehend the referential character of the human pointing gesture,Journal of Comparative Psychology article,Dolphin comprehension of human pointing; Chapter: 8; Notes: Supports cross-species symbolic/gestural flexibility.,https://pubmed.ncbi.nlm.nih.gov/10608559/
ch09-001,2024,Michael Pardo et al.,African elephants address one another with individually specific name-like calls,Nature Ecology & Evolution article,Receiver-specific acoustic structure and playback response; Chapter: 9; Notes: Central name-like-call evidence.,https://doi.org/10.1038/s41559-024-02420-w
ch09-002,2025,Michael Pardo et al.,Author Correction: African elephants address one another with individually specific name-like calls,Nature Ecology & Evolution correction,Correction to analysis/reporting in 2024 paper; Chapter: 9; Notes: Keep attached to all publicity and later fact checking.,https://doi.org/10.1038/s41559-025-02823-3
ch09-003,2014,Karen McComb et al.,"Elephants can determine ethnicity, gender, and age from acoustic cues in human voices",PNAS article,Elephants discriminate socially relevant human voice categories; Chapter: 9; Notes: Supports the reversal that elephants extract useful information from us.,https://pmc.ncbi.nlm.nih.gov/articles/PMC3986134/
ch10-001,2024,Pratyusha Sharma et al.,Contextual and combinatorial structure in sperm whale vocalisations,Nature Communications article,"Rhythm, tempo, rubato, ornamentation and combinatorial structure in codas; Chapter: 10; Notes: Structure is explicitly not treated as a semantic dictionary.; Peer-reviewed behavioral/acoustic anchor beneath AI discussion; Chapter: 19; Notes: Separates real structural discovery from translation claims.; Legacy duplicate source id: ch19-005",https://www.nature.com/articles/s41467-024-47221-8
ch10-002,2026,Legacy research source,Project CETI research overview,First-party project page,"Current description of multimodal sperm-whale communication research; Chapter: 10; Notes: First-party source for project scope only; not used as sole evidence for behavioral claims.; Multimodal data, field robotics, machine learning, and sperm-whale communication research; Chapter: 19; Notes: Use project page for scope; scientific claims require papers.; Legacy duplicate metadata: Project CETI — Project CETI; Legacy duplicate source id: ch19-002",https://www.projectceti.org/
ch11-001,2023,Shihao Dong et al.,Social signal learning of the waggle dance in honey bees,Science article,Young bees learn important calibration features from experienced dancers; Chapter: 11; Notes: Supports social-learning claim in a partially innate communication system.,https://pubmed.ncbi.nlm.nih.gov/36893231/
ch11-002,2023,Research team,Honey bee waggle dances facilitate shorter foraging distances and increased foraging aggregation,Animal Behaviour article,Functional effects of dance information on foraging; Chapter: 11; Notes: Use for dance function/context rather than human-language analogy.,https://doi.org/10.1016/j.anbehav.2023.01.009
ch11-003,2026,Research team,The audience shapes the information content of the honey bee waggle dance,PNAS article,Audience composition/availability changes precision of waggle-dance information; Chapter: 11; Notes: Publication metadata should be rechecked before release; DOI and 2026 publication are the canonical anchor.,https://doi.org/10.1073/pnas.2518687123
ch12-001,2016,Yosef Prat; Mor Taub; Yossi Yovel,"Everyday bat vocalizations contain information about emitter, addressee, context, and behavior",Scientific Reports article,"Egyptian fruit-bat calls contain information about caller, addressee, context, and likely outcome; Chapter: 12; Notes: Core chapter evidence.",https://www.nature.com/articles/srep39419
ch12-002,2017,Yosef Prat; Mor Taub; Yossi Yovel,An annotated dataset of Egyptian fruit bat vocalizations,Data article,Large annotated corpus of ordinary bat social vocalizations; Chapter: 12; Notes: Supports the chapter's argument for recording mundane social interaction.,https://pmc.ncbi.nlm.nih.gov/articles/PMC5625625/
ch13-001,2012,Culum Brown; Mark P. Garwood; Jane E. Williamson,It pays to cheat: tactical deception in a cephalopod social signalling system,Biology Letters article,Male mourning cuttlefish show courtship to female on one side and female-like pattern to rival male on the other; Chapter: 13; Notes: Observed in a specific social geometry; do not generalize to all courtship.,https://pubmed.ncbi.nlm.nih.gov/22764112/
ch13-002,2021,Vera Worm; Tim Landgraf; Gerhard von der Emde,Electric signal synchronization and robotic interaction in weakly electric fish,Biological Cybernetics article,Artificial electric signals/robotic systems can enter fish electrocommunication channels; Chapter: 13; Notes: Supports modality-bridging example; not semantic translation.,https://doi.org/10.1007/s00422-021-00892-8
ch13-003,2021,Review authors,Vocal and electric fish communication,Peer-reviewed review,"Electric-fish signal production, social communication, and sensory context; Chapter: 13; Notes: Broad background on electric communication.",https://pmc.ncbi.nlm.nih.gov/articles/PMC8418312/
ch14-001,1907,Oskar Pfungst,Clever Hans (The Horse of Mr. von Osten): A Contribution to Experimental Animal and Human Psychology,Historical monograph,Unconscious human cueing explains Hans's apparent arithmetic performance; Chapter: 14; Notes: Historical primary source; use modern summaries for contextual checking if edition differs.,https://archive.org/details/cleverhansthehor00pfun
ch14-002,2024,Federico Rossano lab / Bastos et al.,How do soundboard-trained dogs respond to human button presses?,PLOS ONE article,Controlled evidence that dogs respond appropriately to some button-associated words; Chapter: 14; Notes: Designed partly to reduce owner-cueing explanations.,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0307189
ch14-003,2024,Amalia Bastos et al.,"Soundboard-trained dogs produce non-accidental, non-random and non-imitative two-button combinations",Scientific Reports article,Two-button combinations not fully explained by chance or immediate human imitation; Chapter: 14; Notes: True semantic scope remains unresolved.; Nonrandom/nonimitative combination evidence; Chapter: 15; Notes: Does not establish syntax equivalent to human combinatorial language.; Legacy duplicate source id: ch15-002,https://www.nature.com/articles/s41598-024-79517-6
ch15-001,2024,Amalia Bastos et al.,How do soundboard-trained dogs respond to human button presses?,PLOS ONE article,Behavioral response to human-produced button words; Chapter: 15; Notes: Supports comprehension of at least some AIC-associated words under controlled conditions.,https://doi.org/10.1371/journal.pone.0307189
ch17-001,2026,AZA,Animal training and cooperative husbandry resources,Professional guidance,Cooperative care and voluntary participation in zoo husbandry; Chapter: 17; Notes: Institutional resource; exact guidance page should be pinned before publication if directly quoted or quantified.,https://www.aza.org/
ch17-002,2026,Fear Free Pets,Cooperative care and low-stress veterinary handling resources,Professional guidance,"Practical context for voluntary participation, choice, and stress reduction; Chapter: 17; Notes: Used for practice context, not as sole scientific evidence for causal welfare claims.",https://fearfreepets.com/
ch18-001,2006,Barbara Smuts,Between Species: Science and Subjectivity,Configurations essay,"Interspecies relationships as emergent, co-created, improvisational processes; Chapter: 18; Notes: Critical prior-art boundary; prevents false novelty claim.",https://doi.org/10.1353/con.0.0004
ch18-002,2017,Don Kulick,Human–Animal Communication,Annual Review of Anthropology review,Established scholarly field of human-animal communication; Chapter: 18; Notes: Critical prior-art boundary.; Broad human-animal communication context and disciplinary history; Chapter: 20; Notes: Synthesis only; chapter introduces no new mechanism.; Legacy duplicate source id: ch20-001,https://www.annualreviews.org/content/journals/10.1146/annurev-anthro-102116-041723
ch18-003,2003,Donna Haraway,The Companion Species Manifesto,Book,"Companion species, co-shaping, and human-dog relationality; Chapter: 18; Notes: Conceptual prior art; not empirical animal-cognition evidence.",https://press.uchicago.edu/ucp/books/book/chicago/C/bo3645022.html
ch18-004,2008,Donna Haraway,Training in the Contact Zone,Book chapter,Mutual training and contact-zone framing; Chapter: 18; Notes: Conceptual prior art.,https://doi.org/10.7551/mitpress/9780262042499.003.0026
