id,year,author_or_institution,title,source_type,book_use,url
aatw-ch19-001,2024,Centers for Disease Control and Prevention,About Sleep,Government health guidance,Age-specific sleep-duration guidance including newborn and adult ranges used to distinguish infant total sleep from consolidated adult sleep,https://www.cdc.gov/sleep/about/index.html
aatw-ch19-002,2026,National Institute for Occupational Safety and Health,Fatigue and Work,Government occupational-safety guidance,Work-related fatigue causes and documented effects on reaction time attention short-term memory and judgment,https://www.cdc.gov/niosh/fatigue/about/index.html
aatw-ch19-003,2024,Centers for Disease Control and Prevention,Sleep Chronic Disease Indicators,Government public-health surveillance,Population context for insufficient sleep and limits of treating sleep loss as an exceptional individual problem,https://www.cdc.gov/cdi/indicator-definitions/sleep.html
aatw-ch20-001,2026,U.S. Bureau of Labor Statistics,American Time Use Survey 2025,Government time-use survey,2025 work-at-home prevalence and average sleep/work categories with explicit caution that survey sleep categories are not physiological measurement,https://www.bls.gov/tus/
aatw-ch20-002,2026,U.S. Bureau of Labor Statistics,Average hours employed people spent working at home and at their workplace,Government time-use table,Distinguishes scheduled and unscheduled home work and provides work-at-home duration context,https://www.bls.gov/charts/american-time-use/work-by-ftpt-job-edu-h.htm
aatw-ch20-003,2026,National Institute for Occupational Safety and Health,Fatigue and Work,Government occupational-safety guidance,Fatigue as an operational hazard extending beyond subjective sleepiness,https://www.cdc.gov/niosh/fatigue/about/index.html
aatw-ch21-001,2024,Centers for Disease Control and Prevention,About Sleep,Government health guidance,Seven-or-more-hour adult population recommendation and age-specific ranges framed as anchors rather than moral scores,https://www.cdc.gov/sleep/about/index.html
aatw-ch21-002,2015,American Academy of Sleep Medicine and Sleep Research Society,Recommended Amount of Sleep for a Healthy Adult Joint Consensus Statement,Professional consensus statement,Adult seven-or-more-hour recommendation and acknowledgement of individual variability,https://aasm.org/aasm-and-srs-publish-new-sleep-duration-consensus-statement/
aatw-ch21-003,2026,National Institute for Occupational Safety and Health,Fatigue and Work,Government occupational-safety guidance,Employer-worker shared responsibility and schedule-related fatigue framing,https://www.cdc.gov/niosh/fatigue/about/index.html
aatw-ch22-001,2024,Centers for Disease Control and Prevention,About Sleep,Government health guidance,Closing population sleep-duration anchor with explicit age variation,https://www.cdc.gov/sleep/about/index.html
aatw-ch22-002,2015,American Academy of Sleep Medicine and Sleep Research Society,Recommended Amount of Sleep for a Healthy Adult Joint Consensus Statement,Professional consensus statement,Counterweight to rigid universal sleep-number claims by noting genetic behavioral medical and environmental variability,https://aasm.org/aasm-and-srs-publish-new-sleep-duration-consensus-statement/
