id,year,author_or_institution,title,source_type,book_use,url
ch01-smart-reply-kdd,2016,Kannan et al.,Smart Reply: Automated Response Suggestion for Email,Peer-reviewed conference paper,Original Smart Reply system design and reported share of assisted mobile responses,https://research.google/pubs/smart-reply-automated-response-suggestion-for-email/
ch01-smart-reply-gmail,2017,Google Research,"Efficient Smart Reply, now for Gmail",First-party research and product note,Reported growth to about twelve percent of Inbox mobile replies and product chronology,https://research.google/blog/efficient-smart-reply-now-for-gmail/
ch01-ai-mediated-communication,2023,Hohenstein et al.,Artificial intelligence in communication impacts language and social relationships,Peer-reviewed journal article,Randomized evidence on message speed language and perceptions when smart replies are available,https://www.nature.com/articles/s41598-023-30938-9
ch01-generative-ai-at-work,2025,Brynjolfsson; Li; Raymond,Generative AI at Work,Peer-reviewed journal article,Customer-support field evidence on issues resolved per hour and heterogeneous worker effects,https://academic.oup.com/qje/article/140/2/889/7990658
ch01-shifting-work-patterns,2026,Dillon; Jaffe; Immorlica; Stanton,Shifting Work Patterns with Generative AI,Randomized field experiment,Counterevidence that integrated AI reduced email time without increasing replied-to thread counts,https://arxiv.org/abs/2504.11436
ch01-infinite-workday,2025,Microsoft,Breaking down the infinite workday,First-party telemetry report,Current message-volume and skimming context with stated methodology and vendor limitations,https://www.microsoft.com/en-us/worklab/work-trend-index/breaking-down-infinite-workday
ch01-email-duration,2016,Mark; Iqbal; Czerwinski; Johns; Sano,"Email Duration, Batching and Self-interruption",Peer-reviewed conference paper,Observed associations among email duration perceived productivity stress and batching,https://www.microsoft.com/en-us/research/publication/email-duration-batching-and-self-interruption-patterns-of-email-use-on-productivity-and-stress/
ch02-nguyen,2014,U.S. Court of Appeals for the Ninth Circuit,Nguyen v. Barnes & Noble Inc.,Judicial opinion,Central record on browsewrap notice and assent without affirmative agreement,https://cdn.ca9.uscourts.gov/datastore/opinions/2014/08/18/12-56628.pdf
ch02-meyer,2017,U.S. Court of Appeals for the Second Circuit,"Meyer v. Uber Technologies, Inc.",Judicial opinion,Contrasting record on conspicuous notice and assent through registration,https://law.justia.com/cases/federal/appellate-courts/ca2/16-2750/16-2750-2017-08-17.html
ch02-fine-print,2014,Bakos; Marotta-Wurgler; Trossen,Does Anyone Read the Fine Print?,Peer-reviewed journal article,Empirical baseline for access to online software terms before generative AI,https://chicagounbound.uchicago.edu/jls/vol43/iss1/2/
ch02-aba-512,2024,American Bar Association,Formal Opinion 512,Professional ethics opinion,Professional duties and distinction between generation time and necessary review,https://www.americanbar.org/content/dam/aba/administrative/professional_responsibility/ethics-opinions/aba-formal-opinion-512.pdf
ch02-legalese,2023,Martínez; Mollica; Gibson,Even lawyers do not like legalese,Peer-reviewed journal article,Counterevidence that simplified contracts can improve lawyer comprehension and preference,https://www.pnas.org/doi/10.1073/pnas.2302672120
ch02-cocounsel-drafting,2024,Thomson Reuters,Legal drafting meets generative AI,First-party product note,Documented drafting comparison and playbook capabilities without independent performance claims,https://legal.thomsonreuters.com/blog/legal-drafting-meets-generative-ai/
ch03-flake8-issue-545,2026,PyCQA,flake8-bugbear issue 545,Public repository issue,Problem statement for the generated pull-request alternatives,https://github.com/PyCQA/flake8-bugbear/issues/545
ch03-flake8-pr-555,2026,PyCQA,flake8-bugbear pull request 555,Public pull-request record,First generated alternative and automated review trail,https://github.com/PyCQA/flake8-bugbear/pull/555
ch03-flake8-pr-556,2026,PyCQA,flake8-bugbear pull request 556,Public pull-request record,Second generated alternative semantic concern and maintainer response,https://github.com/PyCQA/flake8-bugbear/pull/556
ch03-isort-pr-2499,2026,PyCQA,isort pull request 2499,Public pull-request record,Countercase of a small tested agent-authored change approved and merged,https://github.com/PyCQA/isort/pull/2499
ch03-google-review,2018,Sadowski et al.,Modern Code Review,Peer-reviewed conference paper,Scale change size latency and organizational purposes of review at Google,https://research.google/pubs/modern-code-review-a-case-study-at-google/
ch03-microsoft-review,2013,Bacchelli; Bird,"Expectations, Outcomes, and Challenges of Modern Code Review",Peer-reviewed conference paper,Evidence that review supports understanding and knowledge transfer beyond defect finding,https://www.microsoft.com/en-us/research/publication/expectations-outcomes-and-challenges-of-modern-code-review/
ch03-copilot-review,2026,GitHub,Review pull requests created by GitHub Copilot,Official documentation,Workflow controls separating agent output automated checks and human approval,https://docs.github.com/en/copilot/how-tos/copilot-on-github/use-copilot-agents/review-copilot-output
ch03-copilot-productivity,2023,Peng et al.,The Impact of AI on Developer Productivity,Controlled experiment,Countercase showing faster completion on a bounded programming task,https://arxiv.org/abs/2302.06590
ch03-metr-rct,2025,Becker et al.,Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity,Randomized controlled trial,Repository-task evidence separating expected perceived and measured speed,https://arxiv.org/abs/2507.09089
ch03-metr-update,2026,METR,Uplift Update,Research update,Limits on estimating productivity with newer tools task selection and parallel agents,https://metr.org/blog/2026-02-24-uplift-update/
ch04-greenberg,2009,Steven A. Greenberg,How citation distortions create unfounded authority,Peer-reviewed journal article,Central citation-network reconstruction of amplification bias and claim mutation,https://pmc.ncbi.nlm.nih.gov/articles/PMC2714656/
ch04-medline-fy,2025,National Library of Medicine,MEDLINE citation counts by fiscal year,Official database statistics,Publication-scale context with distinction between indexing and publication years,https://www.nlm.nih.gov/bsd/medline_pubmed_production_stats.html
ch04-medline-publication-year,2025,National Library of Medicine,MEDLINE citation counts by publication year,Official database statistics,Cross-check for recent annual publication volume,https://www.nlm.nih.gov/bsd/medline_cit_counts_yr_pub.html
ch04-llm-abstracts,2025,Kobak et al.,Delving into LLM-assisted writing in biomedical publications through excess vocabulary,Peer-reviewed journal article,Corpus-level lower-bound estimate with individual-detection limitations,https://www.science.org/doi/10.1126/sciadv.adt3813
ch04-llm-reviews,2024,Liang et al.,Monitoring AI-Modified Content at Scale,Peer-reviewed conference paper,Corpus-level estimates and associations for language-model-assisted peer reviews,https://arxiv.org/abs/2403.07183
ch04-paper-mills,2022,COPE; STM,Paper Mills Research,Research integrity report,Adversarial edge case for manufactured scholarly artifacts,https://publicationethics.org/guidance/research-and-reports/paper-mills-research
ch04-retraction-watch,2026,Crossref,Retraction Watch data documentation,Official documentation,Machine-readable correction infrastructure countercase,https://www.crossref.org/documentation/retrieve-metadata/retraction-watch/
ch04-asreview,2021,van de Schoot et al.,An open source machine learning framework for efficient and transparent systematic reviews,Peer-reviewed journal article,Countercase using active learning to prioritize scarce human screening attention,https://www.nature.com/articles/s42256-020-00287-7
ch04-citation-distortion,2025,Sarol et al.,Automated detection of citation distortion,Peer-reviewed conference paper,Qualified evidence on which citation distortions current automated methods can detect,https://jodischneider.com/pubs/asist2025.pdf
