source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
ch01-001,1,2026-08-28,2014-04-07,CNN,"Metro-North engineer in fatal N.Y. derailment had sleep apnea",News report on NTSB findings,"Dec. 1 2013 Spuyten Duyvil derailment; engineer William Rockefeller Jr.; 4 killed; NTSB link to undiagnosed severe obstructive sleep apnea",https://www.cnn.com/2014/04/07/us/metro-north-crash-ntsb-report/index.html,"NTSB determined the engineer fell asleep due to undiagnosed severe sleep apnea combined with a recent schedule change."
ch01-002,1,2026-08-28,2014-10-28,CBS New York / DNAinfo,"NTSB Engineer's Sleepiness Caused Deadly Bronx Metro-North Train Derailment",News report on NTSB probable-cause finding,"NTSB chair quote on probable cause; train took 30 mph curve at 82 mph; sleep-disorder screening policy gap; positive train control would have prevented crash",https://www.dnainfo.com/new-york/20141028/spuyten-duyvil/metro-north-conductors-sleep-apnea-led-fatal-derailment-ntsb-confirms/,"NTSB also cited Metro-North's lack of a policy to screen engineers for sleep disorders."
ch01-003,1,2026-08-28,2020,Grammarist,"Asleep at the Wheel or Asleep at the Switch — Idiom & Meaning",Reference/etymology,"19th-century American railroading origin of the idiom; switchman's manual lever duty; collision risk if asleep or inattentive",https://grammarist.com/idiom/asleep-at-the-switch-and-asleep-at-the-wheel/,"General idiom-reference source; used for etymology framing only, not for a specific dated wreck."
ch01-004,1,2026-08-28,2020,Wiktionary,"asleep at the switch",Reference/etymology,"Idiom meaning: failing to act at a crucial moment; transferred from literal railway switch duty to general negligence",https://en.wiktionary.org/wiki/asleep_at_the_switch,"Corroborating reference-dictionary source for the idiom's meaning and generalization."
ch02-001,2,2026-08-28,2022-01-09,CNN (Sandee LaMotte),"How our ancestors used to sleep can help the sleep-deprived today",Science journalism summarizing historical research,"Pre-industrial segmented sleep: 'first sleep' and 'second sleep' separated by an hour or more of quiet wakefulness (prayer, sex, chores, visiting)",https://www.cnn.com/2022/01/09/health/sleep-history-wellness-scn,"Summarizes A. Roger Ekirch's research for a general audience."
ch02-002,2,2026-08-28,2013-08-01,A. Roger Ekirch,"Segmented Sleep",First-person essay by the original researcher,"Ekirch's own account of discovering references to segmented sleep while researching nocturnal life in preindustrial Europe and America; found 500+, later 2,000+, references across a dozen languages, some dating to antiquity",https://harpers.org/archive/2013/08/segmented-sleep/,"Primary-adjacent source: written by the historian who identified the pattern."
ch02-003,2,2026-08-28,2021,A. Roger Ekirch / Virginia Tech,"Segmented Sleep — Sleep Research",Researcher's own project page,"Ekirch's ongoing documentation of segmented-sleep references and his academic framing of the research",https://sites.google.com/vt.edu/roger-ekirch/sleep-research/segmented-sleep,"First-party academic source; Ekirch is a history professor at Virginia Tech."
ch02-004,2,2026-08-28,2023,Wikipedia,"Roger Ekirch",Encyclopedia biographical entry,"Background on Ekirch's career and the reception of *At Day's Close: Night in Times Past* (2005)",https://en.wikipedia.org/wiki/Roger_Ekirch,"Used for biographical/publication context only; primary claims sourced to Ekirch's own writing above."
ch03-001,3,2026-08-28,2013-02-11,Maria Popova / The Marginalian,"Thomas Edison, Power-Napper: The Great Inventor on Sleep and Success",Essay drawing on Edison's own statements,"Edison's 1889 Scientific American interview calling sleep a waste of time and a 'heritage from our cave days'; his practice of holding a steel ball while napping so falling asleep would wake him",https://www.themarginalian.org/2013/02/11/thomas-edison-on-sleep-and-success/,"Widely cited secondary account; used for both the quotation context and the napping-technique anecdote."
ch03-002,3,2026-08-28,2014,CBS News,"Edison was wrong about sleep",Science journalism,"Edison's later (1914) statements that sleep is a 'bad habit' and that 'there is really no reason why men should go to bed at all'; framing of his 100-hour work weeks and 4 a.m. interviews",https://www.cbsnews.com/news/edison-was-wrong-about-sleep/,"Used to corroborate the 1914 quotation and Edison's expectation that employees match his schedule."
