source_id,chapters,access_date,publication_date,author_or_institution,title,source_type,claim_or_role,url,caveat
mi-001,"1;2;3;4;5;10;15;16;24;25",2026-09-03,2026-01-13,NATO,Alliance Digital Strategy,official strategy,"Explicitly places inference AI at the tactical edge inside a larger architecture of data sharing resilient networks interoperability human-machine collaboration and decision superiority.",https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2026/01/13/alliance-digital-strategy,"High-level alliance strategy and desired architecture; not evidence that all capabilities are fielded or equally mature."
mi-002,"1;3;5;11;15;22;24",2026-09-03,2026-05-26,NATO,NATO's Digital Transformation Implementation Strategy 2.0,official strategy,"Shows the 2026 implementation framework tying digital transformation to people processes technology interoperability security and operational superiority.",https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2026/05/26/natos-digital-transformation-implementation-strategy,"Strategic roadmap rather than independent evaluation of battlefield effectiveness."
mi-003,"1;5;15;22",2026-09-03,2025-05-05,NATO,Data Strategy for the Alliance,official strategy,"Frames data as a strategic asset and establishes a secure collaborative data-sharing ecosystem supporting AI and machine learning while retaining allied control.",https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/05/05/data-strategy-for-the-alliance,"Public strategy omits classified implementation detail and performance."
mi-004,"1;7;8;18;22;24",2026-09-03,2024-07-10,NATO,Summary of NATO's Revised Artificial Intelligence Strategy,official strategy,"Identifies responsible use interoperability testing AI-enabled information threats adversarial AI and the need to protect AI technologies and innovation capacity.",https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2024/07/10/summary-of-natos-revised-artificial-intelligence-ai-strategy,"Alliance goals rather than proof of implementation; public summary omits classified details."
mi-005,"1;3;4;10;12;13;15;25",2026-09-03,2026-01-09,U.S. Department of War,Artificial Intelligence Strategy for the Department of War,official strategy,"Current U.S. institutional direction toward an AI-first force including agentic battle management decision support simulation experimentation and rapid iteration.",https://media.defense.gov/2026/Jan/12/2003855671/-1/-1/0/ARTIFICIAL-INTELLIGENCE-STRATEGY-FOR-THE-DEPARTMENT-OF-WAR.PDF,"Political and aspirational document; program names and timelines do not demonstrate operational success."
mi-006,"1;3;4;5;10;14;15",2026-09-03,2023-11-02,U.S. Department of Defense,DOD Releases AI Adoption Strategy,official strategy summary,"Defines enduring decision advantage goals including battlespace awareness adaptive planning resilient sustainment and interoperable data/AI infrastructure.",https://www.defense.gov/News/News-Stories/Article/Article/3578219/dod-releases-ai-adoption-strategy/,"Strategy framing from 2023; subsequent administrations and organizations may modify priorities."
mi-007,"9;11;17;19;21;22;24",2026-09-03,2020-02-24,U.S. Department of Defense,DOD Adopts 5 Principles of Artificial Intelligence Ethics,official policy summary,"Provides the responsible equitable traceable reliable and governable principles including testing assurance understanding and the ability to disengage systems exhibiting unintended behavior.",https://www.defense.gov/News/Feature-Stories/Story/Article/2094085/artificial-intelligence-and-national-security/,"Normative principles do not prove compliance or sufficient assurance in real operations."
mi-008,"9;11;17;19;21;22;24",2026-09-03,2022-06-22,U.S. Department of Defense,Responsible Artificial Intelligence Strategy and Implementation Pathway,official implementation guidance,"Connects responsible AI to trust lifecycle risk governance testing accountability operational agility and scalable adoption.",https://media.defense.gov/2024/Oct/26/2003571790/-1/-1/0/2024-06-RAI-STRATEGY-IMPLEMENTATION-PATHWAY.PDF,"Implementation framework; the date embedded in the hosted filename differs from the original 2022 strategy issuance."
mi-009,"9;11;17;19;21;22",2026-09-03,2023-11-14,U.S. Department of Defense,CDAO Releases Responsible AI Toolkit for Ensuring Alignment With RAI Best Practices,official release,"Shows a concrete assessment toolkit intended to operationalize AI ethical principles and lifecycle risk practices.",https://www.defense.gov/News/Releases/Release/Article/3588743/cdao-releases-responsible-ai-rai-toolkit-for-ensuring-alignment-with-rai-best-p/,"Tool availability does not establish adoption quality or combat validity."
mi-010,"9;11;17;19;21;22;24",2026-09-03,2023-11-01,U.S. Department of State and Department of Defense,Political Declaration on Responsible Military Use of Artificial Intelligence and Autonomy,government policy,"Supports human responsibility training auditability and measures to mitigate automation bias in high-consequence military AI use.",https://www.defense.gov/News/News-Stories/Article/Article/3597093/,"Voluntary international political commitment; implementation varies by state."
mi-011,"2;4;9;10;11;12;24",2026-09-03,2006,U.S. Marine Corps,MCDP 6 Command and Control,military doctrine,"Classic command-and-control theory emphasizing uncertainty time timely information decentralized decision-making and acting faster than an adversary without equating speed with omniscience.",https://www.marines.mil/portals/1/publications/mcdp%206%20command%20and%20control.pdf,"Doctrine is conceptual and predates modern machine learning; used for durable C2 theory rather than AI claims."
