id,year,author_or_institution,title,source_type,book_use,url
TIW001,2024,CNBC,"Constellation Energy to restart Three Mile Island nuclear plant, sell the power to Microsoft for AI",News report,"Crane Clean Energy Center restart announcement, 20-year Microsoft PPA; Chapters 1 8 20",https://www.cnbc.com/2024/09/20/constellation-energy-to-restart-three-mile-island-and-sell-the-power-to-microsoft.html
TIW002,2025,NucNet,Constellation Secures $1 Billion Federal Loan For Three Mile Island Restart,News report,DOE loan for Crane Clean Energy Center restart; Chapters 1 20,https://www.nucnet.org/news/constellation-secures-usd1-billion-federal-loann-for-three-mile-island-restart-11-3-2025
TIW003,2026,Pennsylvania Capital-Star,Concern persists as former Three Mile Island nuclear plant progresses toward 2027 restart,News report,Crane Clean Energy Center 2027 restart timeline; Chapters 1 20,https://penncapital-star.com/energy-environment/concern-persists-as-crane-nuclear-plant-progresses-toward-2027-restart/
TIW004,2025,Lawrence Berkeley National Laboratory,Queued Up: Characteristics of Power Plants Seeking Transmission Interconnection,Research data series,Grid interconnection queue size and composition; Chapters 1 16 18,https://emp.lbl.gov/queues
TIW005,2025,S&P Global Mobility,U.S. Vehicle Age Rises Again to 12.8 Years in 2025,Press release,Average vehicle fleet age and scrappage rate; Chapters 4 14,"https://press.spglobal.com/2025-05-21-U-S-Vehicle-Age-Rises-Again-to-12-8-Years-in-2025,-According-to-S-P-Global-Mobility"
TIW006,2025,DXC Technology,How come COBOL-driven mainframes are still the banking system of choice?,Industry analysis,COBOL banking infrastructure prevalence; Chapter 7,https://dxc.com/insights/knowledge-base/blogs/why-banks-still-rely-on-cobol-driven-mainframe-systems
TIW007,2025,Historical Marker Database,What Is Standard Gauge? Historical Marker,Historical record,1886 Southern railway gauge change; Chapter 1,https://www.hmdb.org/m.asp?m=132922
TIW008,2025,American Enterprise Institute,"The Dynamo, the Computer, and ChatGPT: Explaining Today's Productivity Paradox",Commentary,Paul David electrification productivity paradox; Chapter 1,https://www.aei.org/commentary/the-dynamo-the-computer-and-chatgpt-explaining-todays-productivity-paradox/
TIW009,2025,U.S. Energy Information Administration,U.S. coal-fired generating capacity retired in 2025 was the least in 15 years,Government statistical report,Coal plant retirement delays; Chapters 4 8,https://www.eia.gov/todayinenergy/detail.php?id=67427
TIW010,2026,Pew Research Center,"Worldwide, 25% of new car sales are electric vehicles or hybrids",Research report,Global EV/hybrid sales comparison; Chapter 10,https://www.pewresearch.org/short-reads/2026/05/28/worldwide-a-quarter-of-new-car-sales-are-electric-vehicles-or-hybrids/
