source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
ch01-001,ch01,2026-09-10,2026-01-30,American Gaming Association,Americans to Legally Wager Estimated $1.76 Billion on Super Bowl LX,press release,Super Bowl LX handle estimate of $1.76 billion; record; legal in 39 states + DC,https://www.americangaming.org/americans-to-legally-wager-estimated-1-76-billion-on-super-bowl-lx/,Primary trade-association source; accessed via search snippet (direct fetch blocked by network egress).
ch01-002,ch01,2026-09-10,2026-01-30,ESPN,AGA expects record $1.76 billion to be bet on Super Bowl LX,news,Confirms $1.76B estimate and record framing,https://www.espn.com/nfl/story/_/id/47770542/aga-expects-record-176-billion-bet-super-bowl-lx,
ch01-003,ch01,2026-09-10,2026-01-30,Yahoo Sports,AGA Estimates $1.76 Billion in Legal Sports Bets on Super Bowl LX,news,"27% YoY increase figure; 39 states legal via Missouri Dec 1 2025 launch; first Super Bowl since 2016 without Chiefs/Eagles/Rams",https://sports.yahoo.com/articles/aga-estimates-1-76-billion-153400797.html,
ch01-004,ch01,2026-09-10,2026-01-30,Bloomberg,Casino Group Sees Super Bowl Bets Jumping to Record $1.76 Billion,news,Confirms AGA forecast and record framing,https://www.bloomberg.com/news/articles/2026-01-30/casino-group-forecasts-a-record-1-76-billion-in-super-bowl-bets,
ch01-005,ch01,2026-09-10,2025-02-04,American Gaming Association,Americans to Wager Estimated $1.39 Billion on Super Bowl LIX,press release,Prior-year (2025) Super Bowl LIX handle estimate of $1.39 billion,https://www.americangaming.org/americans-to-wager-estimated-1-39-billion-on-super-bowl-lix/,
ch01-006,ch01,2026-09-10,2025-02-04,Covers.com,AGA Estimates $1.39B to Be Legally Wagered on Super Bowl LIX,news,11.2% YoY increase over 2024 Super Bowl LVIII estimate ($1.25B via Eilers & Krejcik),https://www.covers.com/industry/aga-estimates-1-billion-legally-wagered-on-super-bowl-lix-feb-4-2025,
ch01-007,ch01,2026-09-10,2026-02,ESPN,Sports betting hits record $16.96 billion in revenue in 2025,news,2025 full-year US sports betting revenue record $16.96B on $166.94B handle (+11.0%),https://www.espn.com/espn/betting/story/_/id/48045855/sports-betting-hits-record-1696-billion-revenue-2025,
ch01-008,ch01,2026-09-10,2026-02-27,Yogonet International,U.S. commercial gaming revenue hits record $78.72 billion in 2025,news,"Total US commercial gaming revenue $78.72B (+9.2%); gaming taxes $18.09B (+15.1%); sports betting revenue $16.96B (+22.8%) on $166.94B handle; sports betting taxes $3.71B (+32.4%)",https://www.yogonet.com/international/news/2026/02/27/117807-us-commercial-gaming-revenue-hits-record-7872-billion-in-2025-aga-reports,Summarizes AGA State of the States 2026 report.
ch01-009,ch01,2026-09-10,2025-09,American Gaming Association,AGA Estimates $30 Billion in Legal Wagering on 2025 NFL Season,press release,Pre-season 2025 NFL handle projection ~$30B,https://www.americangaming.org/aga-estimates-30-billion-in-legal-wagering-on-2025-nfl-season/,
ch01-010,ch01,2026-09-10,2026-09,Legal Sports Report,NFL Betting Projections Hit $30 Billion Plateau As Competition Surges,news,"Actual 2025 NFL season legal handle landed near $29.4B (up from $27.6B in 2024); AGA projects $29.5B for 2026, first flat year since 2018 legalization, attributed partly to prediction-market competition",https://www.legalsportsreport.com/276321/nfl-betting-projections-hit-30-billion-plateau-as-competition-surges/,
ch01-011,ch01,2026-09-10,2025-12-01,Vegas Slots Online,Missouri Becomes the 39th State to Launch Legal Sports Betting,news,Missouri launched legal sports betting Dec 1 2025 becoming 39th state; voters approved Amendment 2 in Nov 2024,https://www.vegasslotsonline.com/news/2025/12/01/missouri-becomes-39th-state-to-launch-legal-sports-betting/,
ch01-012,ch01,2026-09-10,2026-02-08,Pro-Football-Reference,Super Bowl LX box score - Seattle Seahawks vs New England Patriots,primary record,"Super Bowl LX played Feb 8 2026 at Levi's Stadium; Seahawks won 29-13; Kenneth Walker III named MVP with 135 rushing yards",https://www.pro-football-reference.com/boxscores/202602080nwe.htm,
ch01-013,ch01,2026-09-10,2026-09,SportsBettingDime,AGA Predicts 'Flat' NFL Sports Betting Handle For 2026 Season,news,First year of no growth in NFL handle since 2018 legalization; prediction-market competition cited,https://www.sportsbettingdime.com/news/industry/aga-predicts-flat-nfl-sports-betting-handle-for-2026-season-first-year-with-no-growth/,
ch01-014,ch01,2026-09-10,,Covers.com,2024 AGA Report Underscores Legal Sports Betting Market Growth,news,"Growth trajectory context: 2019 first full year legal handle ~$13 billion; 2023 handle just over $121 billion; 2024 handle ~$150 billion",https://www.covers.com/industry/2024-aga-report-underscore-legal-sports-betting-market-growth,
ch01-015,ch01,2026-09-10,,National Council on Problem Gambling,"Helpline Modernization Project / helpline statistics",advocacy organization data,"National Problem Gambling Helpline contacts: calls up 43% in 2021, texts up 59.8%, chat up 84.1%; overall contact volume nearly doubled 2020-2023",https://www.ncpgambling.org/problem-gambling/helpline-modernization/,"Primary advocacy-org source; correlational, not causal, and treated as such in the chapter's prose."
ch01-016,ch01,2026-09-10,2024-01-23,Marketplace (APM),Sports betting is booming. So are calls to gambling addiction helplines.,news,Reporting on rising helpline call/text/chat volume tracking the state-by-state legalization rollout; callers skewing younger,https://www.marketplace.org/story/2024/01/23/sports-betting-is-booming-so-are-calls-to-gambling-addiction-helplines,
ch01-017,ch01,2026-09-10,,United Way of Greater Cleveland,Rise in sports gambling equals increased calls to gambling hotline,news/org report,"Ohio 211 helpline saw a 277% increase in gambling-related calls in January 2023 (month of Ohio's mobile sports betting launch) vs. January 2022",https://www.unitedwaycleveland.org/211-problem-gambling-hotline/,
ch01-018,ch01,2026-09-10,,NBC News,Gambling addiction hotline calls up as online sports betting booms,news,"Helpline callers skewing younger, men in 20s-30s overrepresented; NCPG executive director quoted saying there is 'every reason to believe' online sports betting expansion is a major contributing factor to rising gambling problems",https://www.nbcnews.com/health/mental-health/gambling-addiction-hotline-calls-online-sports-betting-rcna145539,
ch02-001,ch02,2026-09-10,,Wikipedia,Professional and Amateur Sports Protection Act of 1992,encyclopedia,"PASPA/Bradley Act basics: sponsor Bill Bradley (D-NJ); introduced by Dennis DeConcini Feb 22 1991 as S.474; passed Senate 88-5 June 2 1992; signed by George H.W. Bush Oct 28 1992; exempted Nevada, Oregon, Delaware, Montana sports lotteries",https://en.wikipedia.org/wiki/Professional_and_Amateur_Sports_Protection_Act_of_1992,
ch02-002,ch02,2026-09-10,,GovTrack.us,S. 474 (102nd): Professional and Amateur Sports Protection Act,legislative record,Bill text and legislative history of PASPA,https://www.govtrack.us/congress/bills/102/s474,
ch02-003,ch02,2026-09-10,,Legal Sports Report,Sports Betting Myth Busters: NJ Could Have Avoided PASPA Ban,news/analysis,"PASPA gave New Jersey a one-year window (to Jan 1 1994 per some accounts/effective date Jan 1 1993) to legalize sports betting as a grandfathered state given its casino history; NJ legislature failed to act in time and forfeited the exemption",https://www.legalsportsreport.com/17271/sports-betting-mythbusters-nj-and-paspa/,
ch02-004,ch02,2026-09-10,,Wikipedia / general reference,Black Sox Scandal,encyclopedia,"1919 World Series fix by eight Chicago White Sox players including Eddie Cicotte, Joe Jackson, Claude Williams, Oscar Felsch, Charles Risberg, orchestrated with gambler Arnold Rothstein; players acquitted at trial Aug 2 1921 but banned for life by Commissioner Kenesaw Mountain Landis Aug 3 1921",https://en.wikipedia.org/wiki/Black_Sox_Scandal,Summarized via search results rather than direct fetch (domain blocked).
ch02-005,ch02,2026-09-10,,Wikipedia,1951 college basketball point-shaving scandal (CCNY),encyclopedia,"NYC DA Frank Hogan announced arrests Feb 18 1951 of CCNY players Ed Roman, Alvin Roth, Ed Warner plus NYU's Connie Schaff and ex-LIU player Eddie Gard; scandal implicated over thirty players across multiple schools including CCNY, Manhattan, NYU, LIU, Toledo, Bradley; CCNY had won both 1950 NCAA and NIT titles",https://en.wikipedia.org/wiki/CCNY_point-shaving_scandal,
ch02-006,ch02,2026-09-10,,Wikipedia,1978-79 Boston College basketball point-shaving scandal,encyclopedia,"Mobster Henry Hill and gambler Paul Mazzei recruited BC players Rick Kuhn, Jim Sweeney (Ernie Cobb also tried) to shave points in nine games Dec 16 1978-March 1 1979; scandal surfaced after Hill's 1980 arrest",https://en.wikipedia.org/wiki/1978%E2%80%9379_Boston_College_basketball_point_shaving_scandal,
ch02-007,ch02,2026-09-10,,Wikipedia,1985 Tulane University basketball point-shaving scandal,encyclopedia,"Players including John 'Hot Rod' Williams, Bobby Thompson, David Dominique arrested 1985; five players paid roughly $18,000 total to shave points vs Southern Mississippi (Feb 2) and Memphis State; coach Ned Fowler and two assistants resigned; Tulane disbanded basketball program April 1985; Williams acquitted at trial",https://en.wikipedia.org/wiki/1985_Tulane_University_basketball_point-shaving_scandal,
ch02-008,ch02,2026-09-10,,Wikipedia,Benny Silman,encyclopedia,"1994 Arizona State point-shaving scheme led by campus bookmaker Benny Silman and player Stevin 'Hedake' Smith to keep ASU from covering spread in four Pac-10 games; Smith pleaded guilty Dec 1997, sentenced to one year and one day; Silman sentenced to 46 months",https://en.wikipedia.org/wiki/Benny_Silman,
ch02-009,ch02,2026-09-10,2018-12-11,Cronkite News,Creating a 'fix': The story of point-shaving at ASU,news/retrospective,Narrative detail on ASU 1994 point-shaving scandal and its discovery,https://cronkitenews.azpbs.org/2018/12/11/point-shaving-scandal-rocked-arizona-state/,
ch02-010,ch02,2026-09-10,,SportsHandle,How Vegas Bookies Uncovered the 1994 ASU Point-Shaving Scheme,news/analysis,Las Vegas bookmakers were first to flag suspicious line movement that uncovered the ASU scheme,https://sportshandle.com/arizona-state-point-shaving-scandal-bookies/,
ch02-011,ch02,2026-09-10,,The Lines,What Is PASPA? Professional Amateur Sports Protection Act,explainer,NBA commissioner David Stern testified to Congress that interstate ramifications of sports betting were a compelling reason for federal legislation,https://www.thelines.com/betting/guides/paspa/,
ch02-013,ch02,2026-09-10,,GovTrack.us,S. 474 (102nd) Senate Vote #111 - June 2 1992,legislative record,PASPA passed Senate 88-5 on June 2 1992,https://www.govtrack.us/congress/votes/102-1992/s111,
ch02-014,ch02,2026-09-10,,The Lines,What Is PASPA? Professional Amateur Sports Protection Act (Grassley dissent),explainer,"Sen. Charles Grassley (R-IA) was among the 5 no votes on PASPA, objecting that the bill unfairly favored the four exempted states; DOJ separately raised federalism concerns about the bill's original wording",https://www.thelines.com/betting/guides/paspa/,
ch02-015,ch02,2026-09-10,,EBSCO Research Starters / Wikipedia,1951 college basketball point-shaving scandal - aftermath,encyclopedia/reference,"Judge Saul Streit sentenced players and gamblers in Nov 1951; gambler Salvatore Sollazzo received 8-16 years; CCNY barred from Madison Square Garden and dropped to lower-division competition; NBA declined to draft implicated players",https://en.wikipedia.org/wiki/1951_college_basketball_point-shaving_scandal,
ch02-016,ch02,2026-09-10,,Wikipedia / Famous Trials,Arnold Rothstein,biography,"Rothstein indicted but never convicted in the Black Sox fix; personally wagered roughly $250,000 on Cincinnati; pitcher Eddie Cicotte reportedly received only $1,000 of a promised $10,000",https://en.wikipedia.org/wiki/Arnold_Rothstein,
ch02-012,ch02,2026-09-10,,Encyclopaedia Britannica,"Bill Bradley",biography,"Bradley's basketball career: Princeton All-American, Rhodes Scholar at Oxford, New York Knicks 1967-1977, two NBA championships (1970, 1973), later US Senator from New Jersey",https://www.britannica.com/biography/Bill-Bradley,
ch03-001,ch03,2026-09-10,2017-11,"Shumaker, Loop & Kendrick LLP",Reform the Federal Sports Betting Excise Tax 'Dilemma',legal client alert,"Revenue Act of 1951 imposed 10% federal excise (handle) tax plus $50 occupational stamp on legal bookmakers, nearly killing regulated Nevada books and pushing action underground; tax cut to 2% effective Oct 15 1974",https://www.shumaker.com/latest-thinking/publications/2017/11/client-alert-reform-the-federal-sports-betting-excise-tax-dilemma/,
ch03-002,ch03,2026-09-10,,Las Vegas Advisor,What Is the History of Legal Sports Betting in Nevada?,explainer/history,General Nevada sports betting history including 1949 legalization of licensed sports pools,https://www.lasvegasadvisor.com/question/sports-betting-history/,
ch03-003,ch03,2026-09-10,,Wikipedia,Charles K. McNeil,biography,"Charles McNeil (1903-1981), Chicago securities analyst and math teacher, credited as key figure in developing/popularizing the point spread ('wholesaling odds') in the 1940s after running his own book",https://en.wikipedia.org/wiki/Charles_K._McNeil,
ch03-004,ch03,2026-09-10,,Action Network,"The Mavericks Who Remade Sports, Part I: Charles McNeil, Father of the Point Spread",feature/history,Narrative account of McNeil's development of the point spread and its adoption,https://www.actionnetwork.com/general/charles-mcneil-point-spread,
ch03-005,ch03,2026-09-10,,Wikipedia,Roxy Roxborough,biography,"Michael 'Roxy' Roxborough founded Las Vegas Sports Consultants (1982-1999), which supplied lines to more than 90% of Nevada sportsbooks; landed Stardust opening-line job in 1983",https://en.wikipedia.org/wiki/Roxy_Roxborough,
ch03-006,ch03,2026-09-10,,Las Vegas Review-Journal,Roxy Roxborough's rise from bettor to oddsmaker to Hall of Famer,news/profile,Detail on Roxborough's career and influence on Nevada oddsmaking,https://www.reviewjournal.com/sports/betting/roxy-roxboroughs-rise-from-bettor-to-oddsmaker-to-hall-of-famer-2885678/,
ch03-007,ch03,2026-09-10,,BettingUSA,"Vigorish (Vig) Explained: How Sportsbook Juice Works",explainer,"Mechanics of -110 pricing, 'eleven to win ten,' vig/hold calculation",https://www.bettingusa.com/sports/vig/,"Secondary explainer used only for standard, uncontested mechanics of odds/vig, not for contested claims."
ch03-008,ch03,2026-09-10,,TheSpread.com,Vig and Juice Explained: Bookmaker Hold & Break-Even,explainer,"-110/-110 market implies 52.38% probability per side, totaling 104.76%; ~4.5% hold on standard two-way market",https://www.thespread.com/betting-guides/vig-and-juice-explained-bookmaker-hold-break-even/,Secondary explainer for standard odds mechanics only.
ch03-009,ch03,2026-09-10,,Golden Gate Casino / Circa Sports,The History of Sports Betting in Vegas: Where Old Meets New,history/blog,"Early Nevada sports betting operated through standalone 'turf clubs' (e.g., Jackie Gaughan's Derby/Saratoga clubs, Jimmy 'the Greek' Snyder's Vegas Turf and Sports Club); Snyder reputedly grossed roughly $2 million a week in the mid-1950s",https://www.goldengatecasino.com/blog/circa-sports-betting-las-vegas/,
ch03-010,ch03,2026-09-10,2018-02-26,J.H. Graham,The Race Wire,history/blog,"Bugsy Siegel's race-wire service for Nevada bookies; Siegel's Flamingo-era involvement, ~$25,000/month reputed take from Las Vegas wire operations",https://jhgraham.com/2018/02/26/the-race-wire/,
ch03-011,ch03,2026-09-10,,Wikipedia,Billy Walters (gambler),biography,"Billy Walters (b. 1946), member of the 'Computer Group' betting syndicate using computer models to beat Vegas lines starting in the 1980s; FBI investigated the group in 1984; Walters acquitted of illegal-bookmaking charges; became the most feared bettor in Vegas, later convicted in an unrelated insider-trading case",https://en.wikipedia.org/wiki/Billy_Walters_(gambler),
ch03-012,ch03,2026-09-10,2018-05,ESPN Outside the Lines,"Billy Walters reflects on his conviction, gambling -- and ex-friend Phil Mickelson",feature,Profile of Walters as history's most successful sports bettor and how Nevada books/offshore books reacted to his action,https://www.espn.com/espn/otl/story/_/id/22946649/world-best-most-feared-sports-gambler-game-us-supreme-court-considers-legalizing-craft-espn,
ch03-013,ch03,2026-09-10,,Las Vegas Review-Journal,What is Nevada's 'black book'?,news/explainer,"Nevada Gaming Control Act passed 1955; first Black Book (List of Excluded Persons) published 1960 with 11 names including organized-crime figures like Tony 'The Ant' Spilotro and Sam Giancana; exclusion is lifetime and covers all licensed gaming including sports pools",https://www.reviewjournal.com/business/casinos-gaming/what-is-nevadas-black-book-2974761/,
ch03-014,ch03,2026-09-10,,Nevada Gaming History,Unveiling the Black Book: The Mob's Exclusion List in Vegas,history/blog,Additional detail on Black Book origins and organized-crime context,https://nevadagaminghistory.com/2026/03/28/inside-nevadas-black-book-the-mobsters-the-dates-and-the-era-that-built-the-exclusion-list/,
ch03-015,ch03,2026-09-10,,The Nevada Independent,Indy Gaming: Why Nevada has slipped to 10th for sports betting revenue,news/analysis,Nevada's national sports-betting revenue ranking fell outside the top ten states in some recent years despite absolute handle growth; attributed to small population vs. larger new state markets,https://thenevadaindependent.com/article/indy-gaming-why-nevada-has-slipped-to-10th-for-sports-betting-revenue,
ch03-016,ch03,2026-09-10,,Press Reader / Boston Herald,Nevada gamblers book $154.7M in bowl bets,news,Nevada handle figures for a single college-football bowl slate,https://www.pressreader.com/usa/boston-herald/20200205/281754156312826,
ch03-017,ch03,2026-09-10,,USBets,Nevada Smashes Sports Betting Revenue Record With $300 Million Year,news,Context on Nevada's post-PASPA sports betting revenue growth in absolute terms,https://www.usbets.com/nevada-2018-sports-betting-revenue/,
ch04-001,ch04,2026-09-10,,Ballotpedia,"New Jersey Sports Betting Amendment, Public Question 1 (2011)",reference,NJ voters approved nonbinding 2011 referendum on sports betting roughly 64% in favor,"https://ballotpedia.org/New_Jersey_Sports_Betting_Amendment,_Public_Question_1_(2011)",
ch04-002,ch04,2026-09-10,,Wikipedia,Murphy v. National Collegiate Athletic Association,encyclopedia,"Case history: NBA/NFL/NHL/MLB/NCAA sued NJ in Aug 2012 under PASPA; DOJ joined; case argued Dec 4 2017, decided May 14 2018, 6-3, opinion by Alito (joined by Roberts, Kennedy, Thomas, Kagan, Gorsuch, and Breyer in part); Ginsburg dissent joined by Sotomayor and partly Breyer",https://en.wikipedia.org/wiki/Murphy_v._National_Collegiate_Athletic_Association,
ch04-003,ch04,2026-09-10,,Cornell Legal Information Institute,Christie v. National Collegiate Athletic Association - Supreme Court Bulletin,legal reference,Case background as originally captioned Christie v. NCAA before Gov. Phil Murphy succeeded Christie,https://www.law.cornell.edu/supct/cert/16-476,
ch04-004,ch04,2026-09-10,,Harvard Law Review,Murphy v. National Collegiate Athletic Association,legal case note,Analysis of anticommandeering holding and its scope,https://harvardlawreview.org/print/vol-132/murphy-v-national-collegiate-athletic-association/,
ch04-005,ch04,2026-09-10,2018-05,Dorf on Law (Michael Dorf),Whither Severability After Murphy v NCAA?,legal commentary,"Ginsburg dissent (joined by Sotomayor) argued PASPA's anti-authorization provision was severable from the rest of the statute rather than requiring full invalidation ('the Court ordinarily engages in a salvage rather than a demolition operation'); Breyer agreed with majority on the constitutional violation but sided with dissent on severability",https://www.dorfonlaw.org/2018/05/whither-severability-after-murphy-v-ncaa.html,
ch04-006,ch04,2026-09-10,2014-11-14,Sports Illustrated,Commissioner Adam Silver argues for legalization of sports betting,news,"NBA commissioner Adam Silver's Nov 13-14 2014 New York Times op-ed 'Legalize and Regulate Sports Betting,' first sitting major-league commissioner to publicly back legalization",https://www.si.com/nba/2014/11/14/adam-silver-new-york-times-editorial-legalize-sports-betting,
ch04-007,ch04,2026-09-10,2019,ESPN Chalk,The impact of Adam Silver's sports betting op-ed five years later,retrospective,Context and legacy of Silver's 2014 op-ed within league politics,https://www.espn.com/chalk/story/_/id/28068000/the-impact-adam-silver-sports-betting-op-ed-five-years-later,
