id,year,author_or_institution,title,source_type,book_use,url
algorithmic-influence-001,2019,Cotter,Playing the visibility game,scholarship,Chapter: 1; Topic: algorithmic visibility; Notes: Influencers negotiate visibility with platform algorithms; use for the two-audience opening.,https://doi.org/10.1177/1461444818815684
algorithmic-influence-002,2025,Schneider et al.,Ranking Effect in Social Media Feeds,experiment,Chapter: 1; Topic: ranking effect; Notes: Controlled evidence that ranking position changes engagement; verify final publication status before citing as peer-reviewed.,https://arxiv.org/abs/2509.18440
algorithmic-influence-003,1998,Brin and Page,The Anatomy of a Large-Scale Hypertextual Web Search Engine,primary research,Chapter: 2; Topic: search history; Notes: Original Google architecture and PageRank context.,https://research.google/pubs/the-anatomy-of-a-large-scale-hypertextual-web-search-engine/
algorithmic-influence-004,2026,Google Search ranking systems guide,Google Search ranking systems guide,first-party,Chapter: 2; Topic: current search ranking; Notes: Current public description of ranking systems; not a disclosure of full weights.,https://developers.google.com/search/docs/appearance/ranking-systems-guide
algorithmic-influence-005,2016,Covington Adams and Sargin,Deep Neural Networks for YouTube Recommendations,primary research,"Chapter: 3; Topic: video recommendation; Notes: Candidate generation and ranking architecture; historical system, not a description of today's full stack.",https://research.google/pubs/deep-neural-networks-for-youtube-recommendations/
algorithmic-influence-006,2020,TikTok,How TikTok recommends videos For You,first-party,Chapter: 3; Topic: TikTok recommendation; Notes: Signals and personalization described by platform; use with independent evidence.,https://newsroom.tiktok.com/how-tiktok-recommends-videos-for-you?lang=en
algorithmic-influence-007,2019,Petre Duffy and Hund,Gaming the System,scholarship,Chapter: 4; Topic: algorithmic visibility; Notes: Visibility games among cultural workers.,https://doi.org/10.1177/1461444819854731
algorithmic-influence-008,2019,Bishop,Managing visibility on YouTube through algorithmic gossip,scholarship,Chapter: 4; Topic: creator optimization; Notes: Algorithmic gossip and optimization under opacity.; Chapter: 5; Topic: creator folk theories; Notes: Core evidence for practical theories about opaque systems.; Legacy duplicate source id: algorithmic-influence-009,https://doi.org/10.1177/2056305119879995
algorithmic-influence-010,2017,Bucher,The algorithmic imaginary,scholarship,Chapter: 5; Topic: algorithmic imaginaries; Notes: How people imagine and experience algorithms; contextual source.,https://doi.org/10.1080/1369118X.2016.1154086
algorithmic-influence-011,2020,Perdomo et al.,Performative Prediction,primary research,Chapter: 6; Topic: performative systems; Notes: Formal account of predictions changing the distribution being predicted.; Chapter: 16; Topic: performative prediction; Notes: Core formal feedback-loop source.; Legacy duplicate source id: algorithmic-influence-036,https://proceedings.mlr.press/v119/perdomo20a.html
algorithmic-influence-012,2016,Hardt et al.,Strategic Classification,primary research,Chapter: 6; Topic: strategic classification; Notes: Models strategic response to classification; theoretical boundary conditions matter.,https://arxiv.org/abs/1506.06980
algorithmic-influence-013,2016,Rosenblat and Stark,Algorithmic Labor and Information Asymmetries,scholarship,Chapter: 7; Topic: algorithmic labor; Notes: Uber drivers and information asymmetry.,https://ijoc.org/index.php/ijoc/article/view/4892
algorithmic-influence-014,2015,Lee et al.,Working with Machines,scholarship,Chapter: 7; Topic: human-machine management; Notes: Early study of algorithmic management in Uber and Lyft.,https://doi.org/10.1145/2702123.2702548
algorithmic-influence-015,2025,OECD,Algorithmic Management in the Workplace,policy research,Chapter: 7; Topic: algorithmic management; Notes: Survey and policy synthesis across firms and countries.,https://www.oecd.org/en/publications/algorithmic-management-in-the-workplace_287c13c4-en.html
algorithmic-influence-016,2020,Cui Li and Zhang,Reducing Discrimination with Reviews on Airbnb,experiment,Chapter: 8; Topic: reputation systems; Notes: Counterevidence: reputation information can reduce discrimination.,https://doi.org/10.1287/mnsc.2019.3303
algorithmic-influence-017,2019,Wood et al.,Good Gig Bad Gig / platform reputation literature,scholarship,Chapter: 8; Topic: reputation and work; Notes: Use for worker dependence on platform reputation; verify exact claim against paper.,https://doi.org/10.1177/0950017018785616
algorithmic-influence-018,2026,NYC Department of Consumer and Worker Protection,Automated Employment Decision Tools,official,Chapter: 9; Topic: automated hiring; Notes: Bias-audit and notice requirements under Local Law 144.,https://www.nyc.gov/site/dca/about/automated-employment-decision-tools.page
algorithmic-influence-019,2020,Raghavan et al.,Mitigating Bias in Algorithmic Hiring,scholarship,Chapter: 9; Topic: employment algorithms; Notes: Vendor claims and limits of technical bias mitigation.,https://doi.org/10.1145/3351095.3372828
algorithmic-influence-020,2025,FTC,Surveillance Pricing Study,official,Chapter: 10; Topic: surveillance pricing; Notes: Staff findings on personal data used in pricing and promotions; do not imply every firm personalizes prices.,https://www.ftc.gov/news-events/news/press-releases/2025/01/ftc-surveillance-pricing-study-indicates-wide-range-personal-data-used-set-individualized-consumer
algorithmic-influence-021,2026,FTC,Draft Enforcement Policy Statement Regarding Personalized Pricing,official,Chapter: 10; Topic: personalized pricing policy; Notes: August 31 2026 proposal; describe as draft / request for comment.,https://www.ftc.gov/news-events/news/press-releases/2026/08/ftc-seeks-comment-enforcement-policy-statement-regarding-personalized-pricing
algorithmic-influence-022,2023,Guess et al.,How do social media feed algorithms affect attitudes and behavior in an election campaign?,experiment,Chapter: 11; Topic: political feed effects; Notes: Meta 2020 election study: major exposure/use changes without significant effects on several measured political attitudes.,https://www.science.org/doi/10.1126/science.abp9364
algorithmic-influence-023,2026,Huszár et al.,Effects of X's algorithmic feed,experiment,Chapter: 11; Topic: X feed experiment; Notes: Seven-week 2023 field experiment; platform/time-specific effects on exposure and some opinions.,https://www.nature.com/articles/s41586-026-10098-2
algorithmic-influence-024,2026,Robertson et al.,TikTok recommendation and political content,audit,Chapter: 11; Topic: TikTok election audit; Notes: 2024 election audit finding asymmetric exposure; carefully preserve design limitations.,https://doi.org/10.1038/s41586-026-10447-1
algorithmic-influence-025,2025,AI-Generated Algorithmic Virality study,AI-Generated Algorithmic Virality study,preprint,Chapter: 12; Topic: synthetic content competition; Notes: Evidence on AI-generated content and agentic accounts in social feeds; verify claims against paper and label preprint.,https://arxiv.org/abs/2508.01042
algorithmic-influence-026,2026,Enshittification of Algorithmic Recommendation,Enshittification of Algorithmic Recommendation,preprint,"Chapter: 12; Topic: creator-platform co-adaptation; Notes: Game-theoretic account of strategic creator adaptation; use as emerging theory, not settled fact.",https://arxiv.org/abs/2608.10420
algorithmic-influence-027,2024,Aggarwal et al.,GEO: Generative Engine Optimization,primary research,Chapter: 13; Topic: generative engine optimization; Notes: Benchmark reports visibility improvements for some interventions; do not universalize tactics.,https://arxiv.org/abs/2311.09735
algorithmic-influence-028,2026,Google,AI Mode and generative search,first-party,Chapter: 13; Topic: AI search; Notes: Current product behavior and framing.,https://blog.google/products-and-platforms/products/search/explore-web-generative-ai-search/
algorithmic-influence-029,2026,OpenAI Help,Shopping with ChatGPT Search,first-party,Chapter: 13; Topic: ChatGPT search shopping; Notes: Current description of product results and factors; not a full ranking disclosure.,https://help.openai.com/en/articles/11128490-shopping-with-chatgpt-search
algorithmic-influence-030,2025,OpenAI,Introducing Operator,first-party,Chapter: 14; Topic: browser agents; Notes: Browser-using agent precursor; later integrated into ChatGPT agent.,https://openai.com/index/introducing-operator/
algorithmic-influence-031,2025,OpenAI,Buy it in ChatGPT,first-party,Chapter: 14; Topic: agentic commerce; Notes: Agentic Commerce Protocol and checkout context.,https://openai.com/index/buy-it-in-chatgpt/
algorithmic-influence-032,2026,OpenAI,Powering product discovery in ChatGPT,first-party,Chapter: 14; Topic: product discovery; Notes: Merchant feeds and product discovery architecture; current as of March 2026.,https://openai.com/index/powering-product-discovery-in-chatgpt/
algorithmic-influence-033,2026,Google,Merchant listing structured data,first-party,Chapter: 15; Topic: merchant structured data; Notes: Machine-readable product attributes and eligibility; not a ranking guarantee.,https://developers.google.com/search/docs/appearance/structured-data/merchant-listing
algorithmic-influence-034,2026,C2PA,Technical Specifications,standard,Chapter: 15; Topic: content provenance; Notes: Content Credentials / provenance standard; specification 2.4 available in 2026.,https://spec.c2pa.org/specifications/
algorithmic-influence-035,2026,OpenAI,Merchant Feed Terms,first-party,Chapter: 15; Topic: merchant feeds; Notes: Terms governing merchant product feeds; pair with product-discovery documentation.,https://openai.com/policies/merchant-feed-terms/
algorithmic-influence-037,2023,Hardt and Mendler-Dünner,Performative Prediction: Past and Future,review,Chapter: 16; Topic: performative prediction review; Notes: Later synthesis and open problems.,https://arxiv.org/abs/2310.16608
algorithmic-influence-038,2026,European Commission,DSA impact on platforms,official,Chapter: 17; Topic: recommender choice; Notes: VLOP/VLOSE duties including recommender transparency and at least one option not based on profiling where applicable.,https://digital-strategy.ec.europa.eu/en/policies/dsa-impact-platforms
algorithmic-influence-039,2026,European Commission,DSA VLOPs and VLOSEs,official,Chapter: 17; Topic: platform obligations; Notes: Regulatory context; distinguish statutory requirements from platform design choices.,https://digital-strategy.ec.europa.eu/en/policies/dsa-vlops
algorithmic-influence-040,2026,Association of Internet Researchers,Digital Influence as an Algorithmic Condition,scholarship,Chapter: 18; Topic: algorithmic condition; Notes: Adjacent 2026 framing of digital influence; useful for positioning the book's reverse-direction synthesis.,https://spir.aoir.org/ojs/index.php/spir/article/view/15140
