id,year,author_or_institution,title,source_type,book_use,url
ct-ch01-001,2022,U.S. Department of Commerce,"Results from Semiconductor Supply Chain Request for Information",Government supply-chain analysis,"Chapter 1: more than 150 responses; median inventory for hardest-to-get chips fell from about 40 days in 2019 to less than 5 days in 2021; use to frame inventory as stored time and distinguish product-specific bottlenecks.",https://www.commerce.gov/news/blog/2022/01/results-semiconductor-supply-chain-request-information
ct-ch01-002,2026,Semiconductor Industry Association,"2026 State of the U.S. Semiconductor Industry",Industry report,"Chapters 1-2 and current context: U.S.-headquartered companies' 2025 global sales share and announced U.S. private-sector semiconductor ecosystem investment since 2020; label investment as announced rather than completed.",https://www.semiconductors.org/2026-state-of-the-industry-report-historic-growth-amid-intensifying-global-competition/
ct-ch01-003,2025,Semiconductor Industry Association,"2025 State of the U.S. Semiconductor Industry",Industry report,"Background: long-run decline in U.S. manufacturing share and CHIPS-era investment context; distinguish manufacturing share from design and revenue leadership.",https://www.semiconductors.org/2025-state-of-the-u-s-semiconductor-industry/
ct-ch02-001,2026,Taiwan Semiconductor Manufacturing Company,"TSMC Arizona",Company project overview,"Chapter 2 and later Arizona chapter: first Arizona fab entered N4 high-volume production in Q4 2024; later fab and packaging timelines; distinguish producing from planned capacity.",https://www.tsmc.com/static/abouttsmcaz/index.htm
ct-ch02-002,2025,ASML,"Annual Report 2025",Company annual report,"Chapters 2 and 5: ASML describes itself as the world's only EUV lithography-system manufacturer and identifies Carl Zeiss SMT as sole supplier of critical optics; use as recursive concentration case.",https://www.asml.com/en/investors/annual-report/2025
ct-ch02-003,2025,U.S. Department of Commerce,"CHIPS Incentives Awards for Corning, Edwards Vacuum, and Infinera",Government award announcement,"Chapter 2: illustrates semiconductor ecosystem inputs beyond fabs, including dry vacuum pumps used beneath manufacturing facilities; award size is not a proxy for strategic importance.",https://www.commerce.gov/news/press-releases/2025/01/us-department-commerce-announces-chips-incentives-awards-corning
ct-ch02-004,2026,U.S. Geological Survey,"Gallium Statistics and Information",Government mineral data,"Chapters 2 and 7: U.S. dependence on imported primary gallium and semiconductor uses of gallium compounds; distinguish low-purity primary material from higher-purity processing and downstream wafers.",https://www.usgs.gov/centers/national-minerals-information-center/gallium-statistics-and-information
ct-ch02-005,2025,National Institute of Standards and Technology,"National Advanced Packaging Manufacturing Program",Government program overview,"Chapters 2, 3, and 9: advanced packaging is treated as a first-order capability for high-performance computing and AI; program objective is a self-sustaining high-volume domestic packaging industry.",https://www.nist.gov/chips/research-development-programs/national-advanced-packaging-manufacturing-program
ct-ch03-001,2025,U.S. Department of Commerce,"Commerce Finalizes $1.4 Billion in CHIPS Awards for Advanced Packaging",Government award announcement,"Chapter 3 and later packaging chapter: substrates, materials, and packaging R&D receive dedicated CHIPS funding; supports the claim that strategic attention has moved beyond wafer fabs.",https://www.commerce.gov/node/7087
ct-ch03-002,2026,National Institute of Standards and Technology,"Department of Commerce Announces Letters of Intent for 7 Companies for $874 Million in CHIPS R&D Awards",Government award announcement,"Chapters 3, 8, 9, and 19: current R&D priorities include memory, advanced packaging, substrates, materials, photonics, and provenance.",https://www.nist.gov/news-events/news/2026/07/department-commerce-announces-letters-intent-7-companies-874-million
ct-ch03-003,2026,TrendForce,"HBM4 Validation Enters Crucial Stage",Market research release,"Chapters 3 and 8: Samsung, SK hynix, and Micron are the three major HBM suppliers competing through HBM4 validation; use as current market-structure context, not as an immutable share forecast.",https://www.trendforce.com/presscenter/news/20260213-12929.html
ct-ch03-004,2025,U.S. Government Accountability Office,"Defense Industrial Base: Actions Needed to Improve Visibility and Coordination",Government audit,"Chapter 3 and traceability chapters: DOD relies on a global network of more than 200,000 suppliers and has limited insight into portions of the network; use as an analogy for multi-tier dependency visibility.",https://www.gao.gov/products/gao-25-107283
