id,year,author_or_institution,title,source_type,book_use,url
christies-2017,2017,Christie's / contemporaneous press,Salvator Mundi sale coverage,Contemporaneous journalism,"Nineteen-minute bidding sequence, opening bid $70M, $100M guarantee, final price $450.3M, auctioneer Jussi Pylkkanen",https://news.artnet.com/art-news/news/leonardo-da-vincis-salvator-mundi-sells-450-3-m-christies-new-york-9334/
taqtics-2022,2022,taqtics (industry technical explainer),Real-Time Bidding (RTB) mechanics,Industry technical explainer,Real-time bidding auctions completing in under 100 milliseconds from bid request to ad render,https://taqtics.com/answers/programmatic-advertising/real-time-bidding/
rtbmarket-2025,2025,Various market-research firms,Real-time bidding market size 2025,Market research estimate,RTB technology market estimated at roughly $16B-$33B in 2025 depending on methodology; 70%+ of digital display delivered via RTB,https://www.researchandmarkets.com/report/real-time-bidding
nobel-2020,2020,Nobel Prize committee (Royal Swedish Academy),Prize in Economic Sciences 2020 citation,Official prize citation,Milgrom and Wilson's 2020 Nobel citation for improvements to auction theory and new auction formats,https://www.nobelprize.org/prizes/economic-sciences/2020/summary/
googleap2-2025,2025,Google,Agent Payments Protocol (AP2) launch,Company announcement,"AP2 launched September 2025 with 60+ partners including Mastercard, PayPal, Coinbase, American Express, Salesforce; mandate concept",https://eco.com/support/en/articles/14845479-ap2-agent-payments-protocol-explained
herodotus-2026,2026,Herodotus (via secondary synthesis),Histories - Babylonian marriage market account,Ancient primary source (via secondary synthesis),"Annual Babylonian bride auction, descending price after the most desirable women, dowry-funded subsidy for less desirable women",https://greekreporter.com/2026/03/14/babylonian-bridal-auction-marriage-market-history/
encyclopedia-2020,2020,Encyclopedia.com,History of auctions,Reference synthesis,Roman sub hasta spear auctions of war booty and confiscated property; magistri auctionum,https://www.encyclopedia.com/social-sciences/economics-business-and-labor/economics-terms-and-concepts/auctions
wikipedia-auction-2020,2020,Wikipedia (etymological sources),Auction etymology,Reference synthesis,"Auction derives from Latin auctio, from augere, to increase",https://en.wikipedia.org/wiki/Auction_date
thecollector-2018,2018,TheCollector,The Day the Praetorians Sold the Roman Empire,Historical synthesis (secondary),March 193 AD: Praetorian Guard auctioned the imperial throne between Didius Julianus and Sulpicianus; final price and outcome,https://www.thecollector.com/praetorian-guard-sold-roman-empire/
vanselm-1599,1599,Historians of the Dutch book trade (Bert van Selm et al.),"First Dutch book auction, Leiden 1599",Historical/bibliographic scholarship,1599 Leiden auction of Marnix van Sint Aldegonde's library; earliest known printed auction catalogue; Leiden book-auction volume by mid-17th century,https://www.oakknoll.com/pages/book-excerpt/96671/laura-cruz/paradox-of-prosperity-the-leiden-booksellers-guild-and-the-distribution-of-books-in-early-modern
pepys-1660,1660,"Samuel Pepys (diary, via secondary synthesis)",Candle auctions in Pepys's diary,Primary source (via secondary synthesis),"Pepys's 1660s diary entries on auction by an inch of candle, including a bidder timing a bid to the wick's final flare",https://www.pepysdiary.com/encyclopedia/10736/
sothebys-1744,1744,Sotheby's (official history),History of Sotheby's,Company history / reference synthesis,Samuel Baker's first 1744 book sale for GBP826; Baker and Leigh; renamed Sotheby's in 1778 under John Sotheby,https://www.sothebys.com/en/about/our-history
myartbroker-christies-1766,1766,MyArtBroker,History of Christie's,Company history / reference synthesis,James Christie's first 1766 sale; sales to Catherine the Great by 1778; Samuel Johnson library sale 1786,https://www.myartbroker.com/auction/articles/history-of-christies-auction-house/
doj-2001,2001,U.S. Department of Justice / contemporaneous press,Sotheby's-Christie's price-fixing prosecution,Legal/regulatory record and contemporaneous journalism,1993-1999 commission price-fixing conspiracy; Taubman conviction and sentence; Brooks's cooperation; approx $400M overcharge estimate,https://www.forbes.com/2001/11/14/1114players.html
artlaw-chandelier-2022,2022,Center for Art Law,Chandelier bidding and reserve-price disclosure,Legal/industry analysis,Chandelier bidding legality below the reserve in New York; NYC disclosure requirements; legislative proposals to restrict the practice,https://itsartlaw.org/2018/07/24/the-chandelier-in-the-phantom-of-the-auction/
apollo-guarantees-2022,2022,Apollo Magazine / Artnet,Third-party guarantees and irrevocable bids,Trade press analysis,Mechanics of third-party guarantees; approx 73% of lots guaranteed by value at major evening sales in a recent period; guarantor compensation rules,https://apollo-magazine.com/auction-guarantees-irrevocable-bids-risks-christies-sothebys-phillips/
myartbroker-phillips-1796,1796,MyArtBroker / TAC Art Gallery,History of Phillips auction house,Company history / reference synthesis,Harry Phillips founded 1796; 1999 LVMH/de Pury/Luxembourg merger; 2023 sales of approx $573M vs Christie's approx $2.9B,https://www.myartbroker.com/auction/articles/history-of-phillips-auction-house/
floraholland-2024,2024,Royal FloraHolland / National Geographic,Aalsmeer flower auction mechanics and scale,Company data and journalism,Dutch clock (descending price) mechanism; approx 43M flowers/5M plants traded daily; 35 clocks; facility scale,https://www.nationalgeographic.com/culture/article/aalsmeer-flower-auction
naa-riggs-1930,1930,National Auctioneers Association (historical synthesis),Tobacco auction chant and Lee 'Speed' Riggs,Trade history synthesis,"Sold, American! Lucky Strike radio chant; tobacco auctioneers selling 500-600 lots per hour",https://www.auctioneers.org/auctionswork/why-do-some-auctioneers-talk-so-fast-and-others-don%E2%80%99t
armentano-1972,1972,Reason magazine (D.T. Armentano) / DOJ historical record,Heavy Electrical Equipment antitrust conspiracy (1961),Historical legal/journalistic account,1956-1959 GE/Westinghouse/Allis-Chalmers bid-rigging on sealed TVA bids; 1959 TVA discovery of identical bids; 1961 convictions of 29 companies,https://reason.com/1972/03/01/the-great-electrical-equipment/
vickrey-1961,1961,William Vickrey,"Counterspeculation, Auctions, and Competitive Sealed Tenders",Academic journal article (primary),Original second-price sealed-bid auction proof; dominant-strategy truthful bidding result,https://ideas.repec.org/a/bla/jfinan/v16y1961i1p8-37.html
cnn-vickrey-1996,1996,CNN (contemporaneous obituary press),Vickrey's death three days after the Nobel announcement,Contemporaneous journalism,Vickrey died October 11 1996 of a heart attack three days after the Nobel announcement; 'bully pulpit' quote,http://www.cnn.com/EVENTS/1996/nobel.prize/nobel.death.html
myerson-1981,1981,Roger Myerson,Optimal Auction Design,"Academic journal article (primary, via secondary synthesis)",Revenue equivalence and optimal-reserve results across auction formats; basis for 2007 Nobel citation,https://cramton.umd.edu/econ415/klemperer-what-really-matters-in-auction-design-jep-2002.pdf
ausubel-2002,2002,Lawrence Ausubel and Paul Milgrom,The Lovely but Lonely Vickrey Auction,Academic paper (primary),Explains why literal Vickrey second-price auctions are rare in practice despite theoretical elegance,https://www.researchgate.net/publication/247926036_The_Lovely_but_Lonely_Vickrey_Auction
capen-1971,1971,Edward Capen; Robert Clapp; William Campbell,Competitive Bidding in High-Risk Situations,Academic/trade journal article (primary),Original winner's-curse analysis of Gulf of Mexico OCS oil-lease bidding,https://www.aapg.org/news-and-media/explorer/bid-winners-can-face-curse/
bazerman-1983,1983,Max Bazerman and William Samuelson,Classroom jar/paper-clip winner's-curse experiment,"Academic study (primary, via secondary synthesis)",12 BU MBA classes; average estimate $5.13 vs true $8.00; average winning bid $10.01,https://www.futilitycloset.com/2015/02/28/the-winners-curse/
rjrnabisco-1988,1988,ibinterviewquestions.com (business-history synthesis),RJR Nabisco 1988 leveraged buyout bidding war,Business-history synthesis,Escalation from $75 to $109 (KKR winning) and $118 (First Boston) per share; approx $25B deal size; post-deal debt strain,https://ibinterviewquestions.com/case-studies/rjr-nabisco-lbo
rock-1986,1986,Kevin Rock,Why New Issues Are Underpriced,"Academic journal article (primary, via secondary synthesis)",Winner's-curse model of IPO underpricing distinguishing informed and uninformed investors,https://onlinelibrary.wiley.com/doi/10.1111/j.2041-6156.2009.00001.x
mclane-google-2004,2004,McLane Middleton / Berkeley Technology Law Journal,Google's 2004 Dutch-auction IPO,Legal/business analysis,Google's modified Dutch auction IPO; stated rationale of broad investor access and reduced underpricing; Wall Street discomfort,https://www.mclane.com/insights/googles-dutch-auction-ipo-is-there-a-take-away-lesson-for-the-rest-of-us/
roth-2002,2002,Alvin Roth and Axel Ockenfels,Last-Minute Bidding and the Rules for Ending Second-Price Auctions,Academic paper (primary),eBay vs Amazon closing-rule comparison; sniping prevalence approx 18% of auctions with bids in final 60 seconds; experienced-bidder sniping pattern,https://web.stanford.edu/~alroth/papers/eBay.veryshortaer.pdf
ku-2005,2005,Gillian Ku; Deepak Malhotra; J. Keith Murnighan,Towards a Competitive Arousal Model of Decision-Making,Academic journal article (primary),Competitive-arousal framework; 41.1% of eBay gift-certificate auctions closed above face value,https://www.semanticscholar.org/paper/Towards-a-competitive-arousal-model-of-A-study-of-Ku-Malhotra/585b8ab705373ad696f35b9f648f9e6bc4e70237
heyman-2004,2004,James Heyman; Yesim Orhun; Dan Ariely,Auction Fever: The Effect of Opponents and Quasi-Endowment on Product Valuations,Academic journal article (primary),Quasi-endowment effect: time spent as current high bidder predicts more aggressive late bidding,https://journals.sagepub.com/doi/10.1002/dir.20020
