source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
ch01-001,1,2026-08-30,,911.gov,FAQ About Calling 911,Federal public-safety guidance,"Roles of call-takers, dispatchers, and emergency communication centers",https://www.911.gov/calling-911/frequently-asked-questions/,Local and state systems vary; do not imply a single national dispatch architecture.
ch01-002,1,2026-08-30,1975,NASA,"Apollo Program Summary Report, Mission Operations section",Government technical report,"Mission Control groups, staff support rooms, trajectory/systems/crew-support functions",https://ntrs.nasa.gov/api/citations/19750013242/downloads/19750013242.pdf,Supports distributed specialization; avoid romanticizing Apollo as a frictionless organization.
ch01-003,1,2026-08-30,,World Health Organization,Interagency Integrated Triage Tool,Intergovernmental clinical guidance,"Acuity-based sorting, immediate/soon/can-wait prioritization, dynamic triage",https://www.who.int/tools/triage,"Clinical triage is an analogy for allocation, not a direct template for every AI domain."
ch02-001,2,2026-08-30,1999-06-01,Bryan D. Jones,Bounded Rationality,Academic review,Procedural and substantive limits on decision making under bounded cognition,https://doi.org/10.1146/annurev.polisci.2.1.297,Use to ground bounded cognition without implying irrationality.
ch02-002,2,2026-08-30,2023-04-01,"Erik Brynjolfsson; Danielle Li; Lindsey R. Raymond",Generative AI at Work,NBER working paper / later QJE article,AI assistance raised support-agent productivity on average with heterogeneous effects by experience,https://www.nber.org/papers/w31161,"Working paper reports 14% average increase; published estimates differ slightly. Preserve heterogeneity."
ch02-003,2,2026-08-30,2019,OECD,Artificial Intelligence in Society,Intergovernmental research synthesis,"AI lowers costs of prediction/decision support but complementary investments in data, skills, and workflows matter",https://www.oecd.org/en/publications/artificial-intelligence-in-society_eedfee77-en.html,Used for complements not as evidence that every AI deployment raises productivity.
ch03-001,3,2026-08-30,1971,Herbert A. Simon,Designing Organizations for an Information-Rich World,Book chapter,Information abundance creates scarcity of recipient attention,https://books.google.com/books?id=WrJneEJLS4EC,Verify quotations against the original before any verbatim use; manuscript should paraphrase unless checked.
ch03-002,3,2026-08-30,2012,"Lubna Ahmed; Jan W. de Fockert",Focusing on Attention: The Effects of Working Memory Capacity and Load on Selective Attention,Peer-reviewed experiment,Higher working-memory load increases distractibility in selective-attention tasks,https://pmc.ncbi.nlm.nih.gov/articles/PMC3429456/,Laboratory task; do not generalize effect sizes directly to workplaces.
ch03-003,3,2026-08-30,,Federal Aviation Administration,Technical Discipline: Flight Deck Human Factors,Federal technical guidance,"Automation, alerting, workload, complexity and displays as human-factors design concerns",https://www.faa.gov/aircraft/air_cert/step/disciplines/flight_deck_human_factors,Supports attention/interface claims in safety-critical operations.
ch04-001,4,2026-08-30,,World Health Organization,Interagency Integrated Triage Tool,Intergovernmental clinical guidance,Routine triage sorts patients by acuity and need for immediate or soon intervention,https://www.who.int/tools/triage,Primary source for triage categories.
ch04-002,4,2026-08-30,,World Health Organization,Mass Casualty Management,Intergovernmental clinical guidance,Mass-casualty conditions require allocating inadequate resources to those most likely to benefit,https://www.who.int/teams/integrated-health-services/clinical-services-and-systems/emergency-and-critical-care/mass-casualty-management,Supports context-dependent shift in allocation objective.
ch04-003,4,2026-08-30,,Toyota Motor Corporation,Toyota Production System,Manufacturer primary source,"Jidoka stops production on abnormality; andon makes abnormal conditions visible",https://global.toyota/en/company/vision-and-philosophy/production-system/,Use as operational analogy not proof that factory methods transfer directly to AI.
ch05-001,5,2026-08-30,1975,NASA,"Apollo Program Summary Report, Mission Operations section",Government technical report,"Mission-control specialization among command/control, systems operations, and flight dynamics",https://ntrs.nasa.gov/api/citations/19750013242/downloads/19750013242.pdf,Supports matching different expertise to different mission functions.
ch05-002,5,2026-08-30,2023-04-01,"Erik Brynjolfsson; Danielle Li; Lindsey R. Raymond",Generative AI at Work,Empirical economics research,"Largest measured gains among novice/low-skilled workers; smaller gains among highly experienced workers",https://www.nber.org/papers/w31161,"Evidence is domain-specific customer support, not a universal skill curve."
ch05-003,5,2026-08-30,2020-01-15,"John Joseph; Vibha Gaba","Organizational Structure, Information Processing, and Decision-Making",Academic review,Organizations aggregate and constrain information across stages of decision making,https://doi.org/10.5465/annals.2017.0103,Supports the organization-as-cognitive-architecture lens.
ch06-001,6,2026-08-30,2013-10-16,U.S. Securities and Exchange Commission,SEC Charges Knight Capital With Violations of Market Access Rule,Regulatory enforcement primary source,"Erroneous automated orders ran for 45 minutes; over 4 million executions; loss over $460 million; inadequate controls",https://www.sec.gov/newsroom/press-releases/2013-222,Use exact SEC findings; do not attribute the event to speed alone.
ch06-002,6,2026-08-30,2004-04-01,U.S.-Canada Power System Outage Task Force,"Final Report on the August 14, 2003 Blackout",Binational government investigation,"Cascading outage and failures of situational awareness, reliability practices, and containment",https://www.energy.gov/oe/august-2003-blackout,Blackout had multiple technical and organizational causes.
ch06-003,6,2026-08-30,,World Health Organization,WHO-ICRC Basic Emergency Care,Clinical manual,Time-sensitive conditions where early recognition and intervention save lives,https://www.who.int/publications/i/item/9789241513081,Use only for broad latency consequence not condition-specific medical advice.
ch07-001,7,2026-08-30,,NASA,IV&V Overview,Government technical guidance,Verification vs validation and technical/managerial/financial independence,https://www.nasa.gov/ivv-overview/,Primary source for independence in assurance.
