id,year,author_or_institution,title,source_type,book_use,url
tech-rfc1035,1987,IETF,"RFC 1035: Domain Names - Implementation and Specification",technical standard,"DNS TTLs and cache freshness",https://www.rfc-editor.org/rfc/rfc1035
tech-rfc2308,1998,IETF,"RFC 2308: Negative Caching of DNS Queries",technical standard,"negative caching and finite memory",https://www.rfc-editor.org/rfc/rfc2308
tech-rfc2131,1997,IETF,"RFC 2131: Dynamic Host Configuration Protocol",technical standard,"leases as renewable machine authority",https://www.rfc-editor.org/rfc/rfc2131
tech-acme,2019,IETF,"RFC 8555: Automatic Certificate Management Environment (ACME)",technical standard,"automated certificate renewal",https://www.rfc-editor.org/info/rfc8555/
tech-cabf-sc081,2025,CA/Browser Forum,"Ballot SC081v3: Introduce Schedule of Reducing Validity and Data Reuse Periods",industry standard,"TLS validity reduction to 47 days",https://cabforum.org/2025/04/11/ballot-sc081v3-introduce-schedule-of-reducing-validity-and-data-reuse-periods/
tech-cabf-br,2026,CA/Browser Forum,"Latest Baseline Requirements",industry standard,"current TLS certificate validity schedule",https://cabforum.org/working-groups/server/baseline-requirements/requirements/
tech-letsencrypt-x3,2024,Let's Encrypt,"DST Root CA X3 Expiration (September 2021)",operator documentation,"expiry cliff and legacy-device failure",https://letsencrypt.org/ca/docs/dst-root-ca-x3-expiration-september-2021/
tech-nist-passwords,2025,NIST,"SP 800-63B: Authentication and Authenticator Management",government standard,"why routine password expiry was rejected",https://pages.nist.gov/800-63-4/sp800-63b.html
tech-fips112,1985,NIST,"FIPS PUB 112: Password Usage",historical government standard,"historical contrast on password lifetime",https://nvlpubs.nist.gov/nistpubs/legacy/fips/fipspub112.pdf
tech-oauth,2012,IETF,"RFC 6749: The OAuth 2.0 Authorization Framework",technical standard,"short-lived delegated access",https://www.rfc-editor.org/rfc/rfc6749
tech-jwt,2015,IETF,"RFC 7519: JSON Web Token (JWT)",technical standard,"the exp claim and machine-readable expiry",https://www.rfc-editor.org/rfc/rfc7519
law-emergency,1976,United States Congress,"50 U.S.C. § 1622 - National emergencies",statute,"automatic annual termination absent continuation",https://www.law.cornell.edu/uscode/text/50/1622
law-emergency-savings,1977,United States Congress,"50 U.S.C. § 1706 - Savings provisions",statute,"why termination needs transition rules",https://www.law.cornell.edu/uscode/text/50/1706
patent-uspto-maintain,2026,USPTO,"Maintain your patent",government guidance,"20-year term and maintenance-fee lapse",https://www.uspto.gov/patents/maintain
patent-uspto-term,2024,USPTO,"MPEP 2701 - Patent Term",government manual,"statutory patent term",https://www.uspto.gov/web/offices/pac/mpep/s2701.html
patent-fda-faq,2024,FDA,"Frequently Asked Questions on Patents and Exclusivity",government guidance,"drug patents and regulatory exclusivity",https://www.fda.gov/drugs/development-approval-process-drugs/frequently-asked-questions-patents-and-exclusivity
patent-fda-orange,2026,FDA,"Orange Book Data Files",government database documentation,"patent and exclusivity expiration fields",https://www.fda.gov/drugs/drug-approvals-and-databases/orange-book-data-files
patent-fda-piv,2026,FDA,"Patent Certifications and Suitability Petitions",government guidance,"Paragraph IV challenges and 30-month stays",https://www.fda.gov/drugs/abbreviated-new-drug-application-anda/patent-certifications-and-suitability-petitions
finance-options,2026,SEC Office of Investor Education,"An Introduction to Options - Investor Bulletin",government investor guidance,"option value and contract expiry",https://www.investor.gov/introduction-investing/general-resources/news-alerts/alerts-bulletins/investor-bulletins-63
finance-0dte,2026,Cboe,"0DTE Trading Resources",exchange education,"same-day expiration as a market product",https://www.cboe.com/tradable-products/0dte
consumer-giftcards,2009,United States Congress,"15 U.S.C. § 1693l-1 - General-use prepaid cards gift certificates and store gift cards",statute,"five-year floor for paid gift-card expiration",https://www.law.cornell.edu/uscode/text/15/1693l-1
food-usda-dating,2025,USDA FSIS,"Food Product Dating",government guidance,"quality dates versus safety dates",https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/food-product-dating
food-usda-policy,2025,USDA FSIS,"Food Date Labeling",government policy,"consumer confusion and standardization",https://www.fsis.usda.gov/policy/federal-register-rulemaking/federal-register-notices/food-date-labeling
drug-fda-expiration,2025,FDA,"Expiration Dates - Questions and Answers",government guidance,"risks and meaning of drug expiration",https://www.fda.gov/drugs/pharmaceutical-quality-resources/expiration-dates-questions-and-answers
drug-fda-extension,2026,FDA,"Expiration Dating Extension",government guidance,"Shelf-Life Extension Program and emergency extensions",https://www.fda.gov/emergency-preparedness-and-response/mcm-legal-regulatory-and-policy-framework/expiration-dating-extension
drug-fda-stability,1985,FDA,"Expiration Dating and Stability Testing for Human Drug Products",government inspection guide,"stability studies and dating",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/inspection-technical-guides/expiration-dating-and-stability-testing-human-drug-products
privacy-gdpr,2016,European Union,"Regulation (EU) 2016/679 Article 5",regulation,"storage limitation and archival exception",https://eur-lex.europa.eu/eli/reg/2016/679/2016-05-04
privacy-ico,2026,Information Commissioner's Office,"Principle (e): Storage limitation",regulator guidance,"retention schedules and review",https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/data-protection-principles/a-guide-to-the-data-protection-principles/storage-limitation/
identity-passport,2026,U.S. Department of State,"Frequently Asked Questions about Passport Services",government guidance,"ten-year adult and five-year child passport validity",https://travel.state.gov/en/passports/contact-support/faq.html
identity-greencard,2026,USCIS,"How do I renew or replace my permanent resident card?",government guide,"document expiry versus underlying status",https://www.uscis.gov/sites/default/files/document/guides/B2en.pdf
identity-greencard-proof,2026,USCIS,"USCIS Contact Center",government guidance,"expired card plus receipt as proof of continuing status",https://www.uscis.gov/contactcenter
burden-gao,2025,U.S. Government Accountability Office,"Administrative Burden: OMB Should Update Instructions to Help Agency Assessment Efforts",government report,"renewal friction and benefit take-up",https://www.gao.gov/products/gao-25-107239
research-administrative-burden,2018,Pamela Herd and Donald P. Moynihan,"Administrative Burden: Policymaking by Other Means",book,"learning compliance and psychological costs of repeated renewal",https://www.russellsage.org/publications/administrative-burden
research-patent-cliff,2024,FDA,"Electronic Orange Book",government education,"expiration as rough not exact predictor of generic entry",https://www.fda.gov/drugs/fda-drug-info-rounds-video/electronic-orange-book
counter-antarctic,2016,Stanford University,"Stanford researchers find that the future of Antarctic marine protected areas is at risk",university report,"case against sunset clauses for long-horizon conservation",https://news.stanford.edu/stories/2016/10/future-antarctic-marine-protected-areas-risk
