id,year,author_or_institution,title,source_type,book_use,url
SD-001,2007,MIT News,Shannon collection shows wit and whimsy,institutional history,"Documents Shannon's home-built contraptions, including the maze-solving mouse and mechanical juggler, and dates his tinkering across roughly 1950 to the mid-1980s.; Chapter: 1; Notes: Use for object-level context; verify any specific Ultimate Machine construction details against a primary artifact or Shannon's own description before quoting them.; Documents Theseus and its relay-controlled maze.; Chapter: 12; Notes: Avoid invented demonstrations.; Legacy duplicate source id: SD-033; Documents the family-donated collection of Shannon's home-built devices, including mechanical juggling apparatus, and dates his home tinkering from roughly 1950 to the mid-1980s.; Chapter: 14; Notes: Strong artifact-level evidence; avoid treating every toy as a direct extension of information theory.; Legacy duplicate source id: SD-038; Documents Shannon's surviving home-built machines and mechanical juggling apparatus, supporting the closing chapter's focus on play and physical problem-solving.; Chapter: 20; Notes: Artifact evidence supports the activities, not a claim that Shannon intended juggling as a philosophy of life.; Legacy duplicate source id: SD-056",https://news.mit.edu/2007/shannon-0530
SD-002,1968,MIT Museum,"Claude Elwood Shannon, 1968",museum collection record,Anchors Shannon at MIT in the late 1960s and provides an institutional collection trail for his later career and surviving artifacts.; Chapter: 1; Notes: Context source rather than direct evidence for the Ultimate Machine.,https://mitmuseum.mit.edu/collections/object/GCP-00023010
SD-003,2016,IEEE Spectrum,"Claude Shannon: Tinkerer, Prankster, and Father of Information Theory",professional-history article,"Provides sourced biographical chronology for Shannon's Gaylord childhood, radio and Erector-set tinkering, his sister Catherine's mathematics influence, and his University of Michigan double major.; Chapter: 2; Notes: Secondary source; corroborate vivid childhood anecdotes with Soni/Goodman or archival material before using as scene detail.; Documents Shannon's broad later interests and the field's tendency to extend information-theory language into domains far beyond communications, including contemporary concern over overextension.; Chapter: 17; Notes: Retrospective field history; preserve distinction between Shannon's own claims and later enthusiasm around the theory.; Legacy duplicate source id: SD-049; Retrospective profile based on John Horgan's interview with Shannon; corroborates later tinkering and records that Shannon died after Alzheimer's disease.; Chapter: 19; Notes: Secondary biographical source; do not treat later metaphorical descriptions of memory loss as Shannon information theory.; Legacy duplicate source id: SD-055",https://spectrum.ieee.org/claude-shannon-tinkerer-prankster-and-father-of-information-theory
SD-004,2026,National Academy of Sciences,Claude E. Shannon,academy directory,Confirms Shannon's birth and death dates and National Academy election year.; Chapter: 2; Notes: Sparse institutional record; useful for chronology only.,https://www.nasonline.org/directory-entry/claude-e-shannon-gdljtx/
SD-005,2001,MIT News,"Professor Emeritus Claude Shannon, founder of digital communications, dies at 84",institutional obituary,"Confirms Shannon's work on Vannevar Bush's differential analyzer, the Boolean-algebra basis of his master's thesis, his MIT degrees, IAS fellowship, and move to Bell Labs.; Chapter: 3; Notes: Reliable institutional chronology; avoid repeating the quoted 'master's thesis of the century' formulation unless attribution is retained.; Confirms Shannon's part-time operation of Vannevar Bush's differential analyzer while at MIT.; Chapter: 4; Notes: Use as chronology; seek Bush/MIT archival material before reconstructing the machine-room scene in detail.; Legacy duplicate source id: SD-007; Confirms that Shannon worked on secrecy systems at Bell Labs during World War II.; Chapter: 8; Notes: Insufficient by itself for technical details of wartime cryptography; pair with Shannon's declassified secrecy paper for technical claims.; Legacy duplicate source id: SD-015; Confirms Betty Moore's Bell Labs numerical-analyst role, their 1949 marriage, the family's move to Mystic Lake in Winchester after Shannon became a visiting MIT professor, and Shannon's juggling/unicycling and gadget building.; Chapter: 14; Notes: Institutional obituary; do not overstate Betty Shannon's technical role beyond available documentation.; Legacy duplicate source id: SD-039; Confirms Shannon's MIT faculty chronology, continued gadget-building, and later institutional role through professor emeritus status.; Chapter: 17; Notes: Use for chronology and documented activities; avoid psychologizing motives not in the record.; Legacy duplicate source id: SD-048; Controlling institutional source for Shannon's death on February 24, 2001 at age 84 after a long battle with Alzheimer's disease, plus late-career chronology and surviving family.; Chapter: 19; Notes: Do not invent intimate scenes from the illness; diagnosis and chronology are supported, private experience is not.; Legacy duplicate source id: SD-053",https://news.mit.edu/2001/shannon
SD-006,1938,Claude E. Shannon,A Symbolic Analysis of Relay and Switching Circuits,primary paper,"Primary evidence that Shannon represented relay and switching networks algebraically and identified the calculus with the symbolic calculus of propositions.; Chapter: 3; Notes: Primary text; manuscript submitted March 1, 1938 and presented at the AIEE summer convention in June 1938.; Primary evidence for the thesis's purpose, notation, network-synthesis method, and explicit analogy between switching algebra and symbolic logic.; Chapter: 5; Notes: Quote sparingly from the original and distinguish the 1937 thesis from the 1938 published paper.; Legacy duplicate source id: SD-009",https://tubes.mit.edu/6S917/_static/2025/resources/shannon38.pdf
SD-008,2003,MIT News,Big achievements included room-size computers,institutional history,Places Bush's analog-computing work and Shannon's 1937-38 switching-circuit work within MIT's engineering chronology.; Chapter: 4; Notes: Broad institutional timeline; not sufficient by itself for causal claims about what the differential analyzer taught Shannon.; States that Shannon's master's thesis laid a theoretical foundation for modern computers in MIT's own historical timeline.; Chapter: 5; Notes: Later retrospective characterization; keep separate from claims about contemporary reception.; Legacy duplicate source id: SD-011,https://news.mit.edu/2003/eecs-time-0521
SD-010,2021,MIT Press,A Symbolic Analysis of Relay and Switching Circuits (1938),scholarly reprint metadata,"Confirms the paper's canonical publication identity and later inclusion among foundational computer-science papers.; Chapter: 5; Notes: Use for bibliographic cross-checking, not as evidence for historical reception in 1938.",https://direct.mit.edu/books/edited-volume/5003/chapter/2657031/A-Symbolic-Analysis-of-Relay-and-Switching
SD-012,2026,Institute for Advanced Study,Claude E. Shannon,institutional scholar record,Confirms Shannon's membership in the IAS School of Mathematics from September 1940 through June 1941 and his 1940 MIT Ph.D.; Chapter: 7; Notes: Use the dates as an institutional anchor; do not infer day-to-day contact with famous IAS figures without separate evidence.; Provides institutional chronology locating the information-theory paper in 1948.; Chapter: 10; Notes: Distinguish retrospective prose from archival facts.; Legacy duplicate source id: SD-019,https://www.ias.edu/scholars/claude-e-shannon
SD-013,1940,Institute for Advanced Study Archives,"Shannon, Claude E. -M-, 1940-41",archival finding aid,Identifies the Director's Office member file for Shannon and its 1940-41 date range.; Chapter: 7; Notes: Primary archival trail for later close research; avoid reconstructing correspondence not yet inspected.,https://albert.ias.edu/entities/archivalmaterial/722de860-1f0f-47e6-8453-106f4eacc945
