source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
SD-001,1,2026-09-04,2007-05-30,MIT News,"Shannon collection shows wit and whimsy",institutional history,"Documents Shannon's home-built contraptions, including the maze-solving mouse and mechanical juggler, and dates his tinkering across roughly 1950 to the mid-1980s.",https://news.mit.edu/2007/shannon-0530,"Use for object-level context; verify any specific Ultimate Machine construction details against a primary artifact or Shannon's own description before quoting them."
SD-002,1,2026-09-04,1968-10,MIT Museum,"Claude Elwood Shannon, 1968",museum collection record,"Anchors Shannon at MIT in the late 1960s and provides an institutional collection trail for his later career and surviving artifacts.",https://mitmuseum.mit.edu/collections/object/GCP-00023010,"Context source rather than direct evidence for the Ultimate Machine."
SD-003,2,2026-09-04,2016-04-28,IEEE Spectrum,"Claude Shannon: Tinkerer, Prankster, and Father of Information Theory",professional-history article,"Provides sourced biographical chronology for Shannon's Gaylord childhood, radio and Erector-set tinkering, his sister Catherine's mathematics influence, and his University of Michigan double major.",https://spectrum.ieee.org/claude-shannon-tinkerer-prankster-and-father-of-information-theory,"Secondary source; corroborate vivid childhood anecdotes with Soni/Goodman or archival material before using as scene detail."
SD-004,2,2026-09-04,,National Academy of Sciences,"Claude E. Shannon",academy directory,"Confirms Shannon's birth and death dates and National Academy election year.",https://www.nasonline.org/directory-entry/claude-e-shannon-gdljtx/,"Sparse institutional record; useful for chronology only."
SD-005,3,2026-09-04,2001-02-27,MIT News,"Professor Emeritus Claude Shannon, founder of digital communications, dies at 84",institutional obituary,"Confirms Shannon's work on Vannevar Bush's differential analyzer, the Boolean-algebra basis of his master's thesis, his MIT degrees, IAS fellowship, and move to Bell Labs.",https://news.mit.edu/2001/shannon,"Reliable institutional chronology; avoid repeating the quoted 'master's thesis of the century' formulation unless attribution is retained."
SD-006,3,2026-09-04,1938,Claude E. Shannon,"A Symbolic Analysis of Relay and Switching Circuits",primary paper,"Primary evidence that Shannon represented relay and switching networks algebraically and identified the calculus with the symbolic calculus of propositions.",https://tubes.mit.edu/6S917/_static/2025/resources/shannon38.pdf,"Primary text; manuscript submitted March 1, 1938 and presented at the AIEE summer convention in June 1938."
SD-007,4,2026-09-04,2001-02-27,MIT News,"Professor Emeritus Claude Shannon, founder of digital communications, dies at 84",institutional obituary,"Confirms Shannon's part-time operation of Vannevar Bush's differential analyzer while at MIT.",https://news.mit.edu/2001/shannon,"Use as chronology; seek Bush/MIT archival material before reconstructing the machine-room scene in detail."
SD-008,4,2026-09-04,2003-05-21,MIT News,"Big achievements included room-size computers",institutional history,"Places Bush's analog-computing work and Shannon's 1937-38 switching-circuit work within MIT's engineering chronology.",https://news.mit.edu/2003/eecs-time-0521,"Broad institutional timeline; not sufficient by itself for causal claims about what the differential analyzer taught Shannon."
SD-009,5,2026-09-04,1938,Claude E. Shannon,"A Symbolic Analysis of Relay and Switching Circuits",primary paper,"Primary evidence for the thesis's purpose, notation, network-synthesis method, and explicit analogy between switching algebra and symbolic logic.",https://tubes.mit.edu/6S917/_static/2025/resources/shannon38.pdf,"Quote sparingly from the original and distinguish the 1937 thesis from the 1938 published paper."
SD-010,5,2026-09-04,2021,MIT Press,"A Symbolic Analysis of Relay and Switching Circuits (1938)",scholarly reprint metadata,"Confirms the paper's canonical publication identity and later inclusion among foundational computer-science papers.",https://direct.mit.edu/books/edited-volume/5003/chapter/2657031/A-Symbolic-Analysis-of-Relay-and-Switching,"Use for bibliographic cross-checking, not as evidence for historical reception in 1938."
