id,year,author_or_institution,title,source_type,book_use,url
ch01-001,2010,National Transportation Safety Board,"Loss of Thrust in Both Engines After Encountering a Flock of Birds and Subsequent Ditching on the Hudson River, US Airways Flight 1549 (NTSB/AAR-10/03)",Government accident report,"Timeline of the January 15 2009 bird strike, engine loss, three-option evaluation (LaGuardia, Teterboro, Hudson), ditching, 155 survivors, 5 seriously injured, probable-cause finding that the ditching decision was appropriate; Chapter: 1; Notes: Primary NTSB final report; used as the book's opening scene.; Revisited in depth for chapter 17: NTSB's finding that Sullenberger's decision to ditch rather than attempt a return to LaGuardia or diversion to Teterboro was the appropriate call given the altitude and distance available; Chapter: 17; Notes: Same primary source as ch01-001, examined here for the decision-quality finding rather than the narrative opening.; Legacy duplicate source id: ch17-001",https://www.ntsb.gov/investigations/accidentreports/reports/aar1003.pdf
ch01-002,2009,Federal Aviation Administration,"Airbus SAS A320-214, N106US, Lessons Learned",Government lessons-learned page,Corroborating summary of the Flight 1549 bird strike and dual engine loss; Chapter: 1; Notes: Cross-check against the NTSB report for aircraft registration and event summary.,https://www.faa.gov/lessonslearned/transportairplane/accidents/N160US
ch02-001,1997,Raja Parasuraman; Victor Riley,"Humans and Automation: Use, Misuse, Disuse, Abuse",Peer-reviewed journal article,Defines misuse (over-reliance/automation bias) and disuse (neglect/under-reliance) as the two failure modes framing the book's central grid; Chapter: 2; Notes: Human Factors 39(2): 230-253. Foundational taxonomy for chapter 2.,https://doi.org/10.1518/001872097778543886
ch02-002,1983,Lisanne Bainbridge,Ironies of Automation,Peer-reviewed journal article,"The two ironies: automating routine work removes the practice operators need to stay skilled, while leaving them responsible for the rare, hardest interventions; Chapter: 2; Notes: Automatica 19(6); one of the most cited papers in human factors engineering.; Full argument for chapter 3: skill degradation from disuse, vigilance burden, and the paradox of needing more operator training as automation increases; Chapter: 3; Notes: Same source as ch02-002; central text for this chapter.; Legacy duplicate source id: ch03-001",https://doi.org/10.1016/0005-1098(83)90046-8
ch04-001,2012,Bureau d'Enquêtes et d'Analyses pour la sécurité de l'aviation civile (BEA),"Final Report — Accident on 1st June 2009 to the Airbus A330-203 registered F-GZCP operated by Air France, flight AF 447 Rio de Janeiro - Paris",Government accident report,"Pitot-tube icing, autopilot disengagement, pilot confusion and 'startle,' 25 safety recommendations including manual-flying training at altitude; Chapter: 4; Notes: Secondary summary of the BEA final report via IEEE Spectrum; figures cross-checked against NPR and ABC News coverage of the same report.",https://spectrum.ieee.org/air-france-flight-447-crash-caused-by-a-combination-of-factors
ch04-002,1997,Warren VanderBurgh (American Airlines Training Academy),Children of the Magenta Line (training presentation),First-party training material / secondary accounts,"Origin of the 'children of the magenta' term; American Airlines analysis attributing 68% of a set of accidents/incidents/violations to automation mismanagement; the guidance to 'step down' automation levels rather than abandon or over-rely on them; Chapter: 4; Notes: Cross-checked against AOPA's 'Always Learning' retrospective and Air Facts Journal commentary; used descriptively, no invented dialogue from the video.",https://www.p6aviation.com/blog-posts/2020/2/9/children-of-the-magenta-line
ch05-001,2000,Norman H. Mackworth (historical); multiple secondary sources,Mackworth Clock / WWII radar vigilance research,Historical research summary,"RAF radar operators lost 10-15% detection efficiency within the first 30 minutes of a watch; the Mackworth Clock test and the 'vigilance decrement' finding that detection accuracy declines further over a 2-hour watch; Chapter: 5; Notes: Secondary synthesis (Wikipedia, millisecond.com test documentation) of Mackworth's original 1940s RAF-commissioned studies; original wartime reports are not freely available online, so this chapter treats the figures as a well-established secondary account rather than a primary citation.",https://en.wikipedia.org/wiki/Mackworth_Clock
ch06-001,2004,John D. Lee; Katrina A. See,Trust in Automation: Designing for Appropriate Reliance,Peer-reviewed journal article,"Conceptual model of trust calibration: the gap between a person's trust in a system and the system's actual trustworthiness, and the design implications of over- and under-calibration; Chapter: 6; Notes: Human Factors 46(1): 50-80; central framework for chapter 6.; Design-facing conclusions revisited for chapter 19: closing the calibration gap between trust and trustworthiness through system design, training, and feedback rather than through blanket trust or blanket suspicion; Chapter: 19; Notes: Same source as ch06-001, drawn on again here for its design recommendations rather than its diagnostic framework.; Legacy duplicate source id: ch19-002",https://doi.org/10.1518/hfes.46.1.50_30392
ch07-001,2015,Berkeley J. Dietvorst; Joseph P. Simmons; Cade Massey,Algorithm Aversion: People Erroneously Avoid Algorithms After Seeing Them Err,Peer-reviewed journal article,"Five studies showing people lose confidence in an algorithmic forecaster faster than in a human one after watching each err by the same amount, even when the algorithm outperforms overall; Chapter: 7; Notes: Journal of Experimental Psychology: General 144(1): 114-126.",https://marketing.wharton.upenn.edu/wp-content/uploads/2016/10/Dietvorst-Simmons-Massey-2014.pdf
ch07-002,2018,Berkeley J. Dietvorst; Joseph P. Simmons; Cade Massey,Overcoming Algorithm Aversion: People Will Use Imperfect Algorithms If They Can (Even Slightly) Modify Them,Peer-reviewed journal article,Follow-up finding used as counterevidence/resolution: giving people even minimal ability to adjust an algorithm's output substantially restores willingness to use it; Chapter: 7; Notes: Management Science 64(3): 1155-1170.,https://pubsonline.informs.org/doi/10.1287/mnsc.2016.2643
