id,year,author_or_institution,title,source_type,book_use,url
ch01-mofcom-2025-18,2025,Ministry of Commerce and General Administration of Customs,Announcement No. 18 of 2025 on export control of medium and heavy rare earth related items,primary government,Chapter 1 April 4 licensing regime and covered rare earth categories,https://english.mofcom.gov.cn/Policies/AnnouncementsOrders/art/2025/art_0dd87cbee7b045bf93fabe6ab2faceee.html
ch01-iea-ree-2025,2025,International Energy Agency,Rare Earth Elements 2025,authoritative report,Chapter 1 mining refining and magnet production concentration,https://www.iea.org/reports/rare-earth-elements-2025
ch01-mp-dod-2025,2025,MP Materials,MP Materials Announces Transformational Public-Private Partnership with the Department of Defense,company primary,Chapter 1 DoD equity investment and NdPr price floor,https://investors.mpmaterials.com/investor-news/news-details/2025/MP-Materials-Announces-Transformational-Public-Private-Partnership-with-the-Department-of-Defense-to-Accelerate-U-S--Rare-Earth-Magnet-Independence/default.aspx
ch01-dod-osc-2025,2025,U.S. Department of Defense,Office of Strategic Capital Announces First Loan Through DoD Agreement With MP Materials,primary government,Chapter 1 heavy rare earth separation loan and mine-to-magnet industrial response,https://www.defense.gov/News/Releases/Release/Article/4270722/office-of-strategic-capital-announces-first-loan-through-dod-agreement-with-mp/
ch01-mofcom-suspension-2026,2026,Ministry of Commerce,MOFCOM response on suspension of October 9 export-control measures,primary government,Chapter 1 distinction between April licensing controls and suspended October measures,https://bombay.mofcom.gov.cn/jmxw/art/2026/art_aa03380c0a93428db090cda7656d33d7.html
ch01-usgs-ree-definition,2026,U.S. Geological Survey,Rare Earths Statistics and Information,authoritative government data,Chapter 1 definition of the seventeen rare earth elements and geological abundance boundary,https://www.usgs.gov/centers/national-minerals-information-center/rare-earths-statistics-and-information
ch02-usgs-critical-list-2025,2025,U.S. Geological Survey,Interior Department releases final 2025 List of Critical Minerals,primary government,Chapter 2 U.S. list of sixty critical minerals and 2025 update,https://www.usgs.gov/news/science-snippet/interior-department-releases-final-2025-list-critical-minerals
ch02-eu-crma-2024,2024,European Union,Regulation EU 2024/1252 Critical Raw Materials Act,primary law,Chapter 2 EU critical and strategic raw-material frameworks and selection criteria,https://eur-lex.europa.eu/eli/reg/2024/1252/oj/eng
ch02-iea-outlook-2025,2025,International Energy Agency,Global Critical Minerals Outlook 2025,authoritative report,Chapter 2 demand growth supply concentration and counterevidence across copper lithium nickel cobalt and rare earths,https://www.iea.org/reports/global-critical-minerals-outlook-2025
ch02-iea-copper-2025,2025,International Energy Agency,Copper 2025,authoritative report,Chapter 2 copper demand volumes and mining/refining concentration,https://www.iea.org/reports/copper-2
ch02-iea-lithium-2025,2025,International Energy Agency,Lithium 2025,authoritative report,Chapter 2 lithium demand growth and diversification counterevidence,https://www.iea.org/reports/lithium-2
ch03-opec-baghdad-2022,2022,Organization of the Petroleum Exporting Countries,Brief remarks on OPEC founding in Baghdad,primary institution,Chapter 3 OPEC founding date city and five founding representatives,https://www.opec.org/speech-detail/8-19-june-2022.html
ch03-fed-oilshock-1973,2013,Federal Reserve History,Oil Shock of 1973-74,authoritative historical synthesis,Chapter 3 OAPEC embargo chronology oil price move and macroeconomic context,https://www.federalreservehistory.org/essays/oil-shock-of-1973-74
ch03-doe-spr-history,2014,U.S. Department of Energy,History of the Strategic Petroleum Reserve,primary government history,Chapter 3 SPR creation after 1973-74 embargo and salt-cavern design,https://www.energy.gov/articles/history-strategic-petroleum-reserve
ch03-mit-stock-flow-2026,2026,MIT Center for Energy and Environmental Policy Research,The Differential Impacts of Critical Mineral Prices and Oil Prices on the Economy,academic working paper,Chapter 3 stock-versus-flow distinction and different macroeconomic transmission of mineral and oil shocks,https://ceepr.mit.edu/the-differential-impacts-of-critical-mineral-prices-and-oil-prices-on-the-economy/
ch04-usgs-copper-2026,2026,U.S. Geological Survey,Mineral Commodity Summaries 2026,primary government data,Chapter 4 2025 world copper mine production including Chile at 5.3 million tonnes,https://pubs.usgs.gov/periodicals/mcs2026/mcs2026.pdf
ch04-codelco-results-2026,2026,Codelco,Full-year 2025 results,company primary,Chapter 4 Codelco own production total production EBITDA profit and El Teniente output decline,https://www.codelco.com/en/prensa/2026/codelco-cerro-2025-con-un-ebitda-de-us-6-670-millones-una-utilidad
ch04-codelco-accident-2026,2026,Codelco,A un año del accidente en El Teniente,company primary,Chapter 4 six fatalities and July 31 2025 accident remembrance,https://codelco.com/prensa/2026/a-un-ano-del-accidente-en-el-teniente
ch04-bhp-escondida-2025,2025,BHP,Annual Report 2025,company primary,Chapter 4 Escondida ownership highest production in 17 years and operational drivers,https://www.bhp.com/-/media/documents/investors/annual-reports/2025/250819_bhpannualreport2025.pdf
ch04-iea-outlook-2026,2026,International Energy Agency,Global Critical Minerals Outlook 2026 executive summary,authoritative report,Chapter 4 updated 2035 copper supply gap and project pipeline counterevidence,https://www.iea.org/reports/global-critical-minerals-outlook-2026/executive-summary
ch04-nber-chile-2025,2025,Sebastian Edwards,Expropriation Without Compensation: Copper in Chile 1970-1973,academic working paper,Chapter 4 Chilean nationalization and excess-profits compensation framework,https://www.nber.org/papers/w33572
