id,year,author_or_institution,title,source_type,book_use,url
BTU-001,2015,Google Workspace Updates,Undo Send for Gmail on the web,primary product documentation,Chapter 1: establishes formal launch of Gmail Undo Send as a web setting after Labs,https://workspaceupdates.googleblog.com/2015/06/undo-send-for-gmail-on-web.html
BTU-002,2023,Google,How to undo send an email in Gmail and increase your undo send time,primary product documentation,Chapter 1: documents the five-to-thirty-second cancellation window and return to draft,https://blog.google/products-and-platforms/products/gmail/how-to-unsend-email-gmail/
BTU-003,2026,The Git Project,git-revert Documentation,primary technical documentation,Chapter 1 and planned Chapter 8: documents reversal by recording a new commit that reverses an earlier commit,https://git-scm.com/docs/git-revert
BTU-004,2026,The Git Project,About Version Control,primary technical documentation,Chapter 1 and planned Chapter 8: defines version control as recording changes so specific earlier versions can be recalled,https://git-scm.com/book/en/v2/Getting-Started-About-Version-Control.html
BTU-005,2010,NASA,Pad Abort-1,primary government documentation,Chapter 2: establishes date purpose sequence and outcome of Orion Pad Abort-1 test,https://www.nasa.gov/mission/pad-abort-1/
BTU-006,2026,NASA,Spacecraft Components — Launch Abort System,primary government documentation,Chapter 2: current Orion description and millisecond activation capability,https://www.nasa.gov/reference/spacecraft-components/
BTU-007,2013,Federal Trade Commission,Cooling-off Period for Sales Made at Home or Other Locations,primary regulatory documentation,Chapter 2 and planned Chapter 5: documents covered consumers' three-business-day cancellation right and its limited scope,https://www.ftc.gov/legal-library/browse/rules/cooling-period-sales-made-home-or-other-locations
BTU-008,2026,Administrative Office of the U.S. Courts,Process — Bankruptcy Basics,primary government legal guidance,Chapter 3: fresh-start purpose of federal bankruptcy law and Local Loan Co. v. Hunt quotation,https://www.uscourts.gov/court-programs/bankruptcy/bankruptcy-basics/process-bankruptcy-basics
BTU-009,2026,Administrative Office of the U.S. Courts,Chapter 7 — Bankruptcy Basics,primary government legal guidance,Chapter 3: discharge scope limits and honest-individual-debtor fresh-start purpose,https://www.uscourts.gov/court-programs/bankruptcy/bankruptcy-basics/chapter-7-bankruptcy-basics
BTU-010,2024,Hartmut Behr,Reversibility — Politics under Conditions of Uncertainty,scholarly book,Book brief: adjacent literature and counterclaim against novelty overstatement,https://www.degruyter.com/document/doi/10.1515/9780228020851/html
BTU-011,2013,Aviel Verbruggen,Revocability and reversibility in societal decision-making,peer-reviewed article,Book brief: adjacent framework distinguishing revocability reversal costs duration and substitutability,https://doi.org/10.1016/j.ecolecon.2012.10.011
