vertices,remaining,p0,p1,p2,p3,kl
14,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.22252747252747251,0.39285714285714285,0.29395604395604397,0.09065934065934066,0.04591824081349272
13,"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.2762237762237762,0.4090909090909091,0.2762237762237762,0.038461538461538464,0.12483417310809325
12,"(0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.3409090909090909,0.42272727272727273,0.22272727272727272,0.013636363636363636,0.24642966742306316
11,"(0, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.4121212121212121,0.41818181818181815,0.16363636363636364,0.006060606060606061,0.3831972098347977
10,"(0, 1, 5, 6, 7, 8, 9, 11, 12, 13)",0.5,0.4,0.1,0.0,0.5867870050167417
9,"(0, 1, 5, 6, 7, 9, 11, 12, 13)",0.6190476190476191,0.34523809523809523,0.03571428571428571,0.0,0.8778687436039841
8,"(0, 1, 6, 7, 9, 11, 12, 13)",0.6785714285714286,0.32142857142857145,0.0,0.0,1.0983745744394662
7,"(0, 1, 6, 7, 9, 11, 13)",0.7142857142857143,0.2857142857142857,0.0,0.0,1.167282727760833
6,"(0, 1, 6, 9, 11, 13)",0.8,0.2,0.0,0.0,1.3593166604080262
5,"(0, 6, 9, 11, 13)",1.0,0.0,0.0,0.0,2.0794415416798357
