id,year,author_or_institution,title,source_type,book_use,url
irena-renewable-costs-2025,2026,International Renewable Energy Agency,Renewable Power Generation Costs in 2025,Multilateral technical report,"Chapters 1, 5, and 21: observed renewable generation-cost benchmarks and the distinction between low generation cost and delivered reliable-system cost",https://www.irena.org/Publications/2026/Jul/Renewable-Power-Generation-Costs-in-2025
iea-global-energy-review-2026,2026,International Energy Agency,Global Energy Review 2026,Multilateral energy report,"Chapters 1 and 5: observed 2025 solar-generation growth, renewable additions, and battery deployment",https://www.iea.org/reports/global-energy-review-2026
iea-energy-review-key-findings-2026,2026,International Energy Agency,Global Energy Review 2026 — Key findings,Multilateral energy report,"Chapter 5: quantitative 2025 solar PV generation, renewable capacity additions, and battery additions",https://www.iea.org/reports/global-energy-review-2026/key-findings
iea-electricity-flexibility-2026,2026,International Energy Agency,Electricity 2026 — Flexibility,Multilateral energy report,"Chapter 5: utility-scale batteries, flexible demand, grid support, and the role of multiple flexibility resources",https://www.iea.org/reports/electricity-2026/flexibility
who-world-bank-uhc-2025,2025,World Health Organization and World Bank,Tracking Universal Health Coverage: 2025 Global Monitoring Report,Multilateral monitoring report,"Chapters 1 and 10: essential health-service coverage and financial-protection gaps",https://www.who.int/publications/i/item/9789240117808
itu-facts-figures-2025,2025,International Telecommunication Union,Measuring digital development: Facts and Figures 2025,Multilateral statistics,"Chapters 2 and 18: global connectivity progress alongside the remaining offline population and affordability and quality gaps",https://www.itu.int/itu-d/reports/statistics/facts-figures-2025/
world-bank-poverty-2024,2024,World Bank,Poverty Prosperity and Planet Report 2024,Multilateral flagship report,"Chapters 2 and 18: observed global extreme-poverty context and slow projected progress under the report vintage",https://www.worldbank.org/en/publication/poverty-prosperity-and-planet
ilo-skills-ai-2026,2026,International Labour Organization,Changing landscape of skills in the age of AI,Multilateral labor report,"Chapters 3 and 14: changing task and skill requirements with emphasis on cognitive socioemotional digital and AI-related skills",https://www.ilo.org/publications/changing-landscape-skills-age-ai
nber-bolsa-familia-2026,2026,Michael C. Best; Felipe Lobel; Valdemar Pinho Neto,Cash Transfers and Productive Inclusion: Evidence from Bolsa Familia,NBER working paper,"Chapters 3 and 14: context-specific evidence that a more generous transfer increased employment and improved health in the studied population",https://www.nber.org/papers/w35006
stanford-ai-index-2026,2026,Stanford Institute for Human-Centered AI,The 2026 AI Index Report,Research synthesis,"Chapters 4, 10, and 21: AI capability adoption investment infrastructure science medicine governance and deployment context",https://hai.stanford.edu/ai-index/2026-ai-index-report
stanford-ai-index-economy-2026,2026,Stanford Institute for Human-Centered AI,Economy — 2026 AI Index Report,Research synthesis,"Chapter 4: organizational adoption investment productivity and labor-market context",https://hai.stanford.edu/ai-index/2026-ai-index-report/economy
metr-time-horizons-2026,2026,METR,Task-Completion Time Horizons of Frontier AI Models,Independent evaluation,"Chapter 4: methodology and evidence for software-task durations frontier AI agents can complete at specified reliability",https://metr.org/time-horizons/
ifr-industrial-robots-2025,2025,International Federation of Robotics,World Robotics 2025 — Industrial Robots,Industry statistical report,"Chapter 6: industrial robot installations operational stock and decade-scale deployment growth",https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years
ifr-world-robotics-2025,2025,International Federation of Robotics,World Robotics 2025 report,Industry statistical report,"Chapter 6: industrial and professional service-robot deployment categories and geographic distribution",https://ifr.org/worldrobotics/report-2025
hud-offsite-role-2026,2026,U.S. Department of Housing and Urban Development,HUD's Past Present and Future Role in Accelerating U.S. Offsite Construction for Housing,Government research report,"Chapter 7: regulation demand aggregation systems certification and institutional enablers of offsite construction",https://www.huduser.gov/portal/publications/HUDs-Role-Accelerating-Offsite-Construction-For-Housing.html
hud-offsite-roadmap-2023,2023,U.S. Department of Housing and Urban Development,Offsite Construction for Housing: Research Roadmap,Government research report,"Chapter 7: potential production efficiencies and barriers across standards finance delivery workforce and business models",https://www.huduser.gov/portal/publications/Offsite-Construction-for-Housing-Research-Roadmap.html
