id,chapters,source,year,type,url,use,boundary
S01,"1;7;8","Landes E.; Francis K. B.; Everett J. A. C. — People defer to AI moral advice but not blindly",2026,journal article,https://doi.org/10.1016/j.cognition.2026.106504,"Direct evidence on persuasion and response-by-response deference to LLM moral advice","Three studies on everyday dilemmas; not evidence of universal behavior or moral superiority"
S02,"1;8","Meincke L.; Nave G.; Terwiesch C. — Advice quality and source disclosure shape trust in AI-generated ethical advice",2026,journal article,https://doi.org/10.1038/s41598-026-44258-1,"Compares GPT-4 ethical advice with New York Times Ethicist advice and studies source effects","Perceived usefulness and choice do not establish moral correctness or authority"
S03,"1;7","Krügel S.; Ostermaier A.; Uhl M. — Justification optional: ChatGPT's advice can still influence human judgments about moral dilemmas",2026,journal article,https://doi.org/10.1007/s43681-026-01005-6,"Evidence that chatbot advice can influence moral judgments even when justification effects are controlled","Vignette experiment; persuasion is not obedience and not legitimacy"
S04,"8;10","Myers S.; Everett J. A. C. — People expect artificial moral advisors to be more utilitarian and distrust utilitarian moral advisors",2025,journal article,https://doi.org/10.1016/j.cognition.2024.106028,"Evidence on algorithm aversion and expectations that AI moral advisors will be utilitarian","Perceptions of advisors do not prove actual model behavior is inherently utilitarian"
S05,"7;12","Leib M.; Köbis N.; Soraperra I. — Does AI and human advice mitigate punishment for selfish behavior?",2025,journal article,https://doi.org/10.1016/j.chb.2025.108709,"Experimental evidence on harmful advice and responsibility judgments after AI or human advice","Specific incentivized design; not a general theory of responsibility"
S06,"3;4;8;9","Giubilini A.; Savulescu J. — The Artificial Moral Advisor: The Ideal Observer Meets Artificial Intelligence",2018,journal article,https://doi.org/10.1007/s13347-017-0285-z,"Strong affirmative case for an artificial moral advisor that helps users act on their own values","Proposal is philosophical and conditional rather than evidence that deployed systems currently satisfy the model"
S07,"4;8","Rodríguez-López B.; Rueda J. — Artificial moral experts: asking for ethical advice to artificial intelligent assistants",2023,journal article,https://doi.org/10.1007/s43681-022-00246-5,"Argument that some AI systems could qualify as artificial moral experts and provide useful advice","Moral expertise remains philosophically contested"
S08,"4;19","Landes E.; Voinea C.; Uszkai R. — Rage against the authority machines: how to design artificial moral advisors for moral enhancement",2025,journal article,https://doi.org/10.1007/s00146-024-02135-3,"Distinguishes moral enhancement from authority and argues for inspiration-oriented advisors","Normative proposal rather than settled empirical design law"
S09,"4;7;17","Vallor S. — Moral Deskilling and Upskilling in a New Machine Age",2015,journal article,https://doi.org/10.1007/s13347-014-0156-9,"Foundational account of technology-enabled moral deskilling and possible upskilling","Predates generative LLMs and should be applied by analogy with care"
S10,"4","Hills A. — Moral Testimony",2013,journal article,https://doi.org/10.1111/phc3.12040,"Overview of why moral testimony may differ from ordinary testimony and why understanding or character can matter","Does not establish that relying on moral testimony is always wrong"
S11,"4","Epistemic Authorities and Skilled Agents: A Pluralist Account of Moral Expertise",2024,journal article,https://doi.org/10.1007/s11245-024-10038-7,"Separates moral expertise as epistemic authority from expertise as skilled or virtuous agency","Supports plural conceptions rather than a single settled definition"
S12,"5","Logg J. M.; Minson J. A.; Moore D. A. — Algorithm appreciation: People prefer algorithmic to human judgment",2019,journal article,https://doi.org/10.1016/j.obhdp.2018.12.005,"Shows that people can weight algorithmic advice more than human advice in some settings","Not specific to moral judgment and coexists with algorithm aversion literature"
S13,"5;13","Goddard K.; Roudsari A.; Wyatt J. C. — Automation bias: Empirical results assessing influencing factors",2014,journal article,https://doi.org/10.1016/j.ijmedinf.2014.01.001,"Healthcare evidence that decision support can induce switching from correct to incorrect answers","Clinical decision support differs from generative moral advice"
S14,"5;13","Human-AI Interactions in Public Sector Decision Making: Automation Bias and Selective Adherence to Algorithmic Advice",2023,journal article,https://doi.org/10.1093/jopart/muac007,"Counterevidence to a simplistic automation-bias story; finds no general automatic adherence in three public-sector experiments","Context specific and compares algorithmic predictions with human expert predictions"
S15,"10","Engel C.; Hermstrüwer Y.; Kim A. — Human realignment: An empirical study of LLMs as legal decision-aids in moral dilemmas",2026,journal article,https://doi.org/10.1007/s10506-026-09517-6,"Recent evidence of normative mismatches across models and mixed effects of explicit normative instruction","Classic dilemmas are proof-of-concept settings and not the whole of legal morality"
S16,"11","Elish M. C. — Moral Crumple Zones: Cautionary Tales in Human-Robot Interaction",2019,journal article,https://doi.org/10.17351/ests2019.260,"Introduces moral crumple zone for misallocated human responsibility in complex automated systems","Concept should not be stretched to every human-in-the-loop arrangement"
S17,"12;19","Delegated agency and moral responsibility in artificial intelligence",2026,journal article,https://doi.org/10.3389/frai.2026.1800302,"Recent conceptual distinctions among moral agency artificial agency delegated agency and moral authority","One normative account among contested positions on machine moral agency"
S18,"6;15;19;20","Beckman L.; Hultin Rosenberg J.; Jebari K. — Artificial intelligence and democratic legitimacy: The problem of publicity in public authority",2024,journal article,https://doi.org/10.1007/s00146-022-01493-0,"Separates accuracy and efficiency from democratic legitimacy and emphasizes accessible reasons","Focused on public authority rather than private moral advice"
S19,"6;13;19","Are Algorithmic Decisions Legitimate? The Effect of Process and Outcomes on Perceptions of Legitimacy of AI Decisions",2022,journal article,https://doi.org/10.1007/s10551-021-05032-7,"Experimental evidence on perceived legitimacy and appeal mechanisms","Perceived legitimacy is not identical to normative legitimacy"
S20,"9;16;19","Gabriel I. — Artificial Intelligence Values and Alignment",2020,journal article,https://doi.org/10.1007/s11023-020-09539-2,"Frames value alignment as a normative and political problem in a pluralistic world","Does not imply any one proposed alignment principle is settled"
S21,"9;16","Schuster N.; Kilov D. — Moral disagreement and the limits of AI value alignment: a dual challenge of epistemic justification and political legitimacy",2025,journal article,https://doi.org/10.1007/s00146-025-02427-2,"Direct analysis of reasonable moral disagreement and limits of crowdsourcing RLHF and constitutional approaches","Normative critique; future alignment methods may address some objections"
S22,"16","Baum K.; Slavkovik M. — Aggregation Problems in Machine Ethics and AI Alignment",2025,conference paper,https://doi.org/10.1609/aies.v8i1.36554,"Distinguishes moral aggregation from social aggregation and shows that aggregation relocates normative commitments","Conceptual analysis rather than a claim that aggregation is useless"
S23,"17","UNICEF — When AI becomes a friend: Child rights risks harms and regulatory responses to AI chatbots and companions",2026,policy brief,https://www.unicef.org/documents/when-ai-becomes-friend-child-rights-risks,"Child-rights analysis of chatbots and companions with policy recommendations","Risk-oriented policy evidence; not longitudinal proof of developmental harm"
S24,"2","Hume D. — A Treatise of Human Nature Book III Part I Section I",1739,primary text,https://davidhume.org/texts/t/3/1/1,"Classic statement underlying the is/ought distinction","Interpretive use only; the manuscript does not claim facts are irrelevant to ethics"
S25,"3","Plato — Euthyphro",-399,primary text,https://classics.mit.edu/Plato/euthyfro.html,"Ancient dilemma about whether the good is good because authority approves it or authority approves it because it is good","Applied analogically to machine advice; not a historical claim about technology"
S26,"9;16;20","Rawls J. — Political Liberalism",1993,book,https://www.hup.harvard.edu/books/9780231130899/political-liberalism,"Reasonable pluralism public justification and political legitimacy","Book uses Rawls as one liberal framework not as a universal settlement of metaethics"
S27,"6;15;19;20","Habermas J. — Between Facts and Norms",1996,book,https://mitpress.mit.edu/9780262581622/between-facts-and-norms/,"Public justification and legitimacy of binding authority","One theory of democratic legitimacy among alternatives"
S28,"6;16;19","Estlund D. — Democratic Authority: A Philosophical Framework",2008,book,https://press.princeton.edu/books/paperback/9780691147164/democratic-authority,"Useful distinction between epistemic quality and legitimate political authority","Does not entail that expertise has no role in legitimate governance"
S29,"2;10;18","Mill J. S. — On Liberty",1859,primary text,https://www.gutenberg.org/ebooks/34901,"Autonomy liberty experiments in living and limits based on harm","Nineteenth-century liberal framework requires modern qualification"
S30,"18;20","Berlin I. — Two Concepts of Liberty",1958,essay,https://berlin.wolf.ox.ac.uk/published_works/tcl/,"Pluralism and tensions between forms of liberty","Conceptual historical source not a direct AI governance prescription"
S31,"10","Kant I. — Groundwork of the Metaphysics of Morals",1785,primary text,https://www.gutenberg.org/ebooks/5682,"Counterweight to purely aggregative consequential reasoning through duties and persons","Used as philosophical contrast rather than a claim that one ethical theory wins"
S32,"10","Bentham J. — An Introduction to the Principles of Morals and Legislation",1789,primary text,https://www.gutenberg.org/ebooks/11224,"Historical consequentialist reference for utility and aggregation","Modern consequentialism is much broader than Bentham's formulation"
S33,"14;17","UNESCO — Guidance for generative AI in education and research",2023,policy guidance,https://unesdoc.unesco.org/ark:/48223/pf0000386693,"Education governance developmental caution privacy and human-centered use","Policy guidance rather than causal developmental evidence"
S34,"6;15;19","OECD — OECD AI Principles",2024,intergovernmental principles,https://oecd.ai/en/ai-principles,"Human-centered values accountability transparency robustness and governance context","High-level principles do not by themselves settle institutional design"
