id,year,author_or_institution,title,source_type,book_use,url
rim-ch01-001,2026,Smithsonian National Museum of American History,"Transportation in America before 1876",Museum history,"Chapters 1 and 4: roads, wagons, steamboats, canals, and the pre-rail transportation environment; use with care to separate general freight-wagon history from the Conestoga's later peak role. Also supports the first commercially successful U.S. steamboat on the Hudson in 1807, upstream/downstream commerce, and steamboat dominance by 1830.",https://americanhistory.si.edu/explore/exhibitions/america-on-the-move/online/transportation-1876
rim-ch02-001,2026,Smithsonian National Postal Museum,"1780s — A Timeline of Service to America",Museum timeline,"Chapter 2: April 1785 New York stagecoach line; December 31 1785 mail contracts with stagecoach operators between New Hampshire and Georgia; 1788 westward mail and 1789 postal legislation.",https://postalmuseum.si.edu/exhibition/250-years-of-stamps-and-stories-of-the-us-postal-service/1780s
rim-ch02-002,2025,Smithsonian National Postal Museum,"The Postal Service Begins",Museum history,"Chapter 2: Congress instructed Postmaster General Ebenezer Hazard in 1785 to contract with stagecoach companies; Washington supported postal allocations as a way to subsidize travel infrastructure.",https://postalmuseum.si.edu/the-postal-service-begins
rim-ch02-003,1792,Smithsonian National Postal Museum,"Post Office Act of 1792 publication",Primary-document museum record,"Chapter 2: establishes postal governance, low newspaper rates, privacy rules, and Congress's control over post routes; use to show the information system around the mail stage.",https://postalmuseum.si.edu/object/npm_1984.1127.8
rim-ch02-004,2026,Smithsonian National Postal Museum,"Early nineteenth century stagecoach",Museum object record,"Chapter 2: Post Office contracts with stage proprietors began in 1785; mail stages advertised schedule reliability; taverns and inns often doubled as post offices.",https://postalmuseum.si.edu/object/npm_0.235436.1
rim-ch03-001,2016,National Park Service,"Little Known Facts — Lewis & Clark",Government history,"Chapter 3: specially designed 55-foot keelboat; July 4 1803 confirmation of Louisiana Purchase; expedition preparation and supplies.",https://www.nps.gov/lecl/learn/historyculture/little-known-facts-4.htm
rim-ch03-002,2025,National Park Service,"Lewis's Departure from Pittsburgh",Government history,"Chapter 3 opening: Lewis arrived to find the 55-foot keelboat unfinished; waited about six weeks; departed August 30 1803; use as documented procurement/logistics scene.",https://www.nps.gov/places/lewis-s-departure-from-pittsburgh.htm
rim-ch03-003,2025,National Park Service,"Lewis and Clark Enter into Louisiana Purchase",Government place history,"Chapter 3 moral/geopolitical context: the land transferred by France was not empty; use to prevent empty-continent framing and discuss competing sovereignty claims.",https://home.nps.gov/places/lewis-and-clark-enter-into-louisiana-purchase.htm
rim-ch03-004,2023,National Park Service,"The Lewis and Clark Expedition: Documenting the Uncharted Northwest",Government teaching history,"Chapter 3: May 14 1804 Corps of Discovery departure, expedition goals, Louisiana Purchase scale, personnel and federal purpose; treat 'uncharted' as U.S. documentation context rather than absence of Indigenous knowledge.",https://www.nps.gov/teachers/classrooms/108lewisclark.htm
rim-ch04-002,2021,National Park Service,"Steamboats: Transportation During the Cherokee Removal 1837–1839",Government history,"Chapter 4 language guardrail and later consequence: Fulton widely credited with commercially successful 1807 steamboat; also documents steamboats as instruments in forced Cherokee removal, useful for the moral ledger.",https://home.nps.gov/articles/000/steamboats-transportation-during-the-cherokee-removal-1837-1839.htm
rim-ch05-001,2026,Smithsonian National Museum of American History,"An Artificial River: The Erie Canal",Museum history,"Chapter 5: canal built 1817–1825; connected Lake Erie to Hudson/New York; city growth, trade, labor, toll revenue, and Seneca Chief opening voyage.",https://americanhistory.si.edu/explore/exhibitions/on-the-water/online/inland-waterways/river-towns-networks/artificial-river-erie-canal
rim-ch05-002,2020,Erie Canal Museum,"1820: A Year to Celebrate",Museum history,"Chapter 5: first packet boat to Syracuse in 1820; Montezuma passenger packet; demonstrates passenger service before full canal completion.",https://eriecanalmuseum.org/1820-year-celebrate/
rim-ch06-001,2026,Smithsonian National Museum of American History,"Landmark Object: John Bull Locomotive",Museum fact sheet,"Chapter 6: imported in 1831; Camden & Amboy first rail link New York–Philadelphia; trip reduced from roughly two days by road to five hours by rail; American pilot-truck adaptation.",https://americanhistory.si.edu/press/fact-sheets/landmark-object-john-bull-locomotive
rim-ch07-001,2024,National Park Service,"Oregon National Historic Trail",Government history,"Chapter 7: first wagons toward Oregon in 1836; Great Migration of nearly 1,000 in 1843; explicitly notes prior Indigenous travel and the U.S. settlement project.",https://www.nps.gov/places/oregon-national-historic-trail.htm
rim-ch08-001,2026,Smithsonian National Postal Museum,"Flying Cloud ship model",Museum object record,"Chapter 8: 1851 New York–San Francisco passage in 89 days 21 hours; carried mail/passengers; clipper routes around Cape Horn and their role before direct overland mail.",https://postalmuseum.si.edu/object/npm_1993.2003.1
rim-ch08-002,2026,Smithsonian Time and Navigation,"The Clipper Ship Flying Cloud",Museum history,"Chapter 8: Gold Rush time pressure, 1851 voyage record, 1854 improved record of 89 days 8 hours, and navigator Eleanor Creesy; use the explicit 1854 date rather than ambiguous relative-year wording on another Smithsonian page.",https://timeandnavigation.si.edu/multimedia-asset/the-clipper-ship-flying-cloud
