id,chapter,subject,source_type,url,supports,guardrail
S001,01,Esther de Berdt Reed,Library of Congress,https://guides.loc.gov/american-women-essays/sentiments-american-woman,"1780 Sentiments broadside; Philadelphia women’s canvass; fundraising network; spread to other states","Do not convert paper-currency totals to modern dollars without specialist method"
S002,01,Esther de Berdt Reed,Library of Congress,https://www.loc.gov/collections/broadsides-and-other-printed-ephemera/articles-and-essays/introduction-to-printed-ephemera-collection/women-in-ephemera/,"national fundraising plan; systematic canvassing; Washington requested shirts","Reed died before completion; credit Sarah Franklin Bache and other organizers"
S003,02,Ona Judge,National Park Service,https://www.nps.gov/articles/independence-oneyjudge.htm,"May 21 1796 escape; Washington recapture attempts; Judge’s own later account","Do not claim she changed fugitive-slave law by herself"
S004,02,Ona Judge,National Park Service,https://www.nps.gov/articles/000/inde-1796-05-24-ona-judge-ad.htm,"contemporaneous recapture advertisement and description","Use quoted wording sparingly; distinguish source language from modern description"
S005,03,Sacagawea,National Park Service,https://www.nps.gov/lecl/learn/historyculture/sacagawea.htm,"peace signal; Shoshone communication; geographic knowledge; expedition role","Explicitly reject simplified claim that she guided the entire expedition"
S006,03,Sacagawea,National Park Service,https://www.nps.gov/subjects/travellewisandclark/expedition-by-date.htm,"dated expedition landmarks and Beaverhead Rock recognition","Do not erase aid and agency of Native nations"
S007,04,Dolley Madison,White House Historical Association,https://www.whitehousehistory.org/bios/dolley-madison,"White House social role; political influence; 1814 evacuation and portrait direction","Say she directed workers to save portrait; do not narrate legend as solo physical rescue"
S008,05,Emma Willard,Library of Congress,https://guides.loc.gov/american-women-geography-and-map/women-contributions/geographic-education,"1821 Troy Female Seminary; curricular innovation; textbooks and geography","Institutional influence requires specialist secondary sources in expansion"
S009,07,Dorothea Dix,National Park Service,https://www.nps.gov/mava/learn/historyculture/before-the-rosies.htm,"1841 prison observation; investigation; Massachusetts legislative response","Avoid present-day diagnostic labels for historical categories unless sourced"
S010,09,Clara Barton,American Red Cross,https://www.redcross.org/about-us/who-we-are/history/significant-dates.html,"Civil War aid; Missing Soldiers Office; later Red Cross chronology","Institutional self-history needs corroboration for evaluative claims"
S011,10,Susan B. Anthony,Library of Congress,https://www.loc.gov/item/97187514/,"1872 illegal voting trial record and suffrage constitutional conflict","Separate Anthony’s role from wider suffrage coalition and racial fractures"
S012,11,Frances Willard,Library of Congress,https://www.loc.gov/exhibitions/join-in-voluntary-associations-in-america/about-this-exhibition/a-nation-of-joiners/changing-america/womens-christian-temperance-union/,"WCTU scale; Willard presidency; Do Everything agenda","Must investigate racial politics and coercive consequences of prohibition"
S013,11,Frances Willard,Library of Congress,https://www.loc.gov/item/09034897/,"1879 Home Protection Manual linking temperance and woman ballot","Primary advocacy source does not prove effects by itself"
S014,12,Ida B. Wells,National Park Service,https://www.nps.gov/wori/learn/historyculture/womens-suffrage-history-timeline.htm,"1891 nationwide anti-lynching campaign chronology","Add Wells primary pamphlets and specialist scholarship"
S015,13,Jane Addams,National Park Service,https://home.nps.gov/places/hull-house.htm,"Hull-House services; settlement model and urban context","Do not credit Addams alone; include Ellen Gates Starr and residents"
S016,14,Margaret Sanger,Library of Congress,https://guides.loc.gov/chronicling-america-margaret-sanger,"Woman Rebel; birth-control term; first clinic; Comstock conflict","Treat eugenics and coercion history explicitly; do not use movement biography as moral verdict"
S017,16,Frances Perkins,U.S. Department of Labor,https://beta.dol.gov/about/history/past-secretaries/frances-perkins,"first woman Cabinet member; Social Security architecture; labor policy","Distinguish official biography from full causal attribution"
S018,18,Rosa Parks,National Park Service,https://www.nps.gov/people/rosa-parks.htm,"Dec 1 1955 refusal; NAACP background; boycott launch","Reject accidental-tired-seamstress myth; name movement infrastructure"
S019,18,Rosa Parks,National Park Service,https://www.nps.gov/places/alabama-dexter-avenue-baptist-church-montgomery.htm,"Claudette Colvin; Jo Ann Robinson leaflets; MIA; boycott mechanics","Catalyst is not sole cause"
S020,22,Ruth Bader Ginsburg,Supreme Court of the United States,https://www.supremecourt.gov/about/biographyginsburg.aspx,"1993 appointment; earlier Women’s Rights Project chronology","Used primarily as runner-up chronology, not evaluation"
S021,23,Oprah Winfrey,Library of Congress,https://loc.gov/loc/lcib/9708/ala.html,"1997 library recognition of Book Club’s expansion of reading public","Add audience, publishing-sales, media ownership, and philanthropy evidence"
S022,24,Nancy Pelosi,U.S. House History Art & Archives,https://history.house.gov/Institution/Firsts-Milestones/Speaker-Fast-Facts/,"Jan 4 2007 first woman Speaker","Firstness alone does not establish decade win; add legislative evidence"
S023,24,Nancy Pelosi,U.S. House History Art & Archives,https://history.house.gov/Exhibitions-and-Publications/WIC/Historical-Essays/Assembling-Amplifying-Ascending/Introduction/,"institutional history of women in Congress and Pelosi speakership","House institutional source should be supplemented for contested legislative interpretation"
S024,25,Kizzmekia Corbett,NIH Intramural Research Program,https://irp.nih.gov/accomplishments/rapid-development-of-safe-and-effective-covid-19-vaccines,"VRC team led by Barney Graham with Corbett; stabilized spike; Moderna collaboration","Team science; no sole-inventor framing"
S025,25,Kizzmekia Corbett,PubMed,https://pubmed.ncbi.nlm.nih.gov/32756549/,"2020 Nature paper; Corbett first author; mRNA-1273 design and prototype-pathogen preparedness","Authorship order is not proof of sole causal responsibility"
S026,25,Lisa Su,AMD,https://ir.amd.com/governance/board-of-directors,"Su CEO since Oct 2014 and board/chair roles","Company biography supports role chronology, not independent evaluation of national importance"
S027,24,Janet Yellen,Federal Reserve History,https://www.federalreservehistory.org/people/janet-l-yellen,"Fed Chair 2014-2018; chronology for runner-up","Add macroeconomic scholarship before causal comparison"
