id,year,author_or_institution,title,source_type,book_use,url
ch01-001,1983,UPI,"American Airlines, acknowledging that president Robert Crandall made an...",Contemporaneous wire report,"Confirms the 1982 Crandall-Putnam phone call, its taping, and the government's civil complaint against American; Chapter: 1; Notes: American acknowledged the call as part of a 1983 civil settlement; no criminal charges were filed.",https://www.upi.com/Archives/1983/05/05/American-Airlines-acknowledging-that-president-Robert-Crandall-made-an/5934420955200/
ch01-002,1983,UPI,Government accuses American Airlines in price-fixing scheme,Contemporaneous wire report,"Filing date and framing of the DOJ's 1983 civil suit against American Airlines over the Crandall-Putnam call; Chapter: 1; Notes: Suit alleged attempted monopolization rather than completed price-fixing, since Braniff rejected the proposal.",https://www.upi.com/Archives/1983/02/24/Government-accuses-American-Airlines-in-price-fixing-scheme/6027414910800/
ch01-003,2012,Cornell University (INFO 2040 course blog),A Price-Fixing Attempt,Academic course blog summarizing the case,Secondary summary of the Crandall-Putnam transcript and the 'raise your fares 20%' quotation; Chapter: 1; Notes: Used to cross-check the widely quoted transcript language against multiple secondary accounts.,https://blogs.cornell.edu/info2040/2012/09/16/a-price-fixing-attempt/
ch01-004,2024,Wikipedia,Robert Crandall,Encyclopedia entry,"Biographical confirmation of Crandall's tenure, career, and 2024 death; Chapter: 1; Notes: Used for general biographical facts and dates only.",https://en.wikipedia.org/wiki/Robert_Crandall
ch01-005,1982,Wikipedia / secondary aviation histories,Braniff International Airways,Encyclopedia entry,Braniff's 1982 fare-war losses and May 1982 bankruptcy filing; Chapter: 1; Notes: Used for general corporate-history facts and dates only.,https://en.wikipedia.org/wiki/Braniff_International_Airways
ch02-001,1964,George J. Stigler,A Theory of Oligopoly,Academic journal article (Journal of Political Economy),Core monitoring-cost theory of tacit collusion underlying the entire book's analytical framework; Chapter: 2; Notes: Foundational 1964 paper; cited throughout via secondary academic summaries and standard economics reference material.,https://www.journals.uchicago.edu/doi/10.1086/258464
ch02-002,1994,William G. Christie; Paul H. Schultz,Why Do NASDAQ Market Makers Avoid Odd-Eighth Quotes?,Academic journal article (Journal of Finance),NASDAQ market-maker tacit collusion finding and its aftermath; Chapter: 2; Notes: Companion 1994 paper 'Why Did NASDAQ Market Makers Stop Avoiding Odd-Eighth Quotes?' documents the post-publication spread narrowing.,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6261.1994.tb04782.x
ch02-003,1998,CBS News,$1B Nasdaq Settlement OK'd,News report,$1.03 billion class-action settlement figure and 1998 court approval; Chapter: 2; Notes: Confirmed as the largest civil antitrust settlement in history at the time of approval.,https://www.cbsnews.com/news/1b-nasdaq-settlement-okd/
ch02-004,1984,Robert Axelrod,The Evolution of Cooperation,Book (secondary summaries consulted),Axelrod's prisoner's-dilemma tournaments and the tit-for-tat strategy's two tournament wins; Chapter: 2; Notes: Tournament history also cross-checked against Axelrod Python library documentation background notes.,https://en.wikipedia.org/wiki/The_Evolution_of_Cooperation
ch02-005,1982,Nobel Prize committee,George J. Stigler - Facts (Nobel Memorial Prize in Economic Sciences 1982),Prize citation (secondary summary),"Stigler's 1982 Nobel citation for studies of industrial structures, market functioning, and regulation; Chapter: 2; Notes: Used for biographical framing of Stigler's broader Chicago School body of work.",https://en.wikipedia.org/wiki/George_Stigler
ch03-001,1994,"U.S. Department of Justice, Antitrust Division",ATPCO consent decree press materials,Regulatory primary source (secondary summaries),"1994 ATPCO/airline consent decree terms, ten-year duration, and restrictions on footnote codes and advance-dated filings; Chapter: 3; Notes: Direct justice.gov archive access was not available in this research session; summarized via Berkeley Haas case-study material and academic secondary sources.",https://www.justice.gov/archive/atr/public/press_releases/1994/211901.htm
ch03-002,2026,Severin Borenstein (UC Berkeley Haas),Rapid Communication and Price Fixing: The Airline Tariff Publishing Case,Academic case study,Mechanics of ATPCO trial-balloon fare filings and the $238 million-$1.9 billion damage estimate range; Chapter: 3; Notes: Standard antitrust-economics teaching case on the ATPCO matter.,https://faculty.haas.berkeley.edu/borenste/download/atpcase1.pdf
ch03-003,1978,U.S. Congress,Airline Deregulation Act of 1978,Federal statute (secondary summary),Deregulation's removal of CAB fare-setting authority and its role in creating the ATPCO-era coordination vulnerability; Chapter: 3; Notes: Used for background legislative history only.,https://en.wikipedia.org/wiki/Airline_Deregulation_Act
ch03-004,1984,U.S. Civil Aeronautics Board / Department of Transportation,CRS display-bias rules (SABRE),Regulatory history (secondary summary),"1984 neutral-display rules responding to American's SABRE reservation-system ranking bias, and their 2004 loosening; Chapter: 3; Notes: Cross-checked against general aviation-industry histories of computer reservation system regulation.",https://en.wikipedia.org/wiki/Sabre_(travel_technology)
ch04-001,2015,"U.S. Department of Justice, Antitrust Division",Former E-Commerce Executive Charged With Price Fixing in the Antitrust Division's First Online Marketplace Prosecution,Press release,"David Topkins guilty plea, $20,000 fine, and DOJ characterization as the first algorithmic-pricing prosecution; Chapter: 4; Notes: Archived DOJ release; corroborated by contemporaneous legal-industry coverage.",https://www.justice.gov/archives/opa/pr/former-e-commerce-executive-charged-price-fixing-antitrust-divisions-first-online-marketplace
ch04-002,2016,U.S. Department of Justice (via secondary legal coverage),Trod Ltd. guilty plea coverage,Legal news summary,Trod Limited's 2016 guilty plea and Daniel Aston's subsequent plea and six-month sentence; Chapter: 4; Notes: Used for the poster price-fixing conspiracy's additional defendants beyond Topkins.,https://www.jdsupra.com/legalnews/beware-price-fixing-by-algorithms-85275
ch04-003,2017,U.S. Department of Justice,Zaappaaz Inc. and President Agree to Plead Guilty to Price Fixing on Amazon Marketplace,Press release summary,Zaappaaz/Azim Makanojiya guilty plea for promotional-product price fixing; Chapter: 4; Notes: Confirms the pattern extended beyond posters to other Amazon Marketplace product categories.,https://www.justice.gov/opa/pr/former-e-commerce-executive-pleads-guilty-price-fixing-sentenced-six-months
ch05-001,2020,Emilio Calvano; Giacomo Calzolari; Vincenzo Denicolo; Sergio Pastorello,"Artificial Intelligence, Algorithmic Pricing, and Collusion","Academic journal article (American Economic Review, vol. 110, no. 10)","Central laboratory finding: Q-learning pricing agents learn supracompetitive, reward-and-punishment strategies with no communication or instruction to collude; Chapter: 5; Notes: Also circulated as an FTC-hosted conference paper; profit-gain and discount-factor findings cross-checked against the OpenICPSR replication materials summary.",https://www.aeaweb.org/articles?id=10.1257/aer.20190623
ch05-002,2022,Various authors,Algorithmic Pricing Facilitates Tacit Collusion,Conference paper (ACM EC 2022),Independent replication of supracompetitive algorithmic pricing outcomes using a different experimental design; Chapter: 5; Notes: Cited as corroborating follow-up literature.,https://dl.acm.org/doi/10.1145/3490486.3538239
ch05-003,2026,Various authors,The Illusion of Collusion,Working paper (arXiv),Methodological critique arguing some algorithmic-collusion findings may be measurement artifacts; Chapter: 5; Notes: Used in the skeptics' chapter and in chapter five's own robustness discussion.,https://arxiv.org/pdf/2411.16574
ch05-004,2017,OECD,Algorithms and Collusion,Policy working paper,"Early 2017 regulatory recognition of algorithmic-collusion risk, predating the Calvano et al. laboratory result; Chapter: 5; Notes: Establishes the regulatory-awareness timeline referenced in chapters five and seventeen.",https://one.oecd.org/document/DAF/COMP/WD(2017)12/en/pdf
ch05-005,1989,Christopher J.C.H. Watkins,"Learning from Delayed Rewards (doctoral dissertation, Cambridge)",Academic dissertation (secondary summary),Original formalization of Q-learning; Chapter: 5; Notes: Used for background on Q-learning's technical pedigree and later use in DeepMind's Atari-playing systems.,https://en.wikipedia.org/wiki/Q-learning
