source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
ch01-001,1,2026-09-07,2025,OpenAI,"A practical guide to building agents",First-party engineering guide,"Current working definition of agents as systems that independently accomplish tasks and execute workflows using models, tools, and instructions",https://openai.com/business/guides-and-resources/a-practical-guide-to-building-ai-agents/,"Vendor guidance; useful for current architecture language, not an independent measure of reliability."
ch01-002,1,2026-09-07,2026,Stanford Institute for Human-Centered AI,"Economy — 2026 AI Index Report",Research synthesis,"Agent deployment remains early across many business functions even as broader generative-AI adoption rises",https://hai.stanford.edu/ai-index/2026-ai-index-report/economy,"Secondary synthesis. Use the report's dates and populations when quoting adoption figures."
ch01-003,1,2026-09-07,2025-03-19,METR,"Measuring AI Ability to Complete Long Software Tasks",Research report,"Agent reliability declines with task length and measured task-completion time horizons have risen rapidly",https://metr.org/blog/2025-03-19-measuring-ai-ability-to-complete-long-tasks/,"Software/research task suite; do not generalize the time-horizon result mechanically to all occupations."
ch02-001,2,2026-09-07,2024-12-19,Anthropic,"Building Effective Agents",First-party engineering guide,"Simple workflows often outperform unnecessary agent complexity; evaluator-optimizer loops work when evaluation criteria are clear",https://www.anthropic.com/engineering/building-effective-agents,"Vendor engineering experience, not a universal comparative trial."
ch02-002,2,2026-09-07,2026-01-09,Anthropic,"Demystifying evals for AI agents",First-party engineering guide,"Agent evaluation benefits from repeatable task suites and lifecycle measurement rather than reactive production debugging",https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents,"Current practice guidance."
ch02-003,2,2026-09-07,2025,OpenAI,"A practical guide to building agents",First-party engineering guide,"Instructions, tools, guardrails, and human intervention are core design components beyond a one-shot prompt",https://openai.com/business/guides-and-resources/a-practical-guide-to-building-ai-agents/,"Vendor guidance."
ch03-001,3,2026-09-07,1991,Jean Lave and Etienne Wenger,"Situated Learning: Legitimate Peripheral Participation",Academic book,"Apprenticeship as movement from peripheral participation toward fuller participation in a practice",https://doi.org/10.1017/CBO9780511815355,"Human-learning analogy only; the manuscript explicitly rejects a literal equivalence between human and machine learning."
ch03-002,3,2026-09-07,1993,K. Anders Ericsson; Ralf Krampe; Clemens Tesch-Römer,"The Role of Deliberate Practice in the Acquisition of Expert Performance",Academic journal article,"Structured practice and feedback as a mechanism for improvement in human expertise",https://doi.org/10.1037/0033-295X.100.3.363,"Original strong claims about practice have a large later literature and debate; use cautiously and avoid universal hour rules."
ch03-003,3,2026-09-07,2026-01-09,Anthropic,"Demystifying evals for AI agents",First-party engineering guide,"Evaluation tasks can function as repeatable rehearsals for agent behavior before deployment",https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents,"Analogy to probation/rehearsal is the author's synthesis."
ch04-001,4,2026-09-07,1976-07-01,Michael C. Jensen and William H. Meckling,"Theory of the Firm: Managerial Behavior, Agency Costs and Ownership Structure",Academic journal article,"Classic agency-cost framing: principals incur costs when delegating to agents whose actions and information cannot be perfectly observed",https://doi.org/10.1016/0304-405X(76)90026-X,"The paper concerns human/economic agents; application to software agents is an analogy."
