source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
ch01-001,1,2026-08-28,2023-03-12,Multiple outlets (WION/ABC syndication),Jimmy Kimmel Oscars monologue Ozempic joke,Contemporaneous entertainment reporting,"Exact quote and date of Kimmel's 95th Academy Awards Ozempic joke",https://www.wionews.com/science/oscar-host-jimmy-kimmel-jokes-about-weight-loss-drug-ozempic-what-is-it-what-are-the-side-effects-571580,Cross-checked against multiple syndicated wire accounts of the same monologue.
ch01-002,1,2026-08-28,2022-10-02,Elon Musk (@elonmusk),"""And Wegovy"" reply disclosing Wegovy/fasting use",Primary social media post,"Confirms Musk's October 2022 disclosure crediting Wegovy and fasting for weight loss",https://twitter.com/elonmusk/status/1576367983051489281,Archived primary post; corroborated by contemporaneous FiercePharma coverage.
ch01-003,1,2026-08-28,2022-10,FiercePharma,Novo Nordisk's Wegovy gets surprise endorsement from Elon Musk,Trade press,Contemporary market-reaction coverage of Musk's disclosure,https://www.fiercepharma.com/marketing/novo-nordisks-wegovy-gets-surprise-endorsement-twitters-soon-be-new-owner-elon-musk,Used for market/industry reaction context.
ch01-004,1,2026-08-28,2023-01-26,CNN,Chelsea Handler on her own Ozempic use,Named-outlet entertainment reporting,"Handler's 'didn't even know' quote and account of an anti-aging doctor prescribing the drug",https://www.cnn.com/2023/01/26/entertainment/chelsea-handler-ozempic/index.html,Direct quote source.
ch01-005,1,2026-08-28,2023-2024,Yahoo/Buzzfeed News,Sharon Osbourne on her Ozempic weight loss,Named-outlet entertainment reporting,"Osbourne's start date (Dec 2022), ~42 lb loss, and later 'gone too far' regret",https://www.yahoo.com/lifestyle/sharon-osbourne-her-ozempic-weight-091901889.html,Timeline cross-checked against multiple entertainment-press accounts.
ch01-006,1,2026-08-28,2023,Fox News,Amy Schumer on trying Ozempic and criticizing celebrity secrecy,Named-outlet entertainment reporting,Schumer's own account of trying and stopping the drug and her criticism of other celebrities,https://www.foxnews.com/entertainment/amy-schumer-blasts-celebrities-lying-taking-ozempic-admits-trying-drug-weight-loss.amp,Direct quote source.
ch01-007,1,2026-08-28,2024-03,Good Morning America / ABC News,Oprah Winfrey weight-loss drug special preview,Named-outlet entertainment reporting,"Date and framing of 'An Oprah Special: Shame, Blame and the Weight Loss Revolution' (March 18 2024)",https://www.goodmorningamerica.com/wellness/story/watch-exclusive-1st-clip-oprah-winfreys-special-drugs-108240222,Direct quote source for 'released my own shame' language.
ch01-008,1,2026-08-28,2024-05-24,Wikipedia (sourced to Hollywood Reporter/TVLine),South Park: The End of Obesity,Encyclopedia entry / secondary summary,"Air date, plot, and satirical framing of the Comedy Central/Paramount+ GLP-1 special",https://en.wikipedia.org/wiki/South_Park:_The_End_of_Obesity,Used for date and plot summary only.
ch02-001,2,2026-08-28,n.d.,WHYY,Ozempic: How gila monster venom led to weight loss drugs,Public radio feature,"Jean-Pierre Raufman's 1980s NIH guinea pig pancreas assay and the Gila monster venom finding",https://whyy.org/segments/ozempic-how-gila-monster-venom-led-to-weight-loss-drugs/,Origin-story detail on Raufman's original observation.
ch02-002,2,2026-08-28,2024,The Conversation,The rise of Ozempic: how surprise discoveries and lizard venom led to a new class of weight-loss drugs,Academic-press explainer,"Raufman/Eng collaboration, exendin-4's structural resemblance to GLP-1, and Byetta's early off-label weight-loss use",https://theconversation.com/the-rise-of-ozempic-how-surprise-discoveries-and-lizard-venom-led-to-a-new-class-of-weight-loss-drugs-219721,Cross-checked against NIA and Golden Goose Award accounts.
ch02-003,2,2026-08-28,n.d.,National Institute on Aging (NIH),Exendin-4: From lizard to laboratory...and beyond,Government science feature,"John Eng's isolation and characterization of exendin-4 at the Bronx VA",https://www.nia.nih.gov/news/exendin-4-lizard-laboratory-and-beyond,Primary-adjacent NIH institutional account.
ch02-004,2,2026-08-28,n.d.,Golden Goose Award,2013: Diabetes Medication,Award citation / biography,"Eng's mentorship under Rosalyn Yalow, the VA's decision not to patent, and licensing to Amylin Pharmaceuticals",https://www.goldengooseaward.org/01awardees/diabetes-medication,Institutional award citation summarizing Eng's career.
ch02-005,2,2026-08-28,2005-04-29,Eli Lilly and Company,Amylin and Lilly Announce FDA Approval of BYETTA (exenatide) Injection,Company investor press release,"Byetta's FDA approval date (April 28-29 2005) as the first GLP-1-based diabetes drug",https://investor.lilly.com/news-releases/news-release-details/amylin-and-lilly-announce-fda-approval-byettatm-exenatide,Primary company source; approval-date cross-check against Drugs.com history.
ch02-006,2,2026-08-28,2025-11,University of Toronto News,A setback a lizard and decades of work: The impact of Daniel Drucker's research,University feature,"Drucker's 1984 Harvard fellowship under Joel Habener, his own Gila monster venom analysis, and career narrative",https://www.utoronto.ca/news/setback-lizard-and-decades-work-impact-daniel-drucker-s-research-extends-far-beyond-ozempic,Institutional profile of Drucker's career.
ch02-007,2,2026-08-28,2025,CBC News,Canadian scientist wins Breakthrough Prize for discovery of hormone used in weight loss drugs,Named-outlet science journalism,"Drucker's 2025 Breakthrough Prize in Life Sciences and shared $3M award",https://www.cbc.ca/news/health/breakthrough-prize-glp-1-daniel-drucker-1.7504083,Confirms award year and shared-prize structure.
ch03-001,3,2026-08-28,2023-09-27,STAT News,The Ozempic revolution is rooted in the work of Svetlana Mojsov yet she's been edged out of the story,Investigative science journalism,"Central source for Mojsov's uncredited role and the pattern of her exclusion from prize citations",https://www.statnews.com/2023/09/27/weight-loss-obesity-glp1-svetlana-mojsov/,Named major-outlet investigative piece.
ch03-002,3,2026-08-28,2023,Science / AAAS,Her work paved the way for blockbuster obesity drugs. Now she's fighting for recognition,Investigative science journalism,"Mojsov's patent-credit fight and the 2021 Gairdner Award exclusion",https://www.science.org/content/article/her-work-paved-way-blockbuster-obesity-drugs-now-she-s-fighting-recognition,Cross-checked against STAT's account of the same history.
ch03-003,3,2026-08-28,2024-09-19,STAT News,Long-overlooked scientist shares Lasker Award with other GLP-1 researchers,Named-outlet science journalism,"Exact date and recipient list (Mojsov Habener Knudsen) of the 2024 Lasker~DeBakey Award",https://www.statnews.com/2024/09/19/lasker-award-2024-goes-to-glp-1-scientists-mojsov-habener-knudsen/,"Confirms Drucker was NOT on this specific citation, correcting a common misconception."
ch03-004,3,2026-08-28,2021,University of Guelph Research Alerts,2021 Canada Gairdner International Award,Institutional award announcement,Primary confirmation that the 2021 Gairdner went to Habener/Drucker/Holst without Mojsov,https://www.uoguelph.ca/research/alerts/content/2021-canada-gairdner-international-award,Primary source establishing the exclusion this chapter is built around.
