chapter,topic,source_family,source_type,verification_status,notes
2,NG911 routing and transfer,National 911 Program / 911.gov,primary,identified,"Verify each routing/interoperability claim against exact page before publication"
3,rapid-response systems,AHRQ Patient Safety Network and systematic evidence,primary+research,identified,"Preserve mixed outcome evidence and limitations"
4,pilot authority and amended clearances,FAA Aeronautical Information Manual,primary,identified,"Check exact language and current section before publication"
5,on-call escalation,Google Site Reliability Engineering,primary institutional,identified,"Use concrete escalation-policy examples without implying universality"
6,transfer of command,FEMA / U.S. Fire Administration ICS,primary,identified,"Verify briefing payload and transfer conditions"
7,appellate review,Administrative Office of the U.S. Courts,primary,identified,"Distinguish review from retrial and avoid overgeneralizing standards"
8,jidoka and andon,Toyota Production System,primary institutional,identified,"Verify stop-line description and terminology"
9,Columbia and technical authority,Columbia Accident Investigation Board / NASA,primary,identified,"Separate CAIB findings from later NASA interpretation"
9,Mission Control authority,NASA,primary institutional,identified,"Verify flight-director role wording"
10,1963 direct communications link,U.S. Department of State Office of the Historian,primary,identified,"Avoid cinematic hotline mythology; describe documented system"
11,specialist referral loop,peer-reviewed referral-loop studies,research,identified,"Verify completion-rate figures and population before use"
12,consumer complaint escalation,Consumer Financial Protection Bureau,primary,identified,"Verify current response windows/process before publication"
13,organizational silence,NASA safety materials + organizational research,primary+research,identified,"Do not treat NASA terminology as universal causal proof"
14,AI governance and human oversight,NIST AI Risk Management Framework,primary standard,identified,"Map claims to current NIST language"
14,reject option / selective prediction,peer-reviewed machine-learning literature,research,identified,"Define abstention carefully; avoid implying one standard implementation"
15,escalation debt,book synthesis,author concept,n/a,"Label as descriptive term rather than established construct"
16,handoff tax,book synthesis,author concept,n/a,"Label as descriptive term rather than measured constant"
19,missing-heartbeat escalation,authoritative domain-specific technical sources,primary,to-research,"Distinguish dead-man controls, vigilance devices, watchdogs, timeouts, and check-ins"
20,dual control and concurrence,authoritative domain-specific control standards,primary,to-research,"Distinguish dual control, two-person control, separation of duties, and independent verification"
