chapter,claim_or_use,source,source_type,url,evidence_note,caution
2,"Computational propaganda became organized and global before generative AI","Bradshaw & Howard, The Global Disinformation Order (Oxford Internet Institute, 2019)",research report,https://www.oii.ox.ac.uk/news-events/reports/the-global-disinformation-order-2019-global-inventory-of-organised-social-media-manipulation/,"Documents organized social-media manipulation across 70 countries and the use of automation, algorithms and data in political communication.","Inventory establishes deployment, not uniform effectiveness."
2,"Professionalization of organized social-media manipulation","Bradshaw, Bailey & Howard, Industrialized Disinformation (Oxford Internet Institute, 2020)",research report,https://www.oii.ox.ac.uk/news-events/reports/industrialized-disinformation-2020-global-inventory-of-organized-social-media-manipulation/,"Documents organized manipulation in 81 countries and the growing role of private strategic-communications firms.","Country presence does not measure persuasion or election effects."
2,"Computational propaganda is prior art rather than a new Deceptatron claim","Oxford Internet Institute Computational Propaganda project",research project,https://www.oii.ox.ac.uk/research/projects/computational-propaganda/,"Long-running research program on algorithms, automation and politics.","Use as conceptual and empirical prior art."
4,"Personalized GPT-4 debate can outperform human debate in a controlled setting","Salvi et al., On the conversational persuasiveness of GPT-4, Nature Human Behaviour (2025)",peer-reviewed experiment,https://www.nature.com/articles/s41562-025-02194-6,"Preregistered N=900 study; personalized GPT-4 increased odds of greater post-debate agreement by 81.2% relative to human-human baseline; among non-ties it was more persuasive 64.4% of the time.","Not an 81.2% conversion rate; ten-minute debates and immediate agreement measures do not establish durable voting behavior."
4,"LLM-generated policy messages can shift attitudes","Bai et al., LLM-generated messages can persuade humans on policy issues, Nature Communications (2025)",peer-reviewed experiments,https://www.nature.com/articles/s41467-025-61345-5,"Three preregistered experiments, total N=4,829; AI-generated persuasive messages produced attitude change relative to neutral controls and were broadly comparable with lay-human messages.","Attitude movement in experiments is not equivalent to real-world behavior change."
4,"AI dialogue can affect candidate preferences across election contexts","Lin et al., Persuading voters using human–artificial intelligence dialogues, Nature (2025)",peer-reviewed experiments,https://www.nature.com/articles/s41586-025-09771-9,"Preregistered experiments in the 2024 U.S., 2025 Canadian and 2025 Polish elections found significant treatment effects on candidate preference; reported effects exceeded typical traditional video-ad effects in the studied settings.","Experimental exposure and measured candidate preference should not be generalized to population-scale election outcomes."
6,"Cheap conversational persuasion changes the economics even without mind control","Salvi et al., Nature Human Behaviour (2025)",peer-reviewed experiment,https://www.nature.com/articles/s41562-025-02194-6,"Shows a general-purpose model can conduct personalized multiround persuasion at machine scale in a controlled setting.","Scale is technically plausible; strategic impact in actual campaigns remains an empirical question."
6,"Generated persuasive text can be competitive with ordinary human text","Bai et al., Nature Communications (2025)",peer-reviewed experiments,https://www.nature.com/articles/s41467-025-61345-5,"AI messages were similarly effective overall to lay-human persuasive messages across tested policy issues.","Does not show superiority to professional campaign communication."
7,"Adaptive systems can choose among authentic material; truthfulness does not remove selection effects","C2PA Explainer",technical standard explainer,https://spec.c2pa.org/specifications/specifications/2.2/explainer/Explainer.html,"C2PA explicitly separates provenance from whether content is true, accurate or factual.","Supports authenticity/truth distinction, not a causal claim about recommendation."
11,"Commercial systems can operationalize granular behavioral data without transferring a human-readable dossier","FTC Surveillance Pricing Study initial findings (2025)",government study,https://www.ftc.gov/news-events/news/press-releases/2025/01/ftc-surveillance-pricing-study-indicates-wide-range-personal-data-used-set-individualized-consumer,"FTC staff reported intermediaries could use location, browser history, shopping history, demographics and even mouse movements to tailor prices or promotions.","Study concerns pricing, not political persuasion; use as evidence of operationalized behavioral personalization infrastructure."
11,"Targeting can come to the data rather than requiring a sponsor to receive raw personal data","FTC Surveillance Pricing Update & The Work Ahead (2025)",government analysis,https://www.ftc.gov/policy/advocacy-research/tech-at-ftc/2025/01/surveillance-pricing-update-work-ahead,"Describes broad first-, third-party and inferred data available to intermediaries for individualized commercial decisions.","Analogy to political influence must be labeled as an analogy."
14,"The Deceptatron is a composition thesis, not a claim of one existing superweapon","Oxford Internet Institute Computational Propaganda project",research project,https://www.oii.ox.ac.uk/research/projects/computational-propaganda/,"Establishes that automation, algorithms and political manipulation were already studied as connected systems before generative AI.","Novelty claim is the closed adaptive relationship synthesis, not the underlying components."
14,"Conversational persuasion is a demonstrated component of the proposed loop","Salvi et al., Nature Human Behaviour (2025)",peer-reviewed experiment,https://www.nature.com/articles/s41562-025-02194-6,"Personalized multiround debate provides evidence for adaptive conversational persuasion as a component capability.","Does not demonstrate an end-to-end covert propaganda stack."
14,"Political AI dialogue has measurable persuasive capacity","Lin et al., Nature (2025)",peer-reviewed experiments,https://www.nature.com/articles/s41586-025-09771-9,"AI conversations shifted candidate preferences in multiple election contexts in experiments.","Capability evidence only; not evidence that real operators have deployed a Deceptatron."
16,"Provenance authenticates claims about origin/history rather than truth","C2PA and Content Credentials Explainer v2.2",technical standard explainer,https://spec.c2pa.org/specifications/specifications/2.2/explainer/Explainer.html,"States that provenance can support origin/history/authenticity but alone cannot establish that content is true, accurate or factual.","Do not frame this limitation as a failure of C2PA; it is an explicit non-goal."
16,"A valid provenance manifest can accompany misinformation","C2PA Harms Modelling v2.4",technical security guidance,https://spec.c2pa.org/specifications/specifications/2.4/security/Harms_Modelling.html,"States that valid manifests do not make content true and that assets with valid manifests can still be misinformation or disinformation.","Likewise, absence of Content Credentials does not imply content is untrustworthy."
16,"Unsigned media must not be treated as presumptively false","C2PA Harms Modelling v2.4",technical security guidance,https://spec.c2pa.org/specifications/specifications/2.4/security/Harms_Modelling.html,"Explicitly warns that lack of Content Credentials does not mean content should not be trusted.","Important for citizen journalism, legacy media and uneven adoption."
