chapter,decade,city,source_type,source,title,url,claim_supported,checked
1,1770s,Philadelphia,archive,National Archives,Declaration of Independence: A Transcription,https://www.archives.gov/founding-docs/declaration-transcript,"Declaration adopted by Continental Congress in Philadelphia in 1776",2026-09-06
1,1770s,Philadelphia,archive,National Archives,How Did it Happen?,https://www.archives.gov/founding-docs/declaration/how-did-it-happen,"Second Continental Congress and movement toward independence",2026-09-06
1,1770s,Philadelphia,archive,Founders Online / National Archives,Commission from the Continental Congress 19 June 1775,https://founders.archives.gov/documents/Washington/03-01-02-0004,"Congress appointed Washington commander in chief of the army of the United Colonies from Philadelphia",2026-09-06
1,1770s,Philadelphia,archive,Library of Congress,Common Sense — Philadelphia 1776,https://www.loc.gov/item/2006681076/,"Paine's Common Sense was printed and sold in Philadelphia in 1776",2026-09-06
1,1770s,Philadelphia,archive,Library of Congress,Plain Truth — Philadelphia 1776,https://www.loc.gov/item/2006683444/,"James Chalmers' published rebuttal to Common Sense was also printed in Philadelphia",2026-09-06
1,1770s,Philadelphia,public history,National Park Service,The Philadelphia Campaign of 1777,https://www.nps.gov/articles/000/philadelphia-campaign-1777.htm,"British occupation of Philadelphia occurred while Washington's army remained in the field and later encamped at Valley Forge",2026-09-06
2,1780s,Philadelphia,archive,National Archives,Constitution of the United States,https://www.archives.gov/founding-docs/constitution,"1787 Philadelphia Convention and signed Constitution",2026-09-06
2,1780s,Philadelphia,archive,National Archives,The Constitution: How Did it Happen?,https://www.archives.gov/founding-docs/constitution/how-did-it-happen,"Confederation weaknesses and convention background",2026-09-06
3,1790s,Philadelphia,archive,U.S. Senate,Philadelphia as national capital,https://www.senate.gov/artandhistory/history/common/generic/Philadelphia.htm,"Federal government operated from Philadelphia during most of 1790s",2026-09-06
3,1790s,Philadelphia,archive,National Archives,Bill of Rights,https://www.archives.gov/founding-docs/bill-of-rights,"Early federal constitutional settlement",2026-09-06
4,1800s,Washington,archive,U.S. Senate,Meeting Places and Quarters,https://www.senate.gov/artandhistory/history/common/briefing/Meeting_Places.htm,"Federal government move to Washington and unfinished capital",2026-09-06
4,1800s,Washington,archive,U.S. Senate,Congress Moves to Washington,https://www.senate.gov/artandhistory/history/minute/Congress_Moves_to_Washington.htm,"Congress first met in Washington November 17 1800",2026-09-06
5,1810s,New Orleans,public history,National Park Service,Chalmette Battlefield,https://www.nps.gov/jela/learn/historyculture/chalmette-battlefield.htm,"New Orleans strategic port and Battle of New Orleans",2026-09-06
6,1820s,New York,public history,New York State Museum,Erie Canal,https://www.nysm.nysed.gov/research-collections/history/erie-canal,"1825 opening and transport-market effects",2026-09-06
7,1830s,Lowell,public history,National Park Service,Lowell History & Culture,https://www.nps.gov/lowe/learn/historyculture/index.htm,"Concentration of water power capital machinery labor and factory organization",2026-09-06
7,1830s,Lowell,public history,National Park Service,The Mill Girls of Lowell,https://www.nps.gov/lowe/learn/historyculture/the-mill-girls-of-lowell.htm,"Women workers boardinghouse system and labor resistance",2026-09-06
8,1840s,St. Louis,public history,National Park Service,Gateway Arch National Park History,https://www.nps.gov/jeff/learn/historyculture/index.htm,"St. Louis as western outfitting and transfer point",2026-09-06
8,1840s,St. Louis,public history,National Park Service,Overland Trails,https://www.nps.gov/hstr/learn/historyculture/trails.htm,"Missouri River arrival and provisioning for westward routes",2026-09-06
9,1850s,Chicago,reference,Chicago History Museum / Encyclopedia of Chicago,Railroads,https://encyclopedia.chicagohistory.org/pages/1039.html,"Chicago as major rail terminus and transfer point",2026-09-06
10,1860s,Washington,archive,National Archives,Emancipation Proclamation,https://www.archives.gov/milestone-documents/emancipation-proclamation,"1863 proclamation changed legal and military character of war",2026-09-06
10,1860s,Washington,archive,U.S. Senate,Civil War Capitol,https://www.senate.gov/artandhistory/history/common/generic/Civil_War_Capitol.htm,"Capital as war administration hospital barracks and Union symbol",2026-09-06
11,1870s,New Orleans,public history,Louisiana Endowment for the Humanities / 64 Parishes,Battle of Liberty Place,https://64parishes.org/entry/battle-of-liberty-place,"1874 White League attack and temporary overthrow of Republican state government",2026-09-06
11,1870s,New Orleans,public history,Louisiana Endowment for the Humanities / 64 Parishes,White League,https://64parishes.org/entry/white-league,"Paramilitary white-supremacist political organization and violence",2026-09-06
11,1870s,New Orleans,public history,National Park Service,Reconstruction Era,https://www.nps.gov/subjects/reconstruction/index.htm,"Broader Reconstruction rights and violence context",2026-09-06
12,1880s,Chicago,archive,Library of Congress,Today in History — May 1,https://www.loc.gov/item/today-in-history/may-01/,"1886 eight-hour movement and Haymarket legacy",2026-09-06
13,1890s,New York,archive,Library of Congress,Immigration to the United States 1851 to 1900,https://www.loc.gov/classroom-materials/united-states-history-primary-source-timeline/rise-of-industrial-america-1876-1900/immigration-to-united-states-1851-1900/,"New York as dominant immigrant gateway and Ellis Island opening",2026-09-06
13,1890s,New York,archive,Library of Congress,New York City at the Turn of the Century,https://www.loc.gov/collections/early-films-of-new-york-1898-to-1906/articles-and-essays/new-york-city-at-the-turn-of-the-century/,"1898 consolidation immigration infrastructure and metropolitan growth",2026-09-06
13,1890s,New York,archive,Library of Congress,Ellis Island HABS,https://www.loc.gov/item/ny1252/,"Ellis Island facility chronology",2026-09-06
