source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
ch01-001,1,2026-09-06,,George Washington's Mount Vernon,"Culper Spy Ring",Historical reference,"Formation, membership, aliases, numerical code, invisible ink, courier structure, and five-year operation of the Culper Ring",https://www.mountvernon.org/library/digitalhistory/digital-encyclopedia/article/culper-spy-ring,"Institutional historical synthesis; use Washington/Tallmadge papers for quotation-level claims."
ch01-002,1,2026-09-06,2026-07-13,Central Intelligence Agency,"Three Key Intelligence Contributions of the Little-Known Culper Ring",Official institutional history,"Need-to-know practices, cover, aliases, codes, dead drops, invisible ink, and Washington's tasking of the ring",https://www.cia.gov/stories/story/three-key-intelligence-contributions-of-the-little-known-culper-ring/,"Useful for tradecraft continuity; institutional retrospective, not a neutral primary source."
ch02-001,2,2026-09-06,1780-09-29,Founders Online / National Archives,"Proceedings of a Board of General Officers, 29 September 1780",Primary-source edition,"Documents found on John Andre, his assumed name, concealed papers, West Point material, and Andre's examination",https://founders.archives.gov/documents/Washington/03-28-02-0182-0009,"Edited primary-source transcription."
ch02-002,2,2026-09-06,1780-10-10,Founders Online / National Archives,"George Washington to Thomas Jefferson, 10 October 1780",Primary-source edition,"Washington's account of Andre's capture, Arnold's escape, and the West Point papers",https://founders.archives.gov/documents/Washington/03-28-02-0266,"Contemporaneous account; preserve Washington's perspective as a participant."
ch03-001,3,2026-09-06,1795-08-19,Founders Online / National Archives,"Edmund Randolph to George Washington, 19 August 1795",Primary-source edition,"Randolph controversy and the political crisis surrounding the intercepted Fauchet dispatch",https://founders.archives.gov/documents/Washington/05-18-02-0368,"Use with subsequent correspondence; the intercept's meaning was disputed."
ch03-002,3,2026-09-06,1795-09-21,Founders Online / National Archives,"Edmund Randolph to George Washington, 21 September 1795",Primary-source edition,"Randolph's extended defense and interpretation of the Fauchet material",https://founders.archives.gov/documents/Washington/05-18-02-0467,"Critical counterevidence against reading the intercepted dispatch as self-interpreting proof."
ch04-001,4,2026-09-06,2020-04-02,Library of Congress,"General James Wilkinson, the Spanish Spy Who was a Senior Officer in the U.S. Army During Four Presidential Administrations",Institutional historical essay,"Wilkinson's identification as Spanish Agent 13 and his long U.S. military career",https://blogs.loc.gov/law/2020/04/general-james-wilkinson-the-spanish-spy-who-commanded-the-u-s-army-during-four-presidential-administrations/,"Secondary institutional synthesis pointing to Library of Congress manuscript holdings."
ch04-002,4,2026-09-06,2009,Andro Linklater,"An Artist in Treason: The Extraordinary Double Life of General James Wilkinson",Scholarly trade history,"Spanish payments, Agent 13 identity, Wilkinson's political and military career, and evidentiary reconstruction",,"Walker & Company, 2009. Book source; verify quotation/page references in production notes before quoting."
ch05-001,5,2026-09-06,1812-03-09,Founders Online / National Archives,"James Madison to Congress, 9 March 1812",Primary-source edition,"Madison's transmission of the John Henry papers and his characterization of the British secret mission",https://founders.archives.gov/documents/Madison/03-04-02-0244,"Direct presidential message; does not establish that the papers alone caused the War of 1812."
ch05-002,5,2026-09-06,1812-03-09,Founders Online / National Archives,"James Madison to Thomas Jefferson, 9 March 1812",Primary-source edition,"Editorial context for the John Henry correspondence, Henry's mission, compensation dispute, and publication",https://founders.archives.gov/documents/Jefferson/03-04-02-0433,"Edited primary sources and documentary context."
ch06-001,6,2026-09-06,2024-03-14,U.S. Department of State Office of the Historian,"Joel Roberts Poinsett",Official biographical record,"Poinsett's appointment as U.S. minister to Mexico, tenure, and Mexico's 1829 request for his recall",https://history.state.gov/departmenthistory/people/poinsett-joel-roberts,"Useful for official chronology; does not by itself adjudicate claims of covert political influence."
ch06-002,6,2026-09-06,,U.S. Department of State Office of the Historian,"A Guide to the United States' History of Recognition, Diplomatic, and Consular Relations, by Country, since 1776: Mexico",Official diplomatic history,"Early U.S.-Mexico diplomatic context in which Poinsett operated",https://history.state.gov/countries/mexico,"Institutional diplomatic chronology."
ch07-001,7,2026-09-06,2020-08-26,Texas State Historical Association,"Smith, Erastus [Deaf]",Historical encyclopedia,"Smith's scouting, messenger work, capture of a Mexican courier, and role in destroying Vince's Bridge",https://www.tshaonline.org/handbook/entries/smith-erastus-deaf,"Secondary reference drawing on Texas historical sources; note competing accounts of Vince's Bridge."
ch07-002,7,2026-09-06,2017-05-31,Texas State Historical Association,"Vince's Bridge",Historical encyclopedia,"Competing claims over who proposed destroying Vince's Bridge and the bridge's tactical effect",https://www.tshaonline.org/handbook/entries/vinces-bridge,"Important counterweight to a clean hero narrative; attribution remains contested."
ch08-001,8,2026-09-06,2012,U.S. Army Military Intelligence Professional Bulletin,"Human Intelligence in the Mexican War",Official military professional history,"Ethan Allen Hitchcock, Manuel Dominguez, and the Mexican Spy Company of roughly 100-200 guides, couriers, scouts, and spies",https://www.ikn.army.mil/apps/MIPBW/MIPB_Issues/MIPB%20Jul_Sep12%20smallest.pdf,"Institutional retrospective; use Hitchcock papers/diary in a later production pass for quotation-level claims."
ch08-002,8,2026-09-06,2026-06-10,International Spy Museum,"Human Intelligence: Spying in the U.S.-Mexican War",Public-history program,"Modern historical framing of U.S. human intelligence in the Mexican War and the Mexican Spy Company",https://www.spymuseum.org/past-events/human-intelligence-spying-in-the-us-mexican-war/2026-06-10/,"Secondary public-history source; useful for identifying scholarship, not as sole support for contested details."
ch09-001,9,2026-09-06,,Library of Congress,"Pinkerton's National Detective Agency records, 1853-1999",Archival collection description,"Pinkerton methods, Civil War secret service work, railroad/private clients, labor unrest, espionage, and institutional continuity",https://www.loc.gov/item/mm75036301/,"Archival finding aid/collection record."
ch09-002,9,2026-09-06,,Library of Congress,"Pinkerton's National Detective Agency Records: Highlights",Archival research guide,"Pinkerton's Civil War work and surviving material on labor and investigative operations",https://guides.loc.gov/pinkerton-papers/highlights,"Research guide; follow underlying manuscripts for specific claims."
ch10-001,10,2026-09-06,2020-12-16,National Park Service,"Elizabeth Van Lew",Official public history,"Van Lew's Richmond Union intelligence network, prisoner contacts, couriers, reporting to Grant and George H. Sharpe, and postwar consequences",https://www.nps.gov/people/elizabeth-van-lew.htm,"Government public history based on archival scholarship."
ch10-002,10,2026-09-06,2025-05-28,National Park Service,"Mary Jane Richards",Official public history,"Corrected identity and biography of Richards; evidence for her participation in Van Lew's network and correction of later Mary Bowser embellishments",https://www.nps.gov/rich/learn/historyculture/mary-jane-richards.htm,"Essential mythology correction; explicitly says many later details are mostly incorrect."
