id,year,author_or_institution,title,source_type,book_use,url
AP-001,1998,Amazon 1997 Letter to Shareholders,Amazon 1997 Letter to Shareholders,primary,Early Amazon explicitly described online commerce as a large future opportunity while acknowledging risk and serious investment; Chapter: 1; Caveat: Successful case; do not treat Amazon hindsight as proof all bold narratives are responsible; Amazon described aggressive investment to extend market leadership and accepted that some bold investments would fail; Chapter: 3; Caveat: Hindsight-selected survivor; include failed self-fulfilling promises too; Legacy duplicate source id: AP-003; Successful audacity can combine ambitious future claims with explicit risk disclosure and measurable current facts; Chapter: 19; Caveat: One company cannot establish a universal best practice; Legacy duplicate source id: AP-016,https://www.aboutamazon.com/news/company-news/amazons-original-1997-letter-to-shareholders
AP-002,2026,Clarke and Llewellyn,Stories under scrutiny,academic,Investment pitching is an interactional process where investors challenge and negotiate entrepreneurial narratives; Chapter: 2; Caveat: Study observes 14 UK pitches; do not generalize mechanically to all venture finance; Pitch stories are negotiated under investor questioning rather than simply broadcast; Chapter: 4; Caveat: Small qualitative sample; Legacy duplicate source id: AP-004; Investors actively participate in shaping and constraining pitch narratives; Chapter: 20; Caveat: Qualitative evidence; pair with venture-return data before quantitative claims; Legacy duplicate source id: AP-017,https://doi.org/10.1016/j.jbusvent.2026.106604
AP-005,1976,Staw,Knee-deep in the big muddy,academic,Personal responsibility for a prior decision can increase subsequent commitment after negative outcomes; Chapter: 10; Caveat: Experimental simulation; founder settings differ; Escalation of commitment provides a mechanism for narrative lock-in after setbacks; Chapter: 24; Caveat: Use as one mechanism rather than total explanation; Legacy duplicate source id: AP-020,https://doi.org/10.1016/0030-5073(76)90005-2
AP-006,2014,Morrison,Employee Voice and Silence,academic,Employees may withhold concerns and problem information from people higher in the hierarchy; Chapter: 11; Caveat: Review literature; not startup-specific; Upward voice and silence shape whether useful problem information reaches decision makers; Chapter: 13; Caveat: General organizational evidence; Legacy duplicate source id: AP-008; Organizational design can affect upward transmission of concerns and suggestions; Chapter: 23; Caveat: Review does not prescribe a single governance mechanism; Legacy duplicate source id: AP-019; Institutions need channels that make bad news transmissible upward; Chapter: 24; Caveat: Voice can also be low-quality or self-interested; design must preserve scrutiny; Legacy duplicate source id: AP-022,https://doi.org/10.1146/annurev-orgpsych-031413-091328
AP-007,1999,Edmondson,Psychological Safety and Learning Behavior in Work Teams,academic,Psychological safety is associated with team learning behavior and interpersonal risk taking; Chapter: 12; Caveat: Field study of 51 work teams; do not overstate causality; Leader behavior and team climate influence whether people take interpersonal risks needed for learning; Chapter: 23; Caveat: Not specific to boards or founder-led firms; Legacy duplicate source id: AP-018; Safe interpersonal risk taking supports learning behavior; Chapter: 24; Caveat: Do not reduce governance to culture alone; Legacy duplicate source id: AP-021,https://doi.org/10.2307/2666999
AP-009,2018,SEC,Elon Musk charged with securities fraud for misleading tweets,primary,SEC alleged funding-secured statements lacked adequate factual basis and described a present financing state; Chapter: 15; Caveat: Allegations were settled without admission or denial; distinguish case from product forecasting,https://www.sec.gov/newsroom/press-releases/2018-219
AP-010,2018,SEC,Elon Musk settles SEC fraud charges,primary,Settlement imposed governance and disclosure-control reforms after funding-secured statements; Chapter: 15; Caveat: Settlement is not an adjudicated admission of allegations,https://www.sec.gov/newsroom/press-releases/2018-226
AP-011,2018,SEC,Theranos litigation release,primary,SEC said Theranos raised more than $700M through false or exaggerated claims about technology business and financial performance; Chapter: 16; Caveat: Attribute allegations and settlements precisely,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-24069
AP-012,2018,SEC,Theranos complaint and litigation release,primary,Theranos boundary case centers on representations about then-current technology and business facts; Chapter: 17; Caveat: Later criminal proceedings are legally distinct,https://www.sec.gov/newsroom/press-releases/2018-41
AP-013,2021,SEC,Nikola Corporation to pay $125M,primary,SEC found Nikola misled investors about products technical advancements production capabilities and commercial prospects; Chapter: 18; Caveat: Company settlement and founder litigation must be distinguished,https://www.sec.gov/newsroom/press-releases/2021-267
