id,type,source,claim,status,notes
Q23-01,primary-web,https://quantiacs.com/?threadid=797,"Q23 S&P500 winner history: trader_wesley; nydoctor; emaX.quant; Svyable; blue_warrior; Zorta98; kyoto.momo91 across the seven allocation slots",verified,"Use for final allocation order; Quantiacs-controlled page"
Q23-02,primary-web,https://quantiacs.com/leaderboard,"Q23 is S&P500 LONG SHORT; $2M allocated capital; four-month contest; start 2025-09-01; end 2026-01-01",verified,"Current global leaderboard page has displayed inconsistent strategy rows; use winner-history page for allocation order"
Q23-03,primary-web,https://quantiacs.com/contest,"Fourth allocation tier is $100,000; contest scoring is live Sharpe subject to rules",verified,"Current contest page is Q25 but prize ladder and general model are documented there"
Q23-04,primary-web,https://quantiacs.com/faq,"Top seven algorithms share $2M in allocations; fourth place gets $100k; quants receive 10% of profits under program terms",verified,"Important distinction: allocation is not guaranteed cash prize"
Q23-05,primary-web,https://quantiacs.com/community/topic/777/has-my-strategy-been-rejected-from-q23/2?lang=en-GB,"Public Q23 discussion documents rejection/disqualification issues involving manual asset selection/correlation and Quantiacs' full-SP500-universe interpretation",verified,"Describe neutrally; not evidence that Svyable itself was disqualified"
Q23-06,primary-web,https://quantiacs.com/community/topic/708/strategy-takes-a-long-time-to-get-verified,"Public Q23 discussion mentions Svyable having many displayed strategies; support explains up to 50 running submissions and 15 contest strategies",verified,"Useful for experimentation/submission ecology; don't infer exact number entered by Svyable"
Q23-07,primary-web,https://quantiacs.com/community/topic/535/q20-contest-results/15?lang=en-GB,"Quantiacs explains dynamic universe/liquidity handling and why hand-picked assets can create survivorship-bias/gaming concerns",verified,"Older contest, useful as platform philosophy"
HIST-01,chat-history,2025-01-01 prior conversation,"9-day SMA versus 9-day EMA S&P500 experiment; negative-Sharpe backtest and associated statistics",recovered,"Research lineage only"
HIST-02,chat-history,2025-01-09 prior conversation,"50-day MA > 200-day MA trend idea with a 14-day price-rise exit concept",recovered,"Research lineage only"
HIST-03,chat-history,2025-07 prior conversations,"RSI; ROC; ATR; volatility scaling; liquidity filtering; 10% per-asset caps; long-short factor ideas",recovered,"Research lineage only; some conversations were labeled Q22"
HIST-04,chat-history,2025-12-13 prior conversation,"Q23 described as roughly 20-factor IC-based strategy with concentrated top-stock basket",recovered,"Needs primary notebook before being attributed to final allocated submission"
HIST-05,chat-history,2026-01-22 prior conversation,"Author said he was so close to winning Q23 and believed he had highest gross return at 20.6%",recovered,"Author claim; distinguish from official ranking metric"
SOC-01,public-search,LinkedIn search result indexed via public web,"Sven Hardy Benson post said fourth place after disqualifications and $100K allocation",corroborating,"Search snippet labels contest Nasdaq 100, conflicting with official Quantiacs S&P500 designation; do not repeat that universe label"
