id,chapter_or_topic,source_type,title,publisher_or_author,date,url,working_use,notes
SEC-KNIGHT-ORDER,ch01,primary regulatory record,"Order Instituting Administrative and Cease-and-Desist Proceedings — Knight Capital Americas LLC",U.S. Securities and Exchange Commission,2013-10-16,https://www.sec.gov/Archives/edgar/data/1569391/000119312513401173/d613486dex101.htm,"Opening case: 212 orders; millions of orders; >4 million executions; 154 stocks; >397 million shares; ~45 minutes; >$460 million loss","Primary factual source for Knight Capital case"
SEC-KNIGHT-PR,ch01,primary regulator summary,"SEC Charges Knight Capital With Violations of Market Access Rule",U.S. Securities and Exchange Commission,2013-10-16,https://www.sec.gov/newsroom/press-releases/2013-222,"Opening case and 97 pre-open automated emails","Use order for detail; press release for concise corroboration"
ANTHROPIC-AUTONOMY-2026,ch01;ch10,company empirical research,"Measuring AI agent autonomy in practice",Anthropic,2026-02-18,https://www.anthropic.com/research/measuring-agent-autonomy,"Longer autonomous sessions; auto-approve and interruption behavior; oversight shifting toward monitoring","Vendor research; bound claims to observed Claude/API usage"
OPENAI-AGENTS-WORK-2026,ch01;ch09,company empirical report,"How agents are transforming work",OpenAI,2026,https://openai.com/index/how-agents-are-transforming-work/,"Human-time-equivalent task horizons; extended agent work","Company-reported estimates; do not generalize to labor market without independent evidence"
OPENAI-CODEX-2025,ch04;ch05,product primary source,"Introducing Codex",OpenAI,2025-05-16,https://openai.com/index/introducing-codex/,"Parallel software-engineering tasks and pull requests for review","Use to establish product capability and workflow, not broad prevalence"
ANTHROPIC-SANDBOX-2025,ch14;ch15,product engineering primary source,"Beyond permission prompts: making Claude Code more secure and autonomous",Anthropic,2025-10-20,https://www.anthropic.com/engineering/claude-code-sandboxing,"Sandboxing as a boundary that permits more autonomy with fewer prompts","Useful design pattern: bounded fast zone rather than per-action approval"
ANTHROPIC-TRUSTED-AGENTS-2026,ch10;ch19,company governance analysis,"Trustworthy agents in practice",Anthropic,2026-04-09,https://www.anthropic.com/research/trustworthy-agents,"Post-deployment monitoring; oversight beyond a human approval chain","Normative vendor source; pair with independent standards and research"
ANTHROPIC-EXPERTISE-2026,ch09;ch12,company empirical research,"How Claude Code is used in practice: agentic coding and persistent returns to expertise",Anthropic,2026-06-16,https://www.anthropic.com/research/claude-code-expertise,"~400k sessions; planning vs execution decisions; expertise; shift toward end-to-end agentic use","Vendor dataset; useful for collaboration patterns"
NIST-GAI-PROFILE,ch13;ch19,government standard/profile,"Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile",NIST,2024-07-26,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,"Lifecycle risk management; monitoring; governance vocabulary","Authoritative framework, not evidence for book-specific causal claims"
NIST-AI-RMF,ch13;ch19,government framework,"AI Risk Management Framework",NIST,2023,https://www.nist.gov/itl/ai-risk-management-framework,"Governance and lifecycle risk management context","Track 2026 revision separately if manuscript relies on revised language"
