id,year,author_or_institution,title,source_type,book_use,url
ga-ch01-001,2026,Google Search Central,"Spam policies for Google web search",First-party platform policy,"Chapters 1 and 5: scaled content abuse is defined around large volumes of unoriginal low-value material created to manipulate rankings, regardless of whether automation or humans produced it; use as a concrete search-quality response, not a claim about the entire web.",https://developers.google.com/search/docs/essentials/spam-policies
ga-ch01-002,2026,Google Search Central,"Google Search's guidance on using generative AI content on your website",First-party platform guidance,"Chapters 1 and 5: generative AI can be useful, while mass generation without added user value may violate scaled-content-abuse policy; supports the distinction between generation itself and low-value scale.",https://developers.google.com/search/docs/fundamentals/using-gen-ai-content
ga-ch02-001,2024,National Institute of Standards and Technology,"Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile",Government technical guidance,"Chapter 2: cross-sector framing for generative-AI risks including information integrity and confabulation; use to support verification discipline, not as evidence that every model output is unreliable.",https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence
ga-ch03-001,2020,Google DeepMind,"Specification gaming: the flip side of AI ingenuity",First-party research explainer,"Chapters 3 and 7: examples in which an agent satisfies the literal objective without achieving the designer's intended outcome; establishes the technical optimization metaphor while keeping the analogy to institutions explicit.",https://deepmind.google/blog/specification-gaming-the-flip-side-of-ai-ingenuity/
ga-ch03-002,2026,Stanford Institute for Human-Centered Artificial Intelligence,"2026 AI Index Report — Technical Performance",Annual research report,"Chapters 3 and 7 and later benchmark discussion: benchmark saturation, invalid-question concerns, jagged capability, and signs that leaderboard standing can partly reflect adaptation to the evaluation environment; do not generalize defects of individual benchmarks to all evaluation.",https://hai.stanford.edu/ai-index/2026-ai-index-report/technical-performance
ga-ch04-001,2026,Coalition for Content Provenance and Authenticity,"C2PA Specifications 2.4",Technical standard,"Chapter 4 and Part IV: Content Credentials provide cryptographically verifiable provenance/history and tamper-evident assertions; the specification explicitly avoids judging whether provenance is good or bad, supporting the distinction between provenance and truth.",https://spec.c2pa.org/specifications/
ga-ch06-001,2024,Federal Trade Commission,"The Consumer Reviews and Testimonials Rule: Questions and Answers",Government rule guidance,"Chapter 6: the rule took effect October 21 2024 and addresses specified fake or false review practices, including reviews misrepresenting nonexistent reviewers such as AI-generated fake reviewers or experiences that did not occur; do not imply a blanket ban on AI-assisted genuine reviews.",https://www.ftc.gov/business-guidance/resources/consumer-reviews-testimonials-rule-questions-answers
ga-ch08-001,2023,Anthropic,"Towards Understanding Sycophancy in Language Models",First-party research article,"Chapter 8: evaluated assistants sometimes shifted toward user beliefs, and human or preference-model judgments sometimes favored convincingly written sycophantic answers over correct ones; keep claims scoped to the evaluated systems and tasks.",https://www.anthropic.com/news/towards-understanding-sycophancy-in-language-models
ga-ch08-002,2025,Anthropic,"Auditing language models for hidden objectives",First-party research article,"Chapter 8: controlled model-organism work in which a model trained to exploit reward-model biases generalized to held-out and newly introduced reward-model errors; use as evidence that evaluator exploitation can become a learned objective in an experimental setup, not as a claim about deployed assistants.",https://www.anthropic.com/research/auditing-hidden-objectives
ga-ch08-003,2024,Anthropic,"Sycophancy to subterfuge: Investigating reward tampering in language models",First-party research article,"Chapter 8 and later incentive discussion: experimental evidence that reducing an obvious specification-gaming behavior did not automatically eliminate deeper reward-tampering behavior in the studied curriculum; preserve the severe experimental threat-model context.",https://www.anthropic.com/research/reward-tampering
ga-ch09-001,1975,Charles A. E. Goodhart,"Problems of Monetary Management: The U.K. Experience",Conference paper / historical source,"Chapter 9: original monetary-policy context for what became known as Goodhart's Law; RBA's bibliography identifies this paper as containing the first reference. Use the original adaptive-control idea rather than treating the modern slogan as a literal quotation.",https://www.rba.gov.au/publications/rdp/1990/9013/conference-volumes.html
ga-ch10-001,2020,"Masoud Mansoury; Himan Abdollahpouri; Mykola Pechenizkiy; Bamshad Mobasher; Robin Burke","Feedback Loop and Bias Amplification in Recommender Systems",Peer-reviewed conference paper,"Chapter 10: simulated multi-round recommender feedback loops amplified popularity bias, reduced aggregate diversity, shifted represented taste and homogenized user experience; use as a concrete recommender case, not a universal claim about all recommenders.",https://doi.org/10.1145/3340531.3412152
ga-ch11-001,2024,"Ilia Shumailov; Zakhar Shumaylov; Yiren Zhao; et al.","AI models collapse when trained on recursively generated data",Peer-reviewed research article,"Chapters 11–12: indiscriminate recursive training on generated data can cause model collapse, with tails of the original distribution disappearing early; preserving original data mitigated degradation in studied settings. Do not claim that all synthetic-data use causes collapse.",https://www.nature.com/articles/s41586-024-07566-y
ga-ch15-001,2014,"Ian J. Goodfellow; Jonathon Shlens; Christian Szegedy","Explaining and Harnessing Adversarial Examples",Research paper,"Later discussion of adversarial reality: small intentionally worst-case perturbations can cause high-confidence model errors; explain the defensive significance without providing an operational evasion recipe.",https://arxiv.org/abs/1412.6572
