id,year,author_or_institution,title,source_type,book_use,url
IM001,"2026","International AI Safety Report","International AI Safety Report 2026","report","Loss-of-control baseline; agent reliability; access, permissions, criticality, and passive dependence. Preserve the report's finding that current systems lack capabilities for the strongest scenarios and that expert estimates vary widely.","https://internationalaisafetyreport.org/publication/international-ai-safety-report-2026"
IM002,"2026","International AI Safety Report","International AI Safety Report 2026 PDF","report","Page-stable reference for report wording. Do not convert scenarios into predictions.","https://internationalaisafetyreport.org/sites/default/files/2026-02/international-ai-safety-report-2026.pdf"
IM003,"2026","METR","Task-Completion Time Horizons of Frontier AI Models","research page","Autonomous task-length trend. Task suites emphasize software engineering, machine learning, and cybersecurity; not a measure of universal real-world autonomy.","https://metr.org/time-horizons/"
IM004,"2026","METR","Time Horizon 1.1","research article","Methodology and task-suite updates. Estimates depend on task design and human-duration estimates.","https://metr.org/blog/2026-1-29-time-horizon-1-1/"
IM005,"2025","METR","Measuring AI Ability to Complete Long Software Tasks","research article","Historical time-horizon methodology. Extrapolation is illustrative rather than guaranteed.","https://metr.org/blog/2025-03-19-measuring-ai-ability-to-complete-long-tasks/"
IM006,"2026","Anthropic","Trustworthy agents in practice","research article","Agent autonomy, tool use, prompt injection, and governance. Vendor source; use for product practices rather than independent prevalence estimates.","https://www.anthropic.com/research/trustworthy-agents"
IM007,"2026","Anthropic","Measuring AI agent autonomy in practice","research article","Real-world autonomy and session duration. Telemetry from Anthropic products; do not generalize to all agents.","https://www.anthropic.com/research/measuring-agent-autonomy"
IM008,"2026","Anthropic","Disempowerment patterns in real-world AI usage","research article","Individual belief, value, and action disempowerment. Different scale from the institutional re-entry thesis; use as adjacent evidence only.","https://www.anthropic.com/research/disempowerment-patterns"
IM009,"2026","NIST","Summary Analysis of Responses to the Request for Information Regarding Security Considerations for AI Agents","government report","Agent security concerns and standards needs. Summary of RFI responses is not a controlled prevalence study.","https://www.nist.gov/publications/summary-analysis-responses-request-information-regarding-security-considerations-ai"
IM010,"2026","NIST","CAISI Issues Request for Information About Securing AI Agent Systems","government notice","Agent-security problem definition. The RFI frames questions; it does not establish that every listed risk has materialized.","https://www.nist.gov/news-events/news/2026/01/caisi-issues-request-information-about-securing-ai-agent-systems"
IM011,"2026","NIST","AI Agent Standards Initiative","government project page","Standards and secure-adoption context. Treat as a policy initiative whose status can evolve.","https://www.nist.gov/artificial-intelligence/ai-agent-standards-initiative"
