chapter,topic,evidence_tier,source,author_or_institution,year,url,status,notes
1,absolute space and time / relativity,established physics,,,,,to-source,
2,relativity of simultaneity,established physics,,,,,to-source,
3,quantum measurement and state description,established physics / foundations,,,,,to-source,
4,black-hole entropy and information,established physics / active theory,,,,,to-source,
5,holography and AdS/CFT,active theoretical work,,,,,to-source,
6,entanglement and emergent geometry,active theoretical work,,,,,to-source,
7,emergent or relational time,active theoretical work,,,,,to-source,
8,measurement problem and observer language,quantum-foundations interpretation,,,,,to-source,
9,hard problem and consciousness science,consciousness science / philosophy,,,,,to-source,
10,information-first ontology,active theory / philosophy,,,,,to-source,
11,relational and participatory interpretations,foundations / philosophy,,,,,to-source,
12,nonlocal mind and locality constraints,consciousness science / established physics,,,,,to-source,
13,psi NDE altered states and anomalous cognition,empirical anomalies,,,,,to-source,
14,pre-spacetime ontology,active theory / philosophy,,,,,to-source,
15,consciousness as participant,speculation / synthesis,,,,,to-source,
