chapter,source_id,author_or_org,title,publisher,date,url,source_type,notes
1,HARDIN1968,Garrett Hardin,The Tragedy of the Commons,Science,1968-12-13,https://doi.org/10.1126/science.162.3859.1243,journal article,Original 1968 formulation; use critically and alongside Ostrom.
1,OSTROM2009,Royal Swedish Academy of Sciences,The Prize in Economic Sciences 2009 — Press release,NobelPrize.org,2009-10-12,https://www.nobelprize.org/prizes/economic-sciences/2009/press-release/,official award documentation,Summarizes Ostrom's challenge to the privatize-or-centralize conventional wisdom.
1,OSTROMLECTURE,Elinor Ostrom,Beyond Markets and States: Polycentric Governance of Complex Economic Systems,NobelPrize.org,2009-12-08,https://www.nobelprize.org/prizes/economic-sciences/2009/ostrom/lecture/,prize lecture,"Design principles and polycentric governance; principles are empirical regularities, not a universal recipe."
2,HERDMOYNIHAN2025,Pamela Herd; Donald Moynihan,Administrative Burdens in the Social Safety Net,Journal of Economic Perspectives,2025,https://www.aeaweb.org/articles?id=10.1257/jep.20231394,peer-reviewed journal article,"Learning, compliance, and psychological costs; burdens can reduce access among eligible people."
2,GOVUKWHOLE,UK Government Digital Service,Solve a whole problem for users,GOV.UK Service Manual,2026 update,https://www.gov.uk/service-manual/service-standard/point-2-solve-a-whole-problem,official service standard,2026 update explicitly warns against designing services around AI technologies rather than user problems.
2,GOVUKACCESS,UK Government Digital Service,Make sure everyone can use the service,GOV.UK Service Manual,current,https://www.gov.uk/service-manual/service-standard/point-5-make-sure-everyone-can-use-the-service,official service standard,Requires attention to users lacking digital skills or internet access and assisted digital support.
3,NISTGOVERN,National Institute of Standards and Technology,AI RMF Playbook — Govern,NIST AI Resource Center,current,https://airc.nist.gov/airmf-resources/playbook/govern/,official implementation guidance,"Human roles, oversight responsibilities, risk tracking, training, transparency."
3,WORLDBANKDPI2026,World Bank Group,Global Digital Public Infrastructure Program: From Foundations to Scale,World Bank,2026-05-06,https://www.worldbank.org/en/results/2026/05/06/global-digital-public-infrastructure-program,official program results page,Reports support to 80+ countries and major remaining access gaps; institutional self-report.
4,WORLDBANKDPI2026,World Bank Group,Global Digital Public Infrastructure Program: From Foundations to Scale,World Bank,2026-05-06,https://www.worldbank.org/en/results/2026/05/06/global-digital-public-infrastructure-program,official program results page,Reports support to 80+ countries and major remaining access gaps; institutional self-report.
4,UNDPDPI,United Nations Development Programme,Digital Public Infrastructure,UNDP,current,https://www.undp.org/digital/digital-public-infrastructure,official program overview,"Defines DPI around foundational systems such as identity, payments, and data exchange, emphasizing safe/fair/interoperable design."
