chapter,claim_area,source_type,source,title,url,date_or_version,notes
1,gatekeeping origins,primary government-hosted research,Kurt Lewin / National Research Council,Forces Behind Food Habits and Methods of Change,https://www.ncbi.nlm.nih.gov/books/NBK224347/,1943,Food-channel research that precedes Lewin's broader gatekeeper formulation
1,gatekeeping theory,original research,Kurt Lewin,Frontiers in Group Dynamics II: Channels of Group Life; Social Planning and Action Research,https://doi.org/10.1177/001872674700100201,1947,Generalizes gate sections and gatekeepers across food news goods and organizations
1,news gatekeeping,original research,David Manning White,The Gate Keeper: A Case Study in the Selection of News,https://doi.org/10.1177/107769905002700403,1950,Seven-day study of accepted and rejected wire stories by a newspaper telegraph editor
1;9,digital gatekeepers,regulator,European Commission,About the Digital Markets Act,https://digital-markets-act.ec.europa.eu/about-dma_en,current,Defines the DMA gatekeeper framework and examples of obligations and prohibitions
1;9,digital gatekeepers,regulator,European Commission,DMA designated Gatekeepers,https://digital-markets-act.ec.europa.eu/gatekeepers-portal_en,current,Current designated companies and core platform services
1;9,designation criteria,regulator,European Commission,Criteria for the designation of gatekeepers,https://digital-markets-act.ec.europa.eu/document/download/caf094bf-82f8-48d4-a379-4d0734e38103_en?filename=S8+-+DMA-+EC.pdf,2023,Quantitative and qualitative criteria including important gateway status
1;6;14,credit denial,regulator,Consumer Financial Protection Bureau,Regulation B § 1002.9 Notifications,https://www.consumerfinance.gov/rules-policy/regulations/1002/9/,current,Requires specific principal reasons for adverse action
6;14,algorithmic credit decisions,regulator,Consumer Financial Protection Bureau,Circular 2022-03: Adverse action notification requirements in connection with complex algorithms,https://www.consumerfinance.gov/compliance/circulars/circular-2022-03-adverse-action-notification-requirements-in-connection-with-credit-decisions-based-on-complex-algorithms/,2022,Explains that complex algorithms do not remove the duty to give accurate specific reasons
1;7,prior authorization,regulator,Centers for Medicare & Medicaid Services,CMS Interoperability and Prior Authorization Final Rule CMS-0057-F,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,2024,Decision timeframes and specific denial-reason requirements for impacted payers
7,prior authorization denials,government oversight,HHS Office of Inspector General,Some Medicare Advantage Organization Denials of Prior Authorization Requests Raise Concerns About Beneficiary Access to Medically Necessary Care,https://www.oig.hhs.gov/reports/all/2022/some-medicare-advantage-organization-denials-of-prior-authorization-requests-raise-concerns-about-beneficiary-access-to-medically-necessary-care/,2022,Sample review found some denied requests met Medicare coverage rules
5,occupational licensing,government dataset,U.S. Bureau of Labor Statistics,Certification and licensing status of the employed by occupation,https://www.bls.gov/cps/cpsaat53.htm,2025 annual averages,Tracks certification and licensing across U.S. occupations
5,licensing competition,regulator research program,Federal Trade Commission,The Effects of Occupational Licensure on Competition Consumers and the Workforce,https://www.ftc.gov/news-events/events/2017/11/effects-occupational-licensure-competition-consumers-workforce-empirical-research-results,2017,Frames both consumer benefits and entry costs of occupational licensing
9,app distribution,platform primary rules,Apple,App Review Guidelines,https://developer.apple.com/app-store/review/guidelines/,current,Primary source for current App Store distribution and purchase-link rules
9,app store litigation,judicial opinion,U.S. Court of Appeals for the Ninth Circuit,Epic Games Inc. v. Apple Inc.,https://cdn.ca9.uscourts.gov/datastore/opinions/2023/04/24/21-16506.pdf,2023-04-24,App Store litigation record including anti-steering and commission context
13;19,cloud and AI gatekeeping,regulator,European Commission,DMA Review Q&A,https://digital-markets-act.ec.europa.eu/about-dma/dma-review-qa_en,2026,Identifies cloud services and AI as critical priorities in DMA review
13;19,cloud gateway investigation,regulator,European Commission,Preliminary position on AWS and Azure under the DMA,https://digital-markets-act.ec.europa.eu/commission-reaches-preliminary-position-amazons-and-microsofts-market-leading-cloud-services-should-2026-06-25_en,2026-06-25,Current investigation of cloud services as important gateways with switching costs and AI-tool relevance
