id,year,author_or_institution,title,source_type,book_use,url
ttid-ai-performance-001,2026,Stanford Institute for Human-Centered Artificial Intelligence,"2026 AI Index Report — Technical Performance",Annual research report,"Chapters 1 and 3: large recent benchmark gains alongside benchmark-quality concerns and jagged capability; supports rapid cognitive capability improvement without treating benchmark scores as deployment reliability.",https://hai.stanford.edu/ai-index/2026-ai-index-report/technical-performance
ttid-ai-economy-001,2026,Stanford Institute for Human-Centered Artificial Intelligence,"2026 AI Index Report — Economy",Annual research report,"Chapters 1, 4, 5, 15 and 16: organizational AI use is widespread while agent deployment remains early; investment, capex and adoption evidence support infrastructure and distribution arguments. Use private-investment figures carefully because state-directed capital can be undercounted and surveyed adoption is not a census of deployment quality.",https://hai.stanford.edu/ai-index/2026-ai-index-report/economy
ttid-agents-001,2026,National Institute of Standards and Technology,"CAISI Issues Request for Information About Securing AI Agent Systems",Federal agency notice,"Chapters 1, 4 and 6: authoritative description of agent systems that can plan and take autonomous actions affecting real-world systems; supports the output-to-action boundary, permission architecture and security countercase without attributing consciousness.",https://www.nist.gov/news-events/news/2026/01/caisi-issues-request-information-about-securing-ai-agent-systems
ttid-agents-002,2026,METR,"Task-Completion Time Horizons of Frontier AI Models",Evaluation results and methodology,"Chapter 6: latest public time-horizon measurements for frontier agents; evidence of longer sustained task capability on software-heavy suites while METR explicitly warns that the metric does not imply automation of all jobs or equivalent high-context professional work.",https://metr.org/time-horizons/
ttid-history-001,2016,Klaus Schwab / World Economic Forum,"The Fourth Industrial Revolution: what it means and how to respond",Historical framing / commentary,"Chapter 2: source for the popular Fourth Industrial Revolution periodization and the physical-digital-biological fusion claim; treat as framing to test rather than neutral proof.",https://www.weforum.org/stories/technological-innovation/the-fourth-industrial-revolution-what-it-means-and-how-to-respond/
ttid-history-002,2016,World Economic Forum,"What is the fourth industrial revolution?",Historical framing / explainer,"Chapter 2: concise WEF account of the First through Fourth Industrial Revolutions, including mechanical power, electricity, digital systems, cyber-physical systems, machine intelligence and genome editing.",https://www.weforum.org/stories/2016/01/what-is-the-fourth-industrial-revolution/
ttid-robotics-001,2025,International Federation of Robotics,"World Robotics 2025 — Global Robot Demand in Factories Doubles Over 10 Years",Industry statistical report,"Chapters 3, 4 and 7: 542,000 industrial robots installed in 2024 and 4.664 million in operation; demonstrates real embodiment at scale while preserving the structured-environment limitation and geographic concentration of deployment.",https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years
ttid-biotech-001,2023,U.S. Food and Drug Administration,"FDA Approves First Gene Therapies to Treat Patients with Sickle Cell Disease",Federal regulatory announcement,"Chapters 3, 4, 8 and 13: Casgevy as the first FDA-approved treatment to use a novel genome-editing technology; supports the move from reading biology toward regulated therapeutic editing without implying arbitrary human redesign.",https://www.fda.gov/news-events/press-announcements/fda-approves-first-gene-therapies-treat-patients-sickle-cell-disease
ttid-biotech-002,2025,National Institutes of Health,"Infant with rare disease receives customized gene therapy",Federal research summary,"Chapters 8 and 13: first known personalized gene-editing medicine created for one patient, using CRISPR base editing for an infant with CPS1 deficiency; process from diagnosis to treatment took about six months. Preserve the single-patient nature and need for long-term follow-up.",https://www.nih.gov/news-events/nih-research-matters/infant-rare-disease-receives-customized-gene-therapy
ttid-biotech-003,2025,Kiran Musunuru et al.,"Patient-Specific In Vivo Gene Editing to Treat a Rare Genetic Disease",Peer-reviewed clinical report,"Chapters 8 and 13: primary clinical report of customized lipid-nanoparticle-delivered base editing for severe CPS1 deficiency; supports patient-specific platform discussion while explicitly preserving short follow-up and uncertain long-term safety and efficacy.",https://www.nejm.org/doi/10.1056/NEJMoa2504747
ttid-labor-001,2025,International Labour Organization,"Generative AI and Jobs: A 2025 Update",International research report,"Chapters 3 and 11: one in four workers globally in occupations with some GenAI exposure, while most affected jobs are expected to be transformed rather than made redundant; primary counterweight to simple replacement narratives.",https://www.ilo.org/publications/generative-ai-and-jobs-2025-update
ttid-energy-001,2026,International Energy Agency,"Energy and AI — Energy demand from AI",Intergovernmental energy analysis,"Chapters 4, 5 and 9: data-center electricity demand projected around 945 TWh in 2030 base case, just under 3% of global demand; supports the physical-infrastructure constraint beneath callable intelligence and documents longer energy-infrastructure build clocks than data centers.",https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai
ttid-convergence-materials-001,2023,Nathan J. Szymanski et al.,"An autonomous laboratory for the accelerated synthesis of inorganic materials",Peer-reviewed research article,"Chapter 10: A-Lab combined computation, literature-derived synthesis recipes, machine learning, active learning and robotics; realized 36 of 57 target compounds over 17 days. Use as evidence of a real closed experimental loop, not proof that autonomous science is solved.",https://www.nature.com/articles/s41586-023-06734-w
ttid-convergence-biology-001,2025,Keiji Fushimi et al.,"Development of the autonomous lab system to support biotechnology research",Peer-reviewed research article,"Chapter 10: biotechnology autonomous-lab case integrating robotics and Bayesian optimization across culture, preprocessing, measurement, analysis and hypothesis formulation; narrow case study demonstrating closed-loop architecture rather than general scientific autonomy.",https://www.nature.com/articles/s41598-025-89069-y
ttid-biostructure-001,2024,Josh Abramson et al.,"Accurate structure prediction of biomolecular interactions with AlphaFold 3",Peer-reviewed research article,"Chapter 10: unified deep-learning prediction across complexes containing proteins, nucleic acids, small molecules, ions and modified residues; evidence that machine prediction can change biological search while experimental validation remains necessary.",https://www.nature.com/articles/s41586-024-07487-w
ttid-work-productivity-001,2023,Erik Brynjolfsson / Danielle Li / Lindsey R. Raymond,"Generative AI at Work",NBER working paper,"Chapter 11: study of 5,179 customer-support agents found 14% average productivity improvement and 34% for novice and lower-skilled workers; supports experience-curve compression and heterogeneous complementarity rather than universal replacement.",https://www.nber.org/papers/w31161
ttid-education-tutor-001,2025,Greg Kestin et al.,"AI tutoring outperforms in-class active learning: an RCT introducing a novel research-based design in an authentic educational setting",Peer-reviewed randomized controlled trial,"Chapter 12: randomized trial with 194 Harvard undergraduate physics students found a carefully designed AI tutor produced greater learning in less time than the comparison active-learning class; supports the possibility of pedagogically designed augmentation.",https://doi.org/10.1038/s41598-025-97652-6
ttid-education-guardrails-001,2025,Hamsa Bastani et al.,"Generative AI without guardrails can harm learning: Evidence from high school mathematics",Peer-reviewed field experiment,"Chapter 12: generative-AI assistance improved practice performance but an insufficiently constrained system could reduce subsequent unaided performance; teacher-designed hint guardrails mitigated the effect. Supports the distinction between output assistance and durable skill acquisition.",https://www.pnas.org/doi/10.1073/pnas.2422633122
ttid-education-oecd-001,2026,Organisation for Economic Co-operation and Development,"OECD Digital Education Outlook 2026: Exploring Effective Uses of Generative AI in Education",Intergovernmental research report,"Chapter 12: synthesizes evidence on GenAI for personalized instruction, feedback, skill development and assessment while emphasizing pedagogically grounded use that strengthens rather than substitutes for human learning.",https://www.oecd.org/en/publications/oecd-digital-education-outlook-2026_062a7394-en.html
ttid-neuroprosthesis-001,2025,Maitreyee Wairagkar et al.,"An instantaneous voice-synthesis neuroprosthesis",Peer-reviewed research article,"Chapter 13: intracortical BCI decoded attempted speech from 256 implanted microelectrodes in a man with ALS into instantaneous synthesized voice with paralinguistic modulation; evidence for restoration at an intimate brain-machine interface, not near-term elective enhancement.",https://www.nature.com/articles/s41586-025-09127-3
ttid-identity-nist-001,2024,National Institute of Standards and Technology,"Reducing Risks Posed by Synthetic Content: An Overview of Technical Approaches to Digital Content Transparency",Federal technical report,"Chapter 14: frames synthetic-content risk mitigation as a portfolio including authentication and provenance, watermarking, detection, labeling, testing and auditing; supports layered transparency rather than a single perfect detector. Final report published 2024 and NIST page updated 2026.",https://www.nist.gov/publications/reducing-risks-posed-synthetic-content-overview-technical-approaches-digital-content
