id,year,author_or_institution,title,source_type,book_use,url
ch01-eic,1773,Parliament of Great Britain,Tea Act 1773,primary law,"East India Company privilege and tea-crisis legal structure",https://www.legislation.gov.uk/apgb/Geo3/13/44
ch02-bna,1781,Library of Congress,Journals of the Continental Congress 1774-1789,primary government collection,"Congressional approval and early national-finance context for the Bank of North America",https://www.loc.gov/collections/continental-congress-and-constitutional-convention-from-1774-to-1789/
ch03-slater,1793,National Park Service,Blackstone River Valley National Historical Park,institutional history,"Slater Mill chronology and the emergence of mechanized textile production",https://www.nps.gov/blrv/learn/historyculture/index.htm
ch04-dupont,1802,Hagley Museum and Library,DuPont Company records,archival collection,"Brandywine powder manufacture and DuPont institutional history",https://www.hagley.org/research/digital-exhibits/du-pont-company
ch05-fur,1810,National Park Service,Fort Union Trading Post National Historic Site,institutional history,"Fur-trade networks and Indigenous commercial relationships in the continental interior",https://www.nps.gov/fous/learn/historyculture/index.htm
ch06-lowell,1822,National Park Service,Lowell National Historical Park,institutional history,"Merrimack mills canals boardinghouses and Lowell labor system",https://www.nps.gov/lowe/learn/historyculture/index.htm
ch07-bo,1827,Baltimore and Ohio Railroad Museum,B&O Railroad history,museum history,"Charter-era railroad development and early common-carrier operations",https://www.borail.org/collections/b-o-railroad-history/
ch08-telegraph,1844,Library of Congress,Samuel F. B. Morse Papers,primary archival collection,"Washington-Baltimore telegraph line and commercialization of electrical communication",https://www.loc.gov/collections/samuel-f-b-morse-papers-at-the-library-of-congress/
ch09-singer,1856,Smithsonian National Museum of American History,Sewing machine collections,museum collection,"Singer-era sewing technology consumer adoption and patent context",https://americanhistory.si.edu/collections/search?edan_q=sewing%20machine
ch10-up,1862,U.S. Congress,Pacific Railway Act of 1862,primary law,"Union Pacific charter federal loans land policy and transcontinental construction",https://www.loc.gov/resource/rbpe.24404500/
ch11-standard,1911,U.S. Supreme Court,Standard Oil Co. of New Jersey v. United States,primary legal record,"Consolidation conduct railroad relationships and dissolution record used to check the 1870s narrative",https://supreme.justia.com/cases/federal/us/221/1/
ch12-att,1885,Library of Congress,Alexander Graham Bell Family Papers,primary archival collection,"Telephone commercialization network growth and Bell-system chronology",https://www.loc.gov/collections/alexander-graham-bell-papers/
ch13-sears,1896,U.S. Postal Service,Rural Free Delivery history,institutional history,"Postal infrastructure that expanded the reach of rural mail-order commerce",https://about.usps.com/who/profile/history/rural-free-delivery.htm
ch14-ussteel,1920,U.S. Supreme Court,United States v. United States Steel Corporation,primary legal record,"Formation market structure and later antitrust record for the billion-dollar corporation",https://supreme.justia.com/cases/federal/us/251/417/
ch15-ford,1913,The Henry Ford,Henry Ford and the moving assembly line,museum collection,"Highland Park assembly-line development Model T production and labor system",https://www.thehenryford.org/collections-and-research/digital-collections/expert-sets/101765/
ch16-gm,1923,General Motors,GM Heritage Center,company archive,"Brand ladder divisional organization styling and corporate chronology",https://www.gm.com/heritage
ch17-pg,1931,Harvard Business School,Neil McElroy brand-management memorandum,business archive,"Brand management as a distinct organizational responsibility",https://www.library.hbs.edu/hc/lehman/chrono.html
ch18-boeing,1942,Smithsonian National Air and Space Museum,Boeing B-29 Superfortress,museum collection,"B-29 development wartime production and technological context",https://airandspace.si.edu/collection-objects/boeing-b-29-superfortress-enola-gay/nasm_A19500100000
ch19-mcd,1955,McDonald's,McDonald's history,company history,"Speedee Service System Ray Kroc franchising and 1955 expansion chronology",https://corporate.mcdonalds.com/corpmcd/our-company/who-we-are/our-history.html
ch20-ibm,1964,IBM,The IBM System/360,company historical archive,"System/360 compatibility architecture launch and bet-the-company scale",https://www.ibm.com/history/system-360
ch21-intel,1971,Intel,The First Programmable Microprocessor: The 4004,company historical archive,"Busicom origin 4004 commercialization and early microprocessor platform",https://timeline.intel.com/1971/the-first-programmable-microprocessor%3A-the-4004
ch22-msft,1981,Computer History Museum,IBM PC and Microsoft DOS collection,museum history,"IBM PC ecosystem DOS licensing and the separation of software value from hardware",https://www.computerhistory.org/revolution/personal-computers/17/297
ch23-walmart,1990,Walmart,Walmart history,company history,"Scale distribution technology and the growth of the national discount-retail network",https://corporate.walmart.com/about/history
ch24-google,2004,U.S. Securities and Exchange Commission,Google Inc. Form S-1,primary regulatory filing,"Search advertising economics AdWords revenue model and public-company disclosures",https://www.sec.gov/Archives/edgar/data/1288776/000119312504143377/ds1a.htm
ch25-amazon,2010,Amazon,Amazon annual reports,primary company filings,"Retail marketplace fulfillment Prime and AWS business development",https://ir.aboutamazon.com/annual-reports-proxies-and-shareholder-letters/default.aspx
ch26-nvidia,2026,NVIDIA,NVIDIA fiscal 2027 second-quarter results,primary company disclosure,"Current 2020s AI-compute demand revenue and data-center scale used for the provisional decade verdict",https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Announces-Financial-Results-for-Second-Quarter-Fiscal-2027/default.aspx
