source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
ch01-001,1,2026-09-11,2026-06-27,Fortune (reporting on Erik Brynjolfsson and ADP Research),"'It's not going away': The Stanford economist who called the AI entry-level jobs crisis early has the receipts",Business journalism,"ADP 'Canaries Dashboard' payroll data showing employment for workers 22-25 in highly AI-exposed occupations shrinking at roughly 3.8% per year, versus growth in the least-exposed jobs for the same age group",https://fortune.com/2026/06/27/what-is-ai-impact-entry-level-jobs-stanford-adp-canaries-brynjolfsson-richardson/,"Describes the June 2026 update to the original August 2025 Brynjolfsson/ADP working paper; figures are from ADP payroll data covering roughly one-sixth of the U.S. workforce."
ch01-002,1,2026-09-11,2026-03-01,Anthropic,Anthropic Economic Index report: Learning curves,First-party research report,"Which tasks and occupations show measurable Claude usage, and how usage concentration has changed between January 2025 and February 2026",https://www.anthropic.com/research/economic-index-march-2026-report,"First-party report on aggregated, anonymized Claude.ai and API usage; not independently audited."
ch01-003,1,2026-09-11,2026,Anthropic,Labor market impacts of AI: A new measure,First-party research report,"No clear unemployment signal in high-exposure occupations as of early 2026, but roughly 14% slower relative hiring of workers aged 22-25 into the most AI-exposed roles",https://www.anthropic.com/research/labor-market-impacts,"Anthropic's own labor-market analysis; a single company's usage data is not a full labor-market census."
ch02-001,2,2026-09-11,1967-12-01,E. P. Thompson,"Time, Work-Discipline, and Industrial Capitalism",Academic journal article,"Historical account of the shift from task-oriented to clock-disciplined, wage-based labor during industrialization",https://academic.oup.com/past/article-abstract/38/1/56/1454624,"Past & Present, Vol. 38, No. 1, pp. 56-97. Foundational labor-history source; used for the historical framing only, not as commentary on AI."
ch03-001,3,2026-09-11,2015-11-25,Neel Doshi and Lindsay McGregor,How Company Culture Shapes Employee Motivation,Harvard Business Review article,"Original statement of the six motives that drive work: play, purpose, and potential as direct motives; emotional pressure, economic pressure, and inertia as indirect motives",https://hbr.org/2015/11/how-company-culture-shapes-employee-motivation,"Companion article to the authors' book Primed to Perform; summarizes the 'why we work determines how well we work' argument."
ch03-002,3,2026-09-11,2015-01-01,Neel Doshi and Lindsay McGregor,Primed to Perform: How to Build the Highest Performing Cultures Through the Science of Total Motivation,Trade nonfiction book,"Full statement and case-study application of the Total Motivation (ToMo) framework across organizations including Apple, Starbucks, and Southwest Airlines",https://www.amazon.com/Primed-Perform-Performing-Cultures-Motivation/dp/0062373986,"HarperBusiness, 2015. The authors are former McKinsey consultants and founders of Vega Factor; the proprietary ToMo survey methodology is not independently peer-reviewed."
ch04-001,4,2026-09-11,2009-12-29,Daniel H. Pink,Introduction to Drive: The Surprising Truth About What Motivates Us,Trade nonfiction book excerpt,"Secondary retelling of Harry Harlow's 1949 rhesus-monkey puzzle-box experiments and their challenge to behaviorist drive-reduction theory",https://www.danpink.com/PDF/DRIVE-Introduction.pdf,"Secondary source; used because Harlow's original 1950 Journal of Comparative and Physiological Psychology paper is not freely accessible, and Pink's retelling is the standard popular reference point. Flagged as secondary in-text."
ch04-002,4,2026-09-11,2021,Andrew Parks,How a 1949 monkey experiment showed us how wrong we were about what motivates us,Long-form article,"Additional detail on Harlow's experimental design (eight rhesus monkeys, mechanical puzzles, two-week observation) and the finding that adding food rewards made performance worse",https://www.andrewparks.net/how-a-1949-monkey-experiment-showed-us-how-wrong-we-were-about-what-motivates-us/,"Secondary popular account; cross-checked against Pink's retelling for consistency before use."
ch04-003,4,2026-09-11,1959-01-01,Robert W. White,Motivation Reconsidered: The Concept of Competence,Academic journal article,"Introduces 'effectance motivation' — a proposed drive toward competent interaction with the environment, offered as a bridge between Harlow-style curiosity findings and a more general theory of intrinsic motivation",http://greatquestion.com.au/wp-content/uploads/2023/09/White-Motivation-reconsidered-the-concept-of-competence-1959.pdf,"Psychological Review, 66, pp. 297-333. Influential precursor to self-determination theory's concept of competence, covered in Chapter 7."
ch05-001,5,2026-09-11,2019-03-01,Richard M. Ryan; Wendy S. Grolnick (eds.), reprinting Edward L. Deci,"Beyond Reinforcement: Deci (1971) on the Effects of Rewards on Self-Determination",Retrospective academic reprint/commentary,"Design and findings of Deci's original 1971 Soma-cube experiment: paid participants spent less free-choice time on the puzzle than unpaid participants",https://selfdeterminationtheory.org/wp-content/uploads/2019/03/2019_RyanRyanDiDomencio_Deci1971.pdf,"Hosted by the Center for Self-Determination Theory; includes direct discussion of the original 1971 Journal of Personality and Social Psychology study."
ch05-002,5,2026-09-11,1973-01-01,Mark R. Lepper; David Greene; Richard E. Nisbett,"Undermining Children's Intrinsic Interest with Extrinsic Reward: A Test of the 'Overjustification' Hypothesis",Academic journal article,"Original 'Good Player Award' preschool study: children who expected a reward for drawing later showed less free-time interest in drawing than children who received no reward or an unexpected one",https://www.heartofcharacter.org/wp-content/uploads/Undermining_Childrens_Intrinsic_Interest_with_Ext-1.pdf,"Journal of Personality and Social Psychology, 1973, Vol. 28, No. 1, pp. 129-137. Sample of 51 preschool children; effect specific to expected, task-contingent rewards."
ch05-003,5,2026-09-11,1999-11-01,Edward L. Deci; Richard Koestner; Richard M. Ryan,A Meta-Analytic Review of Experiments Examining the Effects of Extrinsic Rewards on Intrinsic Motivation,Academic journal article (meta-analysis),"128-experiment meta-analysis concluding that tangible, expected, task-contingent rewards significantly and substantially undermine intrinsic motivation, rebutting Cameron and Pierce's 1994 meta-analysis, which had concluded the effect was limited",https://home.ubalt.edu/ntygmitc/642/Articles%20syllabus/Deci%20Koestner%20Ryan%20meta%20IM%20psy%20bull%2099.pdf,"Psychological Bulletin, 125(6), pp. 627-668. Part of a sustained academic controversy; Eisenberger, Pierce, and Cameron published a rebuttal the same year, and the exchange continued in subsequent issues of the journal."
ch06-001,6,2026-09-11,1990-01-01,Mihaly Csikszentmihalyi,Flow: The Psychology of Optimal Experience,Trade nonfiction book,"Definition and structural conditions of flow: clear goals, immediate feedback, and a balance between perceived challenge and skill",https://www.sciencedirect.com/topics/psychology/flow-theory,"Harper & Row, 1990. URL is a secondary topic overview used to confirm the standard summary of the theory's core conditions alongside the book itself."
ch06-002,6,2026-09-11,2012-01-01,Teresa M. Amabile,Componential Theory of Creativity,Academic working paper / theory summary,"Amabile's componential model: domain-relevant skills, creativity-relevant processes, and intrinsic task motivation, shaped by the social environment, as joint determinants of creative output",https://www.hbs.edu/ris/Publication%20Files/12-096.pdf,"Harvard Business School Working Paper 12-096; updates Amabile's original 1983 formulation of the theory."
ch07-001,7,2026-09-11,2000-01-01,Richard M. Ryan and Edward L. Deci,"Self-Determination Theory and the Facilitation of Intrinsic Motivation, Social Development, and Well-Being",Academic journal article,"Statement of self-determination theory's three basic psychological needs: autonomy, competence, and relatedness",https://selfdeterminationtheory.org/SDT/documents/2000_RyanDeci_SDT.pdf,"American Psychologist, 55(1), 68-78. One of the most cited papers in modern psychology."
ch07-002,7,2026-09-11,2001-06-01,National Library of Medicine (PubMed record),Self-determination theory and the facilitation of intrinsic motivation, social development, and well-being,Journal indexing record,"Confirms full bibliographic citation and abstract for Ryan and Deci (2000)",https://pubmed.ncbi.nlm.nih.gov/11392867/,"Used only to verify citation accuracy."
ch07-003,7,2026-09-11,2004-10-01,Paul P. Baard; Edward L. Deci; Richard M. Ryan,Intrinsic Need Satisfaction: A Motivational Basis of Performance and Well-Being in Two Work Settings,Academic journal article,"Field study of 124 executives at a Fortune 500 company finding that managerial autonomy support predicted employees' satisfaction of autonomy, competence, and relatedness needs, which in turn predicted performance evaluations and psychological adjustment",https://onlinelibrary.wiley.com/doi/10.1111/j.1559-1816.2004.tb02690.x,"Journal of Applied Social Psychology, 34(10), pp. 2045-2068. One of the more direct applications of self-determination theory to a corporate performance-evaluation setting."
ch07-004,7,2026-09-11,2005-01-01,Marylène Gagné; Edward L. Deci,Self-Determination Theory and Work Motivation,Academic journal article,"Comprehensive review applying self-determination theory to organizational behavior; later recognized by the Journal of Organizational Behavior as one of its eight most influential articles",https://selfdeterminationtheory.org/SDT/documents/2005_GagneDeci_JOB_SDTtheory.pdf,"Journal of Organizational Behavior, 26, pp. 331-362."
ch08-001,8,2026-09-11,2025-01-01,World Economic Forum,The Future of Jobs Report 2025,Research report,"Projection of 170 million new roles created and 92 million displaced by 2030, a net gain of 78 million jobs, with about 22% of current jobs subject to disruption and roughly 39% of required skills changing within five years",https://www.weforum.org/publications/the-future-of-jobs-report-2025/digest/,"Survey-based projection from employers representing a large share of the global workforce; a projection, not a realized outcome, and should be labeled as such."
ch08-002,8,2026-09-11,2026-06-27,Fortune (reporting on Erik Brynjolfsson and ADP Research),"'It's not going away': The Stanford economist who called the AI entry-level jobs crisis early has the receipts",Business journalism,"Detailed breakdown of which task types (information retrieval, summarization, scheduling, formatting, routine drafting) are being absorbed first and assigned historically to junior employees",https://fortune.com/2026/06/27/what-is-ai-impact-entry-level-jobs-stanford-adp-canaries-brynjolfsson-richardson/,"Same source as ch01-001, cited again here for its task-level detail."
ch08-003,8,2026-09-11,2026-03-01,Anthropic,Anthropic Economic Index report: Learning curves,First-party research report,"49% of jobs in Anthropic's sample had Claude used for at least a quarter of their tasks by February 2026, up from 36% a year earlier; only 7.5% of O*NET tasks overall show measurable usage",https://www.anthropic.com/research/economic-index-march-2026-report,"Same source as ch01-002; adoption remains concentrated rather than uniform across the full task taxonomy."
ch09-001,9,2026-09-11,2026-05-05,Bloomberg,Unemployment Rate for Recent College Graduates Holds at 5.6%, NY Fed Reports,Business journalism,"Recent-graduate unemployment (ages 22-27, bachelor's degree) at 5.6% versus 4.2% for all workers as of early 2026 — the widest gap on record in New York Fed data",https://www.bloomberg.com/news/articles/2026-05-05/unemployment-for-recent-college-grads-remains-high-ny-fed-says,"Reporting on the Federal Reserve Bank of New York's Labor Market for Recent College Graduates series."
ch09-002,9,2026-09-11,2026,Federal Reserve Bank of New York,The Labor Market for Recent College Graduates,Official data series,"First-party source for recent-graduate versus all-worker unemployment and underemployment rates",https://www.newyorkfed.org/research/college-labor-market,"Updated quarterly; figures cited in the chapter reflect the early-2026 snapshot and will move over time."
ch09-003,9,2026-09-11,2026-06-04,Randal S. Olson (summarizing New York Fed research),New U.S. college grads now have higher unemployment than the average worker,Long-form data blog,"New York Fed's own analysis attributing roughly 64% of the rise in young-graduate unemployment to remote-work-driven hiring caution rather than AI directly",https://www.randalolson.com/2026/06/04/recent-grad-unemployment-flip/,"Used deliberately as counter-evidence against an overly simple 'AI did this' reading of the graduate unemployment data."
ch09-004,9,2026-09-11,2020-04-01,Daron Acemoglu; Pascual Restrepo,Robots and Jobs: Evidence from US Labor Markets,Academic journal article,"Each additional robot per thousand workers in a U.S. commuting zone reduced the local employment-to-population ratio by about 0.2 percentage points and wages by about 0.42%, concentrated in manufacturing and routine blue-collar occupations",https://www.nber.org/system/files/working_papers/w23285/w23285.pdf,"Journal of Political Economy, 128(6), 2020. Cited as a contrasting historical precedent (physical robotic automation, blue-collar concentration) rather than a direct analogue to cognitive-task AI substitution."
ch10-001,10,2026-09-11,2001-08-01,Guido W. Imbens; Donald B. Rubin; Bruce I. Sacerdote,"Estimating the Effect of Unearned Income on Labor Earnings, Savings, and Consumption: Evidence from a Survey of Lottery Players",NBER working paper,"Massachusetts lottery-winner survey: large-prize winners modestly reduced work hours and earnings and increased big-ticket spending; small and medium winners changed little",https://www.nber.org/papers/w7001,"Published version in American Economic Review 91(4), 2001. Survey-based, mid-1980s Massachusetts lottery players."
ch10-002,10,2026-09-11,2017-12-01,David Cesarini; Erik Lindqvist; Matthew J. Notowidigdo; Robert Östling,The Effect of Wealth on Individual and Household Labor Supply: Evidence from Swedish Lotteries,Academic journal article,"Randomized Swedish lottery-prize evidence that wealth modestly and persistently reduces earnings, with a stronger effect for winners than their spouses",https://eml.berkeley.edu/~saez/course/cesarinietalAER17.pdf,"American Economic Review 107(12), 2017, pp. 3917-3946."
ch10-003,10,2026-09-11,1978-01-01,Philip Brickman; Dan Coates; Ronnie Janoff-Bulman,Lottery Winners and Accident Victims: Is Happiness Relative?,Academic journal article,"22 major lottery winners were not happier on average than controls and reported less pleasure from mundane events; basis of the 'happiness set point' and adaptation-level literature",https://gwern.net/doc/psychology/1978-brickman.pdf,"Journal of Personality and Social Psychology, 36, pp. 917-927. Small sample (22 winners, 22 controls, 29 accident victims); a foundational but dated study."
ch11-001,11,2026-09-11,2019-01-01,Population Health researchers (PMC),The Association of Retirement Age with Mortality: A Population-Based Longitudinal Study among Older Adults in the United States,Academic journal article,"U.S. longitudinal evidence bearing on whether later retirement is associated with lower all-cause mortality",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6524971/,"One study among several with mixed findings; used alongside the 'healthy worker effect' caveat rather than as a standalone verdict."
ch11-002,11,2026-09-11,2020-01-01,Population Health researchers (PMC),Health status of workers approximately 60 years of age and the risk of early death after compulsory retirement: A cohort study,Academic journal article,"Evidence on the 'healthy worker effect': people who can afford early retirement are systematically healthier and wealthier, confounding naive retirement-mortality comparisons",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6970400/,"Used to explain why cross-sectional retirement-mortality comparisons are unreliable without adjustment."
ch11-003,11,2026-09-11,1986-06-01,David J. Ekerdt,The Busy Ethic: Moral Continuity Between Work and Retirement,Academic journal article,"Concept of the 'busy ethic': retirees legitimize leisure by keeping it earnest, active, and occupied, preserving continuity with the work ethic rather than rejecting it",https://academic.oup.com/gerontologist/article/26/3/239/598996,"The Gerontologist, 26(3), pp. 239-244."
ch12-001,12,2026-09-11,2019-02-08,Finnish Ministry of Social Affairs and Health / Prime Minister's Office,Preliminary results of the basic income experiment: self-perceived wellbeing improved, during the first year no effects on employment,Government report,"2017-2018 two-year Finnish basic-income trial: 2,000 unemployed recipients of a 560-euro monthly unconditional payment; small employment effects, clearer improvements in self-reported wellbeing and reduced mental strain",https://valtioneuvosto.fi/en/article/-/asset_publisher/1271139/perustulokokeilun-alustavat-tulokset-hyvinvointi-koettiin-paremmaksi-ensimmaisena-vuonna-ei-tyollisyysvaikutuksia,"First-party Finnish government release of the trial's preliminary results."
ch12-002,12,2026-09-11,2020-01-01,Finnish Ministry of Social Affairs and Health,Results of the basic income experiment: small employment effects, better perceived economic security and mental wellbeing,Government report,"Final-year results confirming modest employment effects (about six additional days of employment on average) and stronger wellbeing effects",https://stm.fi/en/-/perustulokokeilun-tulokset-tyollisyysvaikutukset-vahaisia-toimeentulo-ja-psyykkinen-terveys-koettiin-paremmaksi,"Companion release to ch12-001 covering the full two-year period; notes that a concurrent activation-model policy change complicates interpretation of the employment figures."
ch12-003,12,2026-09-11,2023-12-01,GiveDirectly,Early findings from the world's largest UBI study,First-party research summary,"Kenya long-horizon UBI study design: roughly 23,000 recipients across 195 villages, comparing lump-sum, two-year, and twelve-year transfer arms",https://www.givedirectly.org/2023-ubi-results,"First-party organizational summary of an independently run randomized evaluation; should be read alongside the academic evaluation for methodological detail."
ch12-004,12,2026-09-11,2023-12-07,NPR,It's one of the biggest experiments in fighting global poverty. Now, the results are in,Public radio journalism,"Kenya UBI findings that the two-year-only arm underperformed the lump-sum and twelve-year arms on several economic measures despite similar cumulative transfers, with growth concentrated in non-agricultural enterprise formation",https://www.npr.org/sections/goatsandsoda/2023/12/07/1217478771/its-one-of-the-biggest-experiments-in-fighting-global-poverty-now-the-results-ar,"Independent journalistic account drawing on the academic working paper behind the GiveDirectly-funded study."
ch12-005,12,2026-09-11,2023-01-01,Innovations for Poverty Action,The Effects of a Universal Basic Income in Kenya,Research organization summary,"Confirms study design and headline findings of the randomized Kenya UBI evaluation, including the shift in labor supply from wage employment toward self-employment",https://poverty-action.org/effects-universal-basic-income-kenya,"Independent research-partner summary, used to cross-check the GiveDirectly first-party account."
ch12-006,12,2026-09-11,2013-09-03,Sendhil Mullainathan; Eldar Shafir,Scarcity: Why Having Too Little Means So Much,Trade nonfiction book (drawing on peer-reviewed research),"Scarcity imposes a cognitive 'bandwidth tax' and produces 'tunneling' toward immediate demands at the expense of longer-horizon planning, offering a psychological mechanism for why short-horizon income guarantees underperform long-horizon ones",https://www.henryholt.com/,"Times Books/Henry Holt, 2013. Synthesizes the authors' own peer-reviewed experimental and field research; used here as a plausible explanatory mechanism, not as direct evidence about either the Finland or Kenya trial specifically."
ch13-001,13,2026-09-11,2026-02-01,The Diplomat,The 'Resting' Generation and South Korea's Youth Recession,Journalism / analysis,"South Korean youth (ages 15-29) employment rate falling to 44.3%, with roughly 470,000 young Koreans classified as 'resting' — neither employed nor seeking work",https://thediplomat.com/2026/02/the-resting-generation-and-south-koreas-youth-recession/,"2026 update on the longer-running 'sampo generation' phenomenon; distinguishes unemployment from labor-force withdrawal."
