id,year,author_or_institution,title,source_type,book_use,url
curtis-nc-historic-sites,n.d.,North Carolina Historic Sites,#TrueInclusion: Austin Curtis,government historical interpretation,"Chapters 1 and back matter: Curtis Revolutionary-era service, 1791 emancipation petition, post-emancipation horse career",https://historicsites.nc.gov/trueinclusion
purdy-racing-hof,n.d.,National Museum of Racing and Hall of Fame,Samuel Purdy,hall of fame biography,"Chapter 3: 1823 American Eclipse-Sir Henry match, Purdy role, estimated crowd and racing significance",https://racingmuseum.org/hall-of-fame/jockey/samuel-purdy
hawkins-racing-hof,n.d.,National Museum of Racing and Hall of Fame,Abe Hawkins,hall of fame biography,"Chapter 5: elite jockey career before and after the Civil War, enslavement, national reputation and riding style",https://www.racingmuseum.org/hall-of-fame/jockey/abe-hawkins
lewis-kentucky-human-rights,n.d.,Kentucky Commission on Human Rights,Oliver Lewis,hall of fame biography,"Chapter 7: Oliver Lewis and the first Kentucky Derby",https://kchr.ky.gov/Hall-of-Fame/Pages/Oliver-Lewis.aspx
williamson-racing-hof,n.d.,National Museum of Racing and Hall of Fame,Ansel Williamson,hall of fame biography,"Chapter 7: Black trainer Ansel Williamson, Aristides and the first Kentucky Derby",https://www.racingmuseum.org/hall-of-fame/trainer/ansel-williamson
kentucky-derby-black-heritage,2025,Churchill Downs / Kentucky Derby,2025 Kentucky Derby Media Guide,official event media guide,"Chapters 7 and 9: Black jockey participation in early Kentucky Derbies, Oliver Lewis, Ansel Williamson and later exclusion",https://www.kentuckyderby.com/wp-content/uploads/sites/2/2025/04/MKTG-1851_2025-Media-Guide_Phase-1_v1.2_pages_compressed_compressed-1.pdf
simms-racing-hof,n.d.,National Museum of Racing and Hall of Fame,Willie Simms,hall of fame biography,"Chapter 9: 1893-94 leading rider status, major victories, career reconstruction and international riding influence",https://www.racingmuseum.org/hall-of-fame/jockey/willie-simms
creighton-sabr,2014,Society for American Baseball Research,October 14 1862: The Martyrdom of Jim Creighton,scholarly baseball history,"Chapter 6: Creighton pitching innovation, early stardom, professionalism context and disputed fatal-injury story",https://sabr.org/gamesproj/game/october-14-1862-the-martyrdom-of-jim-creighton/
boxing-smithsonian,n.d.,Smithsonian Institution,American Boxing: From John L. Sullivan to Muhammad Ali and Hollywood Movies,museum thematic history,"Chapters 8 10 and 14: Sullivan championship era, Jack Johnson, Joe Louis and boxing's national cultural role",https://www.si.edu/spotlight/american-boxing
jack-johnson-nmaahc,n.d.,National Museum of African American History and Culture,Jack Johnson: A Heavyweight Boxer That Defied America,museum history,"Chapter 10: 1908 heavyweight championship, racial backlash and later Mann Act prosecution context",https://nmaahc.si.edu/explore/stories/jack-johnson-heavyweight-boxer-defied-america
thorpe-world-athletics,2022,World Athletics,Thorpe recognised as sole decathlon and pentathlon winner at 1912 Olympics,governing-body history,"Chapter 11: 1912 Olympic wins, amateurism sanction and 2022 sole-gold restoration",https://worldathletics.org/heritage/news/jim-thorpe-sole-decathlon-pentathlon-winner-1912-olympics
ruth-baseball-hof,n.d.,National Baseball Hall of Fame and Museum,Babe Ruth,hall of fame biography,"Chapter 12: Ruth career, Yankees era, home-run records and national celebrity",https://baseballhall.org/hall-of-famers/ruth-babe
owens-ushmm,n.d.,United States Holocaust Memorial Museum,The Nazi Olympics Berlin 1936: African American Voices and Jim Crow America,museum historical essay,"Chapter 13: Berlin Games political context, Black American boycott debate, Owens victories and U.S. racial contradiction",https://encyclopedia.ushmm.org/content/en/article/the-nazi-olympics-berlin-1936-african-american-voices-and-jim-crow-america
joe-louis-nmaahc,2021,National Museum of African American History and Culture,Joe Louis’ Sacrifice and Service for Equality,museum collection story,"Chapter 14: World War II service, segregated military, exhibition fights, morale role and civil-rights advocacy",https://nmaahc.si.edu/stories/collection/joe-louis
robinson-baseball-hof,n.d.,National Baseball Hall of Fame and Museum,Jackie Robinson,hall of fame biography,"Chapter 15: 1947 integration, awards, Dodgers career and competitive legacy",https://baseballhall.org/hall-of-famers/robinson-jackie
ali-smithsonian,n.d.,Smithsonian Institution,Muhammad Ali portrait object record,museum collection record,"Chapter 16: 1964 title, 1967 refusal of military induction, title loss and Supreme Court reversal",https://www.si.edu/object/npg_NPG.2002.2
wta-about,n.d.,Women's Tennis Association,About the WTA,official tour history,"Chapter 17: Original 9, 1973 WTA formation, equal prize money and professional women's tennis institution-building",https://www.wtatennis.com/news/1367607/about-the-wta
wta-king-bio,2026,Women's Tennis Association,Legend Bio: Billie Jean King,official tour biography,"Chapter 17: King career, WTA formation, Battle of the Sexes and estimated global audience",https://www.wtatennis.com/news/4496793/legend-bio-billie-jean-king
nba-magic-bird,n.d.,National Basketball Association,Magic Johnson-Larry Bird rivalry 40th anniversary,official league history,"Chapter 18: Bird-Magic rivalry and 1980s NBA growth",https://www.nba.com/news/magic-johnson-larry-bird-rivalry-40th-anniversary
nba-dream-team,n.d.,National Basketball Association,History Top Moments: Dream Team takes world by storm in 1992,official league history,"Chapter 19: 1992 Dream Team and global basketball impact",https://www.nba.com/news/history-top-moments-dream-team-1992
nba-jordan,n.d.,National Basketball Association,Legends profile: Michael Jordan,official league biography,"Chapter 19: Jordan championships, awards and basketball legacy",https://www.nba.com/news/history-nba-legend-michael-jordan
pga-tiger-slam,n.d.,PGA TOUR,Tiger Woods chasing 82: The Tiger Slam,official tour history,"Chapter 20: 2000 U.S. Open margin, St Andrews, PGA Championship and four-consecutive-major Tiger Slam sequence",https://www.pgatour.com/article/news/tiger-woods-chasing-82/tiger-woods-chasing-82-the-tiger-slam-first-win-the-players-championship-four-straight-majors
wta-serena-numbers,2026,Women's Tennis Association,The numbers behind Serena Williams' remarkable career,official tour statistics,"Chapter 21: 23 Grand Slam singles titles, 319 weeks at No. 1 and career statistical anchors",https://www.wtatennis.com/news/4512405/the-numbers-behind-serena-williams-remarkable-career
wta-serena-return,2026,Women's Tennis Association,WTA celebrates return of legendary Serena Williams to global tennis stage,official tour news,"Chapter 21 and research snapshot: June 2026 professional return after nearly four years away",https://www.wtatennis.com/news/4510787/wta-celebrates-return-of-legendary-serena-williams-to-global-tennis-stage
wta-serena-us-open,2026,Women's Tennis Association,Hao-Ching Chan Maya Joint spoil Venus and Serena Williams US Open doubles return in classic,official tour news,"Chapter 21 and research snapshot: September 5 2026 U.S. Open doubles result",https://www.wtatennis.com/news/4572343/hao-ching-chan-maya-joint-spoil-venus-and-serena-williams-us-open-doubles-return-in-classic
biles-usag-paris,2024,USA Gymnastics,Biles wins 11th Olympic medal; Chiles clinches floor exercise bronze,governing-body news,"Chapter 22: Paris 2024 medal total and 11 career Olympic medals",https://usagym.org/biles-wins-11th-olympic-medal-chiles-clinches-floor-exercise-bronze/
molineaux-vmhc,n.d.,Virginia Museum of History & Culture,Tom Molineaux,museum biography,"Chapter 2: Virginia birth and enslavement, London prizefighting career and Tom Cribb challenges",https://virginiahistory.org/learn/tom-molineaux
hyer-smithsonian,n.d.,Smithsonian National Museum of American History,Tom Hyer vs Yankee Sullivan collection object,museum collection record,"Chapter 4: February 7 1849 Hyer-Sullivan prizefight and Hyer victory",https://americanhistory.si.edu/collections/object/nmah_325105
