source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
ch01-001,1,2026-09-06,,Army Historical Foundation,"The Charleville Musket",Institutional historical article,"French Charleville-pattern muskets as a principal Continental infantry arm; scale of French shipments and influence on later U.S. patterns",https://armyhistory.org/charleville-musket/,"Useful synthesis; shipment totals vary across sources, so avoid presenting one disputed number as exact."
ch01-002,1,2026-09-06,,Office of the Historian U.S. Department of State,"French Alliance, French Assistance, and European Diplomacy during the American Revolution, 1778–1782",Government historical overview,"French arms, ammunition, uniforms, troops, naval power, and diplomacy as indispensable parts of the American war effort",https://history.state.gov/milestones/1776-1783/french-alliance,"Use for alliance context rather than weapon-specific production details."
ch01-003,1,2026-09-06,,Smithsonian National Museum of American History,"French Charleville Musket object record",Museum primary-object record,"Museum description notes approximately 25,000 Charleville muskets received in March 1777",https://americanhistory.si.edu/collections/object/nmah_414921,"A museum catalog statement; reconcile with larger shipment estimates that include additional deliveries and patterns."
ch02-001,2,2026-09-06,,National Park Service,"Lamb's Artillery",Government historical article,"American and French artillery at Yorktown; artillery's central role and scale of bombardment",https://www.nps.gov/york/learn/historyculture/lamb-artillery.htm,"Use alongside siege chronology so guns are not detached from engineering and coalition logistics."
ch02-002,2,2026-09-06,,National Park Service,"Siege Timeline",Government historical timeline,"Battery openings, parallels, redoubts, bombardment, and Cornwallis's failed escape before surrender",https://home.nps.gov/york/learn/historyculture/siegetimeline.htm,"Operational chronology; supports the claim that artillery effect depended on a complete siege system."
ch03-001,3,2026-09-06,,National Park Service Springfield Armory NHS,"Firearm Serial Numbers",Government museum reference,"Springfield Armory began weapons production in 1795 with the Model 1795 Flintlock Musket",https://www.nps.gov/spar/learn/historyculture/firearm-serial-numbers.htm,"Narrow chronology source; not evidence of full interchangeability in the 1790s."
ch03-002,3,2026-09-06,,National Park Service Springfield Armory NHS,"Department of the Army, Chief of Ordnance, Springfield Armory Records finding aid",Archival finding aid / institutional history,"1794 armory authorization; 1795 production with forty skilled craftsmen; Model 1795 as essentially a French Charleville copy",https://www.nps.gov/spar/learn/historyculture/upload/SPAR_15455.pdf,"Useful for institutional origin and early workforce; distinguish archival finding-aid narrative from item-level primary documents."
ch03-003,3,2026-09-06,,National Park Service Springfield Armory NHS,"The Federal Armories",Government historical article,"Contrasts Springfield's early use of machinery and standardization with Harpers Ferry's greater reliance on hand craft",https://www.nps.gov/spar/learn/historyculture/federal-armories.htm,"Use to show gradual institutional learning, not to claim modern interchangeability existed immediately."
ch04-001,4,2026-09-06,,Naval History and Heritage Command,"USS Constitution: America's Ship of State",Official naval history,"Constitution's Barbary-era deployments and role in projecting force to protect U.S. commerce",https://www.history.navy.mil/browse-by-topic/ships/original-frigates/uss-constitution-americas-ship-of-state.html,"Service history from U.S. Navy perspective; supplement political context where interpretation matters."
ch04-002,4,2026-09-06,,Naval History and Heritage Command,"A Brief History of USS Constitution",Official naval history,"1794 naval program, Mediterranean service, Tripoli operations, and treaty diplomacy",https://www.history.navy.mil/browse-by-topic/ships/original-frigates/uss-constitution-americas-ship-of-state/background-for-media/brief-history.html,"Useful chronological reference."
ch05-001,5,2026-09-06,,National Park Service,"Americans celebrate an idealized version of their militia",Government historical article,"Explicitly challenges the Hunters of Kentucky myth and identifies regular Army artillery as the force that turned the battle",https://www.nps.gov/articles/myths-of-the-militia.htm,"Key counter-myth source; use without replacing one monocausal story with another."
ch05-002,5,2026-09-06,,National Park Service,"We are a hardy, free-born race",Government historical article,"Explains how the Hunters of Kentucky song exaggerated riflemen's role and became politically useful in Jacksonian memory",https://home.nps.gov/articles/jacksons-campaign.htm,"Strong source for memory and myth; distinguishes later song from battlefield evidence."
ch05-003,5,2026-09-06,,National Park Service,"The New Orleans Campaign of 1814–1815",Government historical study,"American artillery layout, ammunition shortages, and mixed musket/rifle infantry along Jackson's line",https://www.nps.gov/parkhistory/online_books/jela/lost_riverfront/Part_1.pdf,"Detailed operational context; use to preserve the contribution of infantry alongside artillery."
ch06-001,6,2026-09-06,,National Park Service Harpers Ferry NHP,"John H. Hall",Government historical article,"1819 War Department contract; Hall Rifle Works; precision machinery and interchangeable-parts goal",https://home.nps.gov/hafe/learn/historyculture/john-h-hall.htm,"Includes Hall's own 1822 claims; distinguish self-description from later historical assessment."
