id,year,author_or_institution,title,source_type,book_use,url
S01,2020,NIST,SP 800-207: Zero Trust Architecture,standard,"Chapters 1-5: background on explicit resource-focused authorization and no implicit trust; not autonomy-decay doctrine.",https://doi.org/10.6028/NIST.SP.800-207
S02,2012,Dick Hardt,RFC 6749: The OAuth 2.0 Authorization Framework,RFC,"Chapter 3: scoped and time-bounded access tokens and refresh; supports credential-freshness distinction.",https://www.rfc-editor.org/rfc/rfc6749.html
S03,1989,Cary Gray and David Cheriton,Leases: An Efficient Fault-Tolerant Mechanism for Distributed File Cache Consistency,academic paper,"Chapter 3: bounded claims under partial failure as an engineering analogy; not a governance source.",https://www.cs.cmu.edu/afs/cs.cmu.edu/academic/class/15712-s12/www/papers/gray89.pdf
S04,2014,João Gama et al.,A Survey on Concept Drift Adaptation,academic paper,"Chapter 4: changing relations can obsolete learned behavior; used as analogy rather than a legitimacy model.",https://doi.org/10.1145/2523813
S05,2014,Indrė Žliobaitė et al.,Active Learning with Drifting Streaming Data,academic paper,"Chapter 4: supports the point that material change can emerge away from previously salient decision boundaries.",https://pubmed.ncbi.nlm.nih.gov/24806642/
S06,2012,U.S. Army,ADRP 6-0 Mission Command,doctrine,"Chapters 2 and 11: disciplined initiative under commander's intent and the danger of over-centralizing decisions when conditions change.",https://home.army.mil/wood/application/files/7715/5751/8336/ADRP_6_0_Mission_Command.pdf
S07,1976,Michael C. Jensen and William H. Meckling,Theory of the Firm: Managerial Behavior Agency Costs and Ownership Structure,academic paper,"Chapters 2 6 and 18: foundational principal-agent background; does not itself propose decaying authority.",https://doi.org/10.1016/0304-405X(76)90026-X
S08,2012,Sean Gailmard and John W. Patty,Formal Models of Bureaucracy,review article,"Chapters 2 and 18: delegation expertise and information asymmetry; supports the control-versus-expertise counterargument.",https://doi.org/10.1146/annurev-polisci-031710-103314
S09,2022,Sjoerd Overman,Toward a Public Administration Theory of Felt Accountability,academic paper,"Chapter 18: monitoring depends on information and expertise; supports limits on principal capacity.",https://doi.org/10.1111/puar.13417
S10,2020,Antonios Kouroutakis,The Virtues of Sunset Clauses in Relation to Constitutional Authority,law review article,"Chapter 7: sunset clauses and reauthorization; supports retirement-by-default for selected temporary powers.",https://doi.org/10.1093/slr/hmy017
S11,2026,Oxford University Press contributors,Comparing Covid Laws: legislative emergency-powers model,book chapter,"Chapter 7: sunset provisions can reactivate political accountability around exceptional power.",https://academic.oup.com/book/62308/chapter/552640872
S12,2015,Minnesota Journal of International Law,Snoozing Democracy: The De-Juridification of Emergencies,legal commentary,"Chapters 7 and 17: supports the renewal-theater failure mode in which temporary powers are repeatedly extended without substantive reconsideration.",https://journals.law.umn.edu/mjil/2015/10/20/snoozing-democracy-the-de-juridification-of-emergencies/
S13,2023,Valentine,Emergency Powers: Understanding the Benefits While Mitigating the Consequences,law review article,"Chapter 7: comparative support for both operational benefits and long-run risks of emergency powers.",https://repository.law.miami.edu/umiclr/vol30/iss2/7/
